RGN|BRU,|BRU|DEL|CAN|RGN|
RGN|OUA,|OUA|NIM|IST|CAN|RGN|
RGN|JED,|JED|IST|CAN|RGN|
RGN|CPH,|CPH|AMS|CAN|RGN|
RGN|YYZ,|YYZ|PEK|CAN|RGN|
RGN|DEN,|DEN|YVR|CAN|RGN|
RGN|YUL,|YUL|YYZ|PEK|CAN|RGN|
RGN|NBO,|NBO|CAN|RGN|
RGN|ICN,|ICN|CAN|RGN|
RGN|NRT,|NRT|CAN|RGN|
RGN|YHZ,|YHZ|YYZ|PEK|CAN|RGN|
RGN|YOW,|YOW|YYZ|PEK|CAN|RGN|
RGN|BJM,|BJM|BRU|DEL|CAN|RGN|
RGN|COO,|COO|BRU|DEL|CAN|RGN|
RGN|DKR,|DKR|BRU|DEL|CAN|RGN|
RGN|DLA,|DLA|IST|CAN|RGN|
RGN|KGL,|KGL|IST|CAN|RGN|
RGN|LAD,|LAD|BRU|DEL|CAN|RGN|
RGN|ABJ,|ABJ|OUA|NIM|IST|CAN|RGN|
RGN|AMS,|AMS|CAN|RGN|
RGN|OSL,|OSL|CPH|AMS|CAN|RGN|
RGN|VNO,|VNO|IST|CAN|RGN|
RGN|WAW,|WAW|IST|CAN|RGN|
RGN|YYC,|YYC|YVR|CAN|RGN|
RGN|ATL,|ATL|ORD|PEK|CAN|RGN|
RGN|MSY,|MSY|DEN|YVR|CAN|RGN|
RGN|YEG,|YEG|YVR|CAN|RGN|
RGN|YMM,|YMM|YVR|CAN|RGN|
RGN|YQR,|YQR|YVR|CAN|RGN|
RGN|YVR,|YVR|CAN|RGN|
RGN|YWG,|YWG|YVR|CAN|RGN|
RGN|YXE,|YXE|YVR|CAN|RGN|
RGN|CKY,|CKY|DKR|BRU|DEL|CAN|RGN|
RGN|FIH,|FIH|IST|CAN|RGN|
RGN|SCL,|SCL|YYZ|PEK|CAN|RGN|
RGN|LCA,|LCA|FRA|TSE|URC|CAN|RGN|
RGN|NAP,|NAP|IST|CAN|RGN|
RGN|VLC,|VLC|IST|CAN|RGN|
RGN|BKK,|BKK|CAN|RGN|
RGN|ADD,|ADD|IST|CAN|RGN|
RGN|FRA,|FRA|TSE|URC|CAN|RGN|
RGN|IST,|IST|CAN|RGN|
RGN|EBB,|EBB|KGL|IST|CAN|RGN|
RGN|YLW,|YLW|YVR|CAN|RGN|
RGN|YYT,|YYT|LHR|CAN|RGN|
RGN|GUA,|GUA|IAH|YVR|CAN|RGN|
RGN|EWR,|EWR|PEK|CAN|RGN|
RGN|IAD,|IAD|PEK|CAN|RGN|
RGN|IAH,|IAH|YVR|CAN|RGN|
RGN|ORD,|ORD|PEK|CAN|RGN|
RGN|SOF,|SOF|IST|CAN|RGN|
RGN|YQB,|YQB|YYZ|PEK|CAN|RGN|
RGN|YXU,|YXU|YYZ|PEK|CAN|RGN|
RGN|EZE,|EZE|GRU|IST|CAN|RGN|
RGN|YYJ,|YYJ|YVR|CAN|RGN|
RGN|YYY,|YYY|YUL|YYZ|PEK|CAN|RGN|
RGN|YQQ,|YQQ|YBL|YVR|CAN|RGN|
RGN|YYR,|YYR|YYT|LHR|CAN|RGN|
RGN|LHR,|LHR|CAN|RGN|
RGN|SFO,|SFO|PVG|CAN|RGN|
RGN|YQU,|YQU|YEG|YVR|CAN|RGN|
RGN|YZF,|YZF|YEG|YVR|CAN|RGN|
RGN|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|RGN|
RGN|YGP,|YGP|YQB|YYZ|PEK|CAN|RGN|
RGN|BOS,|BOS|YYZ|PEK|CAN|RGN|
RGN|YDF,|YDF|YYT|LHR|CAN|RGN|
RGN|YFC,|YFC|YYZ|PEK|CAN|RGN|
RGN|YQM,|YQM|YYZ|PEK|CAN|RGN|
RGN|YQX,|YQX|YYT|LHR|CAN|RGN|
RGN|YQY,|YQY|YYZ|PEK|CAN|RGN|
RGN|YSJ,|YSJ|YYZ|PEK|CAN|RGN|
RGN|YYG,|YYG|YYZ|PEK|CAN|RGN|
RGN|LAX,|LAX|CAN|RGN|
RGN|DCA,|DCA|YYZ|PEK|CAN|RGN|
RGN|LGA,|LGA|YYZ|PEK|CAN|RGN|
RGN|YZV,|YZV|YQB|YYZ|PEK|CAN|RGN|
RGN|YWL,|YWL|YVR|CAN|RGN|
RGN|AZS,|AZS|YYZ|PEK|CAN|RGN|
RGN|BDL,|BDL|YYZ|PEK|CAN|RGN|
RGN|CCC,|CCC|YYZ|PEK|CAN|RGN|
RGN|CDG,|CDG|CAN|RGN|
RGN|CUN,|CUN|YVR|CAN|RGN|
RGN|CZM,|CZM|IAH|YVR|CAN|RGN|
RGN|FDF,|FDF|YUL|YYZ|PEK|CAN|RGN|
RGN|FLL,|FLL|ORD|PEK|CAN|RGN|
RGN|GVA,|GVA|IST|CAN|RGN|
RGN|HOG,|HOG|YYZ|PEK|CAN|RGN|
RGN|LAS,|LAS|SFO|PVG|CAN|RGN|
RGN|MBJ,|MBJ|ATL|ORD|PEK|CAN|RGN|
RGN|MCO,|MCO|ORD|PEK|CAN|RGN|
RGN|MUC,|MUC|IST|CAN|RGN|
RGN|PAP,|PAP|YUL|YYZ|PEK|CAN|RGN|
RGN|PTP,|PTP|YUL|YYZ|PEK|CAN|RGN|
RGN|PUJ,|PUJ|EWR|PEK|CAN|RGN|
RGN|SNU,|SNU|YYZ|PEK|CAN|RGN|
RGN|VRA,|VRA|YYZ|PEK|CAN|RGN|
RGN|YBC,|YBC|YUL|YYZ|PEK|CAN|RGN|
RGN|YBG,|YBG|YUL|YYZ|PEK|CAN|RGN|
RGN|YTZ,|YTZ|YUL|YYZ|PEK|CAN|RGN|
RGN|YUY,|YUY|YUL|YYZ|PEK|CAN|RGN|
RGN|YVO,|YVO|YUL|YYZ|PEK|CAN|RGN|
RGN|ZBF,|ZBF|YUL|YYZ|PEK|CAN|RGN|
RGN|ZRH,|ZRH|IST|CAN|RGN|
RGN|ZSA,|ZSA|YUL|YYZ|PEK|CAN|RGN|
RGN|AKL,|AKL|CAN|RGN|
RGN|HKG,|HKG|CAN|RGN|
RGN|HND,|HND|HNL|NRT|CAN|RGN|
RGN|HNL,|HNL|NRT|CAN|RGN|
RGN|MEX,|MEX|SFO|PVG|CAN|RGN|
RGN|OGG,|OGG|HNL|NRT|CAN|RGN|
RGN|PDX,|PDX|SEA|ICN|CAN|RGN|
RGN|PEK,|PEK|CAN|RGN|
RGN|PVG,|PVG|CAN|RGN|
RGN|PVR,|PVR|LAX|CAN|RGN|
RGN|SEA,|SEA|ICN|CAN|RGN|
RGN|SYD,|SYD|CAN|RGN|
RGN|YBL,|YBL|YVR|CAN|RGN|
RGN|YCD,|YCD|YVR|CAN|RGN|
RGN|YCG,|YCG|YVR|CAN|RGN|
RGN|YKA,|YKA|YVR|CAN|RGN|
RGN|YPR,|YPR|YVR|CAN|RGN|
RGN|YQZ,|YQZ|YVR|CAN|RGN|
RGN|YXC,|YXC|YVR|CAN|RGN|
RGN|YXJ,|YXJ|YVR|CAN|RGN|
RGN|YXS,|YXS|YVR|CAN|RGN|
RGN|YXT,|YXT|YVR|CAN|RGN|
RGN|YXY,|YXY|YVR|CAN|RGN|
RGN|YYD,|YYD|YVR|CAN|RGN|
RGN|YYF,|YYF|YVR|CAN|RGN|
RGN|YZP,|YZP|YVR|CAN|RGN|
RGN|YQT,|YQT|YWG|YVR|CAN|RGN|
RGN|SJD,|SJD|LAX|CAN|RGN|
RGN|YQF,|YQF|YYC|YVR|CAN|RGN|
RGN|YQL,|YQL|YYC|YVR|CAN|RGN|
RGN|YXH,|YXH|YYC|YVR|CAN|RGN|
RGN|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|RGN|
RGN|ANU,|ANU|EWR|PEK|CAN|RGN|
RGN|AUA,|AUA|EWR|PEK|CAN|RGN|
RGN|AUH,|AUH|IST|CAN|RGN|
RGN|BCN,|BCN|IST|CAN|RGN|
RGN|BDA,|BDA|EWR|PEK|CAN|RGN|
RGN|BGI,|BGI|YYZ|PEK|CAN|RGN|
RGN|BNA,|BNA|ORD|PEK|CAN|RGN|
RGN|BOG,|BOG|MIA|ORD|PEK|CAN|RGN|
RGN|BWI,|BWI|YYZ|PEK|CAN|RGN|
RGN|CLE,|CLE|YYZ|PEK|CAN|RGN|
RGN|CLT,|CLT|YYZ|PEK|CAN|RGN|
RGN|CMH,|CMH|ORD|PEK|CAN|RGN|
RGN|CVG,|CVG|ORD|PEK|CAN|RGN|
RGN|DFW,|DFW|YVR|CAN|RGN|
RGN|DTW,|DTW|PEK|CAN|RGN|
RGN|DUB,|DUB|IST|CAN|RGN|
RGN|FCO,|FCO|IST|CAN|RGN|
RGN|GCM,|GCM|YYZ|PEK|CAN|RGN|
RGN|GGT,|GGT|YYZ|PEK|CAN|RGN|
RGN|GND,|GND|YYZ|PEK|CAN|RGN|
RGN|GRU,|GRU|IST|CAN|RGN|
RGN|HAV,|HAV|YYZ|PEK|CAN|RGN|
RGN|IND,|IND|ORD|PEK|CAN|RGN|
RGN|JFK,|JFK|PEK|CAN|RGN|
RGN|KIN,|KIN|YYZ|PEK|CAN|RGN|
RGN|LIM,|LIM|IAH|YVR|CAN|RGN|
RGN|LIR,|LIR|IAH|YVR|CAN|RGN|
RGN|MCI,|MCI|DEN|YVR|CAN|RGN|
RGN|MDT,|MDT|YYZ|PEK|CAN|RGN|
RGN|MIA,|MIA|ORD|PEK|CAN|RGN|
RGN|MKE,|MKE|ORD|PEK|CAN|RGN|
RGN|MSP,|MSP|ORD|PEK|CAN|RGN|
RGN|NAS,|NAS|YYZ|PEK|CAN|RGN|
RGN|PHL,|PHL|YYZ|PEK|CAN|RGN|
RGN|PHX,|PHX|SFO|PVG|CAN|RGN|
RGN|PIT,|PIT|YYZ|PEK|CAN|RGN|
RGN|PLS,|PLS|EWR|PEK|CAN|RGN|
RGN|POP,|POP|EWR|PEK|CAN|RGN|
RGN|RDU,|RDU|YYZ|PEK|CAN|RGN|
RGN|ROC,|ROC|YYZ|PEK|CAN|RGN|
RGN|RSW,|RSW|ORD|PEK|CAN|RGN|
RGN|SAN,|SAN|LAX|CAN|RGN|
RGN|SJO,|SJO|IAH|YVR|CAN|RGN|
RGN|STL,|STL|ORD|PEK|CAN|RGN|
RGN|SYR,|SYR|YYZ|PEK|CAN|RGN|
RGN|TLV,|TLV|IST|CAN|RGN|
RGN|TPA,|TPA|ORD|PEK|CAN|RGN|
RGN|UVF,|UVF|EWR|PEK|CAN|RGN|
RGN|VIE,|VIE|IST|CAN|RGN|
RGN|YAM,|YAM|YYZ|PEK|CAN|RGN|
RGN|YGK,|YGK|YYZ|PEK|CAN|RGN|
RGN|YQG,|YQG|YYZ|PEK|CAN|RGN|
RGN|YSB,|YSB|YYZ|PEK|CAN|RGN|
RGN|YTS,|YTS|YYZ|PEK|CAN|RGN|
RGN|YYB,|YYB|YYZ|PEK|CAN|RGN|
RGN|YZR,|YZR|YYZ|PEK|CAN|RGN|
RGN|CAN,|CAN|RGN|
RGN|URC,|URC|CAN|RGN|
RGN|CTU,|CTU|CAN|RGN|
RGN|HGH,|HGH|CAN|RGN|
RGN|XMN,|XMN|CAN|RGN|
RGN|CGO,|CGO|CAN|RGN|
RGN|CSX,|CSX|CAN|RGN|
RGN|SHE,|SHE|CAN|RGN|
RGN|SJW,|SJW|CAN|RGN|
RGN|WUH,|WUH|CAN|RGN|
RGN|SZX,|SZX|MXZ|CAN|RGN|
RGN|CKG,|CKG|CAN|RGN|
RGN|KMG,|KMG|CAN|RGN|
RGN|FOC,|FOC|CAN|RGN|
RGN|NNG,|NNG|CAN|RGN|
RGN|SWA,|SWA|CAN|RGN|
RGN|ACX,|ACX|CAN|RGN|
RGN|AQG,|AQG|CAN|RGN|
RGN|AVA,|AVA|CAN|RGN|
RGN|BFJ,|BFJ|CAN|RGN|
RGN|BHY,|BHY|CAN|RGN|
RGN|BNE,|BNE|CAN|RGN|
RGN|CGD,|CGD|CAN|RGN|
RGN|CGK,|CGK|CAN|RGN|
RGN|CGQ,|CGQ|CAN|RGN|
RGN|CIH,|CIH|CAN|RGN|
RGN|CNX,|CNX|CAN|RGN|
RGN|CZX,|CZX|CAN|RGN|
RGN|DAC,|DAC|CAN|RGN|
RGN|DAD,|DAD|CAN|RGN|
RGN|DEL,|DEL|CAN|RGN|
RGN|DIG,|DIG|CAN|RGN|
RGN|DLC,|DLC|CAN|RGN|
RGN|DPS,|DPS|CAN|RGN|
RGN|DXB,|DXB|CAN|RGN|
RGN|DYG,|DYG|CAN|RGN|
RGN|FUG,|FUG|CAN|RGN|
RGN|FUK,|FUK|CAN|RGN|
RGN|HAK,|HAK|CAN|RGN|
RGN|HAN,|HAN|CAN|RGN|
RGN|HDG,|HDG|CAN|RGN|
RGN|HET,|HET|CAN|RGN|
RGN|HFE,|HFE|CAN|RGN|
RGN|HJJ,|HJJ|CAN|RGN|
RGN|HKT,|HKT|CAN|RGN|
RGN|HRB,|HRB|CAN|RGN|
RGN|HZH,|HZH|CAN|RGN|
RGN|JIU,|JIU|CAN|RGN|
RGN|JJN,|JJN|CAN|RGN|
RGN|JNG,|JNG|CAN|RGN|
RGN|KHN,|KHN|CAN|RGN|
RGN|KIX,|KIX|CAN|RGN|
RGN|KOW,|KOW|CAN|RGN|
RGN|KTM,|KTM|CAN|RGN|
RGN|KUL,|KUL|CAN|RGN|
RGN|KWE,|KWE|CAN|RGN|
RGN|KWL,|KWL|CAN|RGN|
RGN|LHW,|LHW|CAN|RGN|
RGN|LYA,|LYA|CAN|RGN|
RGN|LYG,|LYG|CAN|RGN|
RGN|LZH,|LZH|CAN|RGN|
RGN|MEL,|MEL|CAN|RGN|
RGN|MIG,|MIG|CAN|RGN|
RGN|MLE,|MLE|CAN|RGN|
RGN|MNL,|MNL|CAN|RGN|
RGN|MXZ,|MXZ|CAN|RGN|
RGN|NAO,|NAO|CAN|RGN|
RGN|NGB,|NGB|CAN|RGN|
RGN|NKG,|NKG|CAN|RGN|
RGN|NNY,|NNY|CAN|RGN|
RGN|PEN,|PEN|CAN|RGN|
RGN|PER,|PER|CAN|RGN|
RGN|PNH,|PNH|CAN|RGN|
RGN|REP,|REP|CAN|RGN|
RGN|SGN,|SGN|CAN|RGN|
RGN|SHA,|SHA|CAN|RGN|
RGN|SIN,|SIN|CAN|RGN|
RGN|SVO,|SVO|CAN|RGN|
RGN|SYX,|SYX|CAN|RGN|
RGN|TAO,|TAO|CAN|RGN|
RGN|TEN,|TEN|CAN|RGN|
RGN|TNA,|TNA|CAN|RGN|
RGN|TPE,|TPE|CAN|RGN|
RGN|TSN,|TSN|CAN|RGN|
RGN|TXN,|TXN|CAN|RGN|
RGN|TYN,|TYN|CAN|RGN|
RGN|WNZ,|WNZ|CAN|RGN|
RGN|WUX,|WUX|CAN|RGN|
RGN|XFN,|XFN|CAN|RGN|
RGN|XIY,|XIY|CAN|RGN|
RGN|XUZ,|XUZ|CAN|RGN|
RGN|YIH,|YIH|CAN|RGN|
RGN|YIW,|YIW|CAN|RGN|
RGN|YNT,|YNT|CAN|RGN|
RGN|YNZ,|YNZ|CAN|RGN|
