RIC|BRU,|BRU|EWR|RIC|
RIC|OUA,|OUA|BRU|EWR|RIC|
RIC|JED,|JED|FRA|EWR|RIC|
RIC|CPH,|CPH|AMS|EWR|RIC|
RIC|YYZ,|YYZ|IAD|RIC|
RIC|DEN,|DEN|ORD|RIC|
RIC|YUL,|YUL|IAD|RIC|
RIC|NBO,|NBO|ZRH|EWR|RIC|
RIC|ICN,|ICN|JFK|IAD|RIC|
RIC|NRT,|NRT|IAD|RIC|
RIC|YHZ,|YHZ|EWR|RIC|
RIC|YOW,|YOW|IAD|RIC|
RIC|BJM,|BJM|BRU|EWR|RIC|
RIC|COO,|COO|BRU|EWR|RIC|
RIC|DKR,|DKR|IAD|RIC|
RIC|DLA,|DLA|BRU|EWR|RIC|
RIC|KGL,|KGL|BRU|EWR|RIC|
RIC|LAD,|LAD|BRU|EWR|RIC|
RIC|ABJ,|ABJ|BRU|EWR|RIC|
RIC|AMS,|AMS|EWR|RIC|
RIC|OSL,|OSL|EWR|RIC|
RIC|VNO,|VNO|CPH|AMS|EWR|RIC|
RIC|WAW,|WAW|CPH|AMS|EWR|RIC|
RIC|YYC,|YYC|ORD|RIC|
RIC|ATL,|ATL|RIC|
RIC|MSY,|MSY|ATL|RIC|
RIC|YEG,|YEG|ORD|RIC|
RIC|YMM,|YMM|YYZ|IAD|RIC|
RIC|YQR,|YQR|ORD|RIC|
RIC|YVR,|YVR|ORD|RIC|
RIC|YWG,|YWG|ORD|RIC|
RIC|YXE,|YXE|ORD|RIC|
RIC|CKY,|CKY|DKR|IAD|RIC|
RIC|FIH,|FIH|DLA|BRU|EWR|RIC|
RIC|SCL,|SCL|YYZ|IAD|RIC|
RIC|LCA,|LCA|FRA|EWR|RIC|
RIC|NAP,|NAP|FRA|EWR|RIC|
RIC|VLC,|VLC|FRA|EWR|RIC|
RIC|BKK,|BKK|CGO|PEK|IAD|RIC|
RIC|ADD,|ADD|JED|FRA|EWR|RIC|
RIC|FRA,|FRA|EWR|RIC|
RIC|IST,|IST|BHX|EWR|RIC|
RIC|EBB,|EBB|KGL|BRU|EWR|RIC|
RIC|YLW,|YLW|YYC|ORD|RIC|
RIC|YYT,|YYT|EWR|RIC|
RIC|GUA,|GUA|IAD|RIC|
RIC|EWR,|EWR|RIC|
