RIX|BRU,|BRU|IST|RIX|
RIX|OUA,|OUA|NIM|IST|RIX|
RIX|JED,|JED|IST|RIX|
RIX|CPH,|CPH|IST|RIX|
RIX|YYZ,|YYZ|IST|RIX|
RIX|DEN,|DEN|FRA|IST|RIX|
RIX|YUL,|YUL|FRA|IST|RIX|
RIX|NBO,|NBO|IST|RIX|
RIX|ICN,|ICN|IST|RIX|
RIX|NRT,|NRT|IST|RIX|
RIX|YHZ,|YHZ|LHR|IST|RIX|
RIX|YOW,|YOW|FRA|IST|RIX|
RIX|BJM,|BJM|BRU|IST|RIX|
RIX|COO,|COO|BRU|IST|RIX|
RIX|DKR,|DKR|BRU|IST|RIX|
RIX|DLA,|DLA|IST|RIX|
RIX|KGL,|KGL|IST|RIX|
RIX|LAD,|LAD|BRU|IST|RIX|
RIX|ABJ,|ABJ|OUA|NIM|IST|RIX|
RIX|AMS,|AMS|IST|RIX|
RIX|OSL,|OSL|IST|RIX|
RIX|VNO,|VNO|IST|RIX|
RIX|WAW,|WAW|IST|RIX|
RIX|YYC,|YYC|FRA|IST|RIX|
RIX|ATL,|ATL|FRA|IST|RIX|
RIX|MSY,|MSY|IAD|IST|RIX|
RIX|YEG,|YEG|LHR|IST|RIX|
RIX|YMM,|YMM|YEG|LHR|IST|RIX|
RIX|YQR,|YQR|YEG|LHR|IST|RIX|
RIX|YVR,|YVR|MUC|IST|RIX|
RIX|YWG,|YWG|YUL|FRA|IST|RIX|
RIX|YXE,|YXE|YEG|LHR|IST|RIX|
RIX|CKY,|CKY|DKR|BRU|IST|RIX|
RIX|FIH,|FIH|IST|RIX|
RIX|SCL,|SCL|EZE|GRU|IST|RIX|
RIX|LCA,|LCA|FRA|IST|RIX|
RIX|NAP,|NAP|IST|RIX|
RIX|VLC,|VLC|IST|RIX|
RIX|BKK,|BKK|IST|RIX|
RIX|ADD,|ADD|IST|RIX|
RIX|FRA,|FRA|IST|RIX|
RIX|IST,|IST|RIX|
RIX|EBB,|EBB|KGL|IST|RIX|
RIX|YLW,|YLW|YYC|FRA|IST|RIX|
RIX|YYT,|YYT|LHR|IST|RIX|
RIX|GUA,|GUA|MIA|ZRH|IST|RIX|
RIX|EWR,|EWR|BHX|IST|RIX|
RIX|IAD,|IAD|IST|RIX|
RIX|IAH,|IAH|IST|RIX|
RIX|ORD,|ORD|IST|RIX|
RIX|SOF,|SOF|IST|RIX|
RIX|YQB,|YQB|YUL|FRA|IST|RIX|
RIX|YXU,|YXU|YYZ|IST|RIX|
RIX|EZE,|EZE|GRU|IST|RIX|
RIX|YYJ,|YYJ|YVR|MUC|IST|RIX|
RIX|YYY,|YYY|YUL|FRA|IST|RIX|
RIX|YQQ,|YQQ|YBL|YVR|MUC|IST|RIX|
RIX|YYR,|YYR|YYT|LHR|IST|RIX|
RIX|LHR,|LHR|IST|RIX|
RIX|SFO,|SFO|MUC|IST|RIX|
RIX|YQU,|YQU|YEG|LHR|IST|RIX|
RIX|YZF,|YZF|YEG|LHR|IST|RIX|
RIX|YGR,|YGR|YGP|YQB|YUL|FRA|IST|RIX|
RIX|YGP,|YGP|YQB|YUL|FRA|IST|RIX|
RIX|BOS,|BOS|FRA|IST|RIX|
RIX|YDF,|YDF|YYT|LHR|IST|RIX|
RIX|YFC,|YFC|YHZ|LHR|IST|RIX|
RIX|YQM,|YQM|YHZ|LHR|IST|RIX|
RIX|YQX,|YQX|YYT|LHR|IST|RIX|
RIX|YQY,|YQY|YHZ|LHR|IST|RIX|
RIX|YSJ,|YSJ|YHZ|LHR|IST|RIX|
RIX|YYG,|YYG|YHZ|LHR|IST|RIX|
RIX|LAX,|LAX|IST|RIX|
RIX|DCA,|DCA|EWR|BHX|IST|RIX|
RIX|LGA,|LGA|YHZ|LHR|IST|RIX|
RIX|YZV,|YZV|YWK|YYR|YYT|LHR|IST|RIX|
RIX|YWL,|YWL|YVR|MUC|IST|RIX|
RIX|AZS,|AZS|YUL|FRA|IST|RIX|
RIX|BDL,|BDL|YUL|FRA|IST|RIX|
RIX|CCC,|CCC|YUL|FRA|IST|RIX|
RIX|CDG,|CDG|IST|RIX|
RIX|CUN,|CUN|YHZ|LHR|IST|RIX|
RIX|CZM,|CZM|YUL|FRA|IST|RIX|
RIX|FDF,|FDF|YUL|FRA|IST|RIX|
RIX|FLL,|FLL|MCO|FRA|IST|RIX|
RIX|GVA,|GVA|IST|RIX|
RIX|HOG,|HOG|YUL|FRA|IST|RIX|
RIX|LAS,|LAS|DEN|FRA|IST|RIX|
RIX|MBJ,|MBJ|YHZ|LHR|IST|RIX|
RIX|MCO,|MCO|FRA|IST|RIX|
RIX|MUC,|MUC|IST|RIX|
RIX|PAP,|PAP|YUL|FRA|IST|RIX|
RIX|PTP,|PTP|YUL|FRA|IST|RIX|
RIX|PUJ,|PUJ|YHZ|LHR|IST|RIX|
RIX|SNU,|SNU|YUL|FRA|IST|RIX|
RIX|VRA,|VRA|YUL|FRA|IST|RIX|
RIX|YBC,|YBC|YUL|FRA|IST|RIX|
RIX|YBG,|YBG|YUL|FRA|IST|RIX|
RIX|YTZ,|YTZ|YUL|FRA|IST|RIX|
RIX|YUY,|YUY|YUL|FRA|IST|RIX|
RIX|YVO,|YVO|YUL|FRA|IST|RIX|
RIX|ZBF,|ZBF|YUL|FRA|IST|RIX|
RIX|ZRH,|ZRH|IST|RIX|
RIX|ZSA,|ZSA|YUL|FRA|IST|RIX|
RIX|AKL,|AKL|BKK|IST|RIX|
RIX|HKG,|HKG|IST|RIX|
RIX|HND,|HND|YVR|MUC|IST|RIX|
RIX|HNL,|HNL|YVR|MUC|IST|RIX|
RIX|MEX,|MEX|IAD|IST|RIX|
RIX|OGG,|OGG|YVR|MUC|IST|RIX|
RIX|PDX,|PDX|SEA|FRA|IST|RIX|
RIX|PEK,|PEK|IST|RIX|
RIX|PVG,|PVG|IST|RIX|
RIX|PVR,|PVR|ORD|IST|RIX|
RIX|SEA,|SEA|FRA|IST|RIX|
RIX|SYD,|SYD|BKK|IST|RIX|
RIX|YBL,|YBL|YVR|MUC|IST|RIX|
RIX|YCD,|YCD|YVR|MUC|IST|RIX|
RIX|YCG,|YCG|YYC|FRA|IST|RIX|
RIX|YKA,|YKA|YYC|FRA|IST|RIX|
RIX|YPR,|YPR|YVR|MUC|IST|RIX|
RIX|YQZ,|YQZ|YVR|MUC|IST|RIX|
RIX|YXC,|YXC|YYC|FRA|IST|RIX|
RIX|YXJ,|YXJ|YYC|FRA|IST|RIX|
RIX|YXS,|YXS|YYC|FRA|IST|RIX|
RIX|YXT,|YXT|YVR|MUC|IST|RIX|
RIX|YXY,|YXY|YVR|MUC|IST|RIX|
RIX|YYD,|YYD|YVR|MUC|IST|RIX|
RIX|YYF,|YYF|YVR|MUC|IST|RIX|
RIX|YZP,|YZP|YVR|MUC|IST|RIX|
RIX|YQT,|YQT|YYZ|IST|RIX|
RIX|SJD,|SJD|ORD|IST|RIX|
RIX|YQF,|YQF|YYC|FRA|IST|RIX|
RIX|YQL,|YQL|YYC|FRA|IST|RIX|
RIX|YXH,|YXH|YYC|FRA|IST|RIX|
RIX|YWK,|YWK|YYR|YYT|LHR|IST|RIX|
RIX|ANU,|ANU|EWR|BHX|IST|RIX|
RIX|AUA,|AUA|EWR|BHX|IST|RIX|
RIX|AUH,|AUH|IST|RIX|
RIX|BCN,|BCN|IST|RIX|
RIX|BDA,|BDA|EWR|BHX|IST|RIX|
RIX|BGI,|BGI|YYZ|IST|RIX|
RIX|BNA,|BNA|YYZ|IST|RIX|
RIX|BOG,|BOG|MIA|ZRH|IST|RIX|
RIX|BWI,|BWI|EWR|BHX|IST|RIX|
RIX|CLE,|CLE|YYZ|IST|RIX|
RIX|CLT,|CLT|EWR|BHX|IST|RIX|
RIX|CMH,|CMH|YYZ|IST|RIX|
RIX|CVG,|CVG|YYZ|IST|RIX|
RIX|DFW,|DFW|ORD|IST|RIX|
RIX|DTW,|DTW|FRA|IST|RIX|
RIX|DUB,|DUB|IST|RIX|
RIX|FCO,|FCO|IST|RIX|
RIX|GCM,|GCM|EWR|BHX|IST|RIX|
RIX|GGT,|GGT|FLL|MCO|FRA|IST|RIX|
RIX|GND,|GND|YYZ|IST|RIX|
RIX|GRU,|GRU|IST|RIX|
RIX|HAV,|HAV|YYZ|IST|RIX|
RIX|IND,|IND|YYZ|IST|RIX|
RIX|JFK,|JFK|IST|RIX|
RIX|KIN,|KIN|YYZ|IST|RIX|
RIX|LIM,|LIM|MIA|ZRH|IST|RIX|
RIX|LIR,|LIR|EWR|BHX|IST|RIX|
RIX|MCI,|MCI|ORD|IST|RIX|
RIX|MDT,|MDT|IAD|IST|RIX|
RIX|MIA,|MIA|ZRH|IST|RIX|
RIX|MKE,|MKE|YYZ|IST|RIX|
RIX|MSP,|MSP|YUL|FRA|IST|RIX|
RIX|NAS,|NAS|EWR|BHX|IST|RIX|
RIX|PHL,|PHL|IAD|IST|RIX|
RIX|PHX,|PHX|DEN|FRA|IST|RIX|
RIX|PIT,|PIT|YYZ|IST|RIX|
RIX|PLS,|PLS|EWR|BHX|IST|RIX|
RIX|POP,|POP|EWR|BHX|IST|RIX|
RIX|RDU,|RDU|EWR|BHX|IST|RIX|
RIX|ROC,|ROC|YYZ|IST|RIX|
RIX|RSW,|RSW|MCO|FRA|IST|RIX|
RIX|SAN,|SAN|LAX|IST|RIX|
RIX|SJO,|SJO|EWR|BHX|IST|RIX|
RIX|STL,|STL|ORD|IST|RIX|
RIX|SYR,|SYR|EWR|BHX|IST|RIX|
RIX|TLV,|TLV|IST|RIX|
