ROA|BRU,|BRU|IAD|ROA|
ROA|OUA,|OUA|BRU|IAD|ROA|
ROA|JED,|JED|FRA|IAD|ROA|
ROA|CPH,|CPH|YYZ|IAD|ROA|
ROA|YYZ,|YYZ|IAD|ROA|
ROA|DEN,|DEN|ORD|ROA|
ROA|YUL,|YUL|IAD|ROA|
ROA|NBO,|NBO|ZRH|IAD|ROA|
ROA|ICN,|ICN|JFK|IAD|ROA|
ROA|NRT,|NRT|ORD|ROA|
ROA|YHZ,|YHZ|LGA|IAD|ROA|
ROA|YOW,|YOW|IAD|ROA|
ROA|BJM,|BJM|BRU|IAD|ROA|
ROA|COO,|COO|BRU|IAD|ROA|
ROA|DKR,|DKR|IAD|ROA|
ROA|DLA,|DLA|BRU|IAD|ROA|
ROA|KGL,|KGL|BRU|IAD|ROA|
ROA|LAD,|LAD|BRU|IAD|ROA|
ROA|ABJ,|ABJ|BRU|IAD|ROA|
ROA|AMS,|AMS|IAD|ROA|
ROA|OSL,|OSL|EWR|IAD|ROA|
ROA|VNO,|VNO|CPH|YYZ|IAD|ROA|
ROA|WAW,|WAW|YYZ|IAD|ROA|
ROA|YYC,|YYC|ORD|ROA|
ROA|ATL,|ATL|IAD|ROA|
ROA|MSY,|MSY|IAD|ROA|
ROA|YEG,|YEG|ORD|ROA|
ROA|YMM,|YMM|YYZ|IAD|ROA|
ROA|YQR,|YQR|ORD|ROA|
ROA|YVR,|YVR|ORD|ROA|
ROA|YWG,|YWG|ORD|ROA|
ROA|YXE,|YXE|ORD|ROA|
ROA|CKY,|CKY|DKR|IAD|ROA|
ROA|FIH,|FIH|DLA|BRU|IAD|ROA|
ROA|SCL,|SCL|YYZ|IAD|ROA|
ROA|LCA,|LCA|FRA|IAD|ROA|
ROA|NAP,|NAP|FRA|IAD|ROA|
ROA|VLC,|VLC|FRA|IAD|ROA|
ROA|BKK,|BKK|CGO|PEK|IAD|ROA|
ROA|ADD,|ADD|JED|FRA|IAD|ROA|
ROA|FRA,|FRA|IAD|ROA|
ROA|IST,|IST|IAD|ROA|
ROA|EBB,|EBB|KGL|BRU|IAD|ROA|
ROA|YLW,|YLW|YYC|ORD|ROA|
ROA|YYT,|YYT|YHZ|LGA|IAD|ROA|
ROA|GUA,|GUA|IAD|ROA|
ROA|EWR,|EWR|IAD|ROA|
ROA|IAD,|IAD|ROA|
ROA|IAH,|IAH|IAD|ROA|
ROA|ORD,|ORD|ROA|
ROA|SOF,|SOF|MUC|IAD|ROA|
ROA|YQB,|YQB|YUL|IAD|ROA|
ROA|YXU,|YXU|YYZ|IAD|ROA|
ROA|EZE,|EZE|GRU|IAD|ROA|
ROA|YYJ,|YYJ|YVR|ORD|ROA|
ROA|YYY,|YYY|YUL|IAD|ROA|
ROA|YQQ,|YQQ|YYC|ORD|ROA|
ROA|YYR,|YYR|YWK|YZV|YUL|IAD|ROA|
ROA|LHR,|LHR|IAD|ROA|
ROA|SFO,|SFO|ORD|ROA|
ROA|YQU,|YQU|YEG|ORD|ROA|
ROA|YZF,|YZF|YEG|ORD|ROA|
ROA|YGR,|YGR|YGP|YQB|YUL|IAD|ROA|
ROA|YGP,|YGP|YQB|YUL|IAD|ROA|
ROA|BOS,|BOS|IAD|ROA|
ROA|YDF,|YDF|YHZ|LGA|IAD|ROA|
ROA|YFC,|YFC|YUL|IAD|ROA|
ROA|YQM,|YQM|EWR|IAD|ROA|
ROA|YQX,|YQX|YHZ|LGA|IAD|ROA|
ROA|YQY,|YQY|YHZ|LGA|IAD|ROA|
ROA|YSJ,|YSJ|YUL|IAD|ROA|
ROA|YYG,|YYG|YHZ|LGA|IAD|ROA|
ROA|LAX,|LAX|ORD|ROA|
ROA|DCA,|DCA|EWR|IAD|ROA|
ROA|LGA,|LGA|IAD|ROA|
ROA|YZV,|YZV|YUL|IAD|ROA|
ROA|YWL,|YWL|YVR|ORD|ROA|
ROA|AZS,|AZS|YYZ|IAD|ROA|
ROA|BDL,|BDL|IAD|ROA|
ROA|CCC,|CCC|YYZ|IAD|ROA|
ROA|CDG,|CDG|IAD|ROA|
ROA|CUN,|CUN|IAD|ROA|
ROA|CZM,|CZM|IAH|IAD|ROA|
ROA|FDF,|FDF|YUL|IAD|ROA|
ROA|FLL,|FLL|IAD|ROA|
ROA|GVA,|GVA|IAD|ROA|
ROA|HOG,|HOG|YYZ|IAD|ROA|
ROA|LAS,|LAS|ORD|ROA|
ROA|MBJ,|MBJ|IAD|ROA|
ROA|MCO,|MCO|IAD|ROA|
ROA|MUC,|MUC|IAD|ROA|
ROA|PAP,|PAP|YUL|IAD|ROA|
ROA|PTP,|PTP|YUL|IAD|ROA|
ROA|PUJ,|PUJ|IAD|ROA|
ROA|SNU,|SNU|YYZ|IAD|ROA|
ROA|VRA,|VRA|YYZ|IAD|ROA|
ROA|YBC,|YBC|YUL|IAD|ROA|
ROA|YBG,|YBG|YUL|IAD|ROA|
ROA|YTZ,|YTZ|YUL|IAD|ROA|
ROA|YUY,|YUY|YUL|IAD|ROA|
ROA|YVO,|YVO|YUL|IAD|ROA|
ROA|ZBF,|ZBF|YUL|IAD|ROA|
ROA|ZRH,|ZRH|IAD|ROA|
ROA|ZSA,|ZSA|YUL|IAD|ROA|
ROA|AKL,|AKL|LAX|ORD|ROA|
ROA|HKG,|HKG|ORD|ROA|
ROA|HND,|HND|YVR|ORD|ROA|
ROA|HNL,|HNL|ORD|ROA|
ROA|MEX,|MEX|IAD|ROA|
ROA|OGG,|OGG|ORD|ROA|
ROA|PDX,|PDX|ORD|ROA|
ROA|PEK,|PEK|IAD|ROA|
ROA|PVG,|PVG|ORD|ROA|
ROA|PVR,|PVR|IAH|IAD|ROA|
ROA|SEA,|SEA|ORD|ROA|
ROA|SYD,|SYD|LAX|ORD|ROA|
ROA|YBL,|YBL|YVR|ORD|ROA|
ROA|YCD,|YCD|YVR|ORD|ROA|
ROA|YCG,|YCG|YYC|ORD|ROA|
ROA|YKA,|YKA|YYC|ORD|ROA|
ROA|YPR,|YPR|YVR|ORD|ROA|
ROA|YQZ,|YQZ|YVR|ORD|ROA|
ROA|YXC,|YXC|YYC|ORD|ROA|
ROA|YXJ,|YXJ|YYC|ORD|ROA|
ROA|YXS,|YXS|YYC|ORD|ROA|
ROA|YXT,|YXT|YVR|ORD|ROA|
ROA|YXY,|YXY|YVR|ORD|ROA|
ROA|YYD,|YYD|YVR|ORD|ROA|
ROA|YYF,|YYF|YVR|ORD|ROA|
ROA|YZP,|YZP|YVR|ORD|ROA|
ROA|YQT,|YQT|YYZ|IAD|ROA|
ROA|SJD,|SJD|ORD|ROA|
ROA|YQF,|YQF|YYC|ORD|ROA|
ROA|YQL,|YQL|YYC|ORD|ROA|
ROA|YXH,|YXH|YYC|ORD|ROA|
ROA|YWK,|YWK|YZV|YUL|IAD|ROA|
ROA|ANU,|ANU|EWR|IAD|ROA|
ROA|AUA,|AUA|IAD|ROA|
ROA|AUH,|AUH|FRA|IAD|ROA|
ROA|BCN,|BCN|EWR|IAD|ROA|
ROA|BDA,|BDA|EWR|IAD|ROA|
ROA|BGI,|BGI|YYZ|IAD|ROA|
ROA|BNA,|BNA|IAD|ROA|
ROA|BOG,|BOG|IAD|ROA|
ROA|BWI,|BWI|ORF|IAD|ROA|
ROA|CLE,|CLE|IAD|ROA|
ROA|CLT,|CLT|IAD|ROA|
ROA|CMH,|CMH|IAD|ROA|
ROA|CVG,|CVG|IAD|ROA|
ROA|DFW,|DFW|ORD|ROA|
ROA|DTW,|DTW|IAD|ROA|
ROA|DUB,|DUB|IAD|ROA|
ROA|FCO,|FCO|IAD|ROA|
ROA|GCM,|GCM|IAD|ROA|
ROA|GGT,|GGT|FLL|IAD|ROA|
ROA|GND,|GND|YYZ|IAD|ROA|
ROA|GRU,|GRU|IAD|ROA|
ROA|HAV,|HAV|YYZ|IAD|ROA|
ROA|IND,|IND|IAD|ROA|
ROA|JFK,|JFK|IAD|ROA|
ROA|KIN,|KIN|YYZ|IAD|ROA|
ROA|LIM,|LIM|MIA|IAD|ROA|
ROA|LIR,|LIR|EWR|IAD|ROA|
ROA|MCI,|MCI|ORD|ROA|
ROA|MDT,|MDT|IAD|ROA|
ROA|MIA,|MIA|IAD|ROA|
ROA|MKE,|MKE|ORD|ROA|
ROA|MSP,|MSP|ORD|ROA|
ROA|NAS,|NAS|ATL|IAD|ROA|
ROA|PHL,|PHL|IAD|ROA|
ROA|PHX,|PHX|ORD|ROA|
ROA|PIT,|PIT|IAD|ROA|
ROA|PLS,|PLS|EWR|IAD|ROA|
ROA|POP,|POP|EWR|IAD|ROA|
ROA|RDU,|RDU|IAD|ROA|
