ROB|BRU,|BRU|ROB|
ROB|OUA,|OUA|BRU|ROB|
ROB|JED,|JED|IST|BRU|ROB|
ROB|CPH,|CPH|IST|BRU|ROB|
ROB|YYZ,|YYZ|BRU|ROB|
ROB|DEN,|DEN|ORD|BRU|ROB|
ROB|YUL,|YUL|BRU|ROB|
ROB|NBO,|NBO|IST|BRU|ROB|
ROB|ICN,|ICN|IST|BRU|ROB|
ROB|NRT,|NRT|IST|BRU|ROB|
ROB|YHZ,|YHZ|YUL|BRU|ROB|
ROB|YOW,|YOW|YUL|BRU|ROB|
ROB|BJM,|BJM|BRU|ROB|
ROB|COO,|COO|BRU|ROB|
ROB|DKR,|DKR|BRU|ROB|
ROB|DLA,|DLA|BRU|ROB|
ROB|KGL,|KGL|BRU|ROB|
ROB|LAD,|LAD|BRU|ROB|
ROB|ABJ,|ABJ|BRU|ROB|
ROB|AMS,|AMS|IST|BRU|ROB|
ROB|OSL,|OSL|IST|BRU|ROB|
ROB|VNO,|VNO|IST|BRU|ROB|
ROB|WAW,|WAW|IST|BRU|ROB|
ROB|YYC,|YYC|YUL|BRU|ROB|
ROB|ATL,|ATL|IAD|BRU|ROB|
ROB|MSY,|MSY|IAD|BRU|ROB|
ROB|YEG,|YEG|YUL|BRU|ROB|
ROB|YMM,|YMM|YYZ|BRU|ROB|
ROB|YQR,|YQR|YWG|YUL|BRU|ROB|
ROB|YVR,|YVR|YUL|BRU|ROB|
ROB|YWG,|YWG|YUL|BRU|ROB|
ROB|YXE,|YXE|YWG|YUL|BRU|ROB|
ROB|CKY,|CKY|DKR|BRU|ROB|
ROB|FIH,|FIH|DLA|BRU|ROB|
ROB|SCL,|SCL|YYZ|BRU|ROB|
ROB|LCA,|LCA|FRA|IST|BRU|ROB|
ROB|NAP,|NAP|IST|BRU|ROB|
ROB|VLC,|VLC|IST|BRU|ROB|
ROB|BKK,|BKK|IST|BRU|ROB|
ROB|ADD,|ADD|IST|BRU|ROB|
ROB|FRA,|FRA|IST|BRU|ROB|
ROB|IST,|IST|BRU|ROB|
ROB|EBB,|EBB|KGL|BRU|ROB|
ROB|YLW,|YLW|YYC|YUL|BRU|ROB|
ROB|YYT,|YYT|YUL|BRU|ROB|
ROB|GUA,|GUA|EWR|BRU|ROB|
ROB|EWR,|EWR|BRU|ROB|
ROB|IAD,|IAD|BRU|ROB|
ROB|IAH,|IAH|YUL|BRU|ROB|
ROB|ORD,|ORD|BRU|ROB|
ROB|SOF,|SOF|IST|BRU|ROB|
ROB|YQB,|YQB|YUL|BRU|ROB|
ROB|YXU,|YXU|YYZ|BRU|ROB|
ROB|EZE,|EZE|GRU|IST|BRU|ROB|
ROB|YYJ,|YYJ|YYC|YUL|BRU|ROB|
ROB|YYY,|YYY|YUL|BRU|ROB|
ROB|YQQ,|YQQ|YYC|YUL|BRU|ROB|
ROB|YYR,|YYR|YWK|YZV|YUL|BRU|ROB|
ROB|LHR,|LHR|IST|BRU|ROB|
ROB|SFO,|SFO|YUL|BRU|ROB|
ROB|YQU,|YQU|YEG|YUL|BRU|ROB|
ROB|YZF,|YZF|YEG|YUL|BRU|ROB|
ROB|YGR,|YGR|YGP|YQB|YUL|BRU|ROB|
ROB|YGP,|YGP|YQB|YUL|BRU|ROB|
ROB|BOS,|BOS|YUL|BRU|ROB|
ROB|YDF,|YDF|YHZ|YUL|BRU|ROB|
ROB|YFC,|YFC|YUL|BRU|ROB|
ROB|YQM,|YQM|YUL|BRU|ROB|
ROB|YQX,|YQX|YHZ|YUL|BRU|ROB|
ROB|YQY,|YQY|YHZ|YUL|BRU|ROB|
ROB|YSJ,|YSJ|YUL|BRU|ROB|
ROB|YYG,|YYG|YUL|BRU|ROB|
ROB|LAX,|LAX|ORD|BRU|ROB|
ROB|DCA,|DCA|EWR|BRU|ROB|
ROB|LGA,|LGA|YUL|BRU|ROB|
ROB|YZV,|YZV|YUL|BRU|ROB|
ROB|YWL,|YWL|YVR|YUL|BRU|ROB|
ROB|AZS,|AZS|YUL|BRU|ROB|
ROB|BDL,|BDL|YUL|BRU|ROB|
ROB|CCC,|CCC|YUL|BRU|ROB|
ROB|CDG,|CDG|IST|BRU|ROB|
ROB|CUN,|CUN|EWR|BRU|ROB|
ROB|CZM,|CZM|YUL|BRU|ROB|
ROB|FDF,|FDF|YUL|BRU|ROB|
ROB|FLL,|FLL|EWR|BRU|ROB|
ROB|GVA,|GVA|IST|BRU|ROB|
ROB|HOG,|HOG|YUL|BRU|ROB|
ROB|LAS,|LAS|ORD|BRU|ROB|
ROB|MBJ,|MBJ|EWR|BRU|ROB|
ROB|MCO,|MCO|EWR|BRU|ROB|
ROB|MUC,|MUC|IST|BRU|ROB|
ROB|PAP,|PAP|YUL|BRU|ROB|
ROB|PTP,|PTP|YUL|BRU|ROB|
ROB|PUJ,|PUJ|EWR|BRU|ROB|
ROB|SNU,|SNU|YUL|BRU|ROB|
ROB|VRA,|VRA|YUL|BRU|ROB|
ROB|YBC,|YBC|YUL|BRU|ROB|
ROB|YBG,|YBG|YUL|BRU|ROB|
ROB|YTZ,|YTZ|YUL|BRU|ROB|
ROB|YUY,|YUY|YUL|BRU|ROB|
ROB|YVO,|YVO|YUL|BRU|ROB|
ROB|ZBF,|ZBF|YUL|BRU|ROB|
ROB|ZRH,|ZRH|IST|BRU|ROB|
ROB|ZSA,|ZSA|YUL|BRU|ROB|
ROB|AKL,|AKL|BKK|IST|BRU|ROB|
ROB|HKG,|HKG|IST|BRU|ROB|
ROB|HND,|HND|YVR|YUL|BRU|ROB|
ROB|HNL,|HNL|SFO|YUL|BRU|ROB|
ROB|MEX,|MEX|IAD|BRU|ROB|
ROB|OGG,|OGG|SFO|YUL|BRU|ROB|
ROB|PDX,|PDX|YYC|YUL|BRU|ROB|
ROB|PEK,|PEK|IST|BRU|ROB|
ROB|PVG,|PVG|IST|BRU|ROB|
ROB|PVR,|PVR|IAH|YUL|BRU|ROB|
ROB|SEA,|SEA|YYZ|BRU|ROB|
ROB|SYD,|SYD|BKK|IST|BRU|ROB|
ROB|YBL,|YBL|YVR|YUL|BRU|ROB|
ROB|YCD,|YCD|YVR|YUL|BRU|ROB|
ROB|YCG,|YCG|YYC|YUL|BRU|ROB|
ROB|YKA,|YKA|YYC|YUL|BRU|ROB|
ROB|YPR,|YPR|YVR|YUL|BRU|ROB|
ROB|YQZ,|YQZ|YVR|YUL|BRU|ROB|
ROB|YXC,|YXC|YYC|YUL|BRU|ROB|
ROB|YXJ,|YXJ|YYC|YUL|BRU|ROB|
ROB|YXS,|YXS|YYC|YUL|BRU|ROB|
ROB|YXT,|YXT|YVR|YUL|BRU|ROB|
ROB|YXY,|YXY|YVR|YUL|BRU|ROB|
ROB|YYD,|YYD|YVR|YUL|BRU|ROB|
ROB|YYF,|YYF|YVR|YUL|BRU|ROB|
ROB|YZP,|YZP|YVR|YUL|BRU|ROB|
ROB|YQT,|YQT|YYZ|BRU|ROB|
ROB|SJD,|SJD|ORD|BRU|ROB|
ROB|YQF,|YQF|YYC|YUL|BRU|ROB|
ROB|YQL,|YQL|YYC|YUL|BRU|ROB|
ROB|YXH,|YXH|YYC|YUL|BRU|ROB|
ROB|YWK,|YWK|YZV|YUL|BRU|ROB|
ROB|ANU,|ANU|EWR|BRU|ROB|
ROB|AUA,|AUA|EWR|BRU|ROB|
ROB|AUH,|AUH|IST|BRU|ROB|
ROB|BCN,|BCN|IST|BRU|ROB|
ROB|BDA,|BDA|EWR|BRU|ROB|
ROB|BGI,|BGI|YYZ|BRU|ROB|
