ROP|BRU,|BRU|IST|ICN|FUK|GUM|ROP|
ROP|OUA,|OUA|NIM|IST|ICN|FUK|GUM|ROP|
ROP|JED,|JED|IST|ICN|FUK|GUM|ROP|
ROP|CPH,|CPH|AMS|PEK|ICN|FUK|GUM|ROP|
ROP|YYZ,|YYZ|NRT|GUM|ROP|
ROP|DEN,|DEN|HNL|GUM|ROP|
ROP|YUL,|YUL|YYZ|NRT|GUM|ROP|
ROP|NBO,|NBO|CAN|HKG|GUM|ROP|
ROP|ICN,|ICN|FUK|GUM|ROP|
ROP|NRT,|NRT|GUM|ROP|
ROP|YHZ,|YHZ|YYZ|NRT|GUM|ROP|
ROP|YOW,|YOW|YYZ|NRT|GUM|ROP|
ROP|BJM,|BJM|BRU|IST|ICN|FUK|GUM|ROP|
ROP|COO,|COO|BRU|IST|ICN|FUK|GUM|ROP|
ROP|DKR,|DKR|BRU|IST|ICN|FUK|GUM|ROP|
ROP|DLA,|DLA|IST|ICN|FUK|GUM|ROP|
ROP|KGL,|KGL|IST|ICN|FUK|GUM|ROP|
ROP|LAD,|LAD|BRU|IST|ICN|FUK|GUM|ROP|
ROP|ABJ,|ABJ|OUA|NIM|IST|ICN|FUK|GUM|ROP|
ROP|AMS,|AMS|PEK|ICN|FUK|GUM|ROP|
ROP|OSL,|OSL|CPH|AMS|PEK|ICN|FUK|GUM|ROP|
ROP|VNO,|VNO|IST|ICN|FUK|GUM|ROP|
ROP|WAW,|WAW|IST|ICN|FUK|GUM|ROP|
ROP|YYC,|YYC|NRT|GUM|ROP|
ROP|ATL,|ATL|LAX|HNL|GUM|ROP|
ROP|MSY,|MSY|IAH|HNL|GUM|ROP|
ROP|YEG,|YEG|YYC|NRT|GUM|ROP|
ROP|YMM,|YMM|YYC|NRT|GUM|ROP|
ROP|YQR,|YQR|YYC|NRT|GUM|ROP|
ROP|YVR,|YVR|NRT|GUM|ROP|
ROP|YWG,|YWG|YYC|NRT|GUM|ROP|
ROP|YXE,|YXE|YYC|NRT|GUM|ROP|
ROP|CKY,|CKY|DKR|BRU|IST|ICN|FUK|GUM|ROP|
ROP|FIH,|FIH|IST|ICN|FUK|GUM|ROP|
ROP|SCL,|SCL|YYZ|NRT|GUM|ROP|
ROP|LCA,|LCA|FRA|TSE|URC|PEK|ICN|FUK|GUM|ROP|
ROP|NAP,|NAP|IST|ICN|FUK|GUM|ROP|
ROP|VLC,|VLC|IST|ICN|FUK|GUM|ROP|
ROP|BKK,|BKK|HKG|GUM|ROP|
ROP|ADD,|ADD|IST|ICN|FUK|GUM|ROP|
ROP|FRA,|FRA|TSE|URC|PEK|ICN|FUK|GUM|ROP|
ROP|IST,|IST|ICN|FUK|GUM|ROP|
ROP|EBB,|EBB|KGL|IST|ICN|FUK|GUM|ROP|
ROP|YLW,|YLW|YVR|NRT|GUM|ROP|
ROP|YYT,|YYT|YYZ|NRT|GUM|ROP|
ROP|GUA,|GUA|IAH|HNL|GUM|ROP|
ROP|EWR,|EWR|NRT|GUM|ROP|
ROP|IAD,|IAD|NRT|GUM|ROP|
ROP|IAH,|IAH|HNL|GUM|ROP|
ROP|ORD,|ORD|NRT|GUM|ROP|
ROP|SOF,|SOF|IST|ICN|FUK|GUM|ROP|
ROP|YQB,|YQB|YYZ|NRT|GUM|ROP|
ROP|YXU,|YXU|YYZ|NRT|GUM|ROP|
ROP|EZE,|EZE|IAH|HNL|GUM|ROP|
ROP|YYJ,|YYJ|YVR|NRT|GUM|ROP|
ROP|YYY,|YYY|YUL|YYZ|NRT|GUM|ROP|
ROP|YQQ,|YQQ|YBL|YVR|NRT|GUM|ROP|
ROP|YYR,|YYR|YWK|YZV|YQB|YYZ|NRT|GUM|ROP|
ROP|LHR,|LHR|CAN|HKG|GUM|ROP|
ROP|SFO,|SFO|HNL|GUM|ROP|
ROP|YQU,|YQU|YYC|NRT|GUM|ROP|
ROP|YZF,|YZF|YYC|NRT|GUM|ROP|
ROP|YGR,|YGR|YGP|YQB|YYZ|NRT|GUM|ROP|
ROP|YGP,|YGP|YQB|YYZ|NRT|GUM|ROP|
ROP|BOS,|BOS|YYZ|NRT|GUM|ROP|
ROP|YDF,|YDF|YYZ|NRT|GUM|ROP|
ROP|YFC,|YFC|YYZ|NRT|GUM|ROP|
ROP|YQM,|YQM|YYZ|NRT|GUM|ROP|
ROP|YQX,|YQX|YHZ|YYZ|NRT|GUM|ROP|
ROP|YQY,|YQY|YYZ|NRT|GUM|ROP|
ROP|YSJ,|YSJ|YYZ|NRT|GUM|ROP|
ROP|YYG,|YYG|YYZ|NRT|GUM|ROP|
ROP|LAX,|LAX|HNL|GUM|ROP|
