ROR|BRU,|BRU|DEL|CAN|MNL|ROR|
ROR|OUA,|OUA|NIM|IST|CAN|MNL|ROR|
ROR|JED,|JED|IST|CAN|MNL|ROR|
ROR|CPH,|CPH|AMS|CAN|MNL|ROR|
ROR|YYZ,|YYZ|NRT|GUM|ROR|
ROR|DEN,|DEN|HNL|GUM|ROR|
ROR|YUL,|YUL|YYZ|NRT|GUM|ROR|
ROR|NBO,|NBO|CAN|MNL|ROR|
ROR|ICN,|ICN|FUK|GUM|ROR|
ROR|NRT,|NRT|GUM|ROR|
ROR|YHZ,|YHZ|YYZ|NRT|GUM|ROR|
ROR|YOW,|YOW|YYZ|NRT|GUM|ROR|
ROR|BJM,|BJM|BRU|DEL|CAN|MNL|ROR|
ROR|COO,|COO|BRU|DEL|CAN|MNL|ROR|
ROR|DKR,|DKR|BRU|DEL|CAN|MNL|ROR|
ROR|DLA,|DLA|IST|CAN|MNL|ROR|
ROR|KGL,|KGL|IST|CAN|MNL|ROR|
ROR|LAD,|LAD|BRU|DEL|CAN|MNL|ROR|
ROR|ABJ,|ABJ|OUA|NIM|IST|CAN|MNL|ROR|
ROR|AMS,|AMS|CAN|MNL|ROR|
ROR|OSL,|OSL|CPH|AMS|CAN|MNL|ROR|
ROR|VNO,|VNO|IST|CAN|MNL|ROR|
ROR|WAW,|WAW|IST|CAN|MNL|ROR|
ROR|YYC,|YYC|NRT|GUM|ROR|
ROR|ATL,|ATL|LAX|HNL|GUM|ROR|
ROR|MSY,|MSY|IAH|HNL|GUM|ROR|
ROR|YEG,|YEG|YYC|NRT|GUM|ROR|
ROR|YMM,|YMM|YYC|NRT|GUM|ROR|
ROR|YQR,|YQR|YYC|NRT|GUM|ROR|
ROR|YVR,|YVR|NRT|GUM|ROR|
ROR|YWG,|YWG|YYC|NRT|GUM|ROR|
ROR|YXE,|YXE|YYC|NRT|GUM|ROR|
ROR|CKY,|CKY|DKR|BRU|DEL|CAN|MNL|ROR|
ROR|FIH,|FIH|IST|CAN|MNL|ROR|
ROR|SCL,|SCL|YYZ|NRT|GUM|ROR|
ROR|LCA,|LCA|FRA|TSE|URC|CAN|MNL|ROR|
ROR|NAP,|NAP|IST|CAN|MNL|ROR|
ROR|VLC,|VLC|IST|CAN|MNL|ROR|
ROR|BKK,|BKK|CAN|MNL|ROR|
ROR|ADD,|ADD|IST|CAN|MNL|ROR|
ROR|FRA,|FRA|TSE|URC|CAN|MNL|ROR|
ROR|IST,|IST|CAN|MNL|ROR|
ROR|EBB,|EBB|KGL|IST|CAN|MNL|ROR|
ROR|YLW,|YLW|YVR|NRT|GUM|ROR|
ROR|YYT,|YYT|LHR|CAN|MNL|ROR|
ROR|GUA,|GUA|IAH|HNL|GUM|ROR|
ROR|EWR,|EWR|NRT|GUM|ROR|
ROR|IAD,|IAD|NRT|GUM|ROR|
ROR|IAH,|IAH|HNL|GUM|ROR|
ROR|ORD,|ORD|NRT|GUM|ROR|
ROR|SOF,|SOF|IST|CAN|MNL|ROR|
ROR|YQB,|YQB|YYZ|NRT|GUM|ROR|
ROR|YXU,|YXU|YYZ|NRT|GUM|ROR|
