RTB|BRU,|BRU|YUL|IAH|RTB|
RTB|OUA,|OUA|BRU|YUL|IAH|RTB|
RTB|JED,|JED|FRA|IAH|RTB|
RTB|CPH,|CPH|YYZ|IAH|RTB|
RTB|YYZ,|YYZ|IAH|RTB|
RTB|DEN,|DEN|IAH|RTB|
RTB|YUL,|YUL|IAH|RTB|
RTB|NBO,|NBO|ZRH|YUL|IAH|RTB|
RTB|ICN,|ICN|YVR|IAH|RTB|
RTB|NRT,|NRT|IAH|RTB|
RTB|YHZ,|YHZ|BOS|IAH|RTB|
RTB|YOW,|YOW|YYZ|IAH|RTB|
RTB|BJM,|BJM|BRU|YUL|IAH|RTB|
RTB|COO,|COO|BRU|YUL|IAH|RTB|
RTB|DKR,|DKR|IAD|IAH|RTB|
RTB|DLA,|DLA|BRU|YUL|IAH|RTB|
RTB|KGL,|KGL|BRU|YUL|IAH|RTB|
RTB|LAD,|LAD|BRU|YUL|IAH|RTB|
RTB|ABJ,|ABJ|BRU|YUL|IAH|RTB|
RTB|AMS,|AMS|IAH|RTB|
RTB|OSL,|OSL|EWR|IAH|RTB|
RTB|VNO,|VNO|CPH|YYZ|IAH|RTB|
RTB|WAW,|WAW|YYZ|IAH|RTB|
RTB|YYC,|YYC|IAH|RTB|
RTB|ATL,|ATL|IAH|RTB|
RTB|MSY,|MSY|IAH|RTB|
RTB|YEG,|YEG|IAH|RTB|
RTB|YMM,|YMM|DEN|IAH|RTB|
RTB|YQR,|YQR|DEN|IAH|RTB|
RTB|YVR,|YVR|IAH|RTB|
RTB|YWG,|YWG|ORD|IAH|RTB|
RTB|YXE,|YXE|DEN|IAH|RTB|
RTB|CKY,|CKY|DKR|IAD|IAH|RTB|
RTB|FIH,|FIH|DLA|BRU|YUL|IAH|RTB|
RTB|SCL,|SCL|EZE|IAH|RTB|
RTB|LCA,|LCA|FRA|IAH|RTB|
RTB|NAP,|NAP|FRA|IAH|RTB|
RTB|VLC,|VLC|FRA|IAH|RTB|
RTB|BKK,|BKK|CGO|PEK|IAH|RTB|
RTB|ADD,|ADD|JED|FRA|IAH|RTB|
RTB|FRA,|FRA|IAH|RTB|
RTB|IST,|IST|IAH|RTB|
RTB|EBB,|EBB|KGL|BRU|YUL|IAH|RTB|
RTB|YLW,|YLW|YYC|IAH|RTB|
RTB|YYT,|YYT|YHZ|BOS|IAH|RTB|
RTB|GUA,|GUA|IAH|RTB|
RTB|EWR,|EWR|IAH|RTB|
RTB|IAD,|IAD|IAH|RTB|
RTB|IAH,|IAH|RTB|
RTB|ORD,|ORD|IAH|RTB|
RTB|SOF,|SOF|MUC|IAH|RTB|
RTB|YQB,|YQB|YUL|IAH|RTB|
RTB|YXU,|YXU|ORD|IAH|RTB|
RTB|EZE,|EZE|IAH|RTB|
RTB|YYJ,|YYJ|YVR|IAH|RTB|
RTB|YYY,|YYY|YUL|IAH|RTB|
RTB|YQQ,|YQQ|YBL|YVR|IAH|RTB|
RTB|YYR,|YYR|YWK|YZV|YUL|IAH|RTB|
RTB|LHR,|LHR|IAH|RTB|
RTB|SFO,|SFO|IAH|RTB|
RTB|YQU,|YQU|YYC|IAH|RTB|
RTB|YZF,|YZF|YEG|IAH|RTB|
RTB|YGR,|YGR|YGP|YQB|YUL|IAH|RTB|
RTB|YGP,|YGP|YQB|YUL|IAH|RTB|
RTB|BOS,|BOS|IAH|RTB|
RTB|YDF,|YDF|YYZ|IAH|RTB|
RTB|YFC,|YFC|YUL|IAH|RTB|
RTB|YQM,|YQM|EWR|IAH|RTB|
RTB|YQX,|YQX|YHZ|BOS|IAH|RTB|
RTB|YQY,|YQY|YHZ|BOS|IAH|RTB|
RTB|YSJ,|YSJ|YUL|IAH|RTB|
RTB|YYG,|YYG|YUL|IAH|RTB|
RTB|LAX,|LAX|IAH|RTB|
RTB|DCA,|DCA|IAH|RTB|
RTB|LGA,|LGA|IAH|RTB|
RTB|YZV,|YZV|YUL|IAH|RTB|
RTB|YWL,|YWL|YVR|IAH|RTB|
RTB|AZS,|AZS|YYZ|IAH|RTB|
RTB|BDL,|BDL|IAD|IAH|RTB|
RTB|CCC,|CCC|YYZ|IAH|RTB|
RTB|CDG,|CDG|YUL|IAH|RTB|
RTB|CUN,|CUN|IAH|RTB|
RTB|CZM,|CZM|IAH|RTB|
RTB|FDF,|FDF|YUL|IAH|RTB|
RTB|FLL,|FLL|IAH|RTB|
RTB|GVA,|GVA|YUL|IAH|RTB|
RTB|HOG,|HOG|YYZ|IAH|RTB|
RTB|LAS,|LAS|IAH|RTB|
RTB|MBJ,|MBJ|IAH|RTB|
RTB|MCO,|MCO|IAH|RTB|
RTB|MUC,|MUC|IAH|RTB|
RTB|PAP,|PAP|YUL|IAH|RTB|
RTB|PTP,|PTP|YUL|IAH|RTB|
RTB|PUJ,|PUJ|ATL|IAH|RTB|
RTB|SNU,|SNU|YYZ|IAH|RTB|
RTB|VRA,|VRA|YYZ|IAH|RTB|
RTB|YBC,|YBC|YUL|IAH|RTB|
RTB|YBG,|YBG|YUL|IAH|RTB|
RTB|YTZ,|YTZ|YUL|IAH|RTB|
RTB|YUY,|YUY|YUL|IAH|RTB|
RTB|YVO,|YVO|YUL|IAH|RTB|
RTB|ZBF,|ZBF|YUL|IAH|RTB|
RTB|ZRH,|ZRH|YUL|IAH|RTB|
RTB|ZSA,|ZSA|YUL|IAH|RTB|
RTB|AKL,|AKL|LAX|IAH|RTB|
RTB|HKG,|HKG|YVR|IAH|RTB|
RTB|HND,|HND|YVR|IAH|RTB|
RTB|HNL,|HNL|IAH|RTB|
RTB|MEX,|MEX|IAH|RTB|
RTB|OGG,|OGG|LAX|IAH|RTB|
RTB|PDX,|PDX|IAH|RTB|
RTB|PEK,|PEK|IAH|RTB|
RTB|PVG,|PVG|YVR|IAH|RTB|
RTB|PVR,|PVR|IAH|RTB|
RTB|SEA,|SEA|IAH|RTB|
RTB|SYD,|SYD|LAX|IAH|RTB|
RTB|YBL,|YBL|YVR|IAH|RTB|
RTB|YCD,|YCD|YVR|IAH|RTB|
RTB|YCG,|YCG|YYC|IAH|RTB|
RTB|YKA,|YKA|YYC|IAH|RTB|
RTB|YPR,|YPR|YVR|IAH|RTB|
RTB|YQZ,|YQZ|YVR|IAH|RTB|
RTB|YXC,|YXC|YYC|IAH|RTB|
RTB|YXJ,|YXJ|YYC|IAH|RTB|
RTB|YXS,|YXS|YYC|IAH|RTB|
RTB|YXT,|YXT|YVR|IAH|RTB|
RTB|YXY,|YXY|YVR|IAH|RTB|
RTB|YYD,|YYD|YVR|IAH|RTB|
RTB|YYF,|YYF|YVR|IAH|RTB|
RTB|YZP,|YZP|YVR|IAH|RTB|
RTB|YQT,|YQT|YYZ|IAH|RTB|
RTB|SJD,|SJD|IAH|RTB|
RTB|YQF,|YQF|YYC|IAH|RTB|
RTB|YQL,|YQL|YYC|IAH|RTB|
RTB|YXH,|YXH|YYC|IAH|RTB|
RTB|YWK,|YWK|YZV|YUL|IAH|RTB|
RTB|ANU,|ANU|EWR|IAH|RTB|
RTB|AUA,|AUA|ATL|IAH|RTB|
RTB|AUH,|AUH|YYZ|IAH|RTB|
RTB|BCN,|BCN|EWR|IAH|RTB|
RTB|BDA,|BDA|EWR|IAH|RTB|
RTB|BGI,|BGI|YYZ|IAH|RTB|
RTB|BNA,|BNA|IAH|RTB|
RTB|BOG,|BOG|IAH|RTB|
RTB|BWI,|BWI|IAH|RTB|
RTB|CLE,|CLE|IAH|RTB|
RTB|CLT,|CLT|IAH|RTB|
RTB|CMH,|CMH|IAH|RTB|
RTB|CVG,|CVG|IAH|RTB|
RTB|DFW,|DFW|IAH|RTB|
RTB|DTW,|DTW|IAH|RTB|
RTB|DUB,|DUB|YYZ|IAH|RTB|
RTB|FCO,|FCO|EWR|IAH|RTB|
RTB|GCM,|GCM|IAH|RTB|
RTB|GGT,|GGT|FLL|IAH|RTB|
RTB|GND,|GND|YYZ|IAH|RTB|
RTB|GRU,|GRU|IAH|RTB|
RTB|HAV,|HAV|YYZ|IAH|RTB|
RTB|IND,|IND|IAH|RTB|
RTB|JFK,|JFK|IAD|IAH|RTB|
RTB|KIN,|KIN|YYZ|IAH|RTB|
RTB|LIM,|LIM|IAH|RTB|
RTB|LIR,|LIR|IAH|RTB|
RTB|MCI,|MCI|IAH|RTB|
RTB|MDT,|MDT|IAD|IAH|RTB|
RTB|MIA,|MIA|IAH|RTB|
RTB|MKE,|MKE|IAH|RTB|
RTB|MSP,|MSP|IAH|RTB|
RTB|NAS,|NAS|IAH|RTB|
RTB|PHL,|PHL|IAH|RTB|
RTB|PHX,|PHX|IAH|RTB|
RTB|PIT,|PIT|IAH|RTB|
RTB|PLS,|PLS|EWR|IAH|RTB|
RTB|POP,|POP|EWR|IAH|RTB|
RTB|RDU,|RDU|IAH|RTB|
RTB|ROC,|ROC|CLE|IAH|RTB|
RTB|RSW,|RSW|IAH|RTB|
RTB|SAN,|SAN|IAH|RTB|
RTB|SJO,|SJO|IAH|RTB|
RTB|STL,|STL|IAH|RTB|
RTB|SYR,|SYR|CLE|IAH|RTB|
RTB|TLV,|TLV|YYZ|IAH|RTB|
RTB|TPA,|TPA|IAH|RTB|
RTB|UVF,|UVF|EWR|IAH|RTB|
RTB|VIE,|VIE|YYZ|IAH|RTB|
RTB|YAM,|YAM|YYZ|IAH|RTB|
RTB|YGK,|YGK|YYZ|IAH|RTB|
RTB|YQG,|YQG|YYZ|IAH|RTB|
RTB|YSB,|YSB|YYZ|IAH|RTB|
RTB|YTS,|YTS|YYZ|IAH|RTB|
RTB|YYB,|YYB|YYZ|IAH|RTB|
RTB|YZR,|YZR|YYZ|IAH|RTB|
RTB|CAN,|CAN|YVR|IAH|RTB|
RTB|URC,|URC|PEK|IAH|RTB|
RTB|CTU,|CTU|PEK|IAH|RTB|
RTB|HGH,|HGH|PEK|IAH|RTB|
RTB|XMN,|XMN|PEK|IAH|RTB|
RTB|CGO,|CGO|PEK|IAH|RTB|
RTB|CSX,|CSX|PEK|IAH|RTB|
RTB|SHE,|SHE|ICN|YVR|IAH|RTB|
RTB|SJW,|SJW|DLC|ICN|YVR|IAH|RTB|
RTB|WUH,|WUH|PEK|IAH|RTB|
RTB|SZX,|SZX|PVG|YVR|IAH|RTB|
RTB|CKG,|CKG|PEK|IAH|RTB|
RTB|KMG,|KMG|PEK|IAH|RTB|
RTB|FOC,|FOC|PEK|IAH|RTB|
RTB|NNG,|NNG|PEK|IAH|RTB|
RTB|SWA,|SWA|PEK|IAH|RTB|
RTB|ACX,|ACX|CAN|YVR|IAH|RTB|
RTB|AQG,|AQG|CAN|YVR|IAH|RTB|
RTB|AVA,|AVA|CAN|YVR|IAH|RTB|
RTB|BFJ,|BFJ|CAN|YVR|IAH|RTB|
RTB|BHY,|BHY|CGO|PEK|IAH|RTB|
RTB|BNE,|BNE|CAN|YVR|IAH|RTB|
RTB|CGD,|CGD|PEK|IAH|RTB|
RTB|CGK,|CGK|CAN|YVR|IAH|RTB|
RTB|CGQ,|CGQ|ICN|YVR|IAH|RTB|
RTB|CIH,|CIH|PEK|IAH|RTB|
RTB|CNX,|CNX|CAN|YVR|IAH|RTB|
RTB|CZX,|CZX|SHE|ICN|YVR|IAH|RTB|
RTB|DAC,|DAC|CAN|YVR|IAH|RTB|
RTB|DAD,|DAD|CAN|YVR|IAH|RTB|
RTB|DEL,|DEL|EWR|IAH|RTB|
RTB|DIG,|DIG|KMG|PEK|IAH|RTB|
RTB|DLC,|DLC|ICN|YVR|IAH|RTB|
RTB|DPS,|DPS|SZX|PVG|YVR|IAH|RTB|
RTB|DXB,|DXB|IST|IAH|RTB|
RTB|DYG,|DYG|PEK|IAH|RTB|
RTB|FUG,|FUG|CAN|YVR|IAH|RTB|
RTB|FUK,|FUK|ICN|YVR|IAH|RTB|
RTB|HAK,|HAK|CAN|YVR|IAH|RTB|
RTB|HAN,|HAN|PEK|IAH|RTB|
RTB|HDG,|HDG|CAN|YVR|IAH|RTB|
RTB|HET,|HET|DLC|ICN|YVR|IAH|RTB|
RTB|HFE,|HFE|XIY|PEK|IAH|RTB|
RTB|HJJ,|HJJ|CSX|PEK|IAH|RTB|
RTB|HKT,|HKT|KWE|PEK|IAH|RTB|
RTB|HRB,|HRB|ICN|YVR|IAH|RTB|
RTB|HZH,|HZH|CAN|YVR|IAH|RTB|
RTB|JIU,|JIU|CAN|YVR|IAH|RTB|
RTB|JJN,|JJN|PEK|IAH|RTB|
RTB|JNG,|JNG|CAN|YVR|IAH|RTB|
RTB|KHN,|KHN|DLC|ICN|YVR|IAH|RTB|
RTB|KIX,|KIX|SFO|IAH|RTB|
RTB|KOW,|KOW|PEK|IAH|RTB|
RTB|KTM,|KTM|IST|IAH|RTB|
RTB|KUL,|KUL|PVG|YVR|IAH|RTB|
RTB|KWE,|KWE|PEK|IAH|RTB|
RTB|KWL,|KWL|PEK|IAH|RTB|
RTB|LHW,|LHW|CGO|PEK|IAH|RTB|
RTB|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|RTB|
RTB|LYG,|LYG|HSN|PEK|IAH|RTB|
RTB|LZH,|LZH|CAN|YVR|IAH|RTB|
RTB|MEL,|MEL|SYD|LAX|IAH|RTB|
RTB|MIG,|MIG|CSX|PEK|IAH|RTB|
RTB|MLE,|MLE|IST|IAH|RTB|
RTB|MNL,|MNL|XMN|PEK|IAH|RTB|
RTB|MXZ,|MXZ|CAN|YVR|IAH|RTB|
RTB|NAO,|NAO|PEK|IAH|RTB|
RTB|NGB,|NGB|PEK|IAH|RTB|
RTB|NKG,|NKG|DLC|ICN|YVR|IAH|RTB|
RTB|NNY,|NNY|CGO|PEK|IAH|RTB|
RTB|PEN,|PEN|CAN|YVR|IAH|RTB|
RTB|PER,|PER|CAN|YVR|IAH|RTB|
RTB|PNH,|PNH|CAN|YVR|IAH|RTB|
RTB|REP,|REP|ICN|YVR|IAH|RTB|
RTB|RGN,|RGN|CAN|YVR|IAH|RTB|
RTB|SGN,|SGN|HKG|YVR|IAH|RTB|
RTB|SHA,|SHA|PEK|IAH|RTB|
RTB|SIN,|SIN|HKG|YVR|IAH|RTB|
RTB|SVO,|SVO|URC|PEK|IAH|RTB|
RTB|SYX,|SYX|CAN|YVR|IAH|RTB|
RTB|TAO,|TAO|DLC|ICN|YVR|IAH|RTB|
RTB|TEN,|TEN|PEK|IAH|RTB|
RTB|TNA,|TNA|DLC|ICN|YVR|IAH|RTB|
RTB|TPE,|TPE|PVG|YVR|IAH|RTB|
RTB|TSN,|TSN|DLC|ICN|YVR|IAH|RTB|
RTB|TXN,|TXN|DLC|ICN|YVR|IAH|RTB|
RTB|TYN,|TYN|DLC|ICN|YVR|IAH|RTB|
RTB|WNZ,|WNZ|CGO|PEK|IAH|RTB|
RTB|WUX,|WUX|CAN|YVR|IAH|RTB|
RTB|XFN,|XFN|XMN|PEK|IAH|RTB|
RTB|XIY,|XIY|PEK|IAH|RTB|
RTB|XUZ,|XUZ|LYG|HSN|PEK|IAH|RTB|
RTB|YIH,|YIH|CKG|PEK|IAH|RTB|
RTB|YIW,|YIW|PEK|IAH|RTB|
RTB|YNT,|YNT|SHE|ICN|YVR|IAH|RTB|
RTB|YNZ,|YNZ|DLC|ICN|YVR|IAH|RTB|
RTB|YTY,|YTY|DLC|ICN|YVR|IAH|RTB|
RTB|ZHA,|ZHA|CAN|YVR|IAH|RTB|
RTB|ZYI,|ZYI|PEK|IAH|RTB|
RTB|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|RTB|
RTB|CJU,|CJU|DLC|ICN|YVR|IAH|RTB|
RTB|DSN,|DSN|CGO|PEK|IAH|RTB|
RTB|HMI,|HMI|CGO|PEK|IAH|RTB|
RTB|INC,|INC|PEK|IAH|RTB|
RTB|KHH,|KHH|CGO|PEK|IAH|RTB|
RTB|UYN,|UYN|CGO|PEK|IAH|RTB|
RTB|XNN,|XNN|PEK|IAH|RTB|
RTB|ZUH,|ZUH|PVG|YVR|IAH|RTB|
RTB|YNJ,|YNJ|ICN|YVR|IAH|RTB|
