SAF|BRU,|BRU|ORD|DEN|SAF|
SAF|OUA,|OUA|BRU|ORD|DEN|SAF|
SAF|JED,|JED|FRA|DEN|SAF|
SAF|CPH,|CPH|YYZ|DEN|SAF|
SAF|YYZ,|YYZ|DEN|SAF|
SAF|DEN,|DEN|SAF|
SAF|YUL,|YUL|DEN|SAF|
SAF|NBO,|NBO|ZRH|ORD|DEN|SAF|
SAF|ICN,|ICN|YVR|DEN|SAF|
SAF|NRT,|NRT|DEN|SAF|
SAF|YHZ,|YHZ|YUL|DEN|SAF|
SAF|YOW,|YOW|YYZ|DEN|SAF|
SAF|BJM,|BJM|BRU|ORD|DEN|SAF|
SAF|COO,|COO|BRU|ORD|DEN|SAF|
SAF|DKR,|DKR|IAD|DEN|SAF|
SAF|DLA,|DLA|BRU|ORD|DEN|SAF|
SAF|KGL,|KGL|BRU|ORD|DEN|SAF|
SAF|LAD,|LAD|BRU|ORD|DEN|SAF|
SAF|ABJ,|ABJ|BRU|ORD|DEN|SAF|
SAF|AMS,|AMS|ORD|DEN|SAF|
SAF|OSL,|OSL|EWR|DEN|SAF|
SAF|VNO,|VNO|CPH|YYZ|DEN|SAF|
SAF|WAW,|WAW|YYZ|DEN|SAF|
SAF|YYC,|YYC|DEN|SAF|
SAF|ATL,|ATL|DEN|SAF|
SAF|MSY,|MSY|DEN|SAF|
SAF|YEG,|YEG|DEN|SAF|
SAF|YMM,|YMM|DEN|SAF|
SAF|YQR,|YQR|DEN|SAF|
SAF|YVR,|YVR|DEN|SAF|
SAF|YWG,|YWG|DEN|SAF|
SAF|YXE,|YXE|DEN|SAF|
SAF|CKY,|CKY|DKR|IAD|DEN|SAF|
SAF|FIH,|FIH|DLA|BRU|ORD|DEN|SAF|
SAF|SCL,|SCL|EZE|IAH|DEN|SAF|
SAF|LCA,|LCA|FRA|DEN|SAF|
SAF|NAP,|NAP|FRA|DEN|SAF|
SAF|VLC,|VLC|FRA|DEN|SAF|
SAF|BKK,|BKK|CGO|PEK|YVR|DEN|SAF|
SAF|ADD,|ADD|JED|FRA|DEN|SAF|
SAF|FRA,|FRA|DEN|SAF|
SAF|IST,|IST|FRA|DEN|SAF|
SAF|EBB,|EBB|KGL|BRU|ORD|DEN|SAF|
SAF|YLW,|YLW|YYC|DEN|SAF|
SAF|YYT,|YYT|YUL|DEN|SAF|
SAF|GUA,|GUA|IAH|DEN|SAF|
SAF|EWR,|EWR|DEN|SAF|
SAF|IAD,|IAD|DEN|SAF|
SAF|IAH,|IAH|DEN|SAF|
SAF|ORD,|ORD|DEN|SAF|
SAF|SOF,|SOF|MUC|ORD|DEN|SAF|
SAF|YQB,|YQB|YUL|DEN|SAF|
SAF|YXU,|YXU|ORD|DEN|SAF|
SAF|EZE,|EZE|IAH|DEN|SAF|
SAF|YYJ,|YYJ|YVR|DEN|SAF|
SAF|YYY,|YYY|YUL|DEN|SAF|
SAF|YQQ,|YQQ|YBL|YVR|DEN|SAF|
SAF|YYR,|YYR|YWK|YZV|YUL|DEN|SAF|
SAF|LHR,|LHR|ORD|DEN|SAF|
SAF|SFO,|SFO|DEN|SAF|
SAF|YQU,|YQU|YYC|DEN|SAF|
SAF|YZF,|YZF|YEG|DEN|SAF|
SAF|YGR,|YGR|YGP|YQB|YUL|DEN|SAF|
SAF|YGP,|YGP|YQB|YUL|DEN|SAF|
SAF|BOS,|BOS|DEN|SAF|
SAF|YDF,|YDF|YYZ|DEN|SAF|
SAF|YFC,|YFC|YUL|DEN|SAF|
SAF|YQM,|YQM|YUL|DEN|SAF|
SAF|YQX,|YQX|YHZ|YUL|DEN|SAF|
SAF|YQY,|YQY|YYZ|DEN|SAF|
SAF|YSJ,|YSJ|YUL|DEN|SAF|
SAF|YYG,|YYG|YUL|DEN|SAF|
SAF|LAX,|LAX|DEN|SAF|
SAF|DCA,|DCA|DEN|SAF|
SAF|LGA,|LGA|DEN|SAF|
SAF|YZV,|YZV|YUL|DEN|SAF|
SAF|YWL,|YWL|YVR|DEN|SAF|
SAF|AZS,|AZS|YYZ|DEN|SAF|
SAF|BDL,|BDL|DEN|SAF|
SAF|CCC,|CCC|YYZ|DEN|SAF|
SAF|CDG,|CDG|ORD|DEN|SAF|
SAF|CUN,|CUN|DEN|SAF|
