SAH|BRU,|BRU|IST|ADE|SAH|
SAH|OUA,|OUA|NIM|IST|ADE|SAH|
SAH|JED,|JED|IST|ADE|SAH|
SAH|CPH,|CPH|IST|ADE|SAH|
SAH|YYZ,|YYZ|IST|ADE|SAH|
SAH|DEN,|DEN|FRA|IST|ADE|SAH|
SAH|YUL,|YUL|FRA|IST|ADE|SAH|
SAH|NBO,|NBO|IST|ADE|SAH|
SAH|ICN,|ICN|IST|ADE|SAH|
SAH|NRT,|NRT|IST|ADE|SAH|
SAH|YHZ,|YHZ|LHR|IST|ADE|SAH|
SAH|YOW,|YOW|FRA|IST|ADE|SAH|
SAH|BJM,|BJM|BRU|IST|ADE|SAH|
SAH|COO,|COO|BRU|IST|ADE|SAH|
SAH|DKR,|DKR|BRU|IST|ADE|SAH|
SAH|DLA,|DLA|IST|ADE|SAH|
SAH|KGL,|KGL|IST|ADE|SAH|
SAH|LAD,|LAD|BRU|IST|ADE|SAH|
SAH|ABJ,|ABJ|OUA|NIM|IST|ADE|SAH|
SAH|AMS,|AMS|IST|ADE|SAH|
SAH|OSL,|OSL|IST|ADE|SAH|
SAH|VNO,|VNO|IST|ADE|SAH|
SAH|WAW,|WAW|IST|ADE|SAH|
SAH|YYC,|YYC|FRA|IST|ADE|SAH|
SAH|ATL,|ATL|FRA|IST|ADE|SAH|
SAH|MSY,|MSY|IAD|IST|ADE|SAH|
SAH|YEG,|YEG|LHR|IST|ADE|SAH|
SAH|YMM,|YMM|YEG|LHR|IST|ADE|SAH|
SAH|YQR,|YQR|YEG|LHR|IST|ADE|SAH|
SAH|YVR,|YVR|MUC|IST|ADE|SAH|
SAH|YWG,|YWG|YUL|FRA|IST|ADE|SAH|
SAH|YXE,|YXE|YEG|LHR|IST|ADE|SAH|
SAH|CKY,|CKY|DKR|BRU|IST|ADE|SAH|
SAH|FIH,|FIH|IST|ADE|SAH|
SAH|SCL,|SCL|EZE|GRU|IST|ADE|SAH|
SAH|LCA,|LCA|FRA|IST|ADE|SAH|
SAH|NAP,|NAP|IST|ADE|SAH|
SAH|VLC,|VLC|IST|ADE|SAH|
SAH|BKK,|BKK|IST|ADE|SAH|
SAH|ADD,|ADD|IST|ADE|SAH|
SAH|FRA,|FRA|IST|ADE|SAH|
SAH|IST,|IST|ADE|SAH|
SAH|EBB,|EBB|KGL|IST|ADE|SAH|
SAH|YLW,|YLW|YYC|FRA|IST|ADE|SAH|
SAH|YYT,|YYT|LHR|IST|ADE|SAH|
SAH|GUA,|GUA|MIA|ZRH|IST|ADE|SAH|
SAH|EWR,|EWR|BHX|IST|ADE|SAH|
SAH|IAD,|IAD|IST|ADE|SAH|
SAH|IAH,|IAH|IST|ADE|SAH|
SAH|ORD,|ORD|IST|ADE|SAH|
SAH|SOF,|SOF|IST|ADE|SAH|
SAH|YQB,|YQB|YUL|FRA|IST|ADE|SAH|
SAH|YXU,|YXU|YYZ|IST|ADE|SAH|
SAH|EZE,|EZE|GRU|IST|ADE|SAH|
SAH|YYJ,|YYJ|YVR|MUC|IST|ADE|SAH|
SAH|YYY,|YYY|YUL|FRA|IST|ADE|SAH|
SAH|YQQ,|YQQ|YBL|YVR|MUC|IST|ADE|SAH|
SAH|YYR,|YYR|YYT|LHR|IST|ADE|SAH|
SAH|LHR,|LHR|IST|ADE|SAH|
SAH|SFO,|SFO|MUC|IST|ADE|SAH|
SAH|YQU,|YQU|YEG|LHR|IST|ADE|SAH|
SAH|YZF,|YZF|YEG|LHR|IST|ADE|SAH|
SAH|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ADE|SAH|
SAH|YGP,|YGP|YQB|YUL|FRA|IST|ADE|SAH|
SAH|BOS,|BOS|FRA|IST|ADE|SAH|
SAH|YDF,|YDF|YYT|LHR|IST|ADE|SAH|
SAH|YFC,|YFC|YHZ|LHR|IST|ADE|SAH|
SAH|YQM,|YQM|YHZ|LHR|IST|ADE|SAH|
SAH|YQX,|YQX|YYT|LHR|IST|ADE|SAH|
