SAP|BRU,|BRU|EWR|SAP|
SAP|OUA,|OUA|BRU|EWR|SAP|
SAP|JED,|JED|FRA|MIA|SAP|
SAP|CPH,|CPH|AMS|EWR|SAP|
SAP|YYZ,|YYZ|MIA|SAP|
SAP|DEN,|DEN|IAH|SAP|
SAP|YUL,|YUL|EWR|SAP|
SAP|NBO,|NBO|ZRH|MIA|SAP|
SAP|ICN,|ICN|YVR|IAH|SAP|
SAP|NRT,|NRT|IAH|SAP|
SAP|YHZ,|YHZ|EWR|SAP|
SAP|YOW,|YOW|IAD|MIA|SAP|
SAP|BJM,|BJM|BRU|EWR|SAP|
SAP|COO,|COO|BRU|EWR|SAP|
SAP|DKR,|DKR|IAD|MIA|SAP|
SAP|DLA,|DLA|BRU|EWR|SAP|
SAP|KGL,|KGL|BRU|EWR|SAP|
SAP|LAD,|LAD|BRU|EWR|SAP|
SAP|ABJ,|ABJ|BRU|EWR|SAP|
SAP|AMS,|AMS|EWR|SAP|
SAP|OSL,|OSL|EWR|SAP|
SAP|VNO,|VNO|FRA|MIA|SAP|
SAP|WAW,|WAW|CPH|AMS|EWR|SAP|
SAP|YYC,|YYC|IAH|SAP|
SAP|ATL,|ATL|IAH|SAP|
SAP|MSY,|MSY|IAH|SAP|
SAP|YEG,|YEG|IAH|SAP|
SAP|YMM,|YMM|DEN|IAH|SAP|
SAP|YQR,|YQR|DEN|IAH|SAP|
SAP|YVR,|YVR|IAH|SAP|
SAP|YWG,|YWG|ORD|IAH|SAP|
SAP|YXE,|YXE|DEN|IAH|SAP|
SAP|CKY,|CKY|DKR|IAD|MIA|SAP|
SAP|FIH,|FIH|DLA|BRU|EWR|SAP|
SAP|SCL,|SCL|EZE|IAH|SAP|
SAP|LCA,|LCA|FRA|MIA|SAP|
SAP|NAP,|NAP|FRA|MIA|SAP|
SAP|VLC,|VLC|FRA|MIA|SAP|
SAP|BKK,|BKK|CGO|PEK|IAH|SAP|
SAP|ADD,|ADD|IST|ZRH|MIA|SAP|
SAP|FRA,|FRA|MIA|SAP|
SAP|IST,|IST|ZRH|MIA|SAP|
SAP|EBB,|EBB|KGL|BRU|EWR|SAP|
SAP|YLW,|YLW|YYC|IAH|SAP|
SAP|YYT,|YYT|EWR|SAP|
SAP|GUA,|GUA|MIA|SAP|
SAP|EWR,|EWR|SAP|
SAP|IAD,|IAD|MIA|SAP|
SAP|IAH,|IAH|SAP|
SAP|ORD,|ORD|IAH|SAP|
SAP|SOF,|SOF|MUC|EWR|SAP|
SAP|YQB,|YQB|EWR|SAP|
SAP|YXU,|YXU|YYZ|MIA|SAP|
SAP|EZE,|EZE|IAH|SAP|
SAP|YYJ,|YYJ|YVR|IAH|SAP|
SAP|YYY,|YYY|YUL|EWR|SAP|
SAP|YQQ,|YQQ|YBL|YVR|IAH|SAP|
SAP|YYR,|YYR|YHZ|EWR|SAP|
SAP|LHR,|LHR|EWR|SAP|
SAP|SFO,|SFO|IAH|SAP|
SAP|YQU,|YQU|YYC|IAH|SAP|
SAP|YZF,|YZF|YEG|IAH|SAP|
SAP|YGR,|YGR|YGP|YQB|EWR|SAP|
SAP|YGP,|YGP|YQB|EWR|SAP|
SAP|BOS,|BOS|EWR|SAP|
SAP|YDF,|YDF|YHZ|EWR|SAP|
SAP|YFC,|YFC|YUL|EWR|SAP|
SAP|YQM,|YQM|EWR|SAP|
SAP|YQX,|YQX|YHZ|EWR|SAP|
SAP|YQY,|YQY|YHZ|EWR|SAP|
SAP|YSJ,|YSJ|YUL|EWR|SAP|
SAP|YYG,|YYG|YHZ|EWR|SAP|
SAP|LAX,|LAX|IAH|SAP|
SAP|DCA,|DCA|EWR|SAP|
SAP|LGA,|LGA|IAD|MIA|SAP|
SAP|YZV,|YZV|YQB|EWR|SAP|
SAP|YWL,|YWL|YVR|IAH|SAP|
SAP|AZS,|AZS|YYZ|MIA|SAP|
SAP|BDL,|BDL|IAD|MIA|SAP|
SAP|CCC,|CCC|YYZ|MIA|SAP|
SAP|CDG,|CDG|EWR|SAP|
SAP|CUN,|CUN|IAH|SAP|
SAP|CZM,|CZM|IAH|SAP|
SAP|FDF,|FDF|YUL|EWR|SAP|
SAP|FLL,|FLL|IAH|SAP|
SAP|GVA,|GVA|EWR|SAP|
SAP|HOG,|HOG|YYZ|MIA|SAP|
SAP|LAS,|LAS|IAH|SAP|
SAP|MBJ,|MBJ|IAH|SAP|
SAP|MCO,|MCO|IAH|SAP|
SAP|MUC,|MUC|EWR|SAP|
SAP|PAP,|PAP|YUL|EWR|SAP|
SAP|PTP,|PTP|YUL|EWR|SAP|
SAP|PUJ,|PUJ|ATL|IAH|SAP|
SAP|SNU,|SNU|YYZ|MIA|SAP|
SAP|VRA,|VRA|YYZ|MIA|SAP|
SAP|YBC,|YBC|YUL|EWR|SAP|
SAP|YBG,|YBG|YUL|EWR|SAP|
SAP|YTZ,|YTZ|YUL|EWR|SAP|
SAP|YUY,|YUY|YUL|EWR|SAP|
SAP|YVO,|YVO|YUL|EWR|SAP|
SAP|ZBF,|ZBF|YUL|EWR|SAP|
SAP|ZRH,|ZRH|MIA|SAP|
SAP|ZSA,|ZSA|YUL|EWR|SAP|
SAP|AKL,|AKL|LAX|IAH|SAP|
SAP|HKG,|HKG|YVR|IAH|SAP|
SAP|HND,|HND|YVR|IAH|SAP|
SAP|HNL,|HNL|IAH|SAP|
SAP|MEX,|MEX|IAH|SAP|
SAP|OGG,|OGG|LAX|IAH|SAP|
SAP|PDX,|PDX|IAH|SAP|
SAP|PEK,|PEK|IAH|SAP|
SAP|PVG,|PVG|YVR|IAH|SAP|
SAP|PVR,|PVR|IAH|SAP|
SAP|SEA,|SEA|IAH|SAP|
SAP|SYD,|SYD|LAX|IAH|SAP|
SAP|YBL,|YBL|YVR|IAH|SAP|
SAP|YCD,|YCD|YVR|IAH|SAP|
SAP|YCG,|YCG|YYC|IAH|SAP|
SAP|YKA,|YKA|YYC|IAH|SAP|
SAP|YPR,|YPR|YVR|IAH|SAP|
SAP|YQZ,|YQZ|YVR|IAH|SAP|
SAP|YXC,|YXC|YYC|IAH|SAP|
SAP|YXJ,|YXJ|YYC|IAH|SAP|
SAP|YXS,|YXS|YYC|IAH|SAP|
SAP|YXT,|YXT|YVR|IAH|SAP|
SAP|YXY,|YXY|YVR|IAH|SAP|
