SAT|BRU,|BRU|ORD|SAT|
SAT|OUA,|OUA|BRU|ORD|SAT|
SAT|JED,|JED|FRA|ORD|SAT|
SAT|CPH,|CPH|YYZ|STL|SAT|
SAT|YYZ,|YYZ|STL|SAT|
SAT|DEN,|DEN|SAT|
SAT|YUL,|YUL|YYZ|STL|SAT|
SAT|NBO,|NBO|ZRH|YYZ|STL|SAT|
SAT|ICN,|ICN|YVR|DEN|SAT|
SAT|NRT,|NRT|DEN|SAT|
SAT|YHZ,|YHZ|BOS|BNA|SAT|
SAT|YOW,|YOW|YYZ|STL|SAT|
SAT|BJM,|BJM|BRU|ORD|SAT|
SAT|COO,|COO|BRU|ORD|SAT|
SAT|DKR,|DKR|IAD|SAT|
SAT|DLA,|DLA|BRU|ORD|SAT|
SAT|KGL,|KGL|BRU|ORD|SAT|
SAT|LAD,|LAD|BRU|ORD|SAT|
SAT|ABJ,|ABJ|BRU|ORD|SAT|
SAT|AMS,|AMS|ORD|SAT|
SAT|OSL,|OSL|EWR|SAT|
SAT|VNO,|VNO|CPH|YYZ|STL|SAT|
SAT|WAW,|WAW|YYZ|STL|SAT|
SAT|YYC,|YYC|DEN|SAT|
SAT|ATL,|ATL|SAT|
SAT|MSY,|MSY|HOU|SAT|
SAT|YEG,|YEG|DEN|SAT|
SAT|YMM,|YMM|DEN|SAT|
SAT|YQR,|YQR|DEN|SAT|
SAT|YVR,|YVR|DEN|SAT|
SAT|YWG,|YWG|DEN|SAT|
SAT|YXE,|YXE|DEN|SAT|
SAT|CKY,|CKY|DKR|IAD|SAT|
SAT|FIH,|FIH|DLA|BRU|ORD|SAT|
SAT|SCL,|SCL|EZE|IAH|SAT|
SAT|LCA,|LCA|FRA|ORD|SAT|
SAT|NAP,|NAP|FRA|ORD|SAT|
SAT|VLC,|VLC|FRA|ORD|SAT|
SAT|BKK,|BKK|CGO|PEK|YVR|DEN|SAT|
SAT|ADD,|ADD|IST|ORD|SAT|
SAT|FRA,|FRA|ORD|SAT|
SAT|IST,|IST|ORD|SAT|
SAT|EBB,|EBB|KGL|BRU|ORD|SAT|
SAT|YLW,|YLW|YYC|DEN|SAT|
SAT|YYT,|YYT|YHZ|BOS|BNA|SAT|
SAT|GUA,|GUA|IAH|SAT|
SAT|EWR,|EWR|SAT|
SAT|IAD,|IAD|SAT|
SAT|IAH,|IAH|SAT|
SAT|ORD,|ORD|SAT|
SAT|SOF,|SOF|MUC|ORD|SAT|
SAT|YQB,|YQB|YYZ|STL|SAT|
SAT|YXU,|YXU|ORD|SAT|
SAT|EZE,|EZE|IAH|SAT|
SAT|YYJ,|YYJ|YVR|DEN|SAT|
SAT|YYY,|YYY|YUL|YYZ|STL|SAT|
SAT|YQQ,|YQQ|YBL|YVR|DEN|SAT|
SAT|YYR,|YYR|YWK|YZV|YQB|YYZ|STL|SAT|
SAT|LHR,|LHR|ORD|SAT|
SAT|SFO,|SFO|SAT|
SAT|YQU,|YQU|YYC|DEN|SAT|
SAT|YZF,|YZF|YEG|DEN|SAT|
SAT|YGR,|YGR|YGP|YQB|YYZ|STL|SAT|
SAT|YGP,|YGP|YQB|YYZ|STL|SAT|
SAT|BOS,|BOS|BNA|SAT|
SAT|YDF,|YDF|YYZ|STL|SAT|
SAT|YFC,|YFC|YYZ|STL|SAT|
SAT|YQM,|YQM|EWR|SAT|
SAT|YQX,|YQX|YHZ|BOS|BNA|SAT|
SAT|YQY,|YQY|YHZ|BOS|BNA|SAT|
SAT|YSJ,|YSJ|YYZ|STL|SAT|
SAT|YYG,|YYG|YYZ|STL|SAT|
SAT|LAX,|LAX|SAT|
SAT|DCA,|DCA|IAH|SAT|
SAT|LGA,|LGA|BNA|SAT|
SAT|YZV,|YZV|YQB|YYZ|STL|SAT|
SAT|YWL,|YWL|YVR|DEN|SAT|
SAT|AZS,|AZS|YYZ|STL|SAT|
SAT|BDL,|BDL|IAD|SAT|
SAT|CCC,|CCC|YYZ|STL|SAT|
SAT|CDG,|CDG|YYZ|STL|SAT|
SAT|CUN,|CUN|IAH|SAT|
SAT|CZM,|CZM|IAH|SAT|
SAT|FDF,|FDF|YUL|YYZ|STL|SAT|
SAT|FLL,|FLL|HOU|SAT|
SAT|GVA,|GVA|YUL|YYZ|STL|SAT|
SAT|HOG,|HOG|YYZ|STL|SAT|
SAT|LAS,|LAS|SAT|
SAT|MBJ,|MBJ|IAH|SAT|
SAT|MCO,|MCO|SAT|
SAT|MUC,|MUC|ORD|SAT|
SAT|PAP,|PAP|YUL|YYZ|STL|SAT|
SAT|PTP,|PTP|YUL|YYZ|STL|SAT|
SAT|PUJ,|PUJ|ATL|SAT|
SAT|SNU,|SNU|YYZ|STL|SAT|
SAT|VRA,|VRA|YYZ|STL|SAT|
SAT|YBC,|YBC|YUL|YYZ|STL|SAT|
SAT|YBG,|YBG|YUL|YYZ|STL|SAT|
