SAV|BRU,|BRU|EWR|SAV|
SAV|OUA,|OUA|BRU|EWR|SAV|
SAV|JED,|JED|FRA|EWR|SAV|
SAV|CPH,|CPH|AMS|EWR|SAV|
SAV|YYZ,|YYZ|IAD|SAV|
SAV|DEN,|DEN|ORD|SAV|
SAV|YUL,|YUL|IAD|SAV|
SAV|NBO,|NBO|ZRH|EWR|SAV|
SAV|ICN,|ICN|YVR|ORD|SAV|
SAV|NRT,|NRT|ORD|SAV|
SAV|YHZ,|YHZ|EWR|SAV|
SAV|YOW,|YOW|IAD|SAV|
SAV|BJM,|BJM|BRU|EWR|SAV|
SAV|COO,|COO|BRU|EWR|SAV|
SAV|DKR,|DKR|IAD|SAV|
SAV|DLA,|DLA|BRU|EWR|SAV|
SAV|KGL,|KGL|BRU|EWR|SAV|
SAV|LAD,|LAD|BRU|EWR|SAV|
SAV|ABJ,|ABJ|BRU|EWR|SAV|
SAV|AMS,|AMS|EWR|SAV|
SAV|OSL,|OSL|EWR|SAV|
SAV|VNO,|VNO|CPH|AMS|EWR|SAV|
SAV|WAW,|WAW|CPH|AMS|EWR|SAV|
SAV|YYC,|YYC|ORD|SAV|
SAV|ATL,|ATL|IAD|SAV|
SAV|MSY,|MSY|IAH|SAV|
SAV|YEG,|YEG|ORD|SAV|
SAV|YMM,|YMM|YEG|ORD|SAV|
SAV|YQR,|YQR|ORD|SAV|
SAV|YVR,|YVR|ORD|SAV|
SAV|YWG,|YWG|ORD|SAV|
SAV|YXE,|YXE|ORD|SAV|
SAV|CKY,|CKY|DKR|IAD|SAV|
SAV|FIH,|FIH|DLA|BRU|EWR|SAV|
SAV|SCL,|SCL|YYZ|IAD|SAV|
SAV|LCA,|LCA|FRA|EWR|SAV|
SAV|NAP,|NAP|FRA|EWR|SAV|
SAV|VLC,|VLC|FRA|EWR|SAV|
SAV|BKK,|BKK|CGO|PEK|ORD|SAV|
SAV|ADD,|ADD|JED|FRA|EWR|SAV|
SAV|FRA,|FRA|EWR|SAV|
SAV|IST,|IST|BHX|EWR|SAV|
SAV|EBB,|EBB|KGL|BRU|EWR|SAV|
SAV|YLW,|YLW|YYC|ORD|SAV|
SAV|YYT,|YYT|EWR|SAV|
SAV|GUA,|GUA|IAH|SAV|
SAV|EWR,|EWR|SAV|
SAV|IAD,|IAD|SAV|
SAV|IAH,|IAH|SAV|
SAV|ORD,|ORD|SAV|
SAV|SOF,|SOF|MUC|EWR|SAV|
SAV|YQB,|YQB|YUL|IAD|SAV|
SAV|YXU,|YXU|YYZ|IAD|SAV|
SAV|EZE,|EZE|IAH|SAV|
SAV|YYJ,|YYJ|YVR|ORD|SAV|
SAV|YYY,|YYY|YUL|IAD|SAV|
SAV|YQQ,|YQQ|YYC|ORD|SAV|
SAV|YYR,|YYR|YHZ|EWR|SAV|
SAV|LHR,|LHR|EWR|SAV|
SAV|SFO,|SFO|IAH|SAV|
SAV|YQU,|YQU|YEG|ORD|SAV|
SAV|YZF,|YZF|YEG|ORD|SAV|
SAV|YGR,|YGR|YGP|YQB|YUL|IAD|SAV|
SAV|YGP,|YGP|YQB|YUL|IAD|SAV|
SAV|BOS,|BOS|EWR|SAV|
SAV|YDF,|YDF|YHZ|EWR|SAV|
SAV|YFC,|YFC|YUL|IAD|SAV|
SAV|YQM,|YQM|EWR|SAV|
SAV|YQX,|YQX|YHZ|EWR|SAV|
SAV|YQY,|YQY|YHZ|EWR|SAV|
SAV|YSJ,|YSJ|YUL|IAD|SAV|
SAV|YYG,|YYG|YHZ|EWR|SAV|
SAV|LAX,|LAX|IAH|SAV|
SAV|DCA,|DCA|EWR|SAV|
SAV|LGA,|LGA|IAD|SAV|
SAV|YZV,|YZV|YUL|IAD|SAV|
SAV|YWL,|YWL|YVR|ORD|SAV|
SAV|AZS,|AZS|YYZ|IAD|SAV|
SAV|BDL,|BDL|IAD|SAV|
SAV|CCC,|CCC|YYZ|IAD|SAV|
SAV|CDG,|CDG|EWR|SAV|
SAV|CUN,|CUN|IAH|SAV|
SAV|CZM,|CZM|IAH|SAV|
SAV|FDF,|FDF|YUL|IAD|SAV|
SAV|FLL,|FLL|IAD|SAV|
SAV|GVA,|GVA|EWR|SAV|
SAV|HOG,|HOG|YYZ|IAD|SAV|
SAV|LAS,|LAS|IAH|SAV|
SAV|MBJ,|MBJ|IAD|SAV|
SAV|MCO,|MCO|IAD|SAV|
SAV|MUC,|MUC|EWR|SAV|
SAV|PAP,|PAP|YUL|IAD|SAV|
SAV|PTP,|PTP|YUL|IAD|SAV|
SAV|PUJ,|PUJ|IAD|SAV|
SAV|SNU,|SNU|YYZ|IAD|SAV|
SAV|VRA,|VRA|YYZ|IAD|SAV|
SAV|YBC,|YBC|YUL|IAD|SAV|
SAV|YBG,|YBG|YUL|IAD|SAV|
SAV|YTZ,|YTZ|YUL|IAD|SAV|
SAV|YUY,|YUY|YUL|IAD|SAV|
SAV|YVO,|YVO|YUL|IAD|SAV|
SAV|ZBF,|ZBF|YUL|IAD|SAV|
SAV|ZRH,|ZRH|EWR|SAV|
SAV|ZSA,|ZSA|YUL|IAD|SAV|
SAV|AKL,|AKL|LAX|IAH|SAV|
SAV|HKG,|HKG|ORD|SAV|
SAV|HND,|HND|YVR|ORD|SAV|
SAV|HNL,|HNL|IAH|SAV|
SAV|MEX,|MEX|IAH|SAV|
SAV|OGG,|OGG|LAX|IAH|SAV|
SAV|PDX,|PDX|ORD|SAV|
SAV|PEK,|PEK|ORD|SAV|
SAV|PVG,|PVG|ORD|SAV|
SAV|PVR,|PVR|IAH|SAV|
SAV|SEA,|SEA|ORD|SAV|
SAV|SYD,|SYD|LAX|IAH|SAV|
SAV|YBL,|YBL|YVR|ORD|SAV|
SAV|YCD,|YCD|YVR|ORD|SAV|
SAV|YCG,|YCG|YYC|ORD|SAV|
SAV|YKA,|YKA|YYC|ORD|SAV|
SAV|YPR,|YPR|YVR|ORD|SAV|
SAV|YQZ,|YQZ|YVR|ORD|SAV|
SAV|YXC,|YXC|YYC|ORD|SAV|
SAV|YXJ,|YXJ|YYC|ORD|SAV|
SAV|YXS,|YXS|YYC|ORD|SAV|
SAV|YXT,|YXT|YVR|ORD|SAV|
SAV|YXY,|YXY|YVR|ORD|SAV|
SAV|YYD,|YYD|YVR|ORD|SAV|
SAV|YYF,|YYF|YVR|ORD|SAV|
SAV|YZP,|YZP|YVR|ORD|SAV|
SAV|YQT,|YQT|YYZ|IAD|SAV|
SAV|SJD,|SJD|IAH|SAV|
SAV|YQF,|YQF|YYC|ORD|SAV|
SAV|YQL,|YQL|YYC|ORD|SAV|
SAV|YXH,|YXH|YYC|ORD|SAV|
SAV|YWK,|YWK|YZV|YUL|IAD|SAV|
SAV|ANU,|ANU|EWR|SAV|
SAV|AUA,|AUA|IAD|SAV|
SAV|AUH,|AUH|FRA|EWR|SAV|
SAV|BCN,|BCN|EWR|SAV|
SAV|BDA,|BDA|EWR|SAV|
SAV|BGI,|BGI|YYZ|IAD|SAV|
SAV|BNA,|BNA|IAD|SAV|
SAV|BOG,|BOG|IAD|SAV|
SAV|BWI,|BWI|ORF|IAD|SAV|
SAV|CLE,|CLE|IAD|SAV|
SAV|CLT,|CLT|IAD|SAV|
SAV|CMH,|CMH|IAD|SAV|
SAV|CVG,|CVG|IAD|SAV|
SAV|DFW,|DFW|IAH|SAV|
SAV|DTW,|DTW|IAD|SAV|
SAV|DUB,|DUB|EWR|SAV|
SAV|FCO,|FCO|EWR|SAV|
SAV|GCM,|GCM|IAD|SAV|
SAV|GGT,|GGT|FLL|IAD|SAV|
SAV|GND,|GND|YYZ|IAD|SAV|
SAV|GRU,|GRU|IAD|SAV|
SAV|HAV,|HAV|YYZ|IAD|SAV|
SAV|IND,|IND|ORD|SAV|
SAV|JFK,|JFK|IAD|SAV|
SAV|KIN,|KIN|YYZ|IAD|SAV|
SAV|LIM,|LIM|IAH|SAV|
SAV|LIR,|LIR|IAH|SAV|
SAV|MCI,|MCI|ORD|SAV|
SAV|MDT,|MDT|IAD|SAV|
SAV|MIA,|MIA|IAD|SAV|
SAV|MKE,|MKE|ORD|SAV|
SAV|MSP,|MSP|ORD|SAV|
SAV|NAS,|NAS|ATL|IAD|SAV|
SAV|PHL,|PHL|IAD|SAV|
SAV|PHX,|PHX|IAH|SAV|
SAV|PIT,|PIT|IAD|SAV|
SAV|PLS,|PLS|EWR|SAV|
SAV|POP,|POP|EWR|SAV|
SAV|RDU,|RDU|IAD|SAV|
SAV|ROC,|ROC|IAD|SAV|
SAV|RSW,|RSW|MCO|IAD|SAV|
SAV|SAN,|SAN|IAH|SAV|
SAV|SJO,|SJO|IAH|SAV|
SAV|STL,|STL|ORD|SAV|
SAV|SYR,|SYR|IAD|SAV|
SAV|TLV,|TLV|EWR|SAV|
SAV|TPA,|TPA|IAD|SAV|
SAV|UVF,|UVF|EWR|SAV|
SAV|VIE,|VIE|IAD|SAV|
SAV|YAM,|YAM|YYZ|IAD|SAV|
SAV|YGK,|YGK|YYZ|IAD|SAV|
SAV|YQG,|YQG|YYZ|IAD|SAV|
SAV|YSB,|YSB|YYZ|IAD|SAV|
SAV|YTS,|YTS|YYZ|IAD|SAV|
SAV|YYB,|YYB|YYZ|IAD|SAV|
SAV|YZR,|YZR|YYZ|IAD|SAV|
SAV|CAN,|CAN|PEK|ORD|SAV|
SAV|URC,|URC|TSE|FRA|EWR|SAV|
SAV|CTU,|CTU|PEK|ORD|SAV|
SAV|HGH,|HGH|PEK|ORD|SAV|
SAV|XMN,|XMN|PEK|ORD|SAV|
SAV|CGO,|CGO|PEK|ORD|SAV|
SAV|CSX,|CSX|PEK|ORD|SAV|
SAV|SHE,|SHE|PEK|ORD|SAV|
SAV|SJW,|SJW|DLC|PEK|ORD|SAV|
SAV|WUH,|WUH|PEK|ORD|SAV|
SAV|SZX,|SZX|PEK|ORD|SAV|
SAV|CKG,|CKG|PEK|ORD|SAV|
SAV|KMG,|KMG|PEK|ORD|SAV|
SAV|FOC,|FOC|PEK|ORD|SAV|
SAV|NNG,|NNG|PEK|ORD|SAV|
SAV|SWA,|SWA|PEK|ORD|SAV|
SAV|ACX,|ACX|CAN|PEK|ORD|SAV|
SAV|AQG,|AQG|CAN|PEK|ORD|SAV|
SAV|AVA,|AVA|CAN|PEK|ORD|SAV|
SAV|BFJ,|BFJ|CAN|PEK|ORD|SAV|
SAV|BHY,|BHY|CGO|PEK|ORD|SAV|
SAV|BNE,|BNE|CAN|PEK|ORD|SAV|
SAV|CGD,|CGD|PEK|ORD|SAV|
SAV|CGK,|CGK|CAN|PEK|ORD|SAV|
SAV|CGQ,|CGQ|PEK|ORD|SAV|
SAV|CIH,|CIH|PEK|ORD|SAV|
SAV|CNX,|CNX|CAN|PEK|ORD|SAV|
SAV|CZX,|CZX|SHE|PEK|ORD|SAV|
SAV|DAC,|DAC|IST|BHX|EWR|SAV|
SAV|DAD,|DAD|CAN|PEK|ORD|SAV|
SAV|DEL,|DEL|EWR|SAV|
SAV|DIG,|DIG|KMG|PEK|ORD|SAV|
SAV|DLC,|DLC|PEK|ORD|SAV|
SAV|DPS,|DPS|SZX|PEK|ORD|SAV|
SAV|DXB,|DXB|IAD|SAV|
SAV|DYG,|DYG|PEK|ORD|SAV|
SAV|FUG,|FUG|CAN|PEK|ORD|SAV|
SAV|FUK,|FUK|ICN|YVR|ORD|SAV|
SAV|HAK,|HAK|PEK|ORD|SAV|
SAV|HAN,|HAN|PEK|ORD|SAV|
SAV|HDG,|HDG|CAN|PEK|ORD|SAV|
SAV|HET,|HET|DLC|PEK|ORD|SAV|
SAV|HFE,|HFE|XIY|PEK|ORD|SAV|
SAV|HJJ,|HJJ|CSX|PEK|ORD|SAV|
SAV|HKT,|HKT|KWE|PEK|ORD|SAV|
SAV|HRB,|HRB|PEK|ORD|SAV|
SAV|HZH,|HZH|CAN|PEK|ORD|SAV|
SAV|JIU,|JIU|CAN|PEK|ORD|SAV|
SAV|JJN,|JJN|PEK|ORD|SAV|
SAV|JNG,|JNG|CAN|PEK|ORD|SAV|
SAV|KHN,|KHN|DLC|PEK|ORD|SAV|
SAV|KIX,|KIX|SFO|IAH|SAV|
SAV|KOW,|KOW|PEK|ORD|SAV|
SAV|KTM,|KTM|IST|BHX|EWR|SAV|
SAV|KUL,|KUL|CAN|PEK|ORD|SAV|
SAV|KWE,|KWE|PEK|ORD|SAV|
SAV|KWL,|KWL|PEK|ORD|SAV|
SAV|LHW,|LHW|CGO|PEK|ORD|SAV|
SAV|LYA,|LYA|KHN|DLC|PEK|ORD|SAV|
SAV|LYG,|LYG|HSN|PEK|ORD|SAV|
SAV|LZH,|LZH|CAN|PEK|ORD|SAV|
SAV|MEL,|MEL|SYD|LAX|IAH|SAV|
SAV|MIG,|MIG|CSX|PEK|ORD|SAV|
SAV|MLE,|MLE|IST|BHX|EWR|SAV|
SAV|MNL,|MNL|XMN|PEK|ORD|SAV|
SAV|MXZ,|MXZ|CAN|PEK|ORD|SAV|
SAV|NAO,|NAO|PEK|ORD|SAV|
SAV|NGB,|NGB|PEK|ORD|SAV|
SAV|NKG,|NKG|DLC|PEK|ORD|SAV|
SAV|NNY,|NNY|CGO|PEK|ORD|SAV|
SAV|PEN,|PEN|CAN|PEK|ORD|SAV|
SAV|PER,|PER|CAN|PEK|ORD|SAV|
SAV|PNH,|PNH|CAN|PEK|ORD|SAV|
SAV|REP,|REP|CAN|PEK|ORD|SAV|
SAV|RGN,|RGN|CAN|PEK|ORD|SAV|
SAV|SGN,|SGN|CAN|PEK|ORD|SAV|
SAV|SHA,|SHA|PEK|ORD|SAV|
SAV|SIN,|SIN|HKG|ORD|SAV|
SAV|SVO,|SVO|URC|TSE|FRA|EWR|SAV|
SAV|SYX,|SYX|PEK|ORD|SAV|
SAV|TAO,|TAO|DLC|PEK|ORD|SAV|
SAV|TEN,|TEN|PEK|ORD|SAV|
SAV|TNA,|TNA|DLC|PEK|ORD|SAV|
SAV|TPE,|TPE|PVG|ORD|SAV|
SAV|TSN,|TSN|DLC|PEK|ORD|SAV|
SAV|TXN,|TXN|DLC|PEK|ORD|SAV|
SAV|TYN,|TYN|DAT|CIH|PEK|ORD|SAV|
SAV|WNZ,|WNZ|CGO|PEK|ORD|SAV|
SAV|WUX,|WUX|CAN|PEK|ORD|SAV|
SAV|XFN,|XFN|XMN|PEK|ORD|SAV|
SAV|XIY,|XIY|PEK|ORD|SAV|
SAV|XUZ,|XUZ|LYG|HSN|PEK|ORD|SAV|
SAV|YIH,|YIH|CKG|PEK|ORD|SAV|
SAV|YIW,|YIW|PEK|ORD|SAV|
SAV|YNT,|YNT|SHE|PEK|ORD|SAV|
SAV|YNZ,|YNZ|DLC|PEK|ORD|SAV|
SAV|YTY,|YTY|DLC|PEK|ORD|SAV|
SAV|ZHA,|ZHA|CAN|PEK|ORD|SAV|
SAV|ZYI,|ZYI|PEK|ORD|SAV|
SAV|BAV,|BAV|CGO|PEK|ORD|SAV|
SAV|CJU,|CJU|DLC|PEK|ORD|SAV|
SAV|DSN,|DSN|CGO|PEK|ORD|SAV|
SAV|HMI,|HMI|URC|TSE|FRA|EWR|SAV|
SAV|INC,|INC|PEK|ORD|SAV|
SAV|KHH,|KHH|CGO|PEK|ORD|SAV|
SAV|UYN,|UYN|CGO|PEK|ORD|SAV|
SAV|XNN,|XNN|PEK|ORD|SAV|
SAV|ZUH,|ZUH|PEK|ORD|SAV|
SAV|YNJ,|YNJ|PEK|ORD|SAV|
SAV|DAT,|DAT|CIH|PEK|ORD|SAV|
SAV|JHG,|JHG|CKG|PEK|ORD|SAV|
SAV|LJG,|LJG|CKG|PEK|ORD|SAV|
SAV|LXA,|LXA|XIY|PEK|ORD|SAV|
SAV|YCU,|YCU|CSX|PEK|ORD|SAV|
SAV|LZO,|LZO|CSX|PEK|ORD|SAV|
SAV|MDG,|MDG|ICN|YVR|ORD|SAV|
SAV|NGO,|NGO|ICN|YVR|ORD|SAV|
SAV|TOY,|TOY|DLC|PEK|ORD|SAV|
SAV|MFM,|MFM|XMN|PEK|ORD|SAV|
SAV|TGO,|TGO|HET|DLC|PEK|ORD|SAV|
SAV|XIL,|XIL|HET|DLC|PEK|ORD|SAV|
SAV|HEK,|HEK|HRB|PEK|ORD|SAV|
SAV|KIJ,|KIJ|HRB|PEK|ORD|SAV|
SAV|LDS,|LDS|HRB|PEK|ORD|SAV|
SAV|OHE,|OHE|HRB|PEK|ORD|SAV|
SAV|HSN,|HSN|PEK|ORD|SAV|
SAV|DLU,|DLU|KMG|PEK|ORD|SAV|
SAV|SYM,|SYM|KMG|PEK|ORD|SAV|
SAV|ZAT,|ZAT|KMG|PEK|ORD|SAV|
SAV|LUN,|LUN|NBO|ZRH|EWR|SAV|
SAV|AOG,|AOG|PEK|ORD|SAV|
SAV|GMP,|GMP|PEK|ORD|SAV|
SAV|ISB,|ISB|IST|BHX|EWR|SAV|
SAV|TAS,|TAS|IST|BHX|EWR|SAV|
SAV|WUS,|WUS|PEK|ORD|SAV|
SAV|JMU,|JMU|PVG|ORD|SAV|
SAV|NDG,|NDG|PVG|ORD|SAV|
SAV|JXA,|JXA|SHE|PEK|ORD|SAV|
SAV|PUS,|PUS|SHE|PEK|ORD|SAV|
SAV|BKI,|BKI|SZX|PEK|ORD|SAV|
SAV|AKU,|AKU|URC|TSE|FRA|EWR|SAV|
SAV|ALA,|ALA|TSE|FRA|EWR|SAV|
SAV|ASB,|ASB|GYD|FRA|EWR|SAV|
SAV|DNH,|DNH|URC|TSE|FRA|EWR|SAV|
SAV|DYU,|DYU|IST|BHX|EWR|SAV|
SAV|FRU,|FRU|IST|BHX|EWR|SAV|
SAV|GYD,|GYD|FRA|EWR|SAV|
SAV|HTN,|HTN|URC|TSE|FRA|EWR|SAV|
SAV|IKA,|IKA|SAW|FRA|EWR|SAV|
SAV|KCA,|KCA|URC|TSE|FRA|EWR|SAV|
SAV|KHG,|KHG|URC|TSE|FRA|EWR|SAV|
SAV|KRL,|KRL|URC|TSE|FRA|EWR|SAV|
SAV|KRY,|KRY|URC|TSE|FRA|EWR|SAV|
SAV|LBD,|LBD|URC|TSE|FRA|EWR|SAV|
SAV|NLT,|NLT|URC|TSE|FRA|EWR|SAV|
SAV|OSS,|OSS|IST|BHX|EWR|SAV|
SAV|OVB,|OVB|IST|BHX|EWR|SAV|
SAV|TBS,|TBS|SAW|FRA|EWR|SAV|
SAV|TCG,|TCG|URC|TSE|FRA|EWR|SAV|
SAV|TSE,|TSE|FRA|EWR|SAV|
SAV|YIN,|YIN|URC|TSE|FRA|EWR|SAV|
SAV|ENH,|ENH|WUH|PEK|ORD|SAV|
SAV|ENY,|ENY|XIY|PEK|ORD|SAV|
SAV|WXN,|WXN|XIY|PEK|ORD|SAV|
SAV|BLL,|BLL|IST|BHX|EWR|SAV|
SAV|ESB,|ESB|FRA|EWR|SAV|
SAV|SAW,|SAW|FRA|EWR|SAV|
SAV|HAM,|HAM|EWR|SAV|
SAV|HRE,|HRE|ADD|JED|FRA|EWR|SAV|
SAV|JUB,|JUB|CAI|JFK|IAD|SAV|
SAV|SSG,|SSG|DLA|BRU|EWR|SAV|
SAV|BGW,|BGW|ESB|FRA|EWR|SAV|
SAV|EBL,|EBL|IST|BHX|EWR|SAV|
SAV|VKO,|VKO|IST|BHX|EWR|SAV|
SAV|MCT,|MCT|IST|BHX|EWR|SAV|
SAV|AYT,|AYT|IST|BHX|EWR|SAV|
SAV|SCQ,|SCQ|BIO|IST|BHX|EWR|SAV|
SAV|AAL,|AAL|IST|BHX|EWR|SAV|
