SCL|BRU,|BRU|YUL|YYZ|SCL|
SCL|OUA,|OUA|NIM|IST|GRU|EZE|SCL|
SCL|JED,|JED|IST|GRU|EZE|SCL|
SCL|CPH,|CPH|YYZ|SCL|
SCL|YYZ,|YYZ|SCL|
SCL|DEN,|DEN|IAH|EZE|SCL|
SCL|YUL,|YUL|YYZ|SCL|
SCL|NBO,|NBO|IST|GRU|EZE|SCL|
SCL|ICN,|ICN|PEK|YYZ|SCL|
SCL|NRT,|NRT|YYZ|SCL|
SCL|YHZ,|YHZ|YYZ|SCL|
SCL|YOW,|YOW|YYZ|SCL|
SCL|BJM,|BJM|BRU|YUL|YYZ|SCL|
SCL|COO,|COO|BRU|YUL|YYZ|SCL|
SCL|DKR,|DKR|IAD|YYZ|SCL|
SCL|DLA,|DLA|IST|GRU|EZE|SCL|
SCL|KGL,|KGL|IST|GRU|EZE|SCL|
SCL|LAD,|LAD|BRU|YUL|YYZ|SCL|
SCL|ABJ,|ABJ|OUA|NIM|IST|GRU|EZE|SCL|
SCL|AMS,|AMS|EWR|YYZ|SCL|
SCL|OSL,|OSL|EWR|YYZ|SCL|
SCL|VNO,|VNO|IST|GRU|EZE|SCL|
SCL|WAW,|WAW|IST|GRU|EZE|SCL|
SCL|YYC,|YYC|YYZ|SCL|
SCL|ATL,|ATL|YYZ|SCL|
SCL|MSY,|MSY|IAH|EZE|SCL|
SCL|YEG,|YEG|YYZ|SCL|
SCL|YMM,|YMM|YYZ|SCL|
SCL|YQR,|YQR|YYZ|SCL|
SCL|YVR,|YVR|YYZ|SCL|
SCL|YWG,|YWG|YYZ|SCL|
SCL|YXE,|YXE|YYZ|SCL|
SCL|CKY,|CKY|DKR|IAD|YYZ|SCL|
SCL|FIH,|FIH|IST|GRU|EZE|SCL|
SCL|LCA,|LCA|FRA|YYZ|SCL|
SCL|NAP,|NAP|IST|GRU|EZE|SCL|
SCL|VLC,|VLC|IST|GRU|EZE|SCL|
SCL|BKK,|BKK|IST|GRU|EZE|SCL|
SCL|ADD,|ADD|IST|GRU|EZE|SCL|
SCL|FRA,|FRA|YYZ|SCL|
SCL|IST,|IST|GRU|EZE|SCL|
SCL|EBB,|EBB|KGL|IST|GRU|EZE|SCL|
SCL|YLW,|YLW|YYZ|SCL|
SCL|YYT,|YYT|YYZ|SCL|
SCL|GUA,|GUA|IAH|EZE|SCL|
SCL|EWR,|EWR|YYZ|SCL|
SCL|IAD,|IAD|YYZ|SCL|
SCL|IAH,|IAH|EZE|SCL|
SCL|ORD,|ORD|YYZ|SCL|
SCL|SOF,|SOF|IST|GRU|EZE|SCL|
SCL|YQB,|YQB|YYZ|SCL|
SCL|YXU,|YXU|YYZ|SCL|
SCL|EZE,|EZE|SCL|
SCL|YYJ,|YYJ|YYZ|SCL|
SCL|YYY,|YYY|YUL|YYZ|SCL|
SCL|YQQ,|YQQ|YYC|YYZ|SCL|
SCL|YYR,|YYR|YWK|YZV|YQB|YYZ|SCL|
SCL|LHR,|LHR|YYZ|SCL|
SCL|SFO,|SFO|IAH|EZE|SCL|
SCL|YQU,|YQU|YEG|YYZ|SCL|
SCL|YZF,|YZF|YEG|YYZ|SCL|
SCL|YGR,|YGR|YGP|YQB|YYZ|SCL|
SCL|YGP,|YGP|YQB|YYZ|SCL|
SCL|BOS,|BOS|YYZ|SCL|
SCL|YDF,|YDF|YYZ|SCL|
SCL|YFC,|YFC|YYZ|SCL|
SCL|YQM,|YQM|YYZ|SCL|
SCL|YQX,|YQX|YHZ|YYZ|SCL|
SCL|YQY,|YQY|YYZ|SCL|
SCL|YSJ,|YSJ|YYZ|SCL|
SCL|YYG,|YYG|YYZ|SCL|
SCL|LAX,|LAX|IAH|EZE|SCL|
SCL|DCA,|DCA|YYZ|SCL|
SCL|LGA,|LGA|YYZ|SCL|
SCL|YZV,|YZV|YQB|YYZ|SCL|
SCL|YWL,|YWL|YVR|YYZ|SCL|
SCL|AZS,|AZS|YYZ|SCL|
SCL|BDL,|BDL|YYZ|SCL|
SCL|CCC,|CCC|YYZ|SCL|
SCL|CDG,|CDG|YYZ|SCL|
SCL|CUN,|CUN|IAH|EZE|SCL|
