SDF|BRU,|BRU|YUL|YYZ|CLE|SDF|
SDF|OUA,|OUA|BRU|YUL|YYZ|CLE|SDF|
SDF|JED,|JED|FRA|YYZ|CLE|SDF|
SDF|CPH,|CPH|YYZ|CLE|SDF|
SDF|YYZ,|YYZ|CLE|SDF|
SDF|DEN,|DEN|SDF|
SDF|YUL,|YUL|YYZ|CLE|SDF|
SDF|NBO,|NBO|ZRH|YYZ|CLE|SDF|
SDF|ICN,|ICN|YVR|ORD|SDF|
SDF|NRT,|NRT|ORD|SDF|
SDF|YHZ,|YHZ|EWR|SDF|
SDF|YOW,|YOW|YYZ|CLE|SDF|
SDF|BJM,|BJM|BRU|YUL|YYZ|CLE|SDF|
SDF|COO,|COO|BRU|YUL|YYZ|CLE|SDF|
SDF|DKR,|DKR|IAD|SDF|
SDF|DLA,|DLA|BRU|YUL|YYZ|CLE|SDF|
SDF|KGL,|KGL|BRU|YUL|YYZ|CLE|SDF|
SDF|LAD,|LAD|BRU|YUL|YYZ|CLE|SDF|
SDF|ABJ,|ABJ|BRU|YUL|YYZ|CLE|SDF|
SDF|AMS,|AMS|EWR|SDF|
SDF|OSL,|OSL|EWR|SDF|
SDF|VNO,|VNO|CPH|YYZ|CLE|SDF|
SDF|WAW,|WAW|YYZ|CLE|SDF|
SDF|YYC,|YYC|ORD|SDF|
SDF|ATL,|ATL|SDF|
SDF|MSY,|MSY|ATL|SDF|
SDF|YEG,|YEG|ORD|SDF|
SDF|YMM,|YMM|YEG|ORD|SDF|
SDF|YQR,|YQR|ORD|SDF|
SDF|YVR,|YVR|ORD|SDF|
SDF|YWG,|YWG|ORD|SDF|
SDF|YXE,|YXE|ORD|SDF|
SDF|CKY,|CKY|DKR|IAD|SDF|
SDF|FIH,|FIH|DLA|BRU|YUL|YYZ|CLE|SDF|
SDF|SCL,|SCL|YYZ|CLE|SDF|
SDF|LCA,|LCA|FRA|YYZ|CLE|SDF|
SDF|NAP,|NAP|FRA|YYZ|CLE|SDF|
SDF|VLC,|VLC|FRA|YYZ|CLE|SDF|
SDF|BKK,|BKK|CGO|PEK|ORD|SDF|
SDF|ADD,|ADD|JED|FRA|YYZ|CLE|SDF|
SDF|FRA,|FRA|YYZ|CLE|SDF|
SDF|IST,|IST|YYZ|CLE|SDF|
SDF|EBB,|EBB|KGL|BRU|YUL|YYZ|CLE|SDF|
SDF|YLW,|YLW|YYC|ORD|SDF|
SDF|YYT,|YYT|EWR|SDF|
SDF|GUA,|GUA|IAH|SDF|
SDF|EWR,|EWR|SDF|
SDF|IAD,|IAD|SDF|
SDF|IAH,|IAH|SDF|
SDF|ORD,|ORD|SDF|
SDF|SOF,|SOF|MUC|YYZ|CLE|SDF|
SDF|YQB,|YQB|YYZ|CLE|SDF|
SDF|YXU,|YXU|YYZ|CLE|SDF|
SDF|EZE,|EZE|IAH|SDF|
SDF|YYJ,|YYJ|YVR|ORD|SDF|
SDF|YYY,|YYY|YUL|YYZ|CLE|SDF|
