SDJ|BRU,|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|OUA,|OUA|NIM|IST|ICN|FUK|GUM|SDJ|
SDJ|JED,|JED|IST|ICN|FUK|GUM|SDJ|
SDJ|CPH,|CPH|AMS|PEK|ICN|FUK|GUM|SDJ|
SDJ|YYZ,|YYZ|NRT|GUM|SDJ|
SDJ|DEN,|DEN|HNL|GUM|SDJ|
SDJ|YUL,|YUL|YYZ|NRT|GUM|SDJ|
SDJ|NBO,|NBO|CAN|HKG|GUM|SDJ|
SDJ|ICN,|ICN|FUK|GUM|SDJ|
SDJ|NRT,|NRT|GUM|SDJ|
SDJ|YHZ,|YHZ|YYZ|NRT|GUM|SDJ|
SDJ|YOW,|YOW|YYZ|NRT|GUM|SDJ|
SDJ|BJM,|BJM|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|COO,|COO|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|DKR,|DKR|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|DLA,|DLA|IST|ICN|FUK|GUM|SDJ|
SDJ|KGL,|KGL|IST|ICN|FUK|GUM|SDJ|
SDJ|LAD,|LAD|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|ABJ,|ABJ|OUA|NIM|IST|ICN|FUK|GUM|SDJ|
SDJ|AMS,|AMS|PEK|ICN|FUK|GUM|SDJ|
SDJ|OSL,|OSL|CPH|AMS|PEK|ICN|FUK|GUM|SDJ|
SDJ|VNO,|VNO|IST|ICN|FUK|GUM|SDJ|
SDJ|WAW,|WAW|IST|ICN|FUK|GUM|SDJ|
SDJ|YYC,|YYC|NRT|GUM|SDJ|
SDJ|ATL,|ATL|LAX|HNL|GUM|SDJ|
SDJ|MSY,|MSY|IAH|HNL|GUM|SDJ|
SDJ|YEG,|YEG|YYC|NRT|GUM|SDJ|
SDJ|YMM,|YMM|YYC|NRT|GUM|SDJ|
SDJ|YQR,|YQR|YYC|NRT|GUM|SDJ|
SDJ|YVR,|YVR|NRT|GUM|SDJ|
SDJ|YWG,|YWG|YYC|NRT|GUM|SDJ|
SDJ|YXE,|YXE|YYC|NRT|GUM|SDJ|
SDJ|CKY,|CKY|DKR|BRU|IST|ICN|FUK|GUM|SDJ|
SDJ|FIH,|FIH|IST|ICN|FUK|GUM|SDJ|
SDJ|SCL,|SCL|YYZ|NRT|GUM|SDJ|
SDJ|LCA,|LCA|FRA|TSE|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|NAP,|NAP|IST|ICN|FUK|GUM|SDJ|
SDJ|VLC,|VLC|IST|ICN|FUK|GUM|SDJ|
SDJ|BKK,|BKK|HKG|GUM|SDJ|
SDJ|ADD,|ADD|IST|ICN|FUK|GUM|SDJ|
SDJ|FRA,|FRA|TSE|URC|PEK|ICN|FUK|GUM|SDJ|
SDJ|IST,|IST|ICN|FUK|GUM|SDJ|
SDJ|EBB,|EBB|KGL|IST|ICN|FUK|GUM|SDJ|
SDJ|YLW,|YLW|YVR|NRT|GUM|SDJ|
SDJ|YYT,|YYT|YYZ|NRT|GUM|SDJ|
SDJ|GUA,|GUA|IAH|HNL|GUM|SDJ|
SDJ|EWR,|EWR|NRT|GUM|SDJ|
SDJ|IAD,|IAD|NRT|GUM|SDJ|
SDJ|IAH,|IAH|HNL|GUM|SDJ|
SDJ|ORD,|ORD|NRT|GUM|SDJ|
SDJ|SOF,|SOF|IST|ICN|FUK|GUM|SDJ|
SDJ|YQB,|YQB|YYZ|NRT|GUM|SDJ|
SDJ|YXU,|YXU|YYZ|NRT|GUM|SDJ|
SDJ|EZE,|EZE|IAH|HNL|GUM|SDJ|
SDJ|YYJ,|YYJ|YVR|NRT|GUM|SDJ|
SDJ|YYY,|YYY|YUL|YYZ|NRT|GUM|SDJ|
SDJ|YQQ,|YQQ|YBL|YVR|NRT|GUM|SDJ|
SDJ|YYR,|YYR|YWK|YZV|YQB|YYZ|NRT|GUM|SDJ|
SDJ|LHR,|LHR|CAN|HKG|GUM|SDJ|
SDJ|SFO,|SFO|HNL|GUM|SDJ|
SDJ|YQU,|YQU|YYC|NRT|GUM|SDJ|
SDJ|YZF,|YZF|YYC|NRT|GUM|SDJ|
SDJ|YGR,|YGR|YGP|YQB|YYZ|NRT|GUM|SDJ|
SDJ|YGP,|YGP|YQB|YYZ|NRT|GUM|SDJ|
SDJ|BOS,|BOS|YYZ|NRT|GUM|SDJ|
SDJ|YDF,|YDF|YYZ|NRT|GUM|SDJ|
SDJ|YFC,|YFC|YYZ|NRT|GUM|SDJ|
SDJ|YQM,|YQM|YYZ|NRT|GUM|SDJ|
SDJ|YQX,|YQX|YHZ|YYZ|NRT|GUM|SDJ|
SDJ|YQY,|YQY|YYZ|NRT|GUM|SDJ|
SDJ|YSJ,|YSJ|YYZ|NRT|GUM|SDJ|
SDJ|YYG,|YYG|YYZ|NRT|GUM|SDJ|
SDJ|LAX,|LAX|HNL|GUM|SDJ|
SDJ|DCA,|DCA|YYZ|NRT|GUM|SDJ|
SDJ|LGA,|LGA|YYZ|NRT|GUM|SDJ|
SDJ|YZV,|YZV|YQB|YYZ|NRT|GUM|SDJ|
SDJ|YWL,|YWL|YVR|NRT|GUM|SDJ|
SDJ|AZS,|AZS|YYZ|NRT|GUM|SDJ|
SDJ|BDL,|BDL|YYZ|NRT|GUM|SDJ|
SDJ|CCC,|CCC|YYZ|NRT|GUM|SDJ|
SDJ|CDG,|CDG|CAN|HKG|GUM|SDJ|
SDJ|CUN,|CUN|LAX|HNL|GUM|SDJ|
SDJ|CZM,|CZM|IAH|HNL|GUM|SDJ|
SDJ|FDF,|FDF|YUL|YYZ|NRT|GUM|SDJ|
SDJ|FLL,|FLL|IAH|HNL|GUM|SDJ|
SDJ|GVA,|GVA|IST|ICN|FUK|GUM|SDJ|
SDJ|HOG,|HOG|YYZ|NRT|GUM|SDJ|
SDJ|LAS,|LAS|LAX|HNL|GUM|SDJ|
SDJ|MBJ,|MBJ|IAH|HNL|GUM|SDJ|
SDJ|MCO,|MCO|IAH|HNL|GUM|SDJ|
SDJ|MUC,|MUC|IST|ICN|FUK|GUM|SDJ|
SDJ|PAP,|PAP|YUL|YYZ|NRT|GUM|SDJ|
SDJ|PTP,|PTP|YUL|YYZ|NRT|GUM|SDJ|
SDJ|PUJ,|PUJ|ATL|LAX|HNL|GUM|SDJ|
SDJ|SNU,|SNU|YYZ|NRT|GUM|SDJ|
SDJ|VRA,|VRA|YYC|NRT|GUM|SDJ|
SDJ|YBC,|YBC|YUL|YYZ|NRT|GUM|SDJ|
SDJ|YBG,|YBG|YUL|YYZ|NRT|GUM|SDJ|
SDJ|YTZ,|YTZ|YUL|YYZ|NRT|GUM|SDJ|
SDJ|YUY,|YUY|YUL|YYZ|NRT|GUM|SDJ|
SDJ|YVO,|YVO|YUL|YYZ|NRT|GUM|SDJ|
SDJ|ZBF,|ZBF|YUL|YYZ|NRT|GUM|SDJ|
SDJ|ZRH,|ZRH|IST|ICN|FUK|GUM|SDJ|
SDJ|ZSA,|ZSA|YUL|YYZ|NRT|GUM|SDJ|
SDJ|AKL,|AKL|CAN|HKG|GUM|SDJ|
SDJ|HKG,|HKG|GUM|SDJ|
SDJ|HND,|HND|HNL|GUM|SDJ|
SDJ|HNL,|HNL|GUM|SDJ|
SDJ|MEX,|MEX|LAX|HNL|GUM|SDJ|
SDJ|OGG,|OGG|HNL|GUM|SDJ|
SDJ|PDX,|PDX|SEA|NRT|GUM|SDJ|
SDJ|PEK,|PEK|ICN|FUK|GUM|SDJ|
SDJ|PVG,|PVG|NGO|GUM|SDJ|
SDJ|PVR,|PVR|LAX|HNL|GUM|SDJ|
