SDQ|BRU,|BRU|EWR|SDQ|
SDQ|OUA,|OUA|BRU|EWR|SDQ|
SDQ|JED,|JED|FRA|EWR|SDQ|
SDQ|CPH,|CPH|AMS|EWR|SDQ|
SDQ|YYZ,|YYZ|EWR|SDQ|
SDQ|DEN,|DEN|EWR|SDQ|
SDQ|YUL,|YUL|EWR|SDQ|
SDQ|NBO,|NBO|ZRH|EWR|SDQ|
SDQ|ICN,|ICN|JFK|IAD|EWR|SDQ|
SDQ|NRT,|NRT|EWR|SDQ|
SDQ|YHZ,|YHZ|EWR|SDQ|
SDQ|YOW,|YOW|EWR|SDQ|
SDQ|BJM,|BJM|BRU|EWR|SDQ|
SDQ|COO,|COO|BRU|EWR|SDQ|
SDQ|DKR,|DKR|IAD|EWR|SDQ|
SDQ|DLA,|DLA|BRU|EWR|SDQ|
SDQ|KGL,|KGL|BRU|EWR|SDQ|
SDQ|LAD,|LAD|BRU|EWR|SDQ|
SDQ|ABJ,|ABJ|BRU|EWR|SDQ|
SDQ|AMS,|AMS|EWR|SDQ|
SDQ|OSL,|OSL|EWR|SDQ|
SDQ|VNO,|VNO|CPH|AMS|EWR|SDQ|
SDQ|WAW,|WAW|CPH|AMS|EWR|SDQ|
SDQ|YYC,|YYC|EWR|SDQ|
SDQ|ATL,|ATL|EWR|SDQ|
SDQ|MSY,|MSY|EWR|SDQ|
SDQ|YEG,|YEG|EWR|SDQ|
SDQ|YMM,|YMM|YYZ|EWR|SDQ|
SDQ|YQR,|YQR|YYZ|EWR|SDQ|
SDQ|YVR,|YVR|EWR|SDQ|
SDQ|YWG,|YWG|YYZ|EWR|SDQ|
SDQ|YXE,|YXE|YYZ|EWR|SDQ|
SDQ|CKY,|CKY|DKR|IAD|EWR|SDQ|
SDQ|FIH,|FIH|DLA|BRU|EWR|SDQ|
SDQ|SCL,|SCL|YYZ|EWR|SDQ|
SDQ|LCA,|LCA|FRA|EWR|SDQ|
SDQ|NAP,|NAP|FRA|EWR|SDQ|
SDQ|VLC,|VLC|FRA|EWR|SDQ|
SDQ|BKK,|BKK|CGO|PEK|EWR|SDQ|
SDQ|ADD,|ADD|JED|FRA|EWR|SDQ|
SDQ|FRA,|FRA|EWR|SDQ|
SDQ|IST,|IST|BHX|EWR|SDQ|
SDQ|EBB,|EBB|KGL|BRU|EWR|SDQ|
SDQ|YLW,|YLW|YYZ|EWR|SDQ|
SDQ|YYT,|YYT|EWR|SDQ|
SDQ|GUA,|GUA|EWR|SDQ|
SDQ|EWR,|EWR|SDQ|
SDQ|IAD,|IAD|EWR|SDQ|
SDQ|IAH,|IAH|EWR|SDQ|
SDQ|ORD,|ORD|EWR|SDQ|
SDQ|SOF,|SOF|MUC|EWR|SDQ|
SDQ|YQB,|YQB|EWR|SDQ|
SDQ|YXU,|YXU|YYZ|EWR|SDQ|
SDQ|EZE,|EZE|GRU|EWR|SDQ|
SDQ|YYJ,|YYJ|YYZ|EWR|SDQ|
SDQ|YYY,|YYY|YUL|EWR|SDQ|
SDQ|YQQ,|YQQ|YYC|EWR|SDQ|
SDQ|YYR,|YYR|YHZ|EWR|SDQ|
SDQ|LHR,|LHR|EWR|SDQ|
SDQ|SFO,|SFO|EWR|SDQ|
SDQ|YQU,|YQU|YEG|EWR|SDQ|
SDQ|YZF,|YZF|YEG|EWR|SDQ|
SDQ|YGR,|YGR|YGP|YQB|EWR|SDQ|
SDQ|YGP,|YGP|YQB|EWR|SDQ|
SDQ|BOS,|BOS|EWR|SDQ|
