SGF|BRU,|BRU|ORD|SGF|
SGF|OUA,|OUA|BRU|ORD|SGF|
SGF|JED,|JED|FRA|ORD|SGF|
SGF|CPH,|CPH|YYZ|ORD|SGF|
SGF|YYZ,|YYZ|ORD|SGF|
SGF|DEN,|DEN|SGF|
SGF|YUL,|YUL|ORD|SGF|
SGF|NBO,|NBO|ZRH|ORD|SGF|
SGF|ICN,|ICN|YVR|DEN|SGF|
SGF|NRT,|NRT|DEN|SGF|
SGF|YHZ,|YHZ|ORD|SGF|
SGF|YOW,|YOW|ORD|SGF|
SGF|BJM,|BJM|BRU|ORD|SGF|
SGF|COO,|COO|BRU|ORD|SGF|
SGF|DKR,|DKR|IAD|ORD|SGF|
SGF|DLA,|DLA|BRU|ORD|SGF|
SGF|KGL,|KGL|BRU|ORD|SGF|
SGF|LAD,|LAD|BRU|ORD|SGF|
SGF|ABJ,|ABJ|BRU|ORD|SGF|
SGF|AMS,|AMS|ORD|SGF|
SGF|OSL,|OSL|EWR|ORD|SGF|
SGF|VNO,|VNO|CPH|YYZ|ORD|SGF|
SGF|WAW,|WAW|YYZ|ORD|SGF|
SGF|YYC,|YYC|DEN|SGF|
SGF|ATL,|ATL|ORD|SGF|
SGF|MSY,|MSY|ORD|SGF|
SGF|YEG,|YEG|DEN|SGF|
SGF|YMM,|YMM|DEN|SGF|
SGF|YQR,|YQR|DEN|SGF|
SGF|YVR,|YVR|DEN|SGF|
SGF|YWG,|YWG|ORD|SGF|
SGF|YXE,|YXE|DEN|SGF|
SGF|CKY,|CKY|DKR|IAD|ORD|SGF|
SGF|FIH,|FIH|DLA|BRU|ORD|SGF|
SGF|SCL,|SCL|YYZ|ORD|SGF|
SGF|LCA,|LCA|FRA|ORD|SGF|
SGF|NAP,|NAP|FRA|ORD|SGF|
SGF|VLC,|VLC|FRA|ORD|SGF|
SGF|BKK,|BKK|CGO|PEK|ORD|SGF|
SGF|ADD,|ADD|IST|ORD|SGF|
SGF|FRA,|FRA|ORD|SGF|
SGF|IST,|IST|ORD|SGF|
SGF|EBB,|EBB|KGL|BRU|ORD|SGF|
SGF|YLW,|YLW|YYC|DEN|SGF|
SGF|YYT,|YYT|YOW|ORD|SGF|
SGF|GUA,|GUA|IAH|ORD|SGF|
SGF|EWR,|EWR|ORD|SGF|
SGF|IAD,|IAD|ORD|SGF|
SGF|IAH,|IAH|ORD|SGF|
SGF|ORD,|ORD|SGF|
SGF|SOF,|SOF|MUC|ORD|SGF|
SGF|YQB,|YQB|ORD|SGF|
SGF|YXU,|YXU|ORD|SGF|
SGF|EZE,|EZE|IAH|ORD|SGF|
SGF|YYJ,|YYJ|YVR|DEN|SGF|
SGF|YYY,|YYY|YUL|ORD|SGF|
SGF|YQQ,|YQQ|YBL|YVR|DEN|SGF|
SGF|YYR,|YYR|YWK|YZV|YQB|ORD|SGF|
SGF|LHR,|LHR|ORD|SGF|
SGF|SFO,|SFO|DEN|SGF|
SGF|YQU,|YQU|YYC|DEN|SGF|
SGF|YZF,|YZF|YEG|DEN|SGF|
SGF|YGR,|YGR|YGP|YQB|ORD|SGF|
SGF|YGP,|YGP|YQB|ORD|SGF|
SGF|BOS,|BOS|ORD|SGF|
SGF|YDF,|YDF|YYZ|ORD|SGF|
SGF|YFC,|YFC|YYZ|ORD|SGF|
SGF|YQM,|YQM|YUL|ORD|SGF|
SGF|YQX,|YQX|YHZ|ORD|SGF|
SGF|YQY,|YQY|YYZ|ORD|SGF|
SGF|YSJ,|YSJ|YYZ|ORD|SGF|
SGF|YYG,|YYG|YUL|ORD|SGF|
SGF|LAX,|LAX|DEN|SGF|
SGF|DCA,|DCA|ORD|SGF|
SGF|LGA,|LGA|ORD|SGF|
SGF|YZV,|YZV|YQB|ORD|SGF|
SGF|YWL,|YWL|YVR|DEN|SGF|
SGF|AZS,|AZS|YYZ|ORD|SGF|
SGF|BDL,|BDL|ORD|SGF|
SGF|CCC,|CCC|YYZ|ORD|SGF|
SGF|CDG,|CDG|ORD|SGF|
SGF|CUN,|CUN|ORD|SGF|
SGF|CZM,|CZM|IAH|ORD|SGF|
SGF|FDF,|FDF|YUL|ORD|SGF|
SGF|FLL,|FLL|ORD|SGF|
SGF|GVA,|GVA|YUL|ORD|SGF|
SGF|HOG,|HOG|YYZ|ORD|SGF|
SGF|LAS,|LAS|DEN|SGF|
SGF|MBJ,|MBJ|ATL|ORD|SGF|
SGF|MCO,|MCO|ORD|SGF|
SGF|MUC,|MUC|ORD|SGF|
SGF|PAP,|PAP|YUL|ORD|SGF|
SGF|PTP,|PTP|YUL|ORD|SGF|
SGF|PUJ,|PUJ|ORD|SGF|
SGF|SNU,|SNU|YYZ|ORD|SGF|
SGF|VRA,|VRA|YYZ|ORD|SGF|
SGF|YBC,|YBC|YUL|ORD|SGF|
SGF|YBG,|YBG|YUL|ORD|SGF|
SGF|YTZ,|YTZ|YUL|ORD|SGF|
SGF|YUY,|YUY|YUL|ORD|SGF|
SGF|YVO,|YVO|YUL|ORD|SGF|
SGF|ZBF,|ZBF|YUL|ORD|SGF|
SGF|ZRH,|ZRH|ORD|SGF|
SGF|ZSA,|ZSA|YUL|ORD|SGF|
SGF|AKL,|AKL|LAX|DEN|SGF|
SGF|HKG,|HKG|YVR|DEN|SGF|
SGF|HND,|HND|YVR|DEN|SGF|
SGF|HNL,|HNL|DEN|SGF|
SGF|MEX,|MEX|DEN|SGF|
SGF|OGG,|OGG|DEN|SGF|
SGF|PDX,|PDX|DEN|SGF|
SGF|PEK,|PEK|ORD|SGF|
SGF|PVG,|PVG|YVR|DEN|SGF|
SGF|PVR,|PVR|DEN|SGF|
SGF|SEA,|SEA|DEN|SGF|
SGF|SYD,|SYD|LAX|DEN|SGF|
SGF|YBL,|YBL|YVR|DEN|SGF|
SGF|YCD,|YCD|YVR|DEN|SGF|
SGF|YCG,|YCG|YYC|DEN|SGF|
SGF|YKA,|YKA|YYC|DEN|SGF|
SGF|YPR,|YPR|YVR|DEN|SGF|
SGF|YQZ,|YQZ|YVR|DEN|SGF|
SGF|YXC,|YXC|YYC|DEN|SGF|
SGF|YXJ,|YXJ|YYC|DEN|SGF|
SGF|YXS,|YXS|YYC|DEN|SGF|
SGF|YXT,|YXT|YVR|DEN|SGF|
SGF|YXY,|YXY|YVR|DEN|SGF|
SGF|YYD,|YYD|YVR|DEN|SGF|
SGF|YYF,|YYF|YVR|DEN|SGF|
SGF|YZP,|YZP|YVR|DEN|SGF|
SGF|YQT,|YQT|YYZ|ORD|SGF|
SGF|SJD,|SJD|DEN|SGF|
SGF|YQF,|YQF|YYC|DEN|SGF|
