SHE|BRU,|BRU|IST|PEK|SHE|
SHE|OUA,|OUA|NIM|IST|PEK|SHE|
SHE|JED,|JED|IST|PEK|SHE|
SHE|CPH,|CPH|AMS|PEK|SHE|
SHE|YYZ,|YYZ|PEK|SHE|
SHE|DEN,|DEN|YVR|ICN|SHE|
SHE|YUL,|YUL|YYZ|PEK|SHE|
SHE|NBO,|NBO|CAN|SHE|
SHE|ICN,|ICN|SHE|
SHE|NRT,|NRT|SHE|
SHE|YHZ,|YHZ|YYZ|PEK|SHE|
SHE|YOW,|YOW|YYZ|PEK|SHE|
SHE|BJM,|BJM|BRU|IST|PEK|SHE|
SHE|COO,|COO|BRU|IST|PEK|SHE|
SHE|DKR,|DKR|BRU|IST|PEK|SHE|
SHE|DLA,|DLA|IST|PEK|SHE|
SHE|KGL,|KGL|IST|PEK|SHE|
SHE|LAD,|LAD|BRU|IST|PEK|SHE|
SHE|ABJ,|ABJ|OUA|NIM|IST|PEK|SHE|
SHE|AMS,|AMS|PEK|SHE|
SHE|OSL,|OSL|CPH|AMS|PEK|SHE|
SHE|VNO,|VNO|IST|PEK|SHE|
SHE|WAW,|WAW|IST|PEK|SHE|
SHE|YYC,|YYC|YVR|ICN|SHE|
SHE|ATL,|ATL|ORD|PEK|SHE|
SHE|MSY,|MSY|DEN|YVR|ICN|SHE|
SHE|YEG,|YEG|YVR|ICN|SHE|
SHE|YMM,|YMM|YVR|ICN|SHE|
SHE|YQR,|YQR|YVR|ICN|SHE|
SHE|YVR,|YVR|ICN|SHE|
SHE|YWG,|YWG|YVR|ICN|SHE|
SHE|YXE,|YXE|YVR|ICN|SHE|
SHE|CKY,|CKY|DKR|BRU|IST|PEK|SHE|
SHE|FIH,|FIH|IST|PEK|SHE|
SHE|SCL,|SCL|YYZ|PEK|SHE|
SHE|LCA,|LCA|FRA|TSE|URC|HET|SHE|
SHE|NAP,|NAP|IST|PEK|SHE|
SHE|VLC,|VLC|FRA|TSE|URC|HET|SHE|
SHE|BKK,|BKK|WUH|SHE|
SHE|ADD,|ADD|IST|PEK|SHE|
SHE|FRA,|FRA|TSE|URC|HET|SHE|
SHE|IST,|IST|PEK|SHE|
SHE|EBB,|EBB|KGL|IST|PEK|SHE|
SHE|YLW,|YLW|YVR|ICN|SHE|
SHE|YYT,|YYT|YYZ|PEK|SHE|
