SIN|BRU,|BRU|IST|SIN|
SIN|OUA,|OUA|NIM|IST|SIN|
SIN|JED,|JED|IST|SIN|
SIN|CPH,|CPH|IST|SIN|
SIN|YYZ,|YYZ|PEK|CAN|SIN|
SIN|DEN,|DEN|YVR|HKG|SIN|
SIN|YUL,|YUL|YYZ|PEK|CAN|SIN|
SIN|NBO,|NBO|CAN|SIN|
SIN|ICN,|ICN|CAN|SIN|
SIN|NRT,|NRT|SIN|
SIN|YHZ,|YHZ|LHR|IST|SIN|
SIN|YOW,|YOW|YYZ|PEK|CAN|SIN|
SIN|BJM,|BJM|BRU|IST|SIN|
SIN|COO,|COO|BRU|IST|SIN|
SIN|DKR,|DKR|BRU|IST|SIN|
SIN|DLA,|DLA|IST|SIN|
SIN|KGL,|KGL|IST|SIN|
SIN|LAD,|LAD|BRU|IST|SIN|
SIN|ABJ,|ABJ|OUA|NIM|IST|SIN|
SIN|AMS,|AMS|IST|SIN|
SIN|OSL,|OSL|IST|SIN|
SIN|VNO,|VNO|IST|SIN|
SIN|WAW,|WAW|IST|SIN|
SIN|YYC,|YYC|NRT|SIN|
SIN|ATL,|ATL|ORD|HKG|SIN|
SIN|MSY,|MSY|DEN|YVR|HKG|SIN|
SIN|YEG,|YEG|YYC|NRT|SIN|
SIN|YMM,|YMM|YYC|NRT|SIN|
SIN|YQR,|YQR|YYC|NRT|SIN|
SIN|YVR,|YVR|HKG|SIN|
SIN|YWG,|YWG|YYC|NRT|SIN|
SIN|YXE,|YXE|YYC|NRT|SIN|
SIN|CKY,|CKY|DKR|BRU|IST|SIN|
SIN|FIH,|FIH|IST|SIN|
SIN|SCL,|SCL|EZE|GRU|IST|SIN|
SIN|LCA,|LCA|FRA|IST|SIN|
SIN|NAP,|NAP|IST|SIN|
SIN|VLC,|VLC|IST|SIN|
SIN|BKK,|BKK|HKG|SIN|
SIN|ADD,|ADD|IST|SIN|
SIN|FRA,|FRA|IST|SIN|
SIN|IST,|IST|SIN|
SIN|EBB,|EBB|KGL|IST|SIN|
SIN|YLW,|YLW|YVR|HKG|SIN|
SIN|YYT,|YYT|LHR|IST|SIN|
SIN|GUA,|GUA|IAH|YVR|HKG|SIN|
SIN|EWR,|EWR|PEK|CAN|SIN|
SIN|IAD,|IAD|PEK|CAN|SIN|
SIN|IAH,|IAH|YVR|HKG|SIN|
SIN|ORD,|ORD|HKG|SIN|
SIN|SOF,|SOF|IST|SIN|
SIN|YQB,|YQB|YYZ|PEK|CAN|SIN|
SIN|YXU,|YXU|YYZ|PEK|CAN|SIN|
SIN|EZE,|EZE|GRU|IST|SIN|
SIN|YYJ,|YYJ|YVR|HKG|SIN|
SIN|YYY,|YYY|YUL|YYZ|PEK|CAN|SIN|
SIN|YQQ,|YQQ|YBL|YVR|HKG|SIN|
SIN|YYR,|YYR|YYT|LHR|IST|SIN|
SIN|LHR,|LHR|IST|SIN|
SIN|SFO,|SFO|NRT|SIN|
SIN|YQU,|YQU|YYC|NRT|SIN|
SIN|YZF,|YZF|YYC|NRT|SIN|
SIN|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|SIN|
SIN|YGP,|YGP|YQB|YYZ|PEK|CAN|SIN|
SIN|BOS,|BOS|YYZ|PEK|CAN|SIN|
SIN|YDF,|YDF|YYT|LHR|IST|SIN|
SIN|YFC,|YFC|YHZ|LHR|IST|SIN|
SIN|YQM,|YQM|YHZ|LHR|IST|SIN|
SIN|YQX,|YQX|YYT|LHR|IST|SIN|
SIN|YQY,|YQY|YHZ|LHR|IST|SIN|
SIN|YSJ,|YSJ|YHZ|LHR|IST|SIN|
SIN|YYG,|YYG|YHZ|LHR|IST|SIN|
SIN|LAX,|LAX|NRT|SIN|
SIN|DCA,|DCA|YYZ|PEK|CAN|SIN|
SIN|LGA,|LGA|YYZ|PEK|CAN|SIN|
SIN|YZV,|YZV|YQB|YYZ|PEK|CAN|SIN|
SIN|YWL,|YWL|YVR|HKG|SIN|
SIN|AZS,|AZS|YYZ|PEK|CAN|SIN|
SIN|BDL,|BDL|YYZ|PEK|CAN|SIN|
SIN|CCC,|CCC|YYZ|PEK|CAN|SIN|
SIN|CDG,|CDG|IST|SIN|
SIN|CUN,|CUN|YVR|HKG|SIN|
SIN|CZM,|CZM|IAH|YVR|HKG|SIN|
SIN|FDF,|FDF|YUL|YYZ|PEK|CAN|SIN|
SIN|FLL,|FLL|ORD|HKG|SIN|
SIN|GVA,|GVA|IST|SIN|
SIN|HOG,|HOG|YYZ|PEK|CAN|SIN|
SIN|LAS,|LAS|SFO|NRT|SIN|
SIN|MBJ,|MBJ|ATL|ORD|HKG|SIN|
SIN|MCO,|MCO|ORD|HKG|SIN|
SIN|MUC,|MUC|IST|SIN|
SIN|PAP,|PAP|YUL|YYZ|PEK|CAN|SIN|
SIN|PTP,|PTP|YUL|YYZ|PEK|CAN|SIN|
SIN|PUJ,|PUJ|EWR|PEK|CAN|SIN|
SIN|SNU,|SNU|YYZ|PEK|CAN|SIN|
SIN|VRA,|VRA|YYZ|PEK|CAN|SIN|
SIN|YBC,|YBC|YUL|YYZ|PEK|CAN|SIN|
SIN|YBG,|YBG|YUL|YYZ|PEK|CAN|SIN|
SIN|YTZ,|YTZ|YUL|YYZ|PEK|CAN|SIN|
SIN|YUY,|YUY|YUL|YYZ|PEK|CAN|SIN|
SIN|YVO,|YVO|YUL|YYZ|PEK|CAN|SIN|
SIN|ZBF,|ZBF|YUL|YYZ|PEK|CAN|SIN|
SIN|ZRH,|ZRH|IST|SIN|
SIN|ZSA,|ZSA|YUL|YYZ|PEK|CAN|SIN|
SIN|AKL,|AKL|CAN|SIN|
SIN|HKG,|HKG|SIN|
SIN|HND,|HND|HNL|NRT|SIN|
SIN|HNL,|HNL|NRT|SIN|
SIN|MEX,|MEX|LAX|NRT|SIN|
SIN|OGG,|OGG|HNL|NRT|SIN|
SIN|PDX,|PDX|SEA|NRT|SIN|
SIN|PEK,|PEK|CAN|SIN|
SIN|PVG,|PVG|CAN|SIN|
SIN|PVR,|PVR|LAX|NRT|SIN|
SIN|SEA,|SEA|NRT|SIN|
SIN|SYD,|SYD|CAN|SIN|
SIN|YBL,|YBL|YVR|HKG|SIN|
SIN|YCD,|YCD|YVR|HKG|SIN|
SIN|YCG,|YCG|YVR|HKG|SIN|
SIN|YKA,|YKA|YVR|HKG|SIN|
SIN|YPR,|YPR|YVR|HKG|SIN|
SIN|YQZ,|YQZ|YVR|HKG|SIN|
SIN|YXC,|YXC|YVR|HKG|SIN|
SIN|YXJ,|YXJ|YVR|HKG|SIN|
SIN|YXS,|YXS|YVR|HKG|SIN|
SIN|YXT,|YXT|YVR|HKG|SIN|
SIN|YXY,|YXY|YVR|HKG|SIN|
SIN|YYD,|YYD|YVR|HKG|SIN|
SIN|YYF,|YYF|YVR|HKG|SIN|
SIN|YZP,|YZP|YVR|HKG|SIN|
SIN|YQT,|YQT|YWG|YYC|NRT|SIN|
SIN|SJD,|SJD|LAX|NRT|SIN|
SIN|YQF,|YQF|YYC|NRT|SIN|
SIN|YQL,|YQL|YYC|NRT|SIN|
SIN|YXH,|YXH|YYC|NRT|SIN|
SIN|YWK,|YWK|YYR|YYT|LHR|IST|SIN|
SIN|ANU,|ANU|EWR|PEK|CAN|SIN|
SIN|AUA,|AUA|EWR|PEK|CAN|SIN|
SIN|AUH,|AUH|IST|SIN|
SIN|BCN,|BCN|IST|SIN|
SIN|BDA,|BDA|EWR|PEK|CAN|SIN|
SIN|BGI,|BGI|YYZ|PEK|CAN|SIN|
SIN|BNA,|BNA|ORD|HKG|SIN|
SIN|BOG,|BOG|MIA|ORD|HKG|SIN|
SIN|BWI,|BWI|YYZ|PEK|CAN|SIN|
SIN|CLE,|CLE|YYZ|PEK|CAN|SIN|
SIN|CLT,|CLT|YYZ|PEK|CAN|SIN|
SIN|CMH,|CMH|ORD|HKG|SIN|
SIN|CVG,|CVG|ORD|HKG|SIN|
SIN|DFW,|DFW|YVR|HKG|SIN|
SIN|DTW,|DTW|PEK|CAN|SIN|
SIN|DUB,|DUB|IST|SIN|
SIN|FCO,|FCO|IST|SIN|
SIN|GCM,|GCM|YYZ|PEK|CAN|SIN|
SIN|GGT,|GGT|YYZ|PEK|CAN|SIN|
SIN|GND,|GND|YYZ|PEK|CAN|SIN|
SIN|GRU,|GRU|IST|SIN|
SIN|HAV,|HAV|YYZ|PEK|CAN|SIN|
SIN|IND,|IND|ORD|HKG|SIN|
SIN|JFK,|JFK|PEK|CAN|SIN|
SIN|KIN,|KIN|YYZ|PEK|CAN|SIN|
SIN|LIM,|LIM|IAH|YVR|HKG|SIN|
SIN|LIR,|LIR|IAH|YVR|HKG|SIN|
SIN|MCI,|MCI|DEN|YVR|HKG|SIN|
SIN|MDT,|MDT|YYZ|PEK|CAN|SIN|
SIN|MIA,|MIA|ORD|HKG|SIN|
SIN|MKE,|MKE|ORD|HKG|SIN|
SIN|MSP,|MSP|ORD|HKG|SIN|
SIN|NAS,|NAS|YYZ|PEK|CAN|SIN|
SIN|PHL,|PHL|YYZ|PEK|CAN|SIN|
SIN|PHX,|PHX|SFO|NRT|SIN|
SIN|PIT,|PIT|YYZ|PEK|CAN|SIN|
SIN|PLS,|PLS|EWR|PEK|CAN|SIN|
SIN|POP,|POP|EWR|PEK|CAN|SIN|
SIN|RDU,|RDU|YYZ|PEK|CAN|SIN|
SIN|ROC,|ROC|YYZ|PEK|CAN|SIN|
SIN|RSW,|RSW|ORD|HKG|SIN|
SIN|SAN,|SAN|LAX|NRT|SIN|
SIN|SJO,|SJO|IAH|YVR|HKG|SIN|
SIN|STL,|STL|ORD|HKG|SIN|
SIN|SYR,|SYR|YYZ|PEK|CAN|SIN|
SIN|TLV,|TLV|IST|SIN|
SIN|TPA,|TPA|ORD|HKG|SIN|
SIN|UVF,|UVF|EWR|PEK|CAN|SIN|
SIN|VIE,|VIE|IST|SIN|
SIN|YAM,|YAM|YYZ|PEK|CAN|SIN|
SIN|YGK,|YGK|YYZ|PEK|CAN|SIN|
SIN|YQG,|YQG|YYZ|PEK|CAN|SIN|
SIN|YSB,|YSB|YYZ|PEK|CAN|SIN|
SIN|YTS,|YTS|YYZ|PEK|CAN|SIN|
SIN|YYB,|YYB|YYZ|PEK|CAN|SIN|
SIN|YZR,|YZR|YYZ|PEK|CAN|SIN|
SIN|CAN,|CAN|SIN|
SIN|URC,|URC|CAN|SIN|
SIN|CTU,|CTU|CAN|SIN|
SIN|HGH,|HGH|XMN|SIN|
SIN|XMN,|XMN|SIN|
SIN|CGO,|CGO|CAN|SIN|
SIN|CSX,|CSX|CAN|SIN|
SIN|SHE,|SHE|CAN|SIN|
SIN|SJW,|SJW|CAN|SIN|
SIN|WUH,|WUH|CAN|SIN|
SIN|SZX,|SZX|MXZ|HKG|SIN|
SIN|CKG,|CKG|CAN|SIN|
SIN|KMG,|KMG|CAN|SIN|
SIN|FOC,|FOC|SIN|
SIN|NNG,|NNG|CAN|SIN|
SIN|SWA,|SWA|HKG|SIN|
SIN|ACX,|ACX|CAN|SIN|
SIN|AQG,|AQG|CAN|SIN|
SIN|AVA,|AVA|CAN|SIN|
SIN|BFJ,|BFJ|CAN|SIN|
SIN|BHY,|BHY|CAN|SIN|
SIN|BNE,|BNE|CAN|SIN|
SIN|CGD,|CGD|CAN|SIN|
SIN|CGK,|CGK|SIN|
SIN|CGQ,|CGQ|CAN|SIN|
SIN|CIH,|CIH|CAN|SIN|
SIN|CNX,|CNX|CAN|SIN|
SIN|CZX,|CZX|CAN|SIN|
SIN|DAC,|DAC|CAN|SIN|
SIN|DAD,|DAD|CAN|SIN|
SIN|DEL,|DEL|CAN|SIN|
SIN|DIG,|DIG|CAN|SIN|
SIN|DLC,|DLC|CAN|SIN|
SIN|DPS,|DPS|CAN|SIN|
SIN|DXB,|DXB|CAN|SIN|
SIN|DYG,|DYG|CAN|SIN|
SIN|FUG,|FUG|CAN|SIN|
SIN|FUK,|FUK|CAN|SIN|
SIN|HAK,|HAK|CAN|SIN|
SIN|HAN,|HAN|CAN|SIN|
SIN|HDG,|HDG|CAN|SIN|
SIN|HET,|HET|CAN|SIN|
SIN|HFE,|HFE|CAN|SIN|
SIN|HJJ,|HJJ|CAN|SIN|
SIN|HKT,|HKT|CAN|SIN|
SIN|HRB,|HRB|CAN|SIN|
SIN|HZH,|HZH|CAN|SIN|
SIN|JIU,|JIU|CAN|SIN|
SIN|JJN,|JJN|CAN|SIN|
SIN|JNG,|JNG|CAN|SIN|
SIN|KHN,|KHN|CAN|SIN|
SIN|KIX,|KIX|CAN|SIN|
SIN|KOW,|KOW|CAN|SIN|
SIN|KTM,|KTM|CAN|SIN|
SIN|KUL,|KUL|CAN|SIN|
SIN|KWE,|KWE|CAN|SIN|
SIN|KWL,|KWL|CAN|SIN|
SIN|LHW,|LHW|CAN|SIN|
SIN|LYA,|LYA|CAN|SIN|
SIN|LYG,|LYG|CAN|SIN|
SIN|LZH,|LZH|CAN|SIN|
SIN|MEL,|MEL|CAN|SIN|
SIN|MIG,|MIG|CAN|SIN|
SIN|MLE,|MLE|CAN|SIN|
SIN|MNL,|MNL|CAN|SIN|
SIN|MXZ,|MXZ|HKG|SIN|
SIN|NAO,|NAO|CAN|SIN|
SIN|NGB,|NGB|XMN|SIN|
SIN|NKG,|NKG|CAN|SIN|
SIN|NNY,|NNY|CAN|SIN|
SIN|PEN,|PEN|CAN|SIN|
SIN|PER,|PER|CAN|SIN|
SIN|PNH,|PNH|CAN|SIN|
SIN|REP,|REP|CAN|SIN|
SIN|RGN,|RGN|CAN|SIN|
SIN|SGN,|SGN|HKG|SIN|
SIN|SHA,|SHA|XMN|SIN|
SIN|SVO,|SVO|CAN|SIN|
SIN|SYX,|SYX|CAN|SIN|
SIN|TAO,|TAO|CAN|SIN|
SIN|TEN,|TEN|CAN|SIN|
SIN|TNA,|TNA|CAN|SIN|
SIN|TPE,|TPE|CAN|SIN|
SIN|TSN,|TSN|CAN|SIN|
SIN|TXN,|TXN|CAN|SIN|
SIN|TYN,|TYN|CAN|SIN|
SIN|WNZ,|WNZ|CAN|SIN|
SIN|WUX,|WUX|CAN|SIN|
SIN|XFN,|XFN|CAN|SIN|
SIN|XIY,|XIY|CAN|SIN|
