SJC|BRU,|BRU|ORD|DEN|SJC|
SJC|OUA,|OUA|BRU|ORD|DEN|SJC|
SJC|JED,|JED|FRA|SEA|SJC|
SJC|CPH,|CPH|YYZ|DEN|SJC|
SJC|YYZ,|YYZ|DEN|SJC|
SJC|DEN,|DEN|SJC|
SJC|YUL,|YUL|DEN|SJC|
SJC|NBO,|NBO|IST|FRA|SEA|SJC|
SJC|ICN,|ICN|SEA|SJC|
SJC|NRT,|NRT|SJC|
SJC|YHZ,|YHZ|YUL|DEN|SJC|
SJC|YOW,|YOW|YYZ|DEN|SJC|
SJC|BJM,|BJM|BRU|ORD|DEN|SJC|
SJC|COO,|COO|BRU|ORD|DEN|SJC|
SJC|DKR,|DKR|IAD|DEN|SJC|
SJC|DLA,|DLA|BRU|ORD|DEN|SJC|
SJC|KGL,|KGL|IST|FRA|SEA|SJC|
SJC|LAD,|LAD|BRU|ORD|DEN|SJC|
SJC|ABJ,|ABJ|BRU|ORD|DEN|SJC|
SJC|AMS,|AMS|ORD|DEN|SJC|
SJC|OSL,|OSL|EWR|MDW|SJC|
SJC|VNO,|VNO|FRA|SEA|SJC|
SJC|WAW,|WAW|YYZ|DEN|SJC|
SJC|YYC,|YYC|PDX|SJC|
SJC|ATL,|ATL|LAS|SJC|
SJC|MSY,|MSY|LAS|SJC|
SJC|YEG,|YEG|YYC|PDX|SJC|
SJC|YMM,|YMM|YYC|PDX|SJC|
SJC|YQR,|YQR|LAS|SJC|
SJC|YVR,|YVR|PDX|SJC|
SJC|YWG,|YWG|LAS|SJC|
SJC|YXE,|YXE|YYC|PDX|SJC|
SJC|CKY,|CKY|DKR|IAD|DEN|SJC|
SJC|FIH,|FIH|DLA|BRU|ORD|DEN|SJC|
SJC|SCL,|SCL|EZE|IAH|SJC|
SJC|LCA,|LCA|FRA|SEA|SJC|
SJC|NAP,|NAP|FRA|SEA|SJC|
SJC|VLC,|VLC|FRA|SEA|SJC|
SJC|BKK,|BKK|NRT|SJC|
SJC|ADD,|ADD|JED|FRA|SEA|SJC|
SJC|FRA,|FRA|SEA|SJC|
SJC|IST,|IST|FRA|SEA|SJC|
SJC|EBB,|EBB|KGL|IST|FRA|SEA|SJC|
SJC|YLW,|YLW|YVR|PDX|SJC|
SJC|YYT,|YYT|YUL|DEN|SJC|
SJC|GUA,|GUA|IAH|SJC|
SJC|EWR,|EWR|MDW|SJC|
SJC|IAD,|IAD|DEN|SJC|
SJC|IAH,|IAH|SJC|
SJC|ORD,|ORD|DEN|SJC|
SJC|SOF,|SOF|MUC|YVR|PDX|SJC|
SJC|YQB,|YQB|YUL|DEN|SJC|
SJC|YXU,|YXU|ORD|DEN|SJC|
SJC|EZE,|EZE|IAH|SJC|
SJC|YYJ,|YYJ|YVR|PDX|SJC|
SJC|YYY,|YYY|YUL|DEN|SJC|
SJC|YQQ,|YQQ|YBL|YVR|PDX|SJC|
SJC|YYR,|YYR|YWK|YZV|YUL|DEN|SJC|
SJC|LHR,|LHR|YYC|PDX|SJC|
SJC|SFO,|SFO|BUR|SJC|
SJC|YQU,|YQU|YYC|PDX|SJC|
SJC|YZF,|YZF|YYC|PDX|SJC|
SJC|YGR,|YGR|YGP|YQB|YUL|DEN|SJC|
SJC|YGP,|YGP|YQB|YUL|DEN|SJC|
SJC|BOS,|BOS|MDW|SJC|
SJC|YDF,|YDF|YYZ|DEN|SJC|
SJC|YFC,|YFC|YUL|DEN|SJC|
SJC|YQM,|YQM|YUL|DEN|SJC|
SJC|YQX,|YQX|YHZ|YUL|DEN|SJC|
SJC|YQY,|YQY|YYZ|DEN|SJC|
SJC|YSJ,|YSJ|YUL|DEN|SJC|
SJC|YYG,|YYG|YUL|DEN|SJC|
SJC|LAX,|LAX|SJC|
SJC|DCA,|DCA|DEN|SJC|
SJC|LGA,|LGA|MDW|SJC|
SJC|YZV,|YZV|YUL|DEN|SJC|
SJC|YWL,|YWL|YVR|PDX|SJC|
SJC|AZS,|AZS|YYZ|DEN|SJC|
SJC|BDL,|BDL|MDW|SJC|
SJC|CCC,|CCC|YYZ|DEN|SJC|
SJC|CDG,|CDG|ORD|DEN|SJC|
SJC|CUN,|CUN|AUS|SJC|
SJC|CZM,|CZM|IAH|SJC|
SJC|FDF,|FDF|YUL|DEN|SJC|
SJC|FLL,|FLL|LAS|SJC|
SJC|GVA,|GVA|YUL|DEN|SJC|
SJC|HOG,|HOG|YYZ|DEN|SJC|
SJC|LAS,|LAS|SJC|
SJC|MBJ,|MBJ|IAH|SJC|
SJC|MCO,|MCO|LAS|SJC|
SJC|MUC,|MUC|YVR|PDX|SJC|
SJC|PAP,|PAP|YUL|DEN|SJC|
SJC|PTP,|PTP|YUL|DEN|SJC|
SJC|PUJ,|PUJ|ATL|LAS|SJC|
SJC|SNU,|SNU|YYZ|DEN|SJC|
SJC|VRA,|VRA|YYZ|DEN|SJC|
SJC|YBC,|YBC|YUL|DEN|SJC|
SJC|YBG,|YBG|YUL|DEN|SJC|
SJC|YTZ,|YTZ|YUL|DEN|SJC|
SJC|YUY,|YUY|YUL|DEN|SJC|
SJC|YVO,|YVO|YUL|DEN|SJC|
SJC|ZBF,|ZBF|YUL|DEN|SJC|
SJC|ZRH,|ZRH|LAX|SJC|
SJC|ZSA,|ZSA|YUL|DEN|SJC|
SJC|AKL,|AKL|LAX|SJC|
SJC|HKG,|HKG|CAN|NRT|SJC|
SJC|HND,|HND|YVR|PDX|SJC|
SJC|HNL,|HNL|LAX|SJC|
SJC|MEX,|MEX|LAX|SJC|
SJC|OGG,|OGG|LAX|SJC|
SJC|PDX,|PDX|SJC|
SJC|PEK,|PEK|SEA|SJC|
SJC|PVG,|PVG|ICN|SEA|SJC|
SJC|PVR,|PVR|LAX|SJC|
SJC|SEA,|SEA|SJC|
SJC|SYD,|SYD|LAX|SJC|
SJC|YBL,|YBL|YVR|PDX|SJC|
SJC|YCD,|YCD|YVR|PDX|SJC|
SJC|YCG,|YCG|YVR|PDX|SJC|
SJC|YKA,|YKA|YVR|PDX|SJC|
SJC|YPR,|YPR|YVR|PDX|SJC|
SJC|YQZ,|YQZ|YVR|PDX|SJC|
SJC|YXC,|YXC|YVR|PDX|SJC|
SJC|YXJ,|YXJ|YVR|PDX|SJC|
SJC|YXS,|YXS|YVR|PDX|SJC|
SJC|YXT,|YXT|YVR|PDX|SJC|
SJC|YXY,|YXY|YVR|PDX|SJC|
SJC|YYD,|YYD|YVR|PDX|SJC|
SJC|YYF,|YYF|YVR|PDX|SJC|
SJC|YZP,|YZP|YVR|PDX|SJC|
SJC|YQT,|YQT|YWG|LAS|SJC|
SJC|SJD,|SJD|LAX|SJC|
SJC|YQF,|YQF|YYC|PDX|SJC|
SJC|YQL,|YQL|YYC|PDX|SJC|
SJC|YXH,|YXH|YYC|PDX|SJC|
SJC|YWK,|YWK|YZV|YUL|DEN|SJC|
SJC|ANU,|ANU|EWR|MDW|SJC|
SJC|AUA,|AUA|ATL|LAS|SJC|
SJC|AUH,|AUH|FRA|SEA|SJC|
SJC|BCN,|BCN|YYZ|DEN|SJC|
SJC|BDA,|BDA|EWR|MDW|SJC|
SJC|BGI,|BGI|YYZ|DEN|SJC|
SJC|BNA,|BNA|DEN|SJC|
SJC|BOG,|BOG|IAH|SJC|
SJC|BWI,|BWI|DEN|SJC|
SJC|CLE,|CLE|MDW|SJC|
SJC|CLT,|CLT|MDW|SJC|
SJC|CMH,|CMH|DEN|SJC|
SJC|CVG,|CVG|DEN|SJC|
SJC|DFW,|DFW|LAX|SJC|
SJC|DTW,|DTW|MDW|SJC|
SJC|DUB,|DUB|ORD|DEN|SJC|
SJC|FCO,|FCO|YYZ|DEN|SJC|
SJC|GCM,|GCM|IAH|SJC|
SJC|GGT,|GGT|FLL|LAS|SJC|
SJC|GND,|GND|YYZ|DEN|SJC|
SJC|GRU,|GRU|IAH|SJC|
SJC|HAV,|HAV|YYZ|DEN|SJC|
SJC|IND,|IND|DEN|SJC|
SJC|JFK,|JFK|IAD|DEN|SJC|
SJC|KIN,|KIN|YYZ|DEN|SJC|
SJC|LIM,|LIM|IAH|SJC|
SJC|LIR,|LIR|IAH|SJC|
SJC|MCI,|MCI|DEN|SJC|
SJC|MDT,|MDT|ORD|DEN|SJC|
SJC|MIA,|MIA|MSY|LAS|SJC|
SJC|MKE,|MKE|DEN|SJC|
SJC|MSP,|MSP|DEN|SJC|
SJC|NAS,|NAS|IAH|SJC|
SJC|PHL,|PHL|DEN|SJC|
SJC|PHX,|PHX|SJC|
SJC|PIT,|PIT|DEN|SJC|
SJC|PLS,|PLS|YYZ|DEN|SJC|
SJC|POP,|POP|YYZ|DEN|SJC|
SJC|RDU,|RDU|DEN|SJC|
SJC|ROC,|ROC|MDW|SJC|
SJC|RSW,|RSW|IAH|SJC|
SJC|SAN,|SAN|SJC|
SJC|SJO,|SJO|IAH|SJC|
SJC|STL,|STL|DEN|SJC|
SJC|SYR,|SYR|ORD|DEN|SJC|
SJC|TLV,|TLV|IST|FRA|SEA|SJC|
SJC|TPA,|TPA|LAS|SJC|
SJC|UVF,|UVF|EWR|MDW|SJC|
SJC|VIE,|VIE|ORD|DEN|SJC|
SJC|YAM,|YAM|YYZ|DEN|SJC|
SJC|YGK,|YGK|YYZ|DEN|SJC|
SJC|YQG,|YQG|YYZ|DEN|SJC|
SJC|YSB,|YSB|YYZ|DEN|SJC|
SJC|YTS,|YTS|YYZ|DEN|SJC|
SJC|YYB,|YYB|YYZ|DEN|SJC|
SJC|YZR,|YZR|YYZ|DEN|SJC|
SJC|CAN,|CAN|NRT|SJC|
SJC|URC,|URC|PEK|SEA|SJC|
SJC|CTU,|CTU|PEK|SEA|SJC|
SJC|HGH,|HGH|DLC|ICN|SEA|SJC|
SJC|XMN,|XMN|PEK|SEA|SJC|
SJC|CGO,|CGO|PEK|SEA|SJC|
SJC|CSX,|CSX|ICN|SEA|SJC|
SJC|SHE,|SHE|NRT|SJC|
SJC|SJW,|SJW|DLC|ICN|SEA|SJC|
SJC|WUH,|WUH|ICN|SEA|SJC|
SJC|SZX,|SZX|PVG|ICN|SEA|SJC|
SJC|CKG,|CKG|PEK|SEA|SJC|
SJC|KMG,|KMG|PEK|SEA|SJC|
SJC|FOC,|FOC|PEK|SEA|SJC|
SJC|NNG,|NNG|CAN|NRT|SJC|
SJC|SWA,|SWA|CAN|NRT|SJC|
SJC|ACX,|ACX|CAN|NRT|SJC|
SJC|AQG,|AQG|CAN|NRT|SJC|
SJC|AVA,|AVA|CAN|NRT|SJC|
SJC|BFJ,|BFJ|CAN|NRT|SJC|
SJC|BHY,|BHY|CAN|NRT|SJC|
SJC|BNE,|BNE|CAN|NRT|SJC|
SJC|CGD,|CGD|PEK|SEA|SJC|
SJC|CGK,|CGK|SIN|NRT|SJC|
SJC|CGQ,|CGQ|NRT|SJC|
SJC|CIH,|CIH|PEK|SEA|SJC|
SJC|CNX,|CNX|CAN|NRT|SJC|
SJC|CZX,|CZX|SHE|NRT|SJC|
SJC|DAC,|DAC|CAN|NRT|SJC|
SJC|DAD,|DAD|CAN|NRT|SJC|
SJC|DEL,|DEL|CAN|NRT|SJC|
SJC|DIG,|DIG|KMG|PEK|SEA|SJC|
SJC|DLC,|DLC|ICN|SEA|SJC|
SJC|DPS,|DPS|CAN|NRT|SJC|
SJC|DXB,|DXB|IST|FRA|SEA|SJC|
SJC|DYG,|DYG|PEK|SEA|SJC|
SJC|FUG,|FUG|CAN|NRT|SJC|
SJC|FUK,|FUK|ICN|SEA|SJC|
SJC|HAK,|HAK|CAN|NRT|SJC|
SJC|HAN,|HAN|CAN|NRT|SJC|
SJC|HDG,|HDG|CAN|NRT|SJC|
SJC|HET,|HET|DLC|ICN|SEA|SJC|
SJC|HFE,|HFE|CGQ|NRT|SJC|
SJC|HJJ,|HJJ|CSX|ICN|SEA|SJC|
SJC|HKT,|HKT|CAN|NRT|SJC|
SJC|HRB,|HRB|ICN|SEA|SJC|
SJC|HZH,|HZH|CAN|NRT|SJC|
SJC|JIU,|JIU|CAN|NRT|SJC|
SJC|JJN,|JJN|PEK|SEA|SJC|
SJC|JNG,|JNG|CAN|NRT|SJC|
SJC|KHN,|KHN|DLC|ICN|SEA|SJC|
SJC|KIX,|KIX|SFO|BUR|SJC|
SJC|KOW,|KOW|PEK|SEA|SJC|
SJC|KTM,|KTM|CAN|NRT|SJC|
SJC|KUL,|KUL|CAN|NRT|SJC|
SJC|KWE,|KWE|PEK|SEA|SJC|
SJC|KWL,|KWL|PEK|SEA|SJC|
SJC|LHW,|LHW|CGO|PEK|SEA|SJC|
SJC|LYA,|LYA|KHN|DLC|ICN|SEA|SJC|
SJC|LYG,|LYG|HSN|PEK|SEA|SJC|
SJC|LZH,|LZH|CAN|NRT|SJC|
SJC|MEL,|MEL|SYD|LAX|SJC|
SJC|MIG,|MIG|CSX|ICN|SEA|SJC|
SJC|MLE,|MLE|CAN|NRT|SJC|
SJC|MNL,|MNL|CAN|NRT|SJC|
SJC|MXZ,|MXZ|CAN|NRT|SJC|
SJC|NAO,|NAO|PEK|SEA|SJC|
SJC|NGB,|NGB|DLC|ICN|SEA|SJC|
SJC|NKG,|NKG|DLC|ICN|SEA|SJC|
SJC|NNY,|NNY|CGO|PEK|SEA|SJC|
SJC|PEN,|PEN|CAN|NRT|SJC|
SJC|PER,|PER|CAN|NRT|SJC|
SJC|PNH,|PNH|CAN|NRT|SJC|
SJC|REP,|REP|CAN|NRT|SJC|
SJC|RGN,|RGN|CAN|NRT|SJC|
SJC|SGN,|SGN|CAN|NRT|SJC|
SJC|SHA,|SHA|PEK|SEA|SJC|
SJC|SIN,|SIN|NRT|SJC|
SJC|SVO,|SVO|URC|PEK|SEA|SJC|
SJC|SYX,|SYX|CAN|NRT|SJC|
SJC|TAO,|TAO|DLC|ICN|SEA|SJC|
SJC|TEN,|TEN|PEK|SEA|SJC|
SJC|TNA,|TNA|DLC|ICN|SEA|SJC|
SJC|TPE,|TPE|PVG|ICN|SEA|SJC|
SJC|TSN,|TSN|DLC|ICN|SEA|SJC|
SJC|TXN,|TXN|DLC|ICN|SEA|SJC|
SJC|TYN,|TYN|DLC|ICN|SEA|SJC|
SJC|WNZ,|WNZ|CGO|PEK|SEA|SJC|
SJC|WUX,|WUX|CAN|NRT|SJC|
SJC|XFN,|XFN|CAN|NRT|SJC|
SJC|XIY,|XIY|PEK|SEA|SJC|
SJC|XUZ,|XUZ|LYG|HSN|PEK|SEA|SJC|
SJC|YIH,|YIH|CKG|PEK|SEA|SJC|
SJC|YIW,|YIW|PEK|SEA|SJC|
SJC|YNT,|YNT|SHE|NRT|SJC|
SJC|YNZ,|YNZ|DLC|ICN|SEA|SJC|
SJC|YTY,|YTY|DLC|ICN|SEA|SJC|
SJC|ZHA,|ZHA|CAN|NRT|SJC|
SJC|ZYI,|ZYI|PEK|SEA|SJC|
SJC|BAV,|BAV|SHE|NRT|SJC|
SJC|CJU,|CJU|DLC|ICN|SEA|SJC|
SJC|DSN,|DSN|CGO|PEK|SEA|SJC|
SJC|HMI,|HMI|CGO|PEK|SEA|SJC|
SJC|INC,|INC|PEK|SEA|SJC|
SJC|KHH,|KHH|CGO|PEK|SEA|SJC|
SJC|UYN,|UYN|CGO|PEK|SEA|SJC|
SJC|XNN,|XNN|PEK|SEA|SJC|
SJC|ZUH,|ZUH|PVG|ICN|SEA|SJC|
