SJU|BRU,|BRU|EWR|SJU|
SJU|OUA,|OUA|BRU|EWR|SJU|
SJU|JED,|JED|FRA|EWR|SJU|
SJU|CPH,|CPH|AMS|EWR|SJU|
SJU|YYZ,|YYZ|SJU|
SJU|DEN,|DEN|MCO|SJU|
SJU|YUL,|YUL|EWR|SJU|
SJU|NBO,|NBO|ZRH|EWR|SJU|
SJU|ICN,|ICN|JFK|IAD|SJU|
SJU|NRT,|NRT|IAD|SJU|
SJU|YHZ,|YHZ|EWR|SJU|
SJU|YOW,|YOW|EWR|SJU|
SJU|BJM,|BJM|BRU|EWR|SJU|
SJU|COO,|COO|BRU|EWR|SJU|
SJU|DKR,|DKR|IAD|SJU|
SJU|DLA,|DLA|BRU|EWR|SJU|
SJU|KGL,|KGL|BRU|EWR|SJU|
SJU|LAD,|LAD|BRU|EWR|SJU|
SJU|ABJ,|ABJ|BRU|EWR|SJU|
SJU|AMS,|AMS|EWR|SJU|
SJU|OSL,|OSL|EWR|SJU|
SJU|VNO,|VNO|CPH|AMS|EWR|SJU|
SJU|WAW,|WAW|CPH|AMS|EWR|SJU|
SJU|YYC,|YYC|ORD|SJU|
SJU|ATL,|ATL|SJU|
SJU|MSY,|MSY|FLL|SJU|
SJU|YEG,|YEG|ORD|SJU|
SJU|YMM,|YMM|YYZ|SJU|
SJU|YQR,|YQR|ORD|SJU|
SJU|YVR,|YVR|ORD|SJU|
SJU|YWG,|YWG|ORD|SJU|
SJU|YXE,|YXE|ORD|SJU|
SJU|CKY,|CKY|DKR|IAD|SJU|
SJU|FIH,|FIH|DLA|BRU|EWR|SJU|
SJU|SCL,|SCL|YYZ|SJU|
SJU|LCA,|LCA|FRA|EWR|SJU|
SJU|NAP,|NAP|FRA|EWR|SJU|
SJU|VLC,|VLC|FRA|EWR|SJU|
SJU|BKK,|BKK|CGO|PEK|EWR|SJU|
SJU|ADD,|ADD|JED|FRA|EWR|SJU|
SJU|FRA,|FRA|EWR|SJU|
SJU|IST,|IST|BHX|EWR|SJU|
SJU|EBB,|EBB|KGL|BRU|EWR|SJU|
SJU|YLW,|YLW|YYC|ORD|SJU|
SJU|YYT,|YYT|EWR|SJU|
SJU|GUA,|GUA|IAH|SJU|
SJU|EWR,|EWR|SJU|
SJU|IAD,|IAD|SJU|
