SKG|BRU,|BRU|IST|SKG|
SKG|OUA,|OUA|NIM|IST|SKG|
SKG|JED,|JED|IST|SKG|
SKG|CPH,|CPH|IST|SKG|
SKG|YYZ,|YYZ|IST|SKG|
SKG|DEN,|DEN|FRA|IST|SKG|
SKG|YUL,|YUL|FRA|IST|SKG|
SKG|NBO,|NBO|IST|SKG|
SKG|ICN,|ICN|IST|SKG|
SKG|NRT,|NRT|IST|SKG|
SKG|YHZ,|YHZ|LHR|IST|SKG|
SKG|YOW,|YOW|FRA|IST|SKG|
SKG|BJM,|BJM|BRU|IST|SKG|
SKG|COO,|COO|BRU|IST|SKG|
SKG|DKR,|DKR|BRU|IST|SKG|
SKG|DLA,|DLA|IST|SKG|
SKG|KGL,|KGL|IST|SKG|
SKG|LAD,|LAD|BRU|IST|SKG|
SKG|ABJ,|ABJ|OUA|NIM|IST|SKG|
SKG|AMS,|AMS|IST|SKG|
SKG|OSL,|OSL|IST|SKG|
SKG|VNO,|VNO|IST|SKG|
SKG|WAW,|WAW|IST|SKG|
SKG|YYC,|YYC|FRA|IST|SKG|
SKG|ATL,|ATL|FRA|IST|SKG|
SKG|MSY,|MSY|IAD|IST|SKG|
SKG|YEG,|YEG|LHR|IST|SKG|
SKG|YMM,|YMM|YEG|LHR|IST|SKG|
SKG|YQR,|YQR|YEG|LHR|IST|SKG|
SKG|YVR,|YVR|MUC|IST|SKG|
SKG|YWG,|YWG|YUL|FRA|IST|SKG|
SKG|YXE,|YXE|YEG|LHR|IST|SKG|
SKG|CKY,|CKY|DKR|BRU|IST|SKG|
SKG|FIH,|FIH|IST|SKG|
SKG|SCL,|SCL|EZE|GRU|IST|SKG|
SKG|LCA,|LCA|FRA|IST|SKG|
SKG|NAP,|NAP|IST|SKG|
SKG|VLC,|VLC|IST|SKG|
SKG|BKK,|BKK|IST|SKG|
SKG|ADD,|ADD|IST|SKG|
SKG|FRA,|FRA|IST|SKG|
SKG|IST,|IST|SKG|
SKG|EBB,|EBB|KGL|IST|SKG|
SKG|YLW,|YLW|YYC|FRA|IST|SKG|
SKG|YYT,|YYT|LHR|IST|SKG|
SKG|GUA,|GUA|MIA|ZRH|IST|SKG|
SKG|EWR,|EWR|BHX|IST|SKG|
SKG|IAD,|IAD|IST|SKG|
SKG|IAH,|IAH|IST|SKG|
SKG|ORD,|ORD|IST|SKG|
SKG|SOF,|SOF|IST|SKG|
SKG|YQB,|YQB|YUL|FRA|IST|SKG|
SKG|YXU,|YXU|YYZ|IST|SKG|
SKG|EZE,|EZE|GRU|IST|SKG|
SKG|YYJ,|YYJ|YVR|MUC|IST|SKG|
SKG|YYY,|YYY|YUL|FRA|IST|SKG|
SKG|YQQ,|YQQ|YBL|YVR|MUC|IST|SKG|
SKG|YYR,|YYR|YYT|LHR|IST|SKG|
SKG|LHR,|LHR|IST|SKG|
SKG|SFO,|SFO|MUC|IST|SKG|
SKG|YQU,|YQU|YEG|LHR|IST|SKG|
SKG|YZF,|YZF|YEG|LHR|IST|SKG|
SKG|YGR,|YGR|YGP|YQB|YUL|FRA|IST|SKG|
SKG|YGP,|YGP|YQB|YUL|FRA|IST|SKG|
SKG|BOS,|BOS|FRA|IST|SKG|
SKG|YDF,|YDF|YYT|LHR|IST|SKG|
SKG|YFC,|YFC|YHZ|LHR|IST|SKG|
SKG|YQM,|YQM|YHZ|LHR|IST|SKG|
SKG|YQX,|YQX|YYT|LHR|IST|SKG|
SKG|YQY,|YQY|YHZ|LHR|IST|SKG|
SKG|YSJ,|YSJ|YHZ|LHR|IST|SKG|
SKG|YYG,|YYG|YHZ|LHR|IST|SKG|
SKG|LAX,|LAX|IST|SKG|
SKG|DCA,|DCA|EWR|BHX|IST|SKG|
SKG|LGA,|LGA|YHZ|LHR|IST|SKG|
SKG|YZV,|YZV|YWK|YYR|YYT|LHR|IST|SKG|
SKG|YWL,|YWL|YVR|MUC|IST|SKG|
SKG|AZS,|AZS|YUL|FRA|IST|SKG|
SKG|BDL,|BDL|YUL|FRA|IST|SKG|
SKG|CCC,|CCC|YUL|FRA|IST|SKG|
SKG|CDG,|CDG|IST|SKG|
SKG|CUN,|CUN|YHZ|LHR|IST|SKG|
SKG|CZM,|CZM|YUL|FRA|IST|SKG|
SKG|FDF,|FDF|YUL|FRA|IST|SKG|
SKG|FLL,|FLL|MCO|FRA|IST|SKG|
SKG|GVA,|GVA|IST|SKG|
SKG|HOG,|HOG|YUL|FRA|IST|SKG|
SKG|LAS,|LAS|DEN|FRA|IST|SKG|
SKG|MBJ,|MBJ|YHZ|LHR|IST|SKG|
SKG|MCO,|MCO|FRA|IST|SKG|
SKG|MUC,|MUC|IST|SKG|
SKG|PAP,|PAP|YUL|FRA|IST|SKG|
SKG|PTP,|PTP|YUL|FRA|IST|SKG|
SKG|PUJ,|PUJ|YHZ|LHR|IST|SKG|
SKG|SNU,|SNU|YUL|FRA|IST|SKG|
SKG|VRA,|VRA|YUL|FRA|IST|SKG|
SKG|YBC,|YBC|YUL|FRA|IST|SKG|
SKG|YBG,|YBG|YUL|FRA|IST|SKG|
SKG|YTZ,|YTZ|YUL|FRA|IST|SKG|
SKG|YUY,|YUY|YUL|FRA|IST|SKG|
SKG|YVO,|YVO|YUL|FRA|IST|SKG|
SKG|ZBF,|ZBF|YUL|FRA|IST|SKG|
SKG|ZRH,|ZRH|IST|SKG|
SKG|ZSA,|ZSA|YUL|FRA|IST|SKG|
SKG|AKL,|AKL|BKK|IST|SKG|
SKG|HKG,|HKG|IST|SKG|
SKG|HND,|HND|YVR|MUC|IST|SKG|
SKG|HNL,|HNL|YVR|MUC|IST|SKG|
SKG|MEX,|MEX|IAD|IST|SKG|
SKG|OGG,|OGG|YVR|MUC|IST|SKG|
SKG|PDX,|PDX|SEA|FRA|IST|SKG|
SKG|PEK,|PEK|IST|SKG|
SKG|PVG,|PVG|IST|SKG|
SKG|PVR,|PVR|ORD|IST|SKG|
SKG|SEA,|SEA|FRA|IST|SKG|
SKG|SYD,|SYD|BKK|IST|SKG|
SKG|YBL,|YBL|YVR|MUC|IST|SKG|
SKG|YCD,|YCD|YVR|MUC|IST|SKG|
SKG|YCG,|YCG|YYC|FRA|IST|SKG|
SKG|YKA,|YKA|YYC|FRA|IST|SKG|
SKG|YPR,|YPR|YVR|MUC|IST|SKG|
SKG|YQZ,|YQZ|YVR|MUC|IST|SKG|
SKG|YXC,|YXC|YYC|FRA|IST|SKG|
SKG|YXJ,|YXJ|YYC|FRA|IST|SKG|
SKG|YXS,|YXS|YYC|FRA|IST|SKG|
SKG|YXT,|YXT|YVR|MUC|IST|SKG|
SKG|YXY,|YXY|YVR|MUC|IST|SKG|
SKG|YYD,|YYD|YVR|MUC|IST|SKG|
SKG|YYF,|YYF|YVR|MUC|IST|SKG|
SKG|YZP,|YZP|YVR|MUC|IST|SKG|
SKG|YQT,|YQT|YYZ|IST|SKG|
SKG|SJD,|SJD|ORD|IST|SKG|
SKG|YQF,|YQF|YYC|FRA|IST|SKG|
SKG|YQL,|YQL|YYC|FRA|IST|SKG|
SKG|YXH,|YXH|YYC|FRA|IST|SKG|
SKG|YWK,|YWK|YYR|YYT|LHR|IST|SKG|
SKG|ANU,|ANU|EWR|BHX|IST|SKG|
SKG|AUA,|AUA|EWR|BHX|IST|SKG|
SKG|AUH,|AUH|IST|SKG|
SKG|BCN,|BCN|IST|SKG|
SKG|BDA,|BDA|EWR|BHX|IST|SKG|
SKG|BGI,|BGI|YYZ|IST|SKG|
SKG|BNA,|BNA|YYZ|IST|SKG|
SKG|BOG,|BOG|MIA|ZRH|IST|SKG|
SKG|BWI,|BWI|EWR|BHX|IST|SKG|
SKG|CLE,|CLE|YYZ|IST|SKG|
SKG|CLT,|CLT|EWR|BHX|IST|SKG|
SKG|CMH,|CMH|YYZ|IST|SKG|
SKG|CVG,|CVG|YYZ|IST|SKG|
SKG|DFW,|DFW|ORD|IST|SKG|
SKG|DTW,|DTW|FRA|IST|SKG|
SKG|DUB,|DUB|IST|SKG|
SKG|FCO,|FCO|IST|SKG|
SKG|GCM,|GCM|EWR|BHX|IST|SKG|
SKG|GGT,|GGT|FLL|MCO|FRA|IST|SKG|
SKG|GND,|GND|YYZ|IST|SKG|
SKG|GRU,|GRU|IST|SKG|
SKG|HAV,|HAV|YYZ|IST|SKG|
SKG|IND,|IND|YYZ|IST|SKG|
SKG|JFK,|JFK|IST|SKG|
SKG|KIN,|KIN|YYZ|IST|SKG|
SKG|LIM,|LIM|MIA|ZRH|IST|SKG|
SKG|LIR,|LIR|EWR|BHX|IST|SKG|
SKG|MCI,|MCI|ORD|IST|SKG|
SKG|MDT,|MDT|IAD|IST|SKG|
SKG|MIA,|MIA|ZRH|IST|SKG|
SKG|MKE,|MKE|YYZ|IST|SKG|
SKG|MSP,|MSP|YUL|FRA|IST|SKG|
SKG|NAS,|NAS|EWR|BHX|IST|SKG|
SKG|PHL,|PHL|IAD|IST|SKG|
SKG|PHX,|PHX|DEN|FRA|IST|SKG|
SKG|PIT,|PIT|YYZ|IST|SKG|
SKG|PLS,|PLS|EWR|BHX|IST|SKG|
SKG|POP,|POP|EWR|BHX|IST|SKG|
SKG|RDU,|RDU|EWR|BHX|IST|SKG|
SKG|ROC,|ROC|YYZ|IST|SKG|
SKG|RSW,|RSW|MCO|FRA|IST|SKG|
SKG|SAN,|SAN|LAX|IST|SKG|
SKG|SJO,|SJO|EWR|BHX|IST|SKG|
SKG|STL,|STL|ORD|IST|SKG|
SKG|SYR,|SYR|EWR|BHX|IST|SKG|
SKG|TLV,|TLV|IST|SKG|
SKG|TPA,|TPA|EWR|BHX|IST|SKG|
SKG|UVF,|UVF|EWR|BHX|IST|SKG|
SKG|VIE,|VIE|IST|SKG|
SKG|YAM,|YAM|YYZ|IST|SKG|
SKG|YGK,|YGK|YYZ|IST|SKG|
SKG|YQG,|YQG|YYZ|IST|SKG|
SKG|YSB,|YSB|YYZ|IST|SKG|
SKG|YTS,|YTS|YYZ|IST|SKG|
SKG|YYB,|YYB|YYZ|IST|SKG|
SKG|YZR,|YZR|YYZ|IST|SKG|
SKG|CAN,|CAN|IST|SKG|
SKG|URC,|URC|IST|SKG|
SKG|CTU,|CTU|URC|IST|SKG|
SKG|HGH,|HGH|URC|IST|SKG|
SKG|XMN,|XMN|CSX|URC|IST|SKG|
SKG|CGO,|CGO|URC|IST|SKG|
SKG|CSX,|CSX|URC|IST|SKG|
SKG|SHE,|SHE|PEK|IST|SKG|
SKG|SJW,|SJW|URC|IST|SKG|
SKG|WUH,|WUH|URC|IST|SKG|
SKG|SZX,|SZX|CKG|URC|IST|SKG|
SKG|CKG,|CKG|URC|IST|SKG|
SKG|KMG,|KMG|CTU|URC|IST|SKG|
SKG|FOC,|FOC|XIY|URC|IST|SKG|
SKG|NNG,|NNG|KWE|URC|IST|SKG|
SKG|SWA,|SWA|CAN|IST|SKG|
SKG|ACX,|ACX|CAN|IST|SKG|
SKG|AQG,|AQG|CAN|IST|SKG|
SKG|AVA,|AVA|CAN|IST|SKG|
SKG|BFJ,|BFJ|CAN|IST|SKG|
SKG|BHY,|BHY|CKG|URC|IST|SKG|
SKG|BNE,|BNE|BKK|IST|SKG|
SKG|CGD,|CGD|PEK|IST|SKG|
SKG|CGK,|CGK|SIN|IST|SKG|
SKG|CGQ,|CGQ|HET|URC|IST|SKG|
SKG|CIH,|CIH|PEK|IST|SKG|
SKG|CNX,|CNX|CAN|IST|SKG|
SKG|CZX,|CZX|TYN|URC|IST|SKG|
SKG|DAC,|DAC|IST|SKG|
SKG|DAD,|DAD|CAN|IST|SKG|
SKG|DEL,|DEL|IST|SKG|
SKG|DIG,|DIG|KMG|CTU|URC|IST|SKG|
SKG|DLC,|DLC|PEK|IST|SKG|
SKG|DPS,|DPS|CAN|IST|SKG|
SKG|DXB,|DXB|IST|SKG|
SKG|DYG,|DYG|CSX|URC|IST|SKG|
SKG|FUG,|FUG|CAN|IST|SKG|
SKG|FUK,|FUK|ICN|IST|SKG|
SKG|HAK,|HAK|CTU|URC|IST|SKG|
SKG|HAN,|HAN|CAN|IST|SKG|
SKG|HDG,|HDG|CAN|IST|SKG|
SKG|HET,|HET|URC|IST|SKG|
SKG|HFE,|HFE|XIY|URC|IST|SKG|
SKG|HJJ,|HJJ|CSX|URC|IST|SKG|
SKG|HKT,|HKT|KWE|URC|IST|SKG|
SKG|HRB,|HRB|PEK|IST|SKG|
SKG|HZH,|HZH|CAN|IST|SKG|
SKG|JIU,|JIU|CAN|IST|SKG|
SKG|JJN,|JJN|CSX|URC|IST|SKG|
SKG|JNG,|JNG|CAN|IST|SKG|
SKG|KHN,|KHN|XIY|URC|IST|SKG|
SKG|KIX,|KIX|IST|SKG|
SKG|KOW,|KOW|CAN|IST|SKG|
SKG|KTM,|KTM|IST|SKG|
SKG|KUL,|KUL|IST|SKG|
SKG|KWE,|KWE|URC|IST|SKG|
SKG|KWL,|KWL|CKG|URC|IST|SKG|
SKG|LHW,|LHW|URC|IST|SKG|
SKG|LYA,|LYA|KHN|XIY|URC|IST|SKG|
SKG|LYG,|LYG|XUZ|INC|URC|IST|SKG|
SKG|LZH,|LZH|CAN|IST|SKG|
SKG|MEL,|MEL|BKK|IST|SKG|
SKG|MIG,|MIG|CSX|URC|IST|SKG|
SKG|MLE,|MLE|IST|SKG|
SKG|MNL,|MNL|CAN|IST|SKG|
SKG|MXZ,|MXZ|CAN|IST|SKG|
SKG|NAO,|NAO|PEK|IST|SKG|
SKG|NGB,|NGB|WUH|URC|IST|SKG|
SKG|NKG,|NKG|URC|IST|SKG|
SKG|NNY,|NNY|CGO|URC|IST|SKG|
SKG|PEN,|PEN|CAN|IST|SKG|
SKG|PER,|PER|BKK|IST|SKG|
SKG|PNH,|PNH|CAN|IST|SKG|
SKG|REP,|REP|CAN|IST|SKG|
SKG|RGN,|RGN|CAN|IST|SKG|
SKG|SGN,|SGN|BKK|IST|SKG|
SKG|SHA,|SHA|URC|IST|SKG|
SKG|SIN,|SIN|IST|SKG|
SKG|SVO,|SVO|URC|IST|SKG|
SKG|SYX,|SYX|CKG|URC|IST|SKG|
SKG|TAO,|TAO|TYN|URC|IST|SKG|
SKG|TEN,|TEN|CAN|IST|SKG|
SKG|TNA,|TNA|URC|IST|SKG|
SKG|TPE,|TPE|URC|IST|SKG|
SKG|TSN,|TSN|HET|URC|IST|SKG|
SKG|TXN,|TXN|TYN|URC|IST|SKG|
SKG|TYN,|TYN|URC|IST|SKG|
SKG|WNZ,|WNZ|XIY|URC|IST|SKG|
SKG|WUX,|WUX|CAN|IST|SKG|
SKG|XFN,|XFN|CAN|IST|SKG|
SKG|XIY,|XIY|URC|IST|SKG|
SKG|XUZ,|XUZ|INC|URC|IST|SKG|
SKG|YIH,|YIH|CKG|URC|IST|SKG|
SKG|YIW,|YIW|URC|IST|SKG|
SKG|YNT,|YNT|SHE|PEK|IST|SKG|
SKG|YNZ,|YNZ|WUH|URC|IST|SKG|
SKG|YTY,|YTY|CGO|URC|IST|SKG|
SKG|ZHA,|ZHA|CAN|IST|SKG|
SKG|ZYI,|ZYI|CAN|IST|SKG|
SKG|BAV,|BAV|URC|IST|SKG|
SKG|CJU,|CJU|DLC|PEK|IST|SKG|
SKG|DSN,|DSN|CGO|URC|IST|SKG|
SKG|HMI,|HMI|URC|IST|SKG|
SKG|INC,|INC|URC|IST|SKG|
SKG|KHH,|KHH|WUH|URC|IST|SKG|
SKG|UYN,|UYN|XIY|URC|IST|SKG|
SKG|XNN,|XNN|URC|IST|SKG|
SKG|ZUH,|ZUH|KWE|URC|IST|SKG|
SKG|YNJ,|YNJ|PEK|IST|SKG|
SKG|DAT,|DAT|TYN|URC|IST|SKG|
SKG|JHG,|JHG|KMG|CTU|URC|IST|SKG|
SKG|LJG,|LJG|KMG|CTU|URC|IST|SKG|
SKG|LXA,|LXA|CKG|URC|IST|SKG|
SKG|YCU,|YCU|CKG|URC|IST|SKG|
SKG|LZO,|LZO|CSX|URC|IST|SKG|
SKG|MDG,|MDG|DLC|PEK|IST|SKG|
SKG|NGO,|NGO|ICN|IST|SKG|
SKG|TOY,|TOY|DLC|PEK|IST|SKG|
SKG|MFM,|MFM|XMN|CSX|URC|IST|SKG|
SKG|TGO,|TGO|HET|URC|IST|SKG|
SKG|XIL,|XIL|HET|URC|IST|SKG|
SKG|HEK,|HEK|HRB|PEK|IST|SKG|
SKG|KIJ,|KIJ|HRB|PEK|IST|SKG|
SKG|LDS,|LDS|HRB|PEK|IST|SKG|
SKG|OHE,|OHE|HRB|PEK|IST|SKG|
SKG|HSN,|HSN|LYG|XUZ|INC|URC|IST|SKG|
SKG|DLU,|DLU|KMG|CTU|URC|IST|SKG|
SKG|SYM,|SYM|KMG|CTU|URC|IST|SKG|
SKG|ZAT,|ZAT|KMG|CTU|URC|IST|SKG|
SKG|LUN,|LUN|NBO|IST|SKG|
SKG|AOG,|AOG|PEK|IST|SKG|
SKG|GMP,|GMP|PEK|IST|SKG|
SKG|ISB,|ISB|IST|SKG|
SKG|TAS,|TAS|IST|SKG|
SKG|WUS,|WUS|PEK|IST|SKG|
SKG|JMU,|JMU|PVG|IST|SKG|
SKG|NDG,|NDG|PVG|IST|SKG|
SKG|JXA,|JXA|SHE|PEK|IST|SKG|
SKG|PUS,|PUS|SHE|PEK|IST|SKG|
SKG|BKI,|BKI|SZX|CKG|URC|IST|SKG|
SKG|AKU,|AKU|URC|IST|SKG|
SKG|ALA,|ALA|IST|SKG|
SKG|ASB,|ASB|IST|SKG|
SKG|DNH,|DNH|URC|IST|SKG|
SKG|DYU,|DYU|IST|SKG|
SKG|FRU,|FRU|IST|SKG|
SKG|GYD,|GYD|IST|SKG|
SKG|HTN,|HTN|URC|IST|SKG|
SKG|IKA,|IKA|IST|SKG|
SKG|KCA,|KCA|URC|IST|SKG|
SKG|KHG,|KHG|URC|IST|SKG|
SKG|KRL,|KRL|URC|IST|SKG|
SKG|KRY,|KRY|URC|IST|SKG|
SKG|LBD,|LBD|URC|IST|SKG|
SKG|NLT,|NLT|URC|IST|SKG|
SKG|OSS,|OSS|IST|SKG|
SKG|OVB,|OVB|IST|SKG|
SKG|TBS,|TBS|IST|SKG|
SKG|TCG,|TCG|URC|IST|SKG|
SKG|TSE,|TSE|IST|SKG|
SKG|YIN,|YIN|URC|IST|SKG|
SKG|ENH,|ENH|WUH|URC|IST|SKG|
SKG|ENY,|ENY|XIY|URC|IST|SKG|
SKG|WXN,|WXN|XIY|URC|IST|SKG|
SKG|BLL,|BLL|IST|SKG|
SKG|ESB,|ESB|IST|SKG|
SKG|SAW,|SAW|ADB|IST|SKG|
SKG|HAM,|HAM|IST|SKG|
SKG|HRE,|HRE|ADD|IST|SKG|
SKG|JUB,|JUB|CAI|IST|SKG|
SKG|SSG,|SSG|DLA|IST|SKG|
SKG|BGW,|BGW|IST|SKG|
SKG|EBL,|EBL|IST|SKG|
SKG|VKO,|VKO|IST|SKG|
SKG|MCT,|MCT|IST|SKG|
SKG|AYT,|AYT|IST|SKG|
SKG|SCQ,|SCQ|BIO|IST|SKG|
SKG|AAL,|AAL|IST|SKG|
SKG|AOE,|AOE|BRU|IST|SKG|
SKG|JNB,|JNB|IST|SKG|
SKG|LBV,|LBV|DLA|IST|SKG|
SKG|ADA,|ADA|IST|SKG|
SKG|ADB,|ADB|IST|SKG|
SKG|ADF,|ADF|IST|SKG|
SKG|AJI,|AJI|IST|SKG|
SKG|BAL,|BAL|IST|SKG|
SKG|BJV,|BJV|IST|SKG|
SKG|CKZ,|CKZ|ESB|IST|SKG|
SKG|DIY,|DIY|IST|SKG|
SKG|ECN,|ECN|IST|SKG|
SKG|ERC,|ERC|IST|SKG|
SKG|ERZ,|ERZ|IST|SKG|
SKG|EZS,|EZS|IST|SKG|
SKG|GNY,|GNY|IST|SKG|
SKG|GZP,|GZP|ESB|IST|SKG|
SKG|GZT,|GZT|IST|SKG|
SKG|HTY,|HTY|IST|SKG|
SKG|KCM,|KCM|IST|SKG|
SKG|KSY,|KSY|IST|SKG|
SKG|MLX,|MLX|IST|SKG|
SKG|MQM,|MQM|IST|SKG|
SKG|MSR,|MSR|IST|SKG|
SKG|TEQ,|TEQ|ESB|IST|SKG|
SKG|TZX,|TZX|IST|SKG|
SKG|VAN,|VAN|IST|SKG|
SKG|ULN,|ULN|FRU|IST|SKG|
SKG|HIJ,|HIJ|ICN|IST|SKG|
SKG|VVO,|VVO|ICN|IST|SKG|
SKG|ACC,|ACC|IST|SKG|
SKG|AER,|AER|IST|SKG|
SKG|AGP,|AGP|IST|SKG|
SKG|ALG,|ALG|IST|SKG|
SKG|AMM,|AMM|IST|SKG|
SKG|AQJ,|AQJ|IST|SKG|
SKG|ARN,|ARN|IST|SKG|
SKG|ASR,|ASR|IST|SKG|
SKG|ATH,|ATH|IST|SKG|
SKG|BAH,|BAH|IST|SKG|
SKG|BEG,|BEG|IST|SKG|
SKG|BEN,|BEN|IST|SKG|
SKG|BEY,|BEY|IST|SKG|
SKG|BHX,|BHX|IST|SKG|
SKG|BIO,|BIO|IST|SKG|
SKG|BLQ,|BLQ|IST|SKG|
SKG|BOM,|BOM|IST|SKG|
SKG|BRE,|BRE|IST|SKG|
SKG|BSL,|BSL|IST|SKG|
SKG|BSR,|BSR|IST|SKG|
SKG|BUD,|BUD|IST|SKG|
SKG|BUS,|BUS|IST|SKG|
SKG|CAI,|CAI|IST|SKG|
SKG|CGN,|CGN|IST|SKG|
SKG|CMN,|CMN|IST|SKG|
SKG|CND,|CND|IST|SKG|
SKG|DAR,|DAR|IST|SKG|
SKG|DLM,|DLM|IST|SKG|
SKG|DMM,|DMM|IST|SKG|
SKG|DNK,|DNK|IST|SKG|
SKG|DNZ,|DNZ|IST|SKG|
SKG|DOK,|DOK|IST|SKG|
SKG|DUS,|DUS|IST|SKG|
SKG|EDI,|EDI|IST|SKG|
SKG|ELQ,|ELQ|IST|SKG|
SKG|FDH,|FDH|IST|SKG|
SKG|GOA,|GOA|IST|SKG|
SKG|GOT,|GOT|IST|SKG|
SKG|HAJ,|HAJ|IST|SKG|
SKG|HBE,|HBE|IST|SKG|
SKG|HEL,|HEL|IST|SKG|
SKG|HRG,|HRG|IST|SKG|
SKG|IFN,|IFN|IST|SKG|
SKG|ISE,|ISE|IST|SKG|
SKG|ISU,|ISU|IST|SKG|
SKG|JIB,|JIB|IST|SKG|
SKG|JRO,|JRO|IST|SKG|
SKG|KAN,|KAN|IST|SKG|
SKG|KBL,|KBL|IST|SKG|
SKG|KBP,|KBP|IST|SKG|
SKG|KFS,|KFS|IST|SKG|
SKG|KHI,|KHI|IST|SKG|
SKG|KIV,|KIV|IST|SKG|
SKG|KRT,|KRT|IST|SKG|
SKG|KSH,|KSH|IST|SKG|
SKG|KVD,|KVD|IST|SKG|
SKG|KWI,|KWI|IST|SKG|
SKG|KYA,|KYA|IST|SKG|
