SLP|BRU,|BRU|YUL|IAH|SLP|
SLP|OUA,|OUA|BRU|YUL|IAH|SLP|
SLP|JED,|JED|FRA|IAH|SLP|
SLP|CPH,|CPH|YYZ|IAH|SLP|
SLP|YYZ,|YYZ|IAH|SLP|
SLP|DEN,|DEN|IAH|SLP|
SLP|YUL,|YUL|IAH|SLP|
SLP|NBO,|NBO|ZRH|YUL|IAH|SLP|
SLP|ICN,|ICN|YVR|IAH|SLP|
SLP|NRT,|NRT|IAH|SLP|
SLP|YHZ,|YHZ|BOS|IAH|SLP|
SLP|YOW,|YOW|YYZ|IAH|SLP|
SLP|BJM,|BJM|BRU|YUL|IAH|SLP|
SLP|COO,|COO|BRU|YUL|IAH|SLP|
SLP|DKR,|DKR|IAD|IAH|SLP|
SLP|DLA,|DLA|BRU|YUL|IAH|SLP|
SLP|KGL,|KGL|BRU|YUL|IAH|SLP|
SLP|LAD,|LAD|BRU|YUL|IAH|SLP|
SLP|ABJ,|ABJ|BRU|YUL|IAH|SLP|
SLP|AMS,|AMS|IAH|SLP|
SLP|OSL,|OSL|EWR|IAH|SLP|
SLP|VNO,|VNO|CPH|YYZ|IAH|SLP|
SLP|WAW,|WAW|YYZ|IAH|SLP|
SLP|YYC,|YYC|IAH|SLP|
SLP|ATL,|ATL|IAH|SLP|
SLP|MSY,|MSY|IAH|SLP|
SLP|YEG,|YEG|IAH|SLP|
SLP|YMM,|YMM|DEN|IAH|SLP|
SLP|YQR,|YQR|DEN|IAH|SLP|
SLP|YVR,|YVR|IAH|SLP|
SLP|YWG,|YWG|ORD|IAH|SLP|
SLP|YXE,|YXE|DEN|IAH|SLP|
SLP|CKY,|CKY|DKR|IAD|IAH|SLP|
SLP|FIH,|FIH|DLA|BRU|YUL|IAH|SLP|
SLP|SCL,|SCL|EZE|IAH|SLP|
SLP|LCA,|LCA|FRA|IAH|SLP|
SLP|NAP,|NAP|FRA|IAH|SLP|
SLP|VLC,|VLC|FRA|IAH|SLP|
SLP|BKK,|BKK|CGO|PEK|IAH|SLP|
SLP|ADD,|ADD|JED|FRA|IAH|SLP|
SLP|FRA,|FRA|IAH|SLP|
SLP|IST,|IST|IAH|SLP|
SLP|EBB,|EBB|KGL|BRU|YUL|IAH|SLP|
SLP|YLW,|YLW|YYC|IAH|SLP|
SLP|YYT,|YYT|YHZ|BOS|IAH|SLP|
SLP|GUA,|GUA|IAH|SLP|
SLP|EWR,|EWR|IAH|SLP|
SLP|IAD,|IAD|IAH|SLP|
SLP|IAH,|IAH|SLP|
SLP|ORD,|ORD|IAH|SLP|
SLP|SOF,|SOF|MUC|IAH|SLP|
SLP|YQB,|YQB|YUL|IAH|SLP|
SLP|YXU,|YXU|ORD|IAH|SLP|
SLP|EZE,|EZE|IAH|SLP|
SLP|YYJ,|YYJ|YVR|IAH|SLP|
SLP|YYY,|YYY|YUL|IAH|SLP|
SLP|YQQ,|YQQ|YBL|YVR|IAH|SLP|
SLP|YYR,|YYR|YWK|YZV|YUL|IAH|SLP|
SLP|LHR,|LHR|IAH|SLP|
SLP|SFO,|SFO|IAH|SLP|
SLP|YQU,|YQU|YYC|IAH|SLP|
SLP|YZF,|YZF|YEG|IAH|SLP|
SLP|YGR,|YGR|YGP|YQB|YUL|IAH|SLP|
SLP|YGP,|YGP|YQB|YUL|IAH|SLP|
SLP|BOS,|BOS|IAH|SLP|
SLP|YDF,|YDF|YYZ|IAH|SLP|
SLP|YFC,|YFC|YUL|IAH|SLP|
SLP|YQM,|YQM|EWR|IAH|SLP|
SLP|YQX,|YQX|YHZ|BOS|IAH|SLP|
SLP|YQY,|YQY|YHZ|BOS|IAH|SLP|
SLP|YSJ,|YSJ|YUL|IAH|SLP|
SLP|YYG,|YYG|YUL|IAH|SLP|
SLP|LAX,|LAX|IAH|SLP|
SLP|DCA,|DCA|IAH|SLP|
SLP|LGA,|LGA|IAH|SLP|
SLP|YZV,|YZV|YUL|IAH|SLP|
SLP|YWL,|YWL|YVR|IAH|SLP|
SLP|AZS,|AZS|YYZ|IAH|SLP|
SLP|BDL,|BDL|IAD|IAH|SLP|
SLP|CCC,|CCC|YYZ|IAH|SLP|
SLP|CDG,|CDG|YUL|IAH|SLP|
SLP|CUN,|CUN|IAH|SLP|
SLP|CZM,|CZM|IAH|SLP|
SLP|FDF,|FDF|YUL|IAH|SLP|
SLP|FLL,|FLL|IAH|SLP|
SLP|GVA,|GVA|YUL|IAH|SLP|
SLP|HOG,|HOG|YYZ|IAH|SLP|
SLP|LAS,|LAS|IAH|SLP|
SLP|MBJ,|MBJ|IAH|SLP|
SLP|MCO,|MCO|IAH|SLP|
SLP|MUC,|MUC|IAH|SLP|
SLP|PAP,|PAP|YUL|IAH|SLP|
SLP|PTP,|PTP|YUL|IAH|SLP|
SLP|PUJ,|PUJ|ATL|IAH|SLP|
SLP|SNU,|SNU|YYZ|IAH|SLP|
SLP|VRA,|VRA|YYZ|IAH|SLP|
SLP|YBC,|YBC|YUL|IAH|SLP|
SLP|YBG,|YBG|YUL|IAH|SLP|
SLP|YTZ,|YTZ|YUL|IAH|SLP|
SLP|YUY,|YUY|YUL|IAH|SLP|
SLP|YVO,|YVO|YUL|IAH|SLP|
SLP|ZBF,|ZBF|YUL|IAH|SLP|
SLP|ZRH,|ZRH|YUL|IAH|SLP|
SLP|ZSA,|ZSA|YUL|IAH|SLP|
SLP|AKL,|AKL|LAX|IAH|SLP|
SLP|HKG,|HKG|YVR|IAH|SLP|
SLP|HND,|HND|YVR|IAH|SLP|
SLP|HNL,|HNL|IAH|SLP|
SLP|MEX,|MEX|IAH|SLP|
SLP|OGG,|OGG|LAX|IAH|SLP|
SLP|PDX,|PDX|IAH|SLP|
SLP|PEK,|PEK|IAH|SLP|
SLP|PVG,|PVG|YVR|IAH|SLP|
SLP|PVR,|PVR|IAH|SLP|
SLP|SEA,|SEA|IAH|SLP|
SLP|SYD,|SYD|LAX|IAH|SLP|
SLP|YBL,|YBL|YVR|IAH|SLP|
SLP|YCD,|YCD|YVR|IAH|SLP|
SLP|YCG,|YCG|YYC|IAH|SLP|
SLP|YKA,|YKA|YYC|IAH|SLP|
SLP|YPR,|YPR|YVR|IAH|SLP|
SLP|YQZ,|YQZ|YVR|IAH|SLP|
SLP|YXC,|YXC|YYC|IAH|SLP|
SLP|YXJ,|YXJ|YYC|IAH|SLP|
SLP|YXS,|YXS|YYC|IAH|SLP|
SLP|YXT,|YXT|YVR|IAH|SLP|
SLP|YXY,|YXY|YVR|IAH|SLP|
SLP|YYD,|YYD|YVR|IAH|SLP|
SLP|YYF,|YYF|YVR|IAH|SLP|
SLP|YZP,|YZP|YVR|IAH|SLP|
SLP|YQT,|YQT|YYZ|IAH|SLP|
SLP|SJD,|SJD|IAH|SLP|
SLP|YQF,|YQF|YYC|IAH|SLP|
SLP|YQL,|YQL|YYC|IAH|SLP|
SLP|YXH,|YXH|YYC|IAH|SLP|
SLP|YWK,|YWK|YZV|YUL|IAH|SLP|
SLP|ANU,|ANU|EWR|IAH|SLP|
SLP|AUA,|AUA|ATL|IAH|SLP|
SLP|AUH,|AUH|YYZ|IAH|SLP|
SLP|BCN,|BCN|EWR|IAH|SLP|
SLP|BDA,|BDA|EWR|IAH|SLP|
SLP|BGI,|BGI|YYZ|IAH|SLP|
SLP|BNA,|BNA|IAH|SLP|
SLP|BOG,|BOG|IAH|SLP|
SLP|BWI,|BWI|IAH|SLP|
SLP|CLE,|CLE|IAH|SLP|
SLP|CLT,|CLT|IAH|SLP|
SLP|CMH,|CMH|IAH|SLP|
SLP|CVG,|CVG|IAH|SLP|
SLP|DFW,|DFW|IAH|SLP|
SLP|DTW,|DTW|IAH|SLP|
SLP|DUB,|DUB|YYZ|IAH|SLP|
SLP|FCO,|FCO|EWR|IAH|SLP|
SLP|GCM,|GCM|IAH|SLP|
SLP|GGT,|GGT|FLL|IAH|SLP|
SLP|GND,|GND|YYZ|IAH|SLP|
SLP|GRU,|GRU|IAH|SLP|
SLP|HAV,|HAV|YYZ|IAH|SLP|
SLP|IND,|IND|IAH|SLP|
SLP|JFK,|JFK|IAD|IAH|SLP|
SLP|KIN,|KIN|YYZ|IAH|SLP|
SLP|LIM,|LIM|IAH|SLP|
SLP|LIR,|LIR|IAH|SLP|
SLP|MCI,|MCI|IAH|SLP|
SLP|MDT,|MDT|IAD|IAH|SLP|
SLP|MIA,|MIA|IAH|SLP|
SLP|MKE,|MKE|IAH|SLP|
SLP|MSP,|MSP|IAH|SLP|
SLP|NAS,|NAS|IAH|SLP|
SLP|PHL,|PHL|IAH|SLP|
SLP|PHX,|PHX|IAH|SLP|
SLP|PIT,|PIT|IAH|SLP|
SLP|PLS,|PLS|EWR|IAH|SLP|
SLP|POP,|POP|EWR|IAH|SLP|
SLP|RDU,|RDU|IAH|SLP|
SLP|ROC,|ROC|CLE|IAH|SLP|
SLP|RSW,|RSW|IAH|SLP|
SLP|SAN,|SAN|IAH|SLP|
SLP|SJO,|SJO|IAH|SLP|
SLP|STL,|STL|IAH|SLP|
SLP|SYR,|SYR|CLE|IAH|SLP|
SLP|TLV,|TLV|YYZ|IAH|SLP|
SLP|TPA,|TPA|IAH|SLP|
SLP|UVF,|UVF|EWR|IAH|SLP|
SLP|VIE,|VIE|YYZ|IAH|SLP|
SLP|YAM,|YAM|YYZ|IAH|SLP|
SLP|YGK,|YGK|YYZ|IAH|SLP|
SLP|YQG,|YQG|YYZ|IAH|SLP|
SLP|YSB,|YSB|YYZ|IAH|SLP|
SLP|YTS,|YTS|YYZ|IAH|SLP|
SLP|YYB,|YYB|YYZ|IAH|SLP|
SLP|YZR,|YZR|YYZ|IAH|SLP|
SLP|CAN,|CAN|YVR|IAH|SLP|
SLP|URC,|URC|PEK|IAH|SLP|
SLP|CTU,|CTU|PEK|IAH|SLP|
SLP|HGH,|HGH|PEK|IAH|SLP|
SLP|XMN,|XMN|PEK|IAH|SLP|
SLP|CGO,|CGO|PEK|IAH|SLP|
SLP|CSX,|CSX|PEK|IAH|SLP|
SLP|SHE,|SHE|ICN|YVR|IAH|SLP|
SLP|SJW,|SJW|DLC|ICN|YVR|IAH|SLP|
SLP|WUH,|WUH|PEK|IAH|SLP|
SLP|SZX,|SZX|PVG|YVR|IAH|SLP|
SLP|CKG,|CKG|PEK|IAH|SLP|
SLP|KMG,|KMG|PEK|IAH|SLP|
SLP|FOC,|FOC|PEK|IAH|SLP|
SLP|NNG,|NNG|PEK|IAH|SLP|
SLP|SWA,|SWA|PEK|IAH|SLP|
SLP|ACX,|ACX|CAN|YVR|IAH|SLP|
SLP|AQG,|AQG|CAN|YVR|IAH|SLP|
SLP|AVA,|AVA|CAN|YVR|IAH|SLP|
SLP|BFJ,|BFJ|CAN|YVR|IAH|SLP|
SLP|BHY,|BHY|CGO|PEK|IAH|SLP|
SLP|BNE,|BNE|CAN|YVR|IAH|SLP|
SLP|CGD,|CGD|PEK|IAH|SLP|
SLP|CGK,|CGK|CAN|YVR|IAH|SLP|
SLP|CGQ,|CGQ|ICN|YVR|IAH|SLP|
SLP|CIH,|CIH|PEK|IAH|SLP|
SLP|CNX,|CNX|CAN|YVR|IAH|SLP|
SLP|CZX,|CZX|SHE|ICN|YVR|IAH|SLP|
SLP|DAC,|DAC|CAN|YVR|IAH|SLP|
SLP|DAD,|DAD|CAN|YVR|IAH|SLP|
SLP|DEL,|DEL|EWR|IAH|SLP|
SLP|DIG,|DIG|KMG|PEK|IAH|SLP|
SLP|DLC,|DLC|ICN|YVR|IAH|SLP|
SLP|DPS,|DPS|SZX|PVG|YVR|IAH|SLP|
SLP|DXB,|DXB|IST|IAH|SLP|
SLP|DYG,|DYG|PEK|IAH|SLP|
SLP|FUG,|FUG|CAN|YVR|IAH|SLP|
SLP|FUK,|FUK|ICN|YVR|IAH|SLP|
SLP|HAK,|HAK|CAN|YVR|IAH|SLP|
SLP|HAN,|HAN|PEK|IAH|SLP|
SLP|HDG,|HDG|CAN|YVR|IAH|SLP|
SLP|HET,|HET|DLC|ICN|YVR|IAH|SLP|
SLP|HFE,|HFE|XIY|PEK|IAH|SLP|
SLP|HJJ,|HJJ|CSX|PEK|IAH|SLP|
SLP|HKT,|HKT|KWE|PEK|IAH|SLP|
SLP|HRB,|HRB|ICN|YVR|IAH|SLP|
SLP|HZH,|HZH|CAN|YVR|IAH|SLP|
