SMF|BRU,|BRU|ORD|SMF|
SMF|OUA,|OUA|BRU|ORD|SMF|
SMF|JED,|JED|FRA|SEA|SMF|
SMF|CPH,|CPH|YYZ|ORD|SMF|
SMF|YYZ,|YYZ|ORD|SMF|
SMF|DEN,|DEN|SMF|
SMF|YUL,|YUL|DEN|SMF|
SMF|NBO,|NBO|ZRH|SFO|SMF|
SMF|ICN,|ICN|SFO|SMF|
SMF|NRT,|NRT|SFO|SMF|
SMF|YHZ,|YHZ|ORD|SMF|
SMF|YOW,|YOW|ORD|SMF|
SMF|BJM,|BJM|BRU|ORD|SMF|
SMF|COO,|COO|BRU|ORD|SMF|
SMF|DKR,|DKR|IAD|SMF|
SMF|DLA,|DLA|BRU|ORD|SMF|
SMF|KGL,|KGL|IST|FRA|SEA|SMF|
SMF|LAD,|LAD|BRU|ORD|SMF|
SMF|ABJ,|ABJ|BRU|ORD|SMF|
SMF|AMS,|AMS|ORD|SMF|
SMF|OSL,|OSL|EWR|ORD|SMF|
SMF|VNO,|VNO|FRA|SEA|SMF|
SMF|WAW,|WAW|YYZ|ORD|SMF|
SMF|YYC,|YYC|PDX|SMF|
SMF|ATL,|ATL|DEN|SMF|
SMF|MSY,|MSY|LAS|SMF|
SMF|YEG,|YEG|YYC|PDX|SMF|
SMF|YMM,|YMM|YYC|PDX|SMF|
SMF|YQR,|YQR|YYC|PDX|SMF|
SMF|YVR,|YVR|PDX|SMF|
SMF|YWG,|YWG|DEN|SMF|
SMF|YXE,|YXE|YYC|PDX|SMF|
SMF|CKY,|CKY|DKR|IAD|SMF|
SMF|FIH,|FIH|DLA|BRU|ORD|SMF|
SMF|SCL,|SCL|EZE|IAH|SMF|
SMF|LCA,|LCA|FRA|SEA|SMF|
SMF|NAP,|NAP|FRA|SEA|SMF|
SMF|VLC,|VLC|FRA|SEA|SMF|
SMF|BKK,|BKK|ICN|SFO|SMF|
SMF|ADD,|ADD|JED|FRA|SEA|SMF|
SMF|FRA,|FRA|SEA|SMF|
SMF|IST,|IST|FRA|SEA|SMF|
SMF|EBB,|EBB|KGL|IST|FRA|SEA|SMF|
SMF|YLW,|YLW|YVR|PDX|SMF|
SMF|YYT,|YYT|YUL|DEN|SMF|
SMF|GUA,|GUA|IAH|SMF|
SMF|EWR,|EWR|ORD|SMF|
SMF|IAD,|IAD|SMF|
SMF|IAH,|IAH|SMF|
SMF|ORD,|ORD|SMF|
SMF|SOF,|SOF|MUC|YVR|PDX|SMF|
SMF|YQB,|YQB|ORD|SMF|
SMF|YXU,|YXU|ORD|SMF|
SMF|EZE,|EZE|IAH|SMF|
SMF|YYJ,|YYJ|YVR|PDX|SMF|
SMF|YYY,|YYY|YUL|DEN|SMF|
SMF|YQQ,|YQQ|YBL|YVR|PDX|SMF|
SMF|YYR,|YYR|YWK|YZV|YQB|ORD|SMF|
SMF|LHR,|LHR|YYC|PDX|SMF|
SMF|SFO,|SFO|SMF|
SMF|YQU,|YQU|YYC|PDX|SMF|
SMF|YZF,|YZF|YYC|PDX|SMF|
SMF|YGR,|YGR|YGP|YQB|ORD|SMF|
SMF|YGP,|YGP|YQB|ORD|SMF|
SMF|BOS,|BOS|ORD|SMF|
SMF|YDF,|YDF|YYZ|ORD|SMF|
SMF|YFC,|YFC|YUL|DEN|SMF|
SMF|YQM,|YQM|YUL|DEN|SMF|
SMF|YQX,|YQX|YHZ|ORD|SMF|
SMF|YQY,|YQY|YYZ|ORD|SMF|
SMF|YSJ,|YSJ|YUL|DEN|SMF|
SMF|YYG,|YYG|YUL|DEN|SMF|
SMF|LAX,|LAX|SMF|
SMF|DCA,|DCA|DEN|SMF|
SMF|LGA,|LGA|ORD|SMF|
SMF|YZV,|YZV|YQB|ORD|SMF|
SMF|YWL,|YWL|YVR|PDX|SMF|
SMF|AZS,|AZS|YYZ|ORD|SMF|
SMF|BDL,|BDL|ORD|SMF|
SMF|CCC,|CCC|YYZ|ORD|SMF|
SMF|CDG,|CDG|SFO|SMF|
SMF|CUN,|CUN|AUS|LAS|SMF|
SMF|CZM,|CZM|IAH|SMF|
SMF|FDF,|FDF|YUL|DEN|SMF|
SMF|FLL,|FLL|LAS|SMF|
SMF|GVA,|GVA|YUL|DEN|SMF|
SMF|HOG,|HOG|YYZ|ORD|SMF|
SMF|LAS,|LAS|SMF|
SMF|MBJ,|MBJ|IAH|SMF|
SMF|MCO,|MCO|LAS|SMF|
SMF|MUC,|MUC|YVR|PDX|SMF|
SMF|PAP,|PAP|YUL|DEN|SMF|
