SNA|BRU,|BRU|ORD|SNA|
SNA|OUA,|OUA|BRU|ORD|SNA|
SNA|JED,|JED|FRA|DEN|SNA|
SNA|CPH,|CPH|YYZ|DEN|SNA|
SNA|YYZ,|YYZ|DEN|SNA|
SNA|DEN,|DEN|SNA|
SNA|YUL,|YUL|DEN|SNA|
SNA|NBO,|NBO|ZRH|ORD|SNA|
SNA|ICN,|ICN|SFO|SNA|
SNA|NRT,|NRT|SFO|SNA|
SNA|YHZ,|YHZ|YUL|DEN|SNA|
SNA|YOW,|YOW|ORD|SNA|
SNA|BJM,|BJM|BRU|ORD|SNA|
SNA|COO,|COO|BRU|ORD|SNA|
SNA|DKR,|DKR|IAD|LAS|SNA|
SNA|DLA,|DLA|BRU|ORD|SNA|
SNA|KGL,|KGL|BRU|ORD|SNA|
SNA|LAD,|LAD|BRU|ORD|SNA|
SNA|ABJ,|ABJ|BRU|ORD|SNA|
SNA|AMS,|AMS|ORD|SNA|
SNA|OSL,|OSL|EWR|SNA|
SNA|VNO,|VNO|CPH|YYZ|DEN|SNA|
SNA|WAW,|WAW|YYZ|DEN|SNA|
SNA|YYC,|YYC|LAS|SNA|
SNA|ATL,|ATL|PHX|SNA|
SNA|MSY,|MSY|PHX|SNA|
SNA|YEG,|YEG|LAS|SNA|
SNA|YMM,|YMM|YYC|LAS|SNA|
SNA|YQR,|YQR|LAS|SNA|
SNA|YVR,|YVR|SNA|
SNA|YWG,|YWG|LAS|SNA|
SNA|YXE,|YXE|LAS|SNA|
SNA|CKY,|CKY|DKR|IAD|LAS|SNA|
SNA|FIH,|FIH|DLA|BRU|ORD|SNA|
SNA|SCL,|SCL|EZE|IAH|SNA|
SNA|LCA,|LCA|FRA|DEN|SNA|
SNA|NAP,|NAP|FRA|DEN|SNA|
SNA|VLC,|VLC|FRA|DEN|SNA|
SNA|BKK,|BKK|ICN|SFO|SNA|
SNA|ADD,|ADD|JED|FRA|DEN|SNA|
SNA|FRA,|FRA|DEN|SNA|
SNA|IST,|IST|FRA|DEN|SNA|
SNA|EBB,|EBB|KGL|BRU|ORD|SNA|
SNA|YLW,|YLW|YVR|SNA|
SNA|YYT,|YYT|YUL|DEN|SNA|
SNA|GUA,|GUA|IAH|SNA|
SNA|EWR,|EWR|SNA|
SNA|IAD,|IAD|LAS|SNA|
SNA|IAH,|IAH|SNA|
SNA|ORD,|ORD|SNA|
SNA|SOF,|SOF|MUC|SFO|SNA|
SNA|YQB,|YQB|YUL|DEN|SNA|
SNA|YXU,|YXU|ORD|SNA|
SNA|EZE,|EZE|IAH|SNA|
SNA|YYJ,|YYJ|SFO|SNA|
SNA|YYY,|YYY|YUL|DEN|SNA|
SNA|YQQ,|YQQ|YBL|YVR|SNA|
SNA|YYR,|YYR|YWK|YZV|YUL|DEN|SNA|
SNA|LHR,|LHR|YYC|LAS|SNA|
SNA|SFO,|SFO|SNA|
SNA|YQU,|YQU|YYC|LAS|SNA|
SNA|YZF,|YZF|YYC|LAS|SNA|
SNA|YGR,|YGR|YGP|YQB|YUL|DEN|SNA|
SNA|YGP,|YGP|YQB|YUL|DEN|SNA|
SNA|BOS,|BOS|ORD|SNA|
SNA|YDF,|YDF|YYZ|DEN|SNA|
SNA|YFC,|YFC|YUL|DEN|SNA|
SNA|YQM,|YQM|YUL|DEN|SNA|
SNA|YQX,|YQX|YHZ|YUL|DEN|SNA|
SNA|YQY,|YQY|YYZ|DEN|SNA|
SNA|YSJ,|YSJ|YUL|DEN|SNA|
SNA|YYG,|YYG|YUL|DEN|SNA|
SNA|LAX,|LAX|LAS|SNA|
SNA|DCA,|DCA|MCI|LAS|SNA|
SNA|LGA,|LGA|ORD|SNA|
SNA|YZV,|YZV|YUL|DEN|SNA|
SNA|YWL,|YWL|YVR|SNA|
SNA|AZS,|AZS|YYZ|DEN|SNA|
SNA|BDL,|BDL|ORD|SNA|
SNA|CCC,|CCC|YYZ|DEN|SNA|
SNA|CDG,|CDG|ORD|SNA|
SNA|CUN,|CUN|AUS|PHX|SNA|
SNA|CZM,|CZM|IAH|SNA|
SNA|FDF,|FDF|YUL|DEN|SNA|
SNA|FLL,|FLL|PHX|SNA|
