STC|BRU,|BRU|ORD|STC|
STC|OUA,|OUA|BRU|ORD|STC|
STC|JED,|JED|FRA|ORD|STC|
STC|CPH,|CPH|YYZ|ORD|STC|
STC|YYZ,|YYZ|ORD|STC|
STC|DEN,|DEN|ORD|STC|
STC|YUL,|YUL|ORD|STC|
STC|NBO,|NBO|ZRH|ORD|STC|
STC|ICN,|ICN|YVR|ORD|STC|
STC|NRT,|NRT|ORD|STC|
STC|YHZ,|YHZ|ORD|STC|
STC|YOW,|YOW|ORD|STC|
STC|BJM,|BJM|BRU|ORD|STC|
STC|COO,|COO|BRU|ORD|STC|
STC|DKR,|DKR|IAD|ORD|STC|
STC|DLA,|DLA|BRU|ORD|STC|
STC|KGL,|KGL|BRU|ORD|STC|
STC|LAD,|LAD|BRU|ORD|STC|
STC|ABJ,|ABJ|BRU|ORD|STC|
STC|AMS,|AMS|ORD|STC|
STC|OSL,|OSL|EWR|ORD|STC|
STC|VNO,|VNO|CPH|YYZ|ORD|STC|
STC|WAW,|WAW|YYZ|ORD|STC|
STC|YYC,|YYC|ORD|STC|
STC|ATL,|ATL|ORD|STC|
STC|MSY,|MSY|ORD|STC|
STC|YEG,|YEG|ORD|STC|
STC|YMM,|YMM|YEG|ORD|STC|
STC|YQR,|YQR|ORD|STC|
STC|YVR,|YVR|ORD|STC|
STC|YWG,|YWG|ORD|STC|
STC|YXE,|YXE|ORD|STC|
STC|CKY,|CKY|DKR|IAD|ORD|STC|
STC|FIH,|FIH|DLA|BRU|ORD|STC|
STC|SCL,|SCL|YYZ|ORD|STC|
STC|LCA,|LCA|FRA|ORD|STC|
STC|NAP,|NAP|FRA|ORD|STC|
STC|VLC,|VLC|FRA|ORD|STC|
STC|BKK,|BKK|CGO|PEK|ORD|STC|
STC|ADD,|ADD|IST|ORD|STC|
STC|FRA,|FRA|ORD|STC|
STC|IST,|IST|ORD|STC|
STC|EBB,|EBB|KGL|BRU|ORD|STC|
STC|YLW,|YLW|YYC|ORD|STC|
STC|YYT,|YYT|YOW|ORD|STC|
STC|GUA,|GUA|IAH|ORD|STC|
STC|EWR,|EWR|ORD|STC|
STC|IAD,|IAD|ORD|STC|
STC|IAH,|IAH|ORD|STC|
STC|ORD,|ORD|STC|
STC|SOF,|SOF|MUC|ORD|STC|
STC|YQB,|YQB|ORD|STC|
STC|YXU,|YXU|ORD|STC|
STC|EZE,|EZE|IAH|ORD|STC|
STC|YYJ,|YYJ|YVR|ORD|STC|
STC|YYY,|YYY|YUL|ORD|STC|
STC|YQQ,|YQQ|YYC|ORD|STC|
STC|YYR,|YYR|YWK|YZV|YQB|ORD|STC|
STC|LHR,|LHR|ORD|STC|
STC|SFO,|SFO|ORD|STC|
STC|YQU,|YQU|YEG|ORD|STC|
STC|YZF,|YZF|YEG|ORD|STC|
STC|YGR,|YGR|YGP|YQB|ORD|STC|
STC|YGP,|YGP|YQB|ORD|STC|
STC|BOS,|BOS|ORD|STC|
STC|YDF,|YDF|YYZ|ORD|STC|
STC|YFC,|YFC|YYZ|ORD|STC|
STC|YQM,|YQM|YUL|ORD|STC|
STC|YQX,|YQX|YHZ|ORD|STC|
STC|YQY,|YQY|YYZ|ORD|STC|
STC|YSJ,|YSJ|YYZ|ORD|STC|
STC|YYG,|YYG|YUL|ORD|STC|
STC|LAX,|LAX|ORD|STC|
STC|DCA,|DCA|ORD|STC|
STC|LGA,|LGA|ORD|STC|
STC|YZV,|YZV|YQB|ORD|STC|
STC|YWL,|YWL|YVR|ORD|STC|
STC|AZS,|AZS|YYZ|ORD|STC|
STC|BDL,|BDL|ORD|STC|
STC|CCC,|CCC|YYZ|ORD|STC|
STC|CDG,|CDG|ORD|STC|
STC|CUN,|CUN|ORD|STC|
STC|CZM,|CZM|IAH|ORD|STC|
STC|FDF,|FDF|YUL|ORD|STC|
STC|FLL,|FLL|ORD|STC|
STC|GVA,|GVA|YUL|ORD|STC|
STC|HOG,|HOG|YYZ|ORD|STC|
