STR|BRU,|BRU|IST|STR|
STR|OUA,|OUA|NIM|IST|STR|
STR|JED,|JED|IST|STR|
STR|CPH,|CPH|IST|STR|
STR|YYZ,|YYZ|EWR|STR|
STR|DEN,|DEN|EWR|STR|
STR|YUL,|YUL|EWR|STR|
STR|NBO,|NBO|IST|STR|
STR|ICN,|ICN|IST|STR|
STR|NRT,|NRT|IST|STR|
STR|YHZ,|YHZ|EWR|STR|
STR|YOW,|YOW|EWR|STR|
STR|BJM,|BJM|BRU|IST|STR|
STR|COO,|COO|BRU|IST|STR|
STR|DKR,|DKR|BRU|IST|STR|
STR|DLA,|DLA|IST|STR|
STR|KGL,|KGL|IST|STR|
STR|LAD,|LAD|BRU|IST|STR|
STR|ABJ,|ABJ|OUA|NIM|IST|STR|
STR|AMS,|AMS|IST|STR|
STR|OSL,|OSL|IST|STR|
STR|VNO,|VNO|IST|STR|
STR|WAW,|WAW|IST|STR|
STR|YYC,|YYC|EWR|STR|
STR|ATL,|ATL|EWR|STR|
STR|MSY,|MSY|EWR|STR|
STR|YEG,|YEG|EWR|STR|
STR|YMM,|YMM|YYZ|EWR|STR|
STR|YQR,|YQR|YYZ|EWR|STR|
STR|YVR,|YVR|EWR|STR|
STR|YWG,|YWG|YYZ|EWR|STR|
STR|YXE,|YXE|YYZ|EWR|STR|
STR|CKY,|CKY|DKR|BRU|IST|STR|
STR|FIH,|FIH|IST|STR|
STR|SCL,|SCL|EZE|GRU|IST|STR|
STR|LCA,|LCA|FRA|IST|STR|
STR|NAP,|NAP|IST|STR|
STR|VLC,|VLC|IST|STR|
STR|BKK,|BKK|IST|STR|
STR|ADD,|ADD|IST|STR|
STR|FRA,|FRA|IST|STR|
STR|IST,|IST|STR|
STR|EBB,|EBB|KGL|IST|STR|
STR|YLW,|YLW|YYZ|EWR|STR|
STR|YYT,|YYT|LHR|IST|STR|
STR|GUA,|GUA|EWR|STR|
STR|EWR,|EWR|STR|
STR|IAD,|IAD|EWR|STR|
STR|IAH,|IAH|EWR|STR|
STR|ORD,|ORD|EWR|STR|
STR|SOF,|SOF|IST|STR|
STR|YQB,|YQB|EWR|STR|
STR|YXU,|YXU|YYZ|EWR|STR|
STR|EZE,|EZE|GRU|IST|STR|
STR|YYJ,|YYJ|YYZ|EWR|STR|
STR|YYY,|YYY|YUL|EWR|STR|
STR|YQQ,|YQQ|YYC|EWR|STR|
STR|YYR,|YYR|YHZ|EWR|STR|
STR|LHR,|LHR|IST|STR|
STR|SFO,|SFO|EWR|STR|
STR|YQU,|YQU|YEG|EWR|STR|
STR|YZF,|YZF|YEG|EWR|STR|
STR|YGR,|YGR|YGP|YQB|EWR|STR|
STR|YGP,|YGP|YQB|EWR|STR|
STR|BOS,|BOS|EWR|STR|
STR|YDF,|YDF|YHZ|EWR|STR|
STR|YFC,|YFC|YUL|EWR|STR|
STR|YQM,|YQM|EWR|STR|
STR|YQX,|YQX|YHZ|EWR|STR|
STR|YQY,|YQY|YHZ|EWR|STR|
STR|YSJ,|YSJ|YUL|EWR|STR|
STR|YYG,|YYG|YHZ|EWR|STR|
STR|LAX,|LAX|EWR|STR|
STR|DCA,|DCA|EWR|STR|
STR|LGA,|LGA|IAD|EWR|STR|
STR|YZV,|YZV|YQB|EWR|STR|
STR|YWL,|YWL|YVR|EWR|STR|
STR|AZS,|AZS|YYZ|EWR|STR|
STR|BDL,|BDL|BWI|EWR|STR|
STR|CCC,|CCC|YYZ|EWR|STR|
STR|CDG,|CDG|IST|STR|
STR|CUN,|CUN|EWR|STR|
STR|CZM,|CZM|YUL|EWR|STR|
STR|FDF,|FDF|YUL|EWR|STR|
STR|FLL,|FLL|EWR|STR|
STR|GVA,|GVA|IST|STR|
STR|HOG,|HOG|YYZ|EWR|STR|
STR|LAS,|LAS|EWR|STR|
STR|MBJ,|MBJ|EWR|STR|
STR|MCO,|MCO|EWR|STR|
STR|MUC,|MUC|IST|STR|
STR|PAP,|PAP|YUL|EWR|STR|
STR|PTP,|PTP|YUL|EWR|STR|
STR|PUJ,|PUJ|EWR|STR|
STR|SNU,|SNU|YYZ|EWR|STR|
STR|VRA,|VRA|YYZ|EWR|STR|
STR|YBC,|YBC|YUL|EWR|STR|
STR|YBG,|YBG|YUL|EWR|STR|
STR|YTZ,|YTZ|YUL|EWR|STR|
STR|YUY,|YUY|YUL|EWR|STR|
STR|YVO,|YVO|YUL|EWR|STR|
STR|ZBF,|ZBF|YUL|EWR|STR|
STR|ZRH,|ZRH|IST|STR|
STR|ZSA,|ZSA|YUL|EWR|STR|
STR|AKL,|AKL|BKK|IST|STR|
STR|HKG,|HKG|IST|STR|
STR|HND,|HND|YVR|EWR|STR|
STR|HNL,|HNL|EWR|STR|
STR|MEX,|MEX|EWR|STR|
STR|OGG,|OGG|ORD|EWR|STR|
STR|PDX,|PDX|EWR|STR|
STR|PEK,|PEK|IST|STR|
STR|PVG,|PVG|IST|STR|
STR|PVR,|PVR|EWR|STR|
STR|SEA,|SEA|EWR|STR|
STR|SYD,|SYD|BKK|IST|STR|
STR|YBL,|YBL|YVR|EWR|STR|
STR|YCD,|YCD|YVR|EWR|STR|
STR|YCG,|YCG|YYC|EWR|STR|
STR|YKA,|YKA|YYC|EWR|STR|
STR|YPR,|YPR|YVR|EWR|STR|
STR|YQZ,|YQZ|YVR|EWR|STR|
STR|YXC,|YXC|YYC|EWR|STR|
STR|YXJ,|YXJ|YYC|EWR|STR|
STR|YXS,|YXS|YYC|EWR|STR|
STR|YXT,|YXT|YVR|EWR|STR|
STR|YXY,|YXY|YVR|EWR|STR|
STR|YYD,|YYD|YVR|EWR|STR|
STR|YYF,|YYF|YVR|EWR|STR|
STR|YZP,|YZP|YVR|EWR|STR|
STR|YQT,|YQT|YYZ|EWR|STR|
STR|SJD,|SJD|EWR|STR|
STR|YQF,|YQF|YYC|EWR|STR|
STR|YQL,|YQL|YYC|EWR|STR|
STR|YXH,|YXH|YYC|EWR|STR|
STR|YWK,|YWK|YZV|YQB|EWR|STR|
STR|ANU,|ANU|EWR|STR|
STR|AUA,|AUA|EWR|STR|
STR|AUH,|AUH|IST|STR|
STR|BCN,|BCN|IST|STR|
STR|BDA,|BDA|EWR|STR|
STR|BGI,|BGI|YYZ|EWR|STR|
