SVX|BRU,|BRU|IST|SVX|
SVX|OUA,|OUA|NIM|IST|SVX|
SVX|JED,|JED|IST|SVX|
SVX|CPH,|CPH|IST|SVX|
SVX|YYZ,|YYZ|IST|SVX|
SVX|DEN,|DEN|FRA|IST|SVX|
SVX|YUL,|YUL|FRA|IST|SVX|
SVX|NBO,|NBO|IST|SVX|
SVX|ICN,|ICN|IST|SVX|
SVX|NRT,|NRT|IST|SVX|
SVX|YHZ,|YHZ|LHR|IST|SVX|
SVX|YOW,|YOW|FRA|IST|SVX|
SVX|BJM,|BJM|BRU|IST|SVX|
SVX|COO,|COO|BRU|IST|SVX|
SVX|DKR,|DKR|BRU|IST|SVX|
SVX|DLA,|DLA|IST|SVX|
SVX|KGL,|KGL|IST|SVX|
SVX|LAD,|LAD|BRU|IST|SVX|
SVX|ABJ,|ABJ|OUA|NIM|IST|SVX|
SVX|AMS,|AMS|IST|SVX|
SVX|OSL,|OSL|IST|SVX|
SVX|VNO,|VNO|IST|SVX|
SVX|WAW,|WAW|IST|SVX|
SVX|YYC,|YYC|FRA|IST|SVX|
SVX|ATL,|ATL|FRA|IST|SVX|
SVX|MSY,|MSY|IAD|IST|SVX|
SVX|YEG,|YEG|LHR|IST|SVX|
SVX|YMM,|YMM|YEG|LHR|IST|SVX|
SVX|YQR,|YQR|YEG|LHR|IST|SVX|
SVX|YVR,|YVR|MUC|IST|SVX|
SVX|YWG,|YWG|YUL|FRA|IST|SVX|
SVX|YXE,|YXE|YEG|LHR|IST|SVX|
SVX|CKY,|CKY|DKR|BRU|IST|SVX|
SVX|FIH,|FIH|IST|SVX|
SVX|SCL,|SCL|EZE|GRU|IST|SVX|
SVX|LCA,|LCA|FRA|IST|SVX|
SVX|NAP,|NAP|IST|SVX|
SVX|VLC,|VLC|IST|SVX|
SVX|BKK,|BKK|IST|SVX|
SVX|ADD,|ADD|IST|SVX|
SVX|FRA,|FRA|IST|SVX|
SVX|IST,|IST|SVX|
SVX|EBB,|EBB|KGL|IST|SVX|
SVX|YLW,|YLW|YYC|FRA|IST|SVX|
SVX|YYT,|YYT|LHR|IST|SVX|
SVX|GUA,|GUA|MIA|ZRH|IST|SVX|
SVX|EWR,|EWR|BHX|IST|SVX|
SVX|IAD,|IAD|IST|SVX|
SVX|IAH,|IAH|IST|SVX|
SVX|ORD,|ORD|IST|SVX|
SVX|SOF,|SOF|IST|SVX|
SVX|YQB,|YQB|YUL|FRA|IST|SVX|
SVX|YXU,|YXU|YYZ|IST|SVX|
SVX|EZE,|EZE|GRU|IST|SVX|
SVX|YYJ,|YYJ|YVR|MUC|IST|SVX|
SVX|YYY,|YYY|YUL|FRA|IST|SVX|
SVX|YQQ,|YQQ|YBL|YVR|MUC|IST|SVX|
SVX|YYR,|YYR|YYT|LHR|IST|SVX|
SVX|LHR,|LHR|IST|SVX|
SVX|SFO,|SFO|MUC|IST|SVX|
SVX|YQU,|YQU|YEG|LHR|IST|SVX|
SVX|YZF,|YZF|YEG|LHR|IST|SVX|
SVX|YGR,|YGR|YGP|YQB|YUL|FRA|IST|SVX|
SVX|YGP,|YGP|YQB|YUL|FRA|IST|SVX|
SVX|BOS,|BOS|FRA|IST|SVX|
SVX|YDF,|YDF|YYT|LHR|IST|SVX|
SVX|YFC,|YFC|YHZ|LHR|IST|SVX|
SVX|YQM,|YQM|YHZ|LHR|IST|SVX|
SVX|YQX,|YQX|YYT|LHR|IST|SVX|
