SWA|BRU,|BRU|DEL|CAN|SWA|
SWA|OUA,|OUA|NIM|IST|CAN|SWA|
SWA|JED,|JED|IST|CAN|SWA|
SWA|CPH,|CPH|AMS|CTU|SWA|
SWA|YYZ,|YYZ|PEK|SWA|
SWA|DEN,|DEN|YVR|PEK|SWA|
SWA|YUL,|YUL|YYZ|PEK|SWA|
SWA|NBO,|NBO|CAN|SWA|
SWA|ICN,|ICN|WUH|SWA|
SWA|NRT,|NRT|CAN|SWA|
SWA|YHZ,|YHZ|YYZ|PEK|SWA|
SWA|YOW,|YOW|YYZ|PEK|SWA|
SWA|BJM,|BJM|BRU|DEL|CAN|SWA|
SWA|COO,|COO|BRU|DEL|CAN|SWA|
SWA|DKR,|DKR|BRU|DEL|CAN|SWA|
SWA|DLA,|DLA|IST|CAN|SWA|
SWA|KGL,|KGL|IST|CAN|SWA|
SWA|LAD,|LAD|BRU|DEL|CAN|SWA|
SWA|ABJ,|ABJ|OUA|NIM|IST|CAN|SWA|
SWA|AMS,|AMS|CTU|SWA|
SWA|OSL,|OSL|CPH|AMS|CTU|SWA|
SWA|VNO,|VNO|IST|CAN|SWA|
SWA|WAW,|WAW|IST|CAN|SWA|
SWA|YYC,|YYC|YVR|PEK|SWA|
SWA|ATL,|ATL|ORD|PEK|SWA|
SWA|MSY,|MSY|ORD|PEK|SWA|
SWA|YEG,|YEG|YVR|PEK|SWA|
SWA|YMM,|YMM|YVR|PEK|SWA|
SWA|YQR,|YQR|YVR|PEK|SWA|
SWA|YVR,|YVR|PEK|SWA|
SWA|YWG,|YWG|YVR|PEK|SWA|
SWA|YXE,|YXE|YVR|PEK|SWA|
SWA|CKY,|CKY|DKR|BRU|DEL|CAN|SWA|
SWA|FIH,|FIH|IST|CAN|SWA|
SWA|SCL,|SCL|YYZ|PEK|SWA|
SWA|LCA,|LCA|FRA|TSE|URC|CSX|SWA|
SWA|NAP,|NAP|IST|CAN|SWA|
SWA|VLC,|VLC|FRA|TSE|URC|CSX|SWA|
SWA|BKK,|BKK|SWA|
SWA|ADD,|ADD|IST|CAN|SWA|
SWA|FRA,|FRA|TSE|URC|CSX|SWA|
SWA|IST,|IST|CAN|SWA|
SWA|EBB,|EBB|KGL|IST|CAN|SWA|
SWA|YLW,|YLW|YVR|PEK|SWA|
SWA|YYT,|YYT|LHR|CAN|SWA|
SWA|GUA,|GUA|IAH|PEK|SWA|
SWA|EWR,|EWR|PEK|SWA|
SWA|IAD,|IAD|PEK|SWA|
SWA|IAH,|IAH|PEK|SWA|
SWA|ORD,|ORD|PEK|SWA|
SWA|SOF,|SOF|IST|CAN|SWA|
SWA|YQB,|YQB|YYZ|PEK|SWA|
SWA|YXU,|YXU|YYZ|PEK|SWA|
SWA|EZE,|EZE|GRU|IST|CAN|SWA|
SWA|YYJ,|YYJ|YVR|PEK|SWA|
SWA|YYY,|YYY|YUL|YYZ|PEK|SWA|
SWA|YQQ,|YQQ|YBL|YVR|PEK|SWA|
SWA|YYR,|YYR|YYT|LHR|CAN|SWA|
SWA|LHR,|LHR|CAN|SWA|
SWA|SFO,|SFO|ICN|WUH|SWA|
SWA|YQU,|YQU|YEG|YVR|PEK|SWA|
SWA|YZF,|YZF|YEG|YVR|PEK|SWA|
SWA|YGR,|YGR|YGP|YQB|YYZ|PEK|SWA|
SWA|YGP,|YGP|YQB|YYZ|PEK|SWA|
SWA|BOS,|BOS|YYZ|PEK|SWA|
SWA|YDF,|YDF|YYT|LHR|CAN|SWA|
