SXM|BRU,|BRU|EWR|SXM|
SXM|OUA,|OUA|BRU|EWR|SXM|
SXM|JED,|JED|FRA|EWR|SXM|
SXM|CPH,|CPH|AMS|EWR|SXM|
SXM|YYZ,|YYZ|SXM|
SXM|DEN,|DEN|ORD|SXM|
SXM|YUL,|YUL|EWR|SXM|
SXM|NBO,|NBO|ZRH|EWR|SXM|
SXM|ICN,|ICN|JFK|IAD|SXM|
SXM|NRT,|NRT|EWR|SXM|
SXM|YHZ,|YHZ|EWR|SXM|
SXM|YOW,|YOW|EWR|SXM|
SXM|BJM,|BJM|BRU|EWR|SXM|
SXM|COO,|COO|BRU|EWR|SXM|
SXM|DKR,|DKR|IAD|SXM|
SXM|DLA,|DLA|BRU|EWR|SXM|
SXM|KGL,|KGL|BRU|EWR|SXM|
SXM|LAD,|LAD|BRU|EWR|SXM|
SXM|ABJ,|ABJ|BRU|EWR|SXM|
SXM|AMS,|AMS|EWR|SXM|
SXM|OSL,|OSL|EWR|SXM|
SXM|VNO,|VNO|CPH|AMS|EWR|SXM|
SXM|WAW,|WAW|CPH|AMS|EWR|SXM|
SXM|YYC,|YYC|ORD|SXM|
SXM|ATL,|ATL|IAD|SXM|
SXM|MSY,|MSY|IAD|SXM|
SXM|YEG,|YEG|ORD|SXM|
SXM|YMM,|YMM|YYZ|SXM|
SXM|YQR,|YQR|ORD|SXM|
SXM|YVR,|YVR|ORD|SXM|
SXM|YWG,|YWG|ORD|SXM|
SXM|YXE,|YXE|ORD|SXM|
SXM|CKY,|CKY|DKR|IAD|SXM|
SXM|FIH,|FIH|DLA|BRU|EWR|SXM|
SXM|SCL,|SCL|YYZ|SXM|
SXM|LCA,|LCA|FRA|EWR|SXM|
SXM|NAP,|NAP|FRA|EWR|SXM|
SXM|VLC,|VLC|FRA|EWR|SXM|
SXM|BKK,|BKK|CGO|PEK|EWR|SXM|
SXM|ADD,|ADD|JED|FRA|EWR|SXM|
SXM|FRA,|FRA|EWR|SXM|
SXM|IST,|IST|BHX|EWR|SXM|
SXM|EBB,|EBB|KGL|BRU|EWR|SXM|
SXM|YLW,|YLW|YYC|ORD|SXM|
SXM|YYT,|YYT|EWR|SXM|
SXM|GUA,|GUA|IAD|SXM|
SXM|EWR,|EWR|SXM|
SXM|IAD,|IAD|SXM|
SXM|IAH,|IAH|IAD|SXM|
SXM|ORD,|ORD|SXM|
SXM|SOF,|SOF|MUC|EWR|SXM|
SXM|YQB,|YQB|EWR|SXM|
SXM|YXU,|YXU|YYZ|SXM|
SXM|EZE,|EZE|GRU|IAD|SXM|
SXM|YYJ,|YYJ|YVR|ORD|SXM|
SXM|YYY,|YYY|YUL|EWR|SXM|
SXM|YQQ,|YQQ|YYC|ORD|SXM|
SXM|YYR,|YYR|YHZ|EWR|SXM|
SXM|LHR,|LHR|EWR|SXM|
SXM|SFO,|SFO|ORD|SXM|
SXM|YQU,|YQU|YEG|ORD|SXM|
SXM|YZF,|YZF|YEG|ORD|SXM|
SXM|YGR,|YGR|YGP|YQB|EWR|SXM|
SXM|YGP,|YGP|YQB|EWR|SXM|
SXM|BOS,|BOS|EWR|SXM|
SXM|YDF,|YDF|YHZ|EWR|SXM|
SXM|YFC,|YFC|YUL|EWR|SXM|
SXM|YQM,|YQM|EWR|SXM|
SXM|YQX,|YQX|YHZ|EWR|SXM|
SXM|YQY,|YQY|YHZ|EWR|SXM|
SXM|YSJ,|YSJ|YUL|EWR|SXM|
SXM|YYG,|YYG|YHZ|EWR|SXM|
SXM|LAX,|LAX|ORD|SXM|
SXM|DCA,|DCA|EWR|SXM|
SXM|LGA,|LGA|IAD|SXM|
SXM|YZV,|YZV|YQB|EWR|SXM|
SXM|YWL,|YWL|YVR|ORD|SXM|
SXM|AZS,|AZS|YYZ|SXM|
SXM|BDL,|BDL|IAD|SXM|
SXM|CCC,|CCC|YYZ|SXM|
SXM|CDG,|CDG|EWR|SXM|
SXM|CUN,|CUN|IAD|SXM|
SXM|CZM,|CZM|IAH|IAD|SXM|
SXM|FDF,|FDF|YUL|EWR|SXM|
SXM|FLL,|FLL|IAD|SXM|
SXM|GVA,|GVA|EWR|SXM|
SXM|HOG,|HOG|YYZ|SXM|
SXM|LAS,|LAS|ORD|SXM|
SXM|MBJ,|MBJ|IAD|SXM|
SXM|MCO,|MCO|IAD|SXM|
SXM|MUC,|MUC|EWR|SXM|
SXM|PAP,|PAP|YUL|EWR|SXM|
SXM|PTP,|PTP|YUL|EWR|SXM|
SXM|PUJ,|PUJ|IAD|SXM|
SXM|SNU,|SNU|YYZ|SXM|
SXM|VRA,|VRA|YYZ|SXM|
SXM|YBC,|YBC|YUL|EWR|SXM|
SXM|YBG,|YBG|YUL|EWR|SXM|
SXM|YTZ,|YTZ|YUL|EWR|SXM|
SXM|YUY,|YUY|YUL|EWR|SXM|
SXM|YVO,|YVO|YUL|EWR|SXM|
SXM|ZBF,|ZBF|YUL|EWR|SXM|
SXM|ZRH,|ZRH|EWR|SXM|
SXM|ZSA,|ZSA|YUL|EWR|SXM|
SXM|AKL,|AKL|LAX|ORD|SXM|
SXM|HKG,|HKG|EWR|SXM|
SXM|HND,|HND|YVR|ORD|SXM|
SXM|HNL,|HNL|ORD|SXM|
SXM|MEX,|MEX|IAD|SXM|
SXM|OGG,|OGG|ORD|SXM|
SXM|PDX,|PDX|ORD|SXM|
SXM|PEK,|PEK|EWR|SXM|
SXM|PVG,|PVG|EWR|SXM|
SXM|PVR,|PVR|IAH|IAD|SXM|
SXM|SEA,|SEA|ORD|SXM|
SXM|SYD,|SYD|LAX|ORD|SXM|
SXM|YBL,|YBL|YVR|ORD|SXM|
SXM|YCD,|YCD|YVR|ORD|SXM|
SXM|YCG,|YCG|YYC|ORD|SXM|
SXM|YKA,|YKA|YYC|ORD|SXM|
SXM|YPR,|YPR|YVR|ORD|SXM|
SXM|YQZ,|YQZ|YVR|ORD|SXM|
SXM|YXC,|YXC|YYC|ORD|SXM|
SXM|YXJ,|YXJ|YYC|ORD|SXM|
SXM|YXS,|YXS|YYC|ORD|SXM|
SXM|YXT,|YXT|YVR|ORD|SXM|
SXM|YXY,|YXY|YVR|ORD|SXM|
SXM|YYD,|YYD|YVR|ORD|SXM|
SXM|YYF,|YYF|YVR|ORD|SXM|
SXM|YZP,|YZP|YVR|ORD|SXM|
SXM|YQT,|YQT|YYZ|SXM|
SXM|SJD,|SJD|IAH|IAD|SXM|
SXM|YQF,|YQF|YYC|ORD|SXM|
SXM|YQL,|YQL|YYC|ORD|SXM|
SXM|YXH,|YXH|YYC|ORD|SXM|
SXM|YWK,|YWK|YZV|YQB|EWR|SXM|
SXM|ANU,|ANU|EWR|SXM|
SXM|AUA,|AUA|IAD|SXM|
SXM|AUH,|AUH|FRA|EWR|SXM|
SXM|BCN,|BCN|EWR|SXM|
SXM|BDA,|BDA|EWR|SXM|
SXM|BGI,|BGI|YYZ|SXM|
SXM|BNA,|BNA|IAD|SXM|
SXM|BOG,|BOG|IAD|SXM|
SXM|BWI,|BWI|EWR|SXM|
SXM|CLE,|CLE|IAD|SXM|
SXM|CLT,|CLT|IAD|SXM|
SXM|CMH,|CMH|IAD|SXM|
SXM|CVG,|CVG|IAD|SXM|
SXM|DFW,|DFW|IAD|SXM|
SXM|DTW,|DTW|IAD|SXM|
SXM|DUB,|DUB|EWR|SXM|
SXM|FCO,|FCO|EWR|SXM|
SXM|GCM,|GCM|IAD|SXM|
SXM|GGT,|GGT|FLL|IAD|SXM|
SXM|GND,|GND|YYZ|SXM|
SXM|GRU,|GRU|IAD|SXM|
SXM|HAV,|HAV|YYZ|SXM|
SXM|IND,|IND|IAD|SXM|
SXM|JFK,|JFK|IAD|SXM|
SXM|KIN,|KIN|YYZ|SXM|
SXM|LIM,|LIM|MIA|IAD|SXM|
SXM|LIR,|LIR|EWR|SXM|
SXM|MCI,|MCI|IAD|SXM|
SXM|MDT,|MDT|IAD|SXM|
SXM|MIA,|MIA|IAD|SXM|
SXM|MKE,|MKE|ORD|SXM|
SXM|MSP,|MSP|ORD|SXM|
SXM|NAS,|NAS|EWR|SXM|
SXM|PHL,|PHL|IAD|SXM|
SXM|PHX,|PHX|IAD|SXM|
SXM|PIT,|PIT|IAD|SXM|
SXM|PLS,|PLS|EWR|SXM|
SXM|POP,|POP|EWR|SXM|
SXM|RDU,|RDU|IAD|SXM|
SXM|ROC,|ROC|EWR|SXM|
SXM|RSW,|RSW|MCO|IAD|SXM|
SXM|SAN,|SAN|ORD|SXM|
SXM|SJO,|SJO|IAD|SXM|
SXM|STL,|STL|IAD|SXM|
SXM|SYR,|SYR|EWR|SXM|
SXM|TLV,|TLV|EWR|SXM|
SXM|TPA,|TPA|IAD|SXM|
SXM|UVF,|UVF|EWR|SXM|
SXM|VIE,|VIE|IAD|SXM|
SXM|YAM,|YAM|YYZ|SXM|
SXM|YGK,|YGK|YYZ|SXM|
SXM|YQG,|YQG|YYZ|SXM|
SXM|YSB,|YSB|YYZ|SXM|
SXM|YTS,|YTS|YYZ|SXM|
SXM|YYB,|YYB|YYZ|SXM|
SXM|YZR,|YZR|YYZ|SXM|
SXM|CAN,|CAN|PEK|EWR|SXM|
SXM|URC,|URC|TSE|FRA|EWR|SXM|
SXM|CTU,|CTU|PEK|EWR|SXM|
SXM|HGH,|HGH|PEK|EWR|SXM|
SXM|XMN,|XMN|PEK|EWR|SXM|
SXM|CGO,|CGO|PEK|EWR|SXM|
