SYM|BRU,|BRU|IST|URC|CTU|KMG|SYM|
SYM|OUA,|OUA|NIM|IST|URC|CTU|KMG|SYM|
SYM|JED,|JED|IST|URC|CTU|KMG|SYM|
SYM|CPH,|CPH|AMS|CTU|KMG|SYM|
SYM|YYZ,|YYZ|PEK|KMG|SYM|
SYM|DEN,|DEN|YVR|PEK|KMG|SYM|
SYM|YUL,|YUL|YYZ|PEK|KMG|SYM|
SYM|NBO,|NBO|BKK|NNG|KMG|SYM|
SYM|ICN,|ICN|WUH|KMG|SYM|
SYM|NRT,|NRT|ICN|WUH|KMG|SYM|
SYM|YHZ,|YHZ|YYZ|PEK|KMG|SYM|
SYM|YOW,|YOW|YYZ|PEK|KMG|SYM|
SYM|BJM,|BJM|BRU|IST|URC|CTU|KMG|SYM|
SYM|COO,|COO|BRU|IST|URC|CTU|KMG|SYM|
SYM|DKR,|DKR|BRU|IST|URC|CTU|KMG|SYM|
SYM|DLA,|DLA|IST|URC|CTU|KMG|SYM|
SYM|KGL,|KGL|IST|URC|CTU|KMG|SYM|
SYM|LAD,|LAD|BRU|IST|URC|CTU|KMG|SYM|
SYM|ABJ,|ABJ|OUA|NIM|IST|URC|CTU|KMG|SYM|
SYM|AMS,|AMS|CTU|KMG|SYM|
SYM|OSL,|OSL|CPH|AMS|CTU|KMG|SYM|
SYM|VNO,|VNO|IST|URC|CTU|KMG|SYM|
SYM|WAW,|WAW|IST|URC|CTU|KMG|SYM|
SYM|YYC,|YYC|YVR|PEK|KMG|SYM|
SYM|ATL,|ATL|ORD|PEK|KMG|SYM|
SYM|MSY,|MSY|ORD|PEK|KMG|SYM|
SYM|YEG,|YEG|YVR|PEK|KMG|SYM|
SYM|YMM,|YMM|YVR|PEK|KMG|SYM|
SYM|YQR,|YQR|YVR|PEK|KMG|SYM|
SYM|YVR,|YVR|PEK|KMG|SYM|
SYM|YWG,|YWG|YVR|PEK|KMG|SYM|
SYM|YXE,|YXE|YVR|PEK|KMG|SYM|
SYM|CKY,|CKY|DKR|BRU|IST|URC|CTU|KMG|SYM|
SYM|FIH,|FIH|IST|URC|CTU|KMG|SYM|
SYM|SCL,|SCL|EZE|GRU|IST|URC|CTU|KMG|SYM|
SYM|LCA,|LCA|FRA|TSE|URC|CTU|KMG|SYM|
SYM|NAP,|NAP|IST|URC|CTU|KMG|SYM|
SYM|VLC,|VLC|FRA|TSE|URC|CTU|KMG|SYM|
SYM|BKK,|BKK|NNG|KMG|SYM|
SYM|ADD,|ADD|IST|URC|CTU|KMG|SYM|
SYM|FRA,|FRA|TSE|URC|CTU|KMG|SYM|
SYM|IST,|IST|URC|CTU|KMG|SYM|
SYM|EBB,|EBB|KGL|IST|URC|CTU|KMG|SYM|
SYM|YLW,|YLW|YVR|PEK|KMG|SYM|
SYM|YYT,|YYT|LHR|IST|URC|CTU|KMG|SYM|
SYM|GUA,|GUA|IAH|PEK|KMG|SYM|
SYM|EWR,|EWR|PEK|KMG|SYM|
SYM|IAD,|IAD|PEK|KMG|SYM|
SYM|IAH,|IAH|PEK|KMG|SYM|
SYM|ORD,|ORD|PEK|KMG|SYM|
SYM|SOF,|SOF|IST|URC|CTU|KMG|SYM|
