SYZ|BRU,|BRU|IST|SYZ|
SYZ|OUA,|OUA|NIM|IST|SYZ|
SYZ|JED,|JED|IST|SYZ|
SYZ|CPH,|CPH|IST|SYZ|
SYZ|YYZ,|YYZ|IST|SYZ|
SYZ|DEN,|DEN|FRA|IST|SYZ|
SYZ|YUL,|YUL|FRA|IST|SYZ|
SYZ|NBO,|NBO|IST|SYZ|
SYZ|ICN,|ICN|IST|SYZ|
SYZ|NRT,|NRT|IST|SYZ|
SYZ|YHZ,|YHZ|LHR|IST|SYZ|
SYZ|YOW,|YOW|FRA|IST|SYZ|
SYZ|BJM,|BJM|BRU|IST|SYZ|
SYZ|COO,|COO|BRU|IST|SYZ|
SYZ|DKR,|DKR|BRU|IST|SYZ|
SYZ|DLA,|DLA|IST|SYZ|
SYZ|KGL,|KGL|IST|SYZ|
SYZ|LAD,|LAD|BRU|IST|SYZ|
SYZ|ABJ,|ABJ|OUA|NIM|IST|SYZ|
SYZ|AMS,|AMS|IST|SYZ|
SYZ|OSL,|OSL|IST|SYZ|
SYZ|VNO,|VNO|IST|SYZ|
SYZ|WAW,|WAW|IST|SYZ|
SYZ|YYC,|YYC|FRA|IST|SYZ|
SYZ|ATL,|ATL|FRA|IST|SYZ|
SYZ|MSY,|MSY|IAD|IST|SYZ|
SYZ|YEG,|YEG|LHR|IST|SYZ|
SYZ|YMM,|YMM|YEG|LHR|IST|SYZ|
SYZ|YQR,|YQR|YEG|LHR|IST|SYZ|
SYZ|YVR,|YVR|MUC|IST|SYZ|
SYZ|YWG,|YWG|YUL|FRA|IST|SYZ|
SYZ|YXE,|YXE|YEG|LHR|IST|SYZ|
SYZ|CKY,|CKY|DKR|BRU|IST|SYZ|
SYZ|FIH,|FIH|IST|SYZ|
SYZ|SCL,|SCL|EZE|GRU|IST|SYZ|
SYZ|LCA,|LCA|FRA|IST|SYZ|
SYZ|NAP,|NAP|IST|SYZ|
SYZ|VLC,|VLC|IST|SYZ|
SYZ|BKK,|BKK|IST|SYZ|
SYZ|ADD,|ADD|IST|SYZ|
SYZ|FRA,|FRA|IST|SYZ|
SYZ|IST,|IST|SYZ|
SYZ|EBB,|EBB|KGL|IST|SYZ|
SYZ|YLW,|YLW|YYC|FRA|IST|SYZ|
SYZ|YYT,|YYT|LHR|IST|SYZ|
SYZ|GUA,|GUA|MIA|ZRH|IST|SYZ|
SYZ|EWR,|EWR|BHX|IST|SYZ|
SYZ|IAD,|IAD|IST|SYZ|
SYZ|IAH,|IAH|IST|SYZ|
SYZ|ORD,|ORD|IST|SYZ|
SYZ|SOF,|SOF|IST|SYZ|
SYZ|YQB,|YQB|YUL|FRA|IST|SYZ|
SYZ|YXU,|YXU|YYZ|IST|SYZ|
SYZ|EZE,|EZE|GRU|IST|SYZ|
SYZ|YYJ,|YYJ|YVR|MUC|IST|SYZ|
SYZ|YYY,|YYY|YUL|FRA|IST|SYZ|
SYZ|YQQ,|YQQ|YBL|YVR|MUC|IST|SYZ|
SYZ|YYR,|YYR|YYT|LHR|IST|SYZ|
SYZ|LHR,|LHR|IST|SYZ|
SYZ|SFO,|SFO|MUC|IST|SYZ|
SYZ|YQU,|YQU|YEG|LHR|IST|SYZ|
SYZ|YZF,|YZF|YEG|LHR|IST|SYZ|
SYZ|YGR,|YGR|YGP|YQB|YUL|FRA|IST|SYZ|
SYZ|YGP,|YGP|YQB|YUL|FRA|IST|SYZ|
SYZ|BOS,|BOS|FRA|IST|SYZ|
SYZ|YDF,|YDF|YYT|LHR|IST|SYZ|
SYZ|YFC,|YFC|YHZ|LHR|IST|SYZ|
SYZ|YQM,|YQM|YHZ|LHR|IST|SYZ|
SYZ|YQX,|YQX|YYT|LHR|IST|SYZ|
SYZ|YQY,|YQY|YHZ|LHR|IST|SYZ|
SYZ|YSJ,|YSJ|YHZ|LHR|IST|SYZ|
SYZ|YYG,|YYG|YHZ|LHR|IST|SYZ|
SYZ|LAX,|LAX|IST|SYZ|
SYZ|DCA,|DCA|EWR|BHX|IST|SYZ|
SYZ|LGA,|LGA|YHZ|LHR|IST|SYZ|
SYZ|YZV,|YZV|YWK|YYR|YYT|LHR|IST|SYZ|
SYZ|YWL,|YWL|YVR|MUC|IST|SYZ|
SYZ|AZS,|AZS|YUL|FRA|IST|SYZ|
SYZ|BDL,|BDL|YUL|FRA|IST|SYZ|
SYZ|CCC,|CCC|YUL|FRA|IST|SYZ|
SYZ|CDG,|CDG|IST|SYZ|
SYZ|CUN,|CUN|YHZ|LHR|IST|SYZ|
SYZ|CZM,|CZM|YUL|FRA|IST|SYZ|
SYZ|FDF,|FDF|YUL|FRA|IST|SYZ|
SYZ|FLL,|FLL|MCO|FRA|IST|SYZ|
SYZ|GVA,|GVA|IST|SYZ|
SYZ|HOG,|HOG|YUL|FRA|IST|SYZ|
SYZ|LAS,|LAS|DEN|FRA|IST|SYZ|
SYZ|MBJ,|MBJ|YHZ|LHR|IST|SYZ|
SYZ|MCO,|MCO|FRA|IST|SYZ|
SYZ|MUC,|MUC|IST|SYZ|
SYZ|PAP,|PAP|YUL|FRA|IST|SYZ|
SYZ|PTP,|PTP|YUL|FRA|IST|SYZ|
SYZ|PUJ,|PUJ|YHZ|LHR|IST|SYZ|
SYZ|SNU,|SNU|YUL|FRA|IST|SYZ|
SYZ|VRA,|VRA|YUL|FRA|IST|SYZ|
SYZ|YBC,|YBC|YUL|FRA|IST|SYZ|
SYZ|YBG,|YBG|YUL|FRA|IST|SYZ|
SYZ|YTZ,|YTZ|YUL|FRA|IST|SYZ|
SYZ|YUY,|YUY|YUL|FRA|IST|SYZ|
SYZ|YVO,|YVO|YUL|FRA|IST|SYZ|
SYZ|ZBF,|ZBF|YUL|FRA|IST|SYZ|
SYZ|ZRH,|ZRH|IST|SYZ|
SYZ|ZSA,|ZSA|YUL|FRA|IST|SYZ|
SYZ|AKL,|AKL|BKK|IST|SYZ|
SYZ|HKG,|HKG|IST|SYZ|
SYZ|HND,|HND|YVR|MUC|IST|SYZ|
SYZ|HNL,|HNL|YVR|MUC|IST|SYZ|
SYZ|MEX,|MEX|IAD|IST|SYZ|
SYZ|OGG,|OGG|YVR|MUC|IST|SYZ|
SYZ|PDX,|PDX|SEA|FRA|IST|SYZ|
SYZ|PEK,|PEK|IST|SYZ|
SYZ|PVG,|PVG|IST|SYZ|
SYZ|PVR,|PVR|ORD|IST|SYZ|
SYZ|SEA,|SEA|FRA|IST|SYZ|
SYZ|SYD,|SYD|BKK|IST|SYZ|
SYZ|YBL,|YBL|YVR|MUC|IST|SYZ|
SYZ|YCD,|YCD|YVR|MUC|IST|SYZ|
SYZ|YCG,|YCG|YYC|FRA|IST|SYZ|
SYZ|YKA,|YKA|YYC|FRA|IST|SYZ|
SYZ|YPR,|YPR|YVR|MUC|IST|SYZ|
SYZ|YQZ,|YQZ|YVR|MUC|IST|SYZ|
