SZG|BRU,|BRU|IST|SZG|
SZG|OUA,|OUA|NIM|IST|SZG|
SZG|JED,|JED|IST|SZG|
SZG|CPH,|CPH|IST|SZG|
SZG|YYZ,|YYZ|IST|SZG|
SZG|DEN,|DEN|FRA|IST|SZG|
SZG|YUL,|YUL|FRA|IST|SZG|
SZG|NBO,|NBO|IST|SZG|
SZG|ICN,|ICN|IST|SZG|
SZG|NRT,|NRT|IST|SZG|
SZG|YHZ,|YHZ|LHR|IST|SZG|
SZG|YOW,|YOW|FRA|IST|SZG|
SZG|BJM,|BJM|BRU|IST|SZG|
SZG|COO,|COO|BRU|IST|SZG|
SZG|DKR,|DKR|BRU|IST|SZG|
SZG|DLA,|DLA|IST|SZG|
SZG|KGL,|KGL|IST|SZG|
SZG|LAD,|LAD|BRU|IST|SZG|
SZG|ABJ,|ABJ|OUA|NIM|IST|SZG|
SZG|AMS,|AMS|IST|SZG|
SZG|OSL,|OSL|IST|SZG|
SZG|VNO,|VNO|IST|SZG|
SZG|WAW,|WAW|IST|SZG|
SZG|YYC,|YYC|FRA|IST|SZG|
SZG|ATL,|ATL|FRA|IST|SZG|
SZG|MSY,|MSY|IAD|IST|SZG|
SZG|YEG,|YEG|LHR|IST|SZG|
SZG|YMM,|YMM|YEG|LHR|IST|SZG|
SZG|YQR,|YQR|YEG|LHR|IST|SZG|
SZG|YVR,|YVR|MUC|IST|SZG|
SZG|YWG,|YWG|YUL|FRA|IST|SZG|
SZG|YXE,|YXE|YEG|LHR|IST|SZG|
SZG|CKY,|CKY|DKR|BRU|IST|SZG|
SZG|FIH,|FIH|IST|SZG|
SZG|SCL,|SCL|EZE|GRU|IST|SZG|
SZG|LCA,|LCA|FRA|IST|SZG|
SZG|NAP,|NAP|IST|SZG|
SZG|VLC,|VLC|IST|SZG|
SZG|BKK,|BKK|IST|SZG|
SZG|ADD,|ADD|IST|SZG|
SZG|FRA,|FRA|IST|SZG|
SZG|IST,|IST|SZG|
SZG|EBB,|EBB|KGL|IST|SZG|
SZG|YLW,|YLW|YYC|FRA|IST|SZG|
SZG|YYT,|YYT|LHR|IST|SZG|
SZG|GUA,|GUA|MIA|ZRH|IST|SZG|
SZG|EWR,|EWR|BHX|IST|SZG|
SZG|IAD,|IAD|IST|SZG|
SZG|IAH,|IAH|IST|SZG|
SZG|ORD,|ORD|IST|SZG|
SZG|SOF,|SOF|IST|SZG|
SZG|YQB,|YQB|YUL|FRA|IST|SZG|
SZG|YXU,|YXU|YYZ|IST|SZG|
SZG|EZE,|EZE|GRU|IST|SZG|
SZG|YYJ,|YYJ|YVR|MUC|IST|SZG|
SZG|YYY,|YYY|YUL|FRA|IST|SZG|
SZG|YQQ,|YQQ|YBL|YVR|MUC|IST|SZG|
SZG|YYR,|YYR|YYT|LHR|IST|SZG|
SZG|LHR,|LHR|IST|SZG|
SZG|SFO,|SFO|MUC|IST|SZG|
SZG|YQU,|YQU|YEG|LHR|IST|SZG|
SZG|YZF,|YZF|YEG|LHR|IST|SZG|
SZG|YGR,|YGR|YGP|YQB|YUL|FRA|IST|SZG|
SZG|YGP,|YGP|YQB|YUL|FRA|IST|SZG|
SZG|BOS,|BOS|FRA|IST|SZG|
SZG|YDF,|YDF|YYT|LHR|IST|SZG|
SZG|YFC,|YFC|YHZ|LHR|IST|SZG|
SZG|YQM,|YQM|YHZ|LHR|IST|SZG|
SZG|YQX,|YQX|YYT|LHR|IST|SZG|
SZG|YQY,|YQY|YHZ|LHR|IST|SZG|
SZG|YSJ,|YSJ|YHZ|LHR|IST|SZG|
SZG|YYG,|YYG|YHZ|LHR|IST|SZG|
SZG|LAX,|LAX|IST|SZG|
SZG|DCA,|DCA|EWR|BHX|IST|SZG|
SZG|LGA,|LGA|YHZ|LHR|IST|SZG|
SZG|YZV,|YZV|YWK|YYR|YYT|LHR|IST|SZG|
SZG|YWL,|YWL|YVR|MUC|IST|SZG|
SZG|AZS,|AZS|YUL|FRA|IST|SZG|
SZG|BDL,|BDL|YUL|FRA|IST|SZG|
SZG|CCC,|CCC|YUL|FRA|IST|SZG|
SZG|CDG,|CDG|IST|SZG|
SZG|CUN,|CUN|YHZ|LHR|IST|SZG|
SZG|CZM,|CZM|YUL|FRA|IST|SZG|
SZG|FDF,|FDF|YUL|FRA|IST|SZG|
SZG|FLL,|FLL|MCO|FRA|IST|SZG|
SZG|GVA,|GVA|IST|SZG|
SZG|HOG,|HOG|YUL|FRA|IST|SZG|
SZG|LAS,|LAS|DEN|FRA|IST|SZG|
SZG|MBJ,|MBJ|YHZ|LHR|IST|SZG|
SZG|MCO,|MCO|FRA|IST|SZG|
SZG|MUC,|MUC|IST|SZG|
SZG|PAP,|PAP|YUL|FRA|IST|SZG|
SZG|PTP,|PTP|YUL|FRA|IST|SZG|
SZG|PUJ,|PUJ|YHZ|LHR|IST|SZG|
SZG|SNU,|SNU|YUL|FRA|IST|SZG|
SZG|VRA,|VRA|YUL|FRA|IST|SZG|
SZG|YBC,|YBC|YUL|FRA|IST|SZG|
SZG|YBG,|YBG|YUL|FRA|IST|SZG|
SZG|YTZ,|YTZ|YUL|FRA|IST|SZG|
SZG|YUY,|YUY|YUL|FRA|IST|SZG|
SZG|YVO,|YVO|YUL|FRA|IST|SZG|
SZG|ZBF,|ZBF|YUL|FRA|IST|SZG|
SZG|ZRH,|ZRH|IST|SZG|
SZG|ZSA,|ZSA|YUL|FRA|IST|SZG|
SZG|AKL,|AKL|BKK|IST|SZG|
SZG|HKG,|HKG|IST|SZG|
SZG|HND,|HND|YVR|MUC|IST|SZG|
SZG|HNL,|HNL|YVR|MUC|IST|SZG|
SZG|MEX,|MEX|IAD|IST|SZG|
SZG|OGG,|OGG|YVR|MUC|IST|SZG|
SZG|PDX,|PDX|SEA|FRA|IST|SZG|
SZG|PEK,|PEK|IST|SZG|
SZG|PVG,|PVG|IST|SZG|
SZG|PVR,|PVR|ORD|IST|SZG|
SZG|SEA,|SEA|FRA|IST|SZG|
SZG|SYD,|SYD|BKK|IST|SZG|
SZG|YBL,|YBL|YVR|MUC|IST|SZG|
SZG|YCD,|YCD|YVR|MUC|IST|SZG|
SZG|YCG,|YCG|YYC|FRA|IST|SZG|
SZG|YKA,|YKA|YYC|FRA|IST|SZG|
SZG|YPR,|YPR|YVR|MUC|IST|SZG|
SZG|YQZ,|YQZ|YVR|MUC|IST|SZG|
SZG|YXC,|YXC|YYC|FRA|IST|SZG|
SZG|YXJ,|YXJ|YYC|FRA|IST|SZG|
SZG|YXS,|YXS|YYC|FRA|IST|SZG|
SZG|YXT,|YXT|YVR|MUC|IST|SZG|
SZG|YXY,|YXY|YVR|MUC|IST|SZG|
SZG|YYD,|YYD|YVR|MUC|IST|SZG|
SZG|YYF,|YYF|YVR|MUC|IST|SZG|
SZG|YZP,|YZP|YVR|MUC|IST|SZG|
SZG|YQT,|YQT|YYZ|IST|SZG|
SZG|SJD,|SJD|ORD|IST|SZG|
SZG|YQF,|YQF|YYC|FRA|IST|SZG|
SZG|YQL,|YQL|YYC|FRA|IST|SZG|
SZG|YXH,|YXH|YYC|FRA|IST|SZG|
SZG|YWK,|YWK|YYR|YYT|LHR|IST|SZG|
SZG|ANU,|ANU|EWR|BHX|IST|SZG|
SZG|AUA,|AUA|EWR|BHX|IST|SZG|
SZG|AUH,|AUH|IST|SZG|
SZG|BCN,|BCN|IST|SZG|
SZG|BDA,|BDA|EWR|BHX|IST|SZG|
SZG|BGI,|BGI|YYZ|IST|SZG|
SZG|BNA,|BNA|YYZ|IST|SZG|
SZG|BOG,|BOG|MIA|ZRH|IST|SZG|
SZG|BWI,|BWI|EWR|BHX|IST|SZG|
SZG|CLE,|CLE|YYZ|IST|SZG|
SZG|CLT,|CLT|EWR|BHX|IST|SZG|
SZG|CMH,|CMH|YYZ|IST|SZG|
SZG|CVG,|CVG|YYZ|IST|SZG|
