SZX|BRU,|BRU|IST|URC|CKG|SZX|
SZX|OUA,|OUA|NIM|IST|URC|CKG|SZX|
SZX|JED,|JED|IST|URC|CKG|SZX|
SZX|CPH,|CPH|AMS|CTU|SZX|
SZX|YYZ,|YYZ|PEK|SZX|
SZX|DEN,|DEN|YVR|PVG|SZX|
SZX|YUL,|YUL|YYZ|PEK|SZX|
SZX|NBO,|NBO|BKK|NNG|SZX|
SZX|ICN,|ICN|PVG|SZX|
SZX|NRT,|NRT|ICN|PVG|SZX|
SZX|YHZ,|YHZ|YYZ|PEK|SZX|
SZX|YOW,|YOW|YYZ|PEK|SZX|
SZX|BJM,|BJM|BRU|IST|URC|CKG|SZX|
SZX|COO,|COO|BRU|IST|URC|CKG|SZX|
SZX|DKR,|DKR|BRU|IST|URC|CKG|SZX|
SZX|DLA,|DLA|IST|URC|CKG|SZX|
SZX|KGL,|KGL|IST|URC|CKG|SZX|
SZX|LAD,|LAD|BRU|IST|URC|CKG|SZX|
SZX|ABJ,|ABJ|OUA|NIM|IST|URC|CKG|SZX|
SZX|AMS,|AMS|CTU|SZX|
SZX|OSL,|OSL|CPH|AMS|CTU|SZX|
SZX|VNO,|VNO|IST|URC|CKG|SZX|
SZX|WAW,|WAW|IST|URC|CKG|SZX|
SZX|YYC,|YYC|YVR|PVG|SZX|
SZX|ATL,|ATL|ORD|PEK|SZX|
SZX|MSY,|MSY|DEN|YVR|PVG|SZX|
SZX|YEG,|YEG|YVR|PVG|SZX|
SZX|YMM,|YMM|YVR|PVG|SZX|
SZX|YQR,|YQR|YVR|PVG|SZX|
SZX|YVR,|YVR|PVG|SZX|
SZX|YWG,|YWG|YVR|PVG|SZX|
SZX|YXE,|YXE|YVR|PVG|SZX|
SZX|CKY,|CKY|DKR|BRU|IST|URC|CKG|SZX|
SZX|FIH,|FIH|IST|URC|CKG|SZX|
SZX|SCL,|SCL|YYZ|PEK|SZX|
SZX|LCA,|LCA|FRA|TSE|URC|CKG|SZX|
SZX|NAP,|NAP|IST|URC|CKG|SZX|
SZX|VLC,|VLC|FRA|TSE|URC|CKG|SZX|
SZX|BKK,|BKK|NNG|SZX|
SZX|ADD,|ADD|IST|URC|CKG|SZX|
SZX|FRA,|FRA|TSE|URC|CKG|SZX|
SZX|IST,|IST|URC|CKG|SZX|
SZX|EBB,|EBB|KGL|IST|URC|CKG|SZX|
SZX|YLW,|YLW|YVR|PVG|SZX|
SZX|YYT,|YYT|LHR|CAN|MXZ|SZX|
SZX|GUA,|GUA|IAH|YVR|PVG|SZX|
SZX|EWR,|EWR|PEK|SZX|
SZX|IAD,|IAD|PEK|SZX|
SZX|IAH,|IAH|YVR|PVG|SZX|
SZX|ORD,|ORD|PEK|SZX|
SZX|SOF,|SOF|IST|URC|CKG|SZX|
SZX|YQB,|YQB|YYZ|PEK|SZX|
SZX|YXU,|YXU|YYZ|PEK|SZX|
SZX|EZE,|EZE|GRU|IST|URC|CKG|SZX|
SZX|YYJ,|YYJ|YVR|PVG|SZX|
SZX|YYY,|YYY|YUL|YYZ|PEK|SZX|
SZX|YQQ,|YQQ|YBL|YVR|PVG|SZX|
SZX|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|SZX|
SZX|LHR,|LHR|CAN|MXZ|SZX|
SZX|SFO,|SFO|PVG|SZX|
SZX|YQU,|YQU|YEG|YVR|PVG|SZX|
SZX|YZF,|YZF|YEG|YVR|PVG|SZX|
SZX|YGR,|YGR|YGP|YQB|YYZ|PEK|SZX|
SZX|YGP,|YGP|YQB|YYZ|PEK|SZX|
SZX|BOS,|BOS|YYZ|PEK|SZX|
SZX|YDF,|YDF|YYT|LHR|CAN|MXZ|SZX|
SZX|YFC,|YFC|YYZ|PEK|SZX|
SZX|YQM,|YQM|YYZ|PEK|SZX|
SZX|YQX,|YQX|YYT|LHR|CAN|MXZ|SZX|
SZX|YQY,|YQY|YYZ|PEK|SZX|
SZX|YSJ,|YSJ|YYZ|PEK|SZX|
SZX|YYG,|YYG|YYZ|PEK|SZX|
SZX|LAX,|LAX|PVG|SZX|
SZX|DCA,|DCA|YYZ|PEK|SZX|
SZX|LGA,|LGA|YYZ|PEK|SZX|
SZX|YZV,|YZV|YQB|YYZ|PEK|SZX|
SZX|YWL,|YWL|YVR|PVG|SZX|
SZX|AZS,|AZS|YYZ|PEK|SZX|
SZX|BDL,|BDL|YYZ|PEK|SZX|
SZX|CCC,|CCC|YYZ|PEK|SZX|
SZX|CDG,|CDG|CAN|MXZ|SZX|
SZX|CUN,|CUN|YVR|PVG|SZX|
SZX|CZM,|CZM|IAH|YVR|PVG|SZX|
SZX|FDF,|FDF|YUL|YYZ|PEK|SZX|
SZX|FLL,|FLL|ORD|PEK|SZX|
SZX|GVA,|GVA|IST|URC|CKG|SZX|
SZX|HOG,|HOG|YYZ|PEK|SZX|
SZX|LAS,|LAS|SFO|PVG|SZX|
SZX|MBJ,|MBJ|ATL|ORD|PEK|SZX|
SZX|MCO,|MCO|ORD|PEK|SZX|
