TBS|BRU,|BRU|SAW|TBS|
TBS|OUA,|OUA|NIM|IST|TBS|
TBS|JED,|JED|IST|TBS|
TBS|CPH,|CPH|IST|TBS|
TBS|YYZ,|YYZ|VIE|SAW|TBS|
TBS|DEN,|DEN|FRA|SAW|TBS|
TBS|YUL,|YUL|FRA|SAW|TBS|
TBS|NBO,|NBO|IST|TBS|
TBS|ICN,|ICN|PEK|URC|TBS|
TBS|NRT,|NRT|PEK|URC|TBS|
TBS|YHZ,|YHZ|LHR|IST|TBS|
TBS|YOW,|YOW|FRA|SAW|TBS|
TBS|BJM,|BJM|BRU|SAW|TBS|
TBS|COO,|COO|BRU|SAW|TBS|
TBS|DKR,|DKR|BRU|SAW|TBS|
TBS|DLA,|DLA|IST|TBS|
TBS|KGL,|KGL|IST|TBS|
TBS|LAD,|LAD|BRU|SAW|TBS|
TBS|ABJ,|ABJ|OUA|NIM|IST|TBS|
TBS|AMS,|AMS|SAW|TBS|
TBS|OSL,|OSL|IST|TBS|
TBS|VNO,|VNO|IST|TBS|
TBS|WAW,|WAW|IST|TBS|
TBS|YYC,|YYC|FRA|SAW|TBS|
TBS|ATL,|ATL|FRA|SAW|TBS|
TBS|MSY,|MSY|IAD|FRA|SAW|TBS|
TBS|YEG,|YEG|LHR|IST|TBS|
TBS|YMM,|YMM|YEG|LHR|IST|TBS|
TBS|YQR,|YQR|YEG|LHR|IST|TBS|
TBS|YVR,|YVR|MUC|SAW|TBS|
TBS|YWG,|YWG|YUL|FRA|SAW|TBS|
TBS|YXE,|YXE|YEG|LHR|IST|TBS|
TBS|CKY,|CKY|DKR|BRU|SAW|TBS|
TBS|FIH,|FIH|IST|TBS|
TBS|SCL,|SCL|EZE|GRU|IST|TBS|
TBS|LCA,|LCA|FRA|SAW|TBS|
TBS|NAP,|NAP|IST|TBS|
TBS|VLC,|VLC|IST|TBS|
TBS|BKK,|BKK|NNG|KWE|URC|TBS|
TBS|ADD,|ADD|IST|TBS|
TBS|FRA,|FRA|SAW|TBS|
TBS|IST,|IST|TBS|
TBS|EBB,|EBB|KGL|IST|TBS|
TBS|YLW,|YLW|YYC|FRA|SAW|TBS|
TBS|YYT,|YYT|LHR|IST|TBS|
TBS|GUA,|GUA|MIA|ZRH|IST|TBS|
TBS|EWR,|EWR|FRA|SAW|TBS|
TBS|IAD,|IAD|FRA|SAW|TBS|
TBS|IAH,|IAH|YYZ|VIE|SAW|TBS|
TBS|ORD,|ORD|VIE|SAW|TBS|
TBS|SOF,|SOF|IST|TBS|
TBS|YQB,|YQB|YUL|FRA|SAW|TBS|
TBS|YXU,|YXU|YYZ|VIE|SAW|TBS|
TBS|EZE,|EZE|GRU|IST|TBS|
TBS|YYJ,|YYJ|YVR|MUC|SAW|TBS|
TBS|YYY,|YYY|YUL|FRA|SAW|TBS|
TBS|YQQ,|YQQ|YBL|YVR|MUC|SAW|TBS|
TBS|YYR,|YYR|YYT|LHR|IST|TBS|
TBS|LHR,|LHR|IST|TBS|
TBS|SFO,|SFO|MUC|SAW|TBS|
TBS|YQU,|YQU|YEG|LHR|IST|TBS|
TBS|YZF,|YZF|YEG|LHR|IST|TBS|
TBS|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|TBS|
TBS|YGP,|YGP|YQB|YUL|FRA|SAW|TBS|
TBS|BOS,|BOS|FRA|SAW|TBS|
TBS|YDF,|YDF|YYT|LHR|IST|TBS|
TBS|YFC,|YFC|YHZ|LHR|IST|TBS|
TBS|YQM,|YQM|YHZ|LHR|IST|TBS|
TBS|YQX,|YQX|YYT|LHR|IST|TBS|
TBS|YQY,|YQY|YHZ|LHR|IST|TBS|
TBS|YSJ,|YSJ|YHZ|LHR|IST|TBS|
TBS|YYG,|YYG|YHZ|LHR|IST|TBS|
TBS|LAX,|LAX|IST|TBS|
TBS|DCA,|DCA|EWR|FRA|SAW|TBS|
TBS|LGA,|LGA|YHZ|LHR|IST|TBS|
TBS|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TBS|
TBS|YWL,|YWL|YVR|MUC|SAW|TBS|
TBS|AZS,|AZS|YUL|FRA|SAW|TBS|
TBS|BDL,|BDL|YUL|FRA|SAW|TBS|
TBS|CCC,|CCC|YUL|FRA|SAW|TBS|
TBS|CDG,|CDG|IST|TBS|
TBS|CUN,|CUN|YHZ|LHR|IST|TBS|
TBS|CZM,|CZM|YUL|FRA|SAW|TBS|
TBS|FDF,|FDF|YUL|FRA|SAW|TBS|
TBS|FLL,|FLL|MCO|FRA|SAW|TBS|
TBS|GVA,|GVA|IST|TBS|
TBS|HOG,|HOG|YUL|FRA|SAW|TBS|
TBS|LAS,|LAS|DEN|FRA|SAW|TBS|
TBS|MBJ,|MBJ|YHZ|LHR|IST|TBS|
TBS|MCO,|MCO|FRA|SAW|TBS|
TBS|MUC,|MUC|SAW|TBS|
TBS|PAP,|PAP|YUL|FRA|SAW|TBS|
TBS|PTP,|PTP|YUL|FRA|SAW|TBS|
TBS|PUJ,|PUJ|YHZ|LHR|IST|TBS|
TBS|SNU,|SNU|YUL|FRA|SAW|TBS|
TBS|VRA,|VRA|YUL|FRA|SAW|TBS|
TBS|YBC,|YBC|YUL|FRA|SAW|TBS|
TBS|YBG,|YBG|YUL|FRA|SAW|TBS|
TBS|YTZ,|YTZ|YUL|FRA|SAW|TBS|
TBS|YUY,|YUY|YUL|FRA|SAW|TBS|
