TCG|BRU,|BRU|IST|URC|TCG|
TCG|OUA,|OUA|NIM|IST|URC|TCG|
TCG|JED,|JED|IST|URC|TCG|
TCG|CPH,|CPH|IST|URC|TCG|
TCG|YYZ,|YYZ|FRA|TSE|URC|TCG|
TCG|DEN,|DEN|YVR|PEK|URC|TCG|
TCG|YUL,|YUL|FRA|TSE|URC|TCG|
TCG|NBO,|NBO|IST|URC|TCG|
TCG|ICN,|ICN|PEK|URC|TCG|
TCG|NRT,|NRT|PEK|URC|TCG|
TCG|YHZ,|YHZ|LHR|IST|URC|TCG|
TCG|YOW,|YOW|FRA|TSE|URC|TCG|
TCG|BJM,|BJM|BRU|IST|URC|TCG|
TCG|COO,|COO|BRU|IST|URC|TCG|
TCG|DKR,|DKR|BRU|IST|URC|TCG|
TCG|DLA,|DLA|IST|URC|TCG|
TCG|KGL,|KGL|IST|URC|TCG|
TCG|LAD,|LAD|BRU|IST|URC|TCG|
TCG|ABJ,|ABJ|OUA|NIM|IST|URC|TCG|
TCG|AMS,|AMS|IST|URC|TCG|
TCG|OSL,|OSL|IST|URC|TCG|
TCG|VNO,|VNO|IST|URC|TCG|
TCG|WAW,|WAW|IST|URC|TCG|
TCG|YYC,|YYC|YVR|PEK|URC|TCG|
TCG|ATL,|ATL|FRA|TSE|URC|TCG|
TCG|MSY,|MSY|IAD|FRA|TSE|URC|TCG|
TCG|YEG,|YEG|YVR|PEK|URC|TCG|
TCG|YMM,|YMM|YVR|PEK|URC|TCG|
TCG|YQR,|YQR|YVR|PEK|URC|TCG|
TCG|YVR,|YVR|PEK|URC|TCG|
TCG|YWG,|YWG|YVR|PEK|URC|TCG|
TCG|YXE,|YXE|YVR|PEK|URC|TCG|
TCG|CKY,|CKY|DKR|BRU|IST|URC|TCG|
TCG|FIH,|FIH|IST|URC|TCG|
TCG|SCL,|SCL|EZE|GRU|IST|URC|TCG|
TCG|LCA,|LCA|FRA|TSE|URC|TCG|
TCG|NAP,|NAP|IST|URC|TCG|
TCG|VLC,|VLC|FRA|TSE|URC|TCG|
TCG|BKK,|BKK|NNG|KWE|URC|TCG|
TCG|ADD,|ADD|IST|URC|TCG|
TCG|FRA,|FRA|TSE|URC|TCG|
TCG|IST,|IST|URC|TCG|
TCG|EBB,|EBB|KGL|IST|URC|TCG|
TCG|YLW,|YLW|YVR|PEK|URC|TCG|
TCG|YYT,|YYT|LHR|IST|URC|TCG|
TCG|GUA,|GUA|MIA|FRA|TSE|URC|TCG|
TCG|EWR,|EWR|FRA|TSE|URC|TCG|
TCG|IAD,|IAD|FRA|TSE|URC|TCG|
TCG|IAH,|IAH|PEK|URC|TCG|
TCG|ORD,|ORD|FRA|TSE|URC|TCG|
TCG|SOF,|SOF|IST|URC|TCG|
TCG|YQB,|YQB|YUL|FRA|TSE|URC|TCG|
TCG|YXU,|YXU|YYZ|FRA|TSE|URC|TCG|
TCG|EZE,|EZE|GRU|IST|URC|TCG|
TCG|YYJ,|YYJ|YVR|PEK|URC|TCG|
TCG|YYY,|YYY|YUL|FRA|TSE|URC|TCG|
TCG|YQQ,|YQQ|YBL|YVR|PEK|URC|TCG|
TCG|YYR,|YYR|YYT|LHR|IST|URC|TCG|
TCG|LHR,|LHR|IST|URC|TCG|
TCG|SFO,|SFO|PEK|URC|TCG|
TCG|YQU,|YQU|YEG|YVR|PEK|URC|TCG|
TCG|YZF,|YZF|YEG|YVR|PEK|URC|TCG|
TCG|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|TCG|
TCG|YGP,|YGP|YQB|YUL|FRA|TSE|URC|TCG|
TCG|BOS,|BOS|FRA|TSE|URC|TCG|
TCG|YDF,|YDF|YYT|LHR|IST|URC|TCG|
TCG|YFC,|YFC|YHZ|LHR|IST|URC|TCG|
TCG|YQM,|YQM|YHZ|LHR|IST|URC|TCG|
TCG|YQX,|YQX|YYT|LHR|IST|URC|TCG|
TCG|YQY,|YQY|YHZ|LHR|IST|URC|TCG|
TCG|YSJ,|YSJ|YHZ|LHR|IST|URC|TCG|
TCG|YYG,|YYG|YHZ|LHR|IST|URC|TCG|
TCG|LAX,|LAX|PEK|URC|TCG|
TCG|DCA,|DCA|EWR|FRA|TSE|URC|TCG|
TCG|LGA,|LGA|YUL|FRA|TSE|URC|TCG|
TCG|YZV,|YZV|YUL|FRA|TSE|URC|TCG|
TCG|YWL,|YWL|YVR|PEK|URC|TCG|
TCG|AZS,|AZS|YUL|FRA|TSE|URC|TCG|
TCG|BDL,|BDL|YUL|FRA|TSE|URC|TCG|
TCG|CCC,|CCC|YUL|FRA|TSE|URC|TCG|
TCG|CDG,|CDG|IST|URC|TCG|
TCG|CUN,|CUN|EWR|FRA|TSE|URC|TCG|
TCG|CZM,|CZM|YUL|FRA|TSE|URC|TCG|
TCG|FDF,|FDF|YUL|FRA|TSE|URC|TCG|
TCG|FLL,|FLL|MCO|FRA|TSE|URC|TCG|
TCG|GVA,|GVA|IST|URC|TCG|
TCG|HOG,|HOG|YUL|FRA|TSE|URC|TCG|
TCG|LAS,|LAS|SEA|PEK|URC|TCG|
TCG|MBJ,|MBJ|EWR|FRA|TSE|URC|TCG|
TCG|MCO,|MCO|FRA|TSE|URC|TCG|
TCG|MUC,|MUC|IST|URC|TCG|
TCG|PAP,|PAP|YUL|FRA|TSE|URC|TCG|
TCG|PTP,|PTP|YUL|FRA|TSE|URC|TCG|
TCG|PUJ,|PUJ|EWR|FRA|TSE|URC|TCG|
TCG|SNU,|SNU|YUL|FRA|TSE|URC|TCG|
TCG|VRA,|VRA|YUL|FRA|TSE|URC|TCG|
TCG|YBC,|YBC|YUL|FRA|TSE|URC|TCG|
TCG|YBG,|YBG|YUL|FRA|TSE|URC|TCG|
TCG|YTZ,|YTZ|YUL|FRA|TSE|URC|TCG|
TCG|YUY,|YUY|YUL|FRA|TSE|URC|TCG|
TCG|YVO,|YVO|YUL|FRA|TSE|URC|TCG|
TCG|ZBF,|ZBF|YUL|FRA|TSE|URC|TCG|
TCG|ZRH,|ZRH|IST|URC|TCG|
TCG|ZSA,|ZSA|YUL|FRA|TSE|URC|TCG|
TCG|AKL,|AKL|CAN|URC|TCG|
TCG|HKG,|HKG|CAN|URC|TCG|
TCG|HND,|HND|HNL|PEK|URC|TCG|
TCG|HNL,|HNL|PEK|URC|TCG|
TCG|MEX,|MEX|YVR|PEK|URC|TCG|
TCG|OGG,|OGG|HNL|PEK|URC|TCG|
TCG|PDX,|PDX|SEA|PEK|URC|TCG|
TCG|PEK,|PEK|URC|TCG|
TCG|PVG,|PVG|URC|TCG|
TCG|PVR,|PVR|SFO|PEK|URC|TCG|
TCG|SEA,|SEA|PEK|URC|TCG|
TCG|SYD,|SYD|CAN|URC|TCG|
TCG|YBL,|YBL|YVR|PEK|URC|TCG|
TCG|YCD,|YCD|YVR|PEK|URC|TCG|
TCG|YCG,|YCG|YVR|PEK|URC|TCG|
TCG|YKA,|YKA|YVR|PEK|URC|TCG|
TCG|YPR,|YPR|YVR|PEK|URC|TCG|
TCG|YQZ,|YQZ|YVR|PEK|URC|TCG|
TCG|YXC,|YXC|YVR|PEK|URC|TCG|
TCG|YXJ,|YXJ|YVR|PEK|URC|TCG|
TCG|YXS,|YXS|YVR|PEK|URC|TCG|
TCG|YXT,|YXT|YVR|PEK|URC|TCG|
TCG|YXY,|YXY|YVR|PEK|URC|TCG|
TCG|YYD,|YYD|YVR|PEK|URC|TCG|
TCG|YYF,|YYF|YVR|PEK|URC|TCG|
TCG|YZP,|YZP|YVR|PEK|URC|TCG|
TCG|YQT,|YQT|YYZ|FRA|TSE|URC|TCG|
TCG|SJD,|SJD|SFO|PEK|URC|TCG|
TCG|YQF,|YQF|YYC|YVR|PEK|URC|TCG|
TCG|YQL,|YQL|YYC|YVR|PEK|URC|TCG|
TCG|YXH,|YXH|YYC|YVR|PEK|URC|TCG|
TCG|YWK,|YWK|YYR|YYT|LHR|IST|URC|TCG|
TCG|ANU,|ANU|EWR|FRA|TSE|URC|TCG|
TCG|AUA,|AUA|EWR|FRA|TSE|URC|TCG|
TCG|AUH,|AUH|IST|URC|TCG|
TCG|BCN,|BCN|IST|URC|TCG|
TCG|BDA,|BDA|EWR|FRA|TSE|URC|TCG|
TCG|BGI,|BGI|YYZ|FRA|TSE|URC|TCG|
TCG|BNA,|BNA|YYZ|FRA|TSE|URC|TCG|
TCG|BOG,|BOG|JFK|FRA|TSE|URC|TCG|
TCG|BWI,|BWI|EWR|FRA|TSE|URC|TCG|
TCG|CLE,|CLE|YYZ|FRA|TSE|URC|TCG|
TCG|CLT,|CLT|EWR|FRA|TSE|URC|TCG|
TCG|CMH,|CMH|YYZ|FRA|TSE|URC|TCG|
TCG|CVG,|CVG|YYZ|FRA|TSE|URC|TCG|
TCG|DFW,|DFW|YVR|PEK|URC|TCG|
TCG|DTW,|DTW|FRA|TSE|URC|TCG|
TCG|DUB,|DUB|IST|URC|TCG|
TCG|FCO,|FCO|IST|URC|TCG|
TCG|GCM,|GCM|EWR|FRA|TSE|URC|TCG|
TCG|GGT,|GGT|FLL|MCO|FRA|TSE|URC|TCG|
TCG|GND,|GND|YYZ|FRA|TSE|URC|TCG|
TCG|GRU,|GRU|IST|URC|TCG|
TCG|HAV,|HAV|YYZ|FRA|TSE|URC|TCG|
TCG|IND,|IND|YYZ|FRA|TSE|URC|TCG|
TCG|JFK,|JFK|FRA|TSE|URC|TCG|
TCG|KIN,|KIN|YYZ|FRA|TSE|URC|TCG|
TCG|LIM,|LIM|MIA|FRA|TSE|URC|TCG|
TCG|LIR,|LIR|EWR|FRA|TSE|URC|TCG|
TCG|MCI,|MCI|ORD|FRA|TSE|URC|TCG|
TCG|MDT,|MDT|IAD|FRA|TSE|URC|TCG|
TCG|MIA,|MIA|FRA|TSE|URC|TCG|
TCG|MKE,|MKE|YYZ|FRA|TSE|URC|TCG|
TCG|MSP,|MSP|YUL|FRA|TSE|URC|TCG|
TCG|NAS,|NAS|EWR|FRA|TSE|URC|TCG|
TCG|PHL,|PHL|IAD|FRA|TSE|URC|TCG|
TCG|PHX,|PHX|SEA|PEK|URC|TCG|
TCG|PIT,|PIT|YYZ|FRA|TSE|URC|TCG|
TCG|PLS,|PLS|EWR|FRA|TSE|URC|TCG|
TCG|POP,|POP|EWR|FRA|TSE|URC|TCG|
TCG|RDU,|RDU|EWR|FRA|TSE|URC|TCG|
TCG|ROC,|ROC|YYZ|FRA|TSE|URC|TCG|
TCG|RSW,|RSW|MCO|FRA|TSE|URC|TCG|
TCG|SAN,|SAN|LAX|PEK|URC|TCG|
TCG|SJO,|SJO|EWR|FRA|TSE|URC|TCG|
TCG|STL,|STL|DTW|FRA|TSE|URC|TCG|
TCG|SYR,|SYR|EWR|FRA|TSE|URC|TCG|
TCG|TLV,|TLV|SAW|TBS|URC|TCG|
TCG|TPA,|TPA|EWR|FRA|TSE|URC|TCG|
TCG|UVF,|UVF|EWR|FRA|TSE|URC|TCG|
TCG|VIE,|VIE|IST|URC|TCG|
TCG|YAM,|YAM|YYZ|FRA|TSE|URC|TCG|
TCG|YGK,|YGK|YYZ|FRA|TSE|URC|TCG|
