TGD|BRU,|BRU|IST|TGD|
TGD|OUA,|OUA|NIM|IST|TGD|
TGD|JED,|JED|IST|TGD|
TGD|CPH,|CPH|IST|TGD|
TGD|YYZ,|YYZ|IST|TGD|
TGD|DEN,|DEN|FRA|IST|TGD|
TGD|YUL,|YUL|FRA|IST|TGD|
TGD|NBO,|NBO|IST|TGD|
TGD|ICN,|ICN|IST|TGD|
TGD|NRT,|NRT|IST|TGD|
TGD|YHZ,|YHZ|LHR|IST|TGD|
TGD|YOW,|YOW|FRA|IST|TGD|
TGD|BJM,|BJM|BRU|IST|TGD|
TGD|COO,|COO|BRU|IST|TGD|
TGD|DKR,|DKR|BRU|IST|TGD|
TGD|DLA,|DLA|IST|TGD|
TGD|KGL,|KGL|IST|TGD|
TGD|LAD,|LAD|BRU|IST|TGD|
TGD|ABJ,|ABJ|OUA|NIM|IST|TGD|
TGD|AMS,|AMS|IST|TGD|
TGD|OSL,|OSL|IST|TGD|
TGD|VNO,|VNO|IST|TGD|
TGD|WAW,|WAW|IST|TGD|
TGD|YYC,|YYC|FRA|IST|TGD|
TGD|ATL,|ATL|FRA|IST|TGD|
TGD|MSY,|MSY|IAD|IST|TGD|
TGD|YEG,|YEG|LHR|IST|TGD|
TGD|YMM,|YMM|YEG|LHR|IST|TGD|
TGD|YQR,|YQR|YEG|LHR|IST|TGD|
TGD|YVR,|YVR|MUC|IST|TGD|
TGD|YWG,|YWG|YUL|FRA|IST|TGD|
TGD|YXE,|YXE|YEG|LHR|IST|TGD|
TGD|CKY,|CKY|DKR|BRU|IST|TGD|
TGD|FIH,|FIH|IST|TGD|
TGD|SCL,|SCL|EZE|GRU|IST|TGD|
TGD|LCA,|LCA|FRA|IST|TGD|
TGD|NAP,|NAP|IST|TGD|
TGD|VLC,|VLC|IST|TGD|
TGD|BKK,|BKK|IST|TGD|
TGD|ADD,|ADD|IST|TGD|
TGD|FRA,|FRA|IST|TGD|
TGD|IST,|IST|TGD|
TGD|EBB,|EBB|KGL|IST|TGD|
TGD|YLW,|YLW|YYC|FRA|IST|TGD|
TGD|YYT,|YYT|LHR|IST|TGD|
TGD|GUA,|GUA|MIA|ZRH|IST|TGD|
TGD|EWR,|EWR|BHX|IST|TGD|
TGD|IAD,|IAD|IST|TGD|
TGD|IAH,|IAH|IST|TGD|
TGD|ORD,|ORD|IST|TGD|
TGD|SOF,|SOF|IST|TGD|
TGD|YQB,|YQB|YUL|FRA|IST|TGD|
TGD|YXU,|YXU|YYZ|IST|TGD|
TGD|EZE,|EZE|GRU|IST|TGD|
TGD|YYJ,|YYJ|YVR|MUC|IST|TGD|
TGD|YYY,|YYY|YUL|FRA|IST|TGD|
TGD|YQQ,|YQQ|YBL|YVR|MUC|IST|TGD|
TGD|YYR,|YYR|YYT|LHR|IST|TGD|
TGD|LHR,|LHR|IST|TGD|
TGD|SFO,|SFO|MUC|IST|TGD|
TGD|YQU,|YQU|YEG|LHR|IST|TGD|
TGD|YZF,|YZF|YEG|LHR|IST|TGD|
TGD|YGR,|YGR|YGP|YQB|YUL|FRA|IST|TGD|
TGD|YGP,|YGP|YQB|YUL|FRA|IST|TGD|
TGD|BOS,|BOS|FRA|IST|TGD|
TGD|YDF,|YDF|YYT|LHR|IST|TGD|
TGD|YFC,|YFC|YHZ|LHR|IST|TGD|
TGD|YQM,|YQM|YHZ|LHR|IST|TGD|
TGD|YQX,|YQX|YYT|LHR|IST|TGD|
TGD|YQY,|YQY|YHZ|LHR|IST|TGD|
TGD|YSJ,|YSJ|YHZ|LHR|IST|TGD|
TGD|YYG,|YYG|YHZ|LHR|IST|TGD|
TGD|LAX,|LAX|IST|TGD|
TGD|DCA,|DCA|EWR|BHX|IST|TGD|
TGD|LGA,|LGA|YHZ|LHR|IST|TGD|
TGD|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TGD|
TGD|YWL,|YWL|YVR|MUC|IST|TGD|
TGD|AZS,|AZS|YUL|FRA|IST|TGD|
TGD|BDL,|BDL|YUL|FRA|IST|TGD|
TGD|CCC,|CCC|YUL|FRA|IST|TGD|
TGD|CDG,|CDG|IST|TGD|
TGD|CUN,|CUN|YHZ|LHR|IST|TGD|
TGD|CZM,|CZM|YUL|FRA|IST|TGD|
TGD|FDF,|FDF|YUL|FRA|IST|TGD|
TGD|FLL,|FLL|MCO|FRA|IST|TGD|
TGD|GVA,|GVA|IST|TGD|
TGD|HOG,|HOG|YUL|FRA|IST|TGD|
TGD|LAS,|LAS|DEN|FRA|IST|TGD|
TGD|MBJ,|MBJ|YHZ|LHR|IST|TGD|
TGD|MCO,|MCO|FRA|IST|TGD|
TGD|MUC,|MUC|IST|TGD|
TGD|PAP,|PAP|YUL|FRA|IST|TGD|
TGD|PTP,|PTP|YUL|FRA|IST|TGD|
TGD|PUJ,|PUJ|YHZ|LHR|IST|TGD|
TGD|SNU,|SNU|YUL|FRA|IST|TGD|
TGD|VRA,|VRA|YUL|FRA|IST|TGD|
TGD|YBC,|YBC|YUL|FRA|IST|TGD|
TGD|YBG,|YBG|YUL|FRA|IST|TGD|
TGD|YTZ,|YTZ|YUL|FRA|IST|TGD|
TGD|YUY,|YUY|YUL|FRA|IST|TGD|
TGD|YVO,|YVO|YUL|FRA|IST|TGD|
TGD|ZBF,|ZBF|YUL|FRA|IST|TGD|
TGD|ZRH,|ZRH|IST|TGD|
TGD|ZSA,|ZSA|YUL|FRA|IST|TGD|
TGD|AKL,|AKL|BKK|IST|TGD|
TGD|HKG,|HKG|IST|TGD|
TGD|HND,|HND|YVR|MUC|IST|TGD|
TGD|HNL,|HNL|YVR|MUC|IST|TGD|
TGD|MEX,|MEX|IAD|IST|TGD|
TGD|OGG,|OGG|YVR|MUC|IST|TGD|
TGD|PDX,|PDX|SEA|FRA|IST|TGD|
TGD|PEK,|PEK|IST|TGD|
TGD|PVG,|PVG|IST|TGD|
TGD|PVR,|PVR|ORD|IST|TGD|
TGD|SEA,|SEA|FRA|IST|TGD|
TGD|SYD,|SYD|BKK|IST|TGD|
TGD|YBL,|YBL|YVR|MUC|IST|TGD|
TGD|YCD,|YCD|YVR|MUC|IST|TGD|
TGD|YCG,|YCG|YYC|FRA|IST|TGD|
TGD|YKA,|YKA|YYC|FRA|IST|TGD|
TGD|YPR,|YPR|YVR|MUC|IST|TGD|
TGD|YQZ,|YQZ|YVR|MUC|IST|TGD|
TGD|YXC,|YXC|YYC|FRA|IST|TGD|
TGD|YXJ,|YXJ|YYC|FRA|IST|TGD|
TGD|YXS,|YXS|YYC|FRA|IST|TGD|
TGD|YXT,|YXT|YVR|MUC|IST|TGD|
TGD|YXY,|YXY|YVR|MUC|IST|TGD|
TGD|YYD,|YYD|YVR|MUC|IST|TGD|
TGD|YYF,|YYF|YVR|MUC|IST|TGD|
TGD|YZP,|YZP|YVR|MUC|IST|TGD|
TGD|YQT,|YQT|YYZ|IST|TGD|
TGD|SJD,|SJD|ORD|IST|TGD|
TGD|YQF,|YQF|YYC|FRA|IST|TGD|
TGD|YQL,|YQL|YYC|FRA|IST|TGD|
TGD|YXH,|YXH|YYC|FRA|IST|TGD|
TGD|YWK,|YWK|YYR|YYT|LHR|IST|TGD|
TGD|ANU,|ANU|EWR|BHX|IST|TGD|
TGD|AUA,|AUA|EWR|BHX|IST|TGD|
TGD|AUH,|AUH|IST|TGD|
TGD|BCN,|BCN|IST|TGD|
TGD|BDA,|BDA|EWR|BHX|IST|TGD|
TGD|BGI,|BGI|YYZ|IST|TGD|
TGD|BNA,|BNA|YYZ|IST|TGD|
TGD|BOG,|BOG|MIA|ZRH|IST|TGD|
TGD|BWI,|BWI|EWR|BHX|IST|TGD|
TGD|CLE,|CLE|YYZ|IST|TGD|
TGD|CLT,|CLT|EWR|BHX|IST|TGD|
TGD|CMH,|CMH|YYZ|IST|TGD|
TGD|CVG,|CVG|YYZ|IST|TGD|
TGD|DFW,|DFW|ORD|IST|TGD|
TGD|DTW,|DTW|FRA|IST|TGD|
TGD|DUB,|DUB|IST|TGD|
TGD|FCO,|FCO|IST|TGD|
TGD|GCM,|GCM|EWR|BHX|IST|TGD|
TGD|GGT,|GGT|FLL|MCO|FRA|IST|TGD|
TGD|GND,|GND|YYZ|IST|TGD|
TGD|GRU,|GRU|IST|TGD|
TGD|HAV,|HAV|YYZ|IST|TGD|
TGD|IND,|IND|YYZ|IST|TGD|
TGD|JFK,|JFK|IST|TGD|
TGD|KIN,|KIN|YYZ|IST|TGD|
TGD|LIM,|LIM|MIA|ZRH|IST|TGD|
TGD|LIR,|LIR|EWR|BHX|IST|TGD|
TGD|MCI,|MCI|ORD|IST|TGD|
TGD|MDT,|MDT|IAD|IST|TGD|
TGD|MIA,|MIA|ZRH|IST|TGD|
TGD|MKE,|MKE|YYZ|IST|TGD|
TGD|MSP,|MSP|YUL|FRA|IST|TGD|
TGD|NAS,|NAS|EWR|BHX|IST|TGD|
TGD|PHL,|PHL|IAD|IST|TGD|
TGD|PHX,|PHX|DEN|FRA|IST|TGD|
TGD|PIT,|PIT|YYZ|IST|TGD|
TGD|PLS,|PLS|EWR|BHX|IST|TGD|
TGD|POP,|POP|EWR|BHX|IST|TGD|
TGD|RDU,|RDU|EWR|BHX|IST|TGD|
TGD|ROC,|ROC|YYZ|IST|TGD|
TGD|RSW,|RSW|MCO|FRA|IST|TGD|
TGD|SAN,|SAN|LAX|IST|TGD|
TGD|SJO,|SJO|EWR|BHX|IST|TGD|
TGD|STL,|STL|ORD|IST|TGD|
TGD|SYR,|SYR|EWR|BHX|IST|TGD|
TGD|TLV,|TLV|IST|TGD|
TGD|TPA,|TPA|EWR|BHX|IST|TGD|
TGD|UVF,|UVF|EWR|BHX|IST|TGD|
TGD|VIE,|VIE|IST|TGD|
TGD|YAM,|YAM|YYZ|IST|TGD|
TGD|YGK,|YGK|YYZ|IST|TGD|
TGD|YQG,|YQG|YYZ|IST|TGD|
TGD|YSB,|YSB|YYZ|IST|TGD|
TGD|YTS,|YTS|YYZ|IST|TGD|
TGD|YYB,|YYB|YYZ|IST|TGD|
TGD|YZR,|YZR|YYZ|IST|TGD|
TGD|CAN,|CAN|IST|TGD|
TGD|URC,|URC|IST|TGD|
TGD|CTU,|CTU|URC|IST|TGD|
TGD|HGH,|HGH|URC|IST|TGD|
TGD|XMN,|XMN|CSX|URC|IST|TGD|
TGD|CGO,|CGO|URC|IST|TGD|
TGD|CSX,|CSX|URC|IST|TGD|
TGD|SHE,|SHE|PEK|IST|TGD|
TGD|SJW,|SJW|URC|IST|TGD|
TGD|WUH,|WUH|URC|IST|TGD|
TGD|SZX,|SZX|CKG|URC|IST|TGD|
TGD|CKG,|CKG|URC|IST|TGD|
TGD|KMG,|KMG|CTU|URC|IST|TGD|
TGD|FOC,|FOC|XIY|URC|IST|TGD|
TGD|NNG,|NNG|KWE|URC|IST|TGD|
TGD|SWA,|SWA|CAN|IST|TGD|
TGD|ACX,|ACX|CAN|IST|TGD|
TGD|AQG,|AQG|CAN|IST|TGD|
TGD|AVA,|AVA|CAN|IST|TGD|
TGD|BFJ,|BFJ|CAN|IST|TGD|
TGD|BHY,|BHY|CKG|URC|IST|TGD|
TGD|BNE,|BNE|BKK|IST|TGD|
TGD|CGD,|CGD|PEK|IST|TGD|
TGD|CGK,|CGK|SIN|IST|TGD|
TGD|CGQ,|CGQ|HET|URC|IST|TGD|
TGD|CIH,|CIH|PEK|IST|TGD|
TGD|CNX,|CNX|CAN|IST|TGD|
TGD|CZX,|CZX|TYN|URC|IST|TGD|
TGD|DAC,|DAC|IST|TGD|
TGD|DAD,|DAD|CAN|IST|TGD|
TGD|DEL,|DEL|IST|TGD|
TGD|DIG,|DIG|KMG|CTU|URC|IST|TGD|
TGD|DLC,|DLC|PEK|IST|TGD|
TGD|DPS,|DPS|CAN|IST|TGD|
TGD|DXB,|DXB|IST|TGD|
TGD|DYG,|DYG|CSX|URC|IST|TGD|
TGD|FUG,|FUG|CAN|IST|TGD|
TGD|FUK,|FUK|ICN|IST|TGD|
TGD|HAK,|HAK|CTU|URC|IST|TGD|
TGD|HAN,|HAN|CAN|IST|TGD|
TGD|HDG,|HDG|CAN|IST|TGD|
TGD|HET,|HET|URC|IST|TGD|
TGD|HFE,|HFE|XIY|URC|IST|TGD|
TGD|HJJ,|HJJ|CSX|URC|IST|TGD|
TGD|HKT,|HKT|KWE|URC|IST|TGD|
TGD|HRB,|HRB|PEK|IST|TGD|
TGD|HZH,|HZH|CAN|IST|TGD|
TGD|JIU,|JIU|CAN|IST|TGD|
TGD|JJN,|JJN|CSX|URC|IST|TGD|
TGD|JNG,|JNG|CAN|IST|TGD|
TGD|KHN,|KHN|XIY|URC|IST|TGD|
TGD|KIX,|KIX|IST|TGD|
TGD|KOW,|KOW|CAN|IST|TGD|
TGD|KTM,|KTM|IST|TGD|
TGD|KUL,|KUL|IST|TGD|
TGD|KWE,|KWE|URC|IST|TGD|
TGD|KWL,|KWL|CKG|URC|IST|TGD|
TGD|LHW,|LHW|URC|IST|TGD|
TGD|LYA,|LYA|KHN|XIY|URC|IST|TGD|
TGD|LYG,|LYG|XUZ|INC|URC|IST|TGD|
TGD|LZH,|LZH|CAN|IST|TGD|
TGD|MEL,|MEL|BKK|IST|TGD|
TGD|MIG,|MIG|CSX|URC|IST|TGD|
TGD|MLE,|MLE|IST|TGD|
TGD|MNL,|MNL|CAN|IST|TGD|
TGD|MXZ,|MXZ|CAN|IST|TGD|
TGD|NAO,|NAO|PEK|IST|TGD|
TGD|NGB,|NGB|WUH|URC|IST|TGD|
TGD|NKG,|NKG|URC|IST|TGD|
TGD|NNY,|NNY|CGO|URC|IST|TGD|
TGD|PEN,|PEN|CAN|IST|TGD|
TGD|PER,|PER|BKK|IST|TGD|
TGD|PNH,|PNH|CAN|IST|TGD|
TGD|REP,|REP|CAN|IST|TGD|
TGD|RGN,|RGN|CAN|IST|TGD|
TGD|SGN,|SGN|BKK|IST|TGD|
TGD|SHA,|SHA|URC|IST|TGD|
TGD|SIN,|SIN|IST|TGD|
TGD|SVO,|SVO|URC|IST|TGD|
TGD|SYX,|SYX|CKG|URC|IST|TGD|
TGD|TAO,|TAO|TYN|URC|IST|TGD|
TGD|TEN,|TEN|CAN|IST|TGD|
TGD|TNA,|TNA|URC|IST|TGD|
TGD|TPE,|TPE|URC|IST|TGD|
TGD|TSN,|TSN|HET|URC|IST|TGD|
TGD|TXN,|TXN|TYN|URC|IST|TGD|
TGD|TYN,|TYN|URC|IST|TGD|
TGD|WNZ,|WNZ|XIY|URC|IST|TGD|
TGD|WUX,|WUX|CAN|IST|TGD|
TGD|XFN,|XFN|CAN|IST|TGD|
TGD|XIY,|XIY|URC|IST|TGD|
TGD|XUZ,|XUZ|INC|URC|IST|TGD|
TGD|YIH,|YIH|CKG|URC|IST|TGD|
TGD|YIW,|YIW|URC|IST|TGD|
TGD|YNT,|YNT|SHE|PEK|IST|TGD|
TGD|YNZ,|YNZ|WUH|URC|IST|TGD|
TGD|YTY,|YTY|CGO|URC|IST|TGD|
TGD|ZHA,|ZHA|CAN|IST|TGD|
TGD|ZYI,|ZYI|CAN|IST|TGD|
TGD|BAV,|BAV|URC|IST|TGD|
TGD|CJU,|CJU|DLC|PEK|IST|TGD|
TGD|DSN,|DSN|CGO|URC|IST|TGD|
TGD|HMI,|HMI|URC|IST|TGD|
TGD|INC,|INC|URC|IST|TGD|
TGD|KHH,|KHH|WUH|URC|IST|TGD|
TGD|UYN,|UYN|XIY|URC|IST|TGD|
TGD|XNN,|XNN|URC|IST|TGD|
TGD|ZUH,|ZUH|KWE|URC|IST|TGD|
TGD|YNJ,|YNJ|PEK|IST|TGD|
TGD|DAT,|DAT|TYN|URC|IST|TGD|
TGD|JHG,|JHG|KMG|CTU|URC|IST|TGD|
TGD|LJG,|LJG|KMG|CTU|URC|IST|TGD|
TGD|LXA,|LXA|CKG|URC|IST|TGD|
TGD|YCU,|YCU|CKG|URC|IST|TGD|
TGD|LZO,|LZO|CSX|URC|IST|TGD|
TGD|MDG,|MDG|DLC|PEK|IST|TGD|
TGD|NGO,|NGO|ICN|IST|TGD|
TGD|TOY,|TOY|DLC|PEK|IST|TGD|
TGD|MFM,|MFM|XMN|CSX|URC|IST|TGD|
TGD|TGO,|TGO|HET|URC|IST|TGD|
TGD|XIL,|XIL|HET|URC|IST|TGD|
TGD|HEK,|HEK|HRB|PEK|IST|TGD|
TGD|KIJ,|KIJ|HRB|PEK|IST|TGD|
TGD|LDS,|LDS|HRB|PEK|IST|TGD|
TGD|OHE,|OHE|HRB|PEK|IST|TGD|
TGD|HSN,|HSN|LYG|XUZ|INC|URC|IST|TGD|
TGD|DLU,|DLU|KMG|CTU|URC|IST|TGD|
TGD|SYM,|SYM|KMG|CTU|URC|IST|TGD|
TGD|ZAT,|ZAT|KMG|CTU|URC|IST|TGD|
TGD|LUN,|LUN|NBO|IST|TGD|
TGD|AOG,|AOG|PEK|IST|TGD|
TGD|GMP,|GMP|PEK|IST|TGD|
TGD|ISB,|ISB|IST|TGD|
TGD|TAS,|TAS|IST|TGD|
TGD|WUS,|WUS|PEK|IST|TGD|
TGD|JMU,|JMU|PVG|IST|TGD|
TGD|NDG,|NDG|PVG|IST|TGD|
TGD|JXA,|JXA|SHE|PEK|IST|TGD|
TGD|PUS,|PUS|SHE|PEK|IST|TGD|
TGD|BKI,|BKI|SZX|CKG|URC|IST|TGD|
TGD|AKU,|AKU|URC|IST|TGD|
TGD|ALA,|ALA|IST|TGD|
TGD|ASB,|ASB|IST|TGD|
TGD|DNH,|DNH|URC|IST|TGD|
TGD|DYU,|DYU|IST|TGD|
TGD|FRU,|FRU|IST|TGD|
TGD|GYD,|GYD|IST|TGD|
TGD|HTN,|HTN|URC|IST|TGD|
TGD|IKA,|IKA|IST|TGD|
TGD|KCA,|KCA|URC|IST|TGD|
TGD|KHG,|KHG|URC|IST|TGD|
TGD|KRL,|KRL|URC|IST|TGD|
TGD|KRY,|KRY|URC|IST|TGD|
TGD|LBD,|LBD|URC|IST|TGD|
TGD|NLT,|NLT|URC|IST|TGD|
TGD|OSS,|OSS|IST|TGD|
TGD|OVB,|OVB|IST|TGD|
TGD|TBS,|TBS|IST|TGD|
TGD|TCG,|TCG|URC|IST|TGD|
TGD|TSE,|TSE|IST|TGD|
TGD|YIN,|YIN|URC|IST|TGD|
TGD|ENH,|ENH|WUH|URC|IST|TGD|
TGD|ENY,|ENY|XIY|URC|IST|TGD|
TGD|WXN,|WXN|XIY|URC|IST|TGD|
TGD|BLL,|BLL|IST|TGD|
TGD|ESB,|ESB|IST|TGD|
TGD|SAW,|SAW|ADB|IST|TGD|
TGD|HAM,|HAM|IST|TGD|
TGD|HRE,|HRE|ADD|IST|TGD|
TGD|JUB,|JUB|CAI|IST|TGD|
TGD|SSG,|SSG|DLA|IST|TGD|
TGD|BGW,|BGW|IST|TGD|
TGD|EBL,|EBL|IST|TGD|
TGD|VKO,|VKO|IST|TGD|
TGD|MCT,|MCT|IST|TGD|
TGD|AYT,|AYT|IST|TGD|
TGD|SCQ,|SCQ|BIO|IST|TGD|
TGD|AAL,|AAL|IST|TGD|
TGD|AOE,|AOE|BRU|IST|TGD|
TGD|JNB,|JNB|IST|TGD|
TGD|LBV,|LBV|DLA|IST|TGD|
TGD|ADA,|ADA|IST|TGD|
TGD|ADB,|ADB|IST|TGD|
TGD|ADF,|ADF|IST|TGD|
TGD|AJI,|AJI|IST|TGD|
TGD|BAL,|BAL|IST|TGD|
TGD|BJV,|BJV|IST|TGD|
TGD|CKZ,|CKZ|ESB|IST|TGD|
TGD|DIY,|DIY|IST|TGD|
TGD|ECN,|ECN|IST|TGD|
TGD|ERC,|ERC|IST|TGD|
TGD|ERZ,|ERZ|IST|TGD|
TGD|EZS,|EZS|IST|TGD|
TGD|GNY,|GNY|IST|TGD|
TGD|GZP,|GZP|ESB|IST|TGD|
TGD|GZT,|GZT|IST|TGD|
TGD|HTY,|HTY|IST|TGD|
TGD|KCM,|KCM|IST|TGD|
TGD|KSY,|KSY|IST|TGD|
TGD|MLX,|MLX|IST|TGD|
TGD|MQM,|MQM|IST|TGD|
TGD|MSR,|MSR|IST|TGD|
TGD|TEQ,|TEQ|ESB|IST|TGD|
TGD|TZX,|TZX|IST|TGD|
TGD|VAN,|VAN|IST|TGD|
TGD|ULN,|ULN|FRU|IST|TGD|
TGD|HIJ,|HIJ|ICN|IST|TGD|
TGD|VVO,|VVO|ICN|IST|TGD|
TGD|ACC,|ACC|IST|TGD|
TGD|AER,|AER|IST|TGD|
TGD|AGP,|AGP|IST|TGD|
TGD|ALG,|ALG|IST|TGD|
TGD|AMM,|AMM|IST|TGD|
TGD|AQJ,|AQJ|IST|TGD|
TGD|ARN,|ARN|IST|TGD|
TGD|ASR,|ASR|IST|TGD|
TGD|ATH,|ATH|IST|TGD|
TGD|BAH,|BAH|IST|TGD|
TGD|BEG,|BEG|IST|TGD|
TGD|BEN,|BEN|IST|TGD|
TGD|BEY,|BEY|IST|TGD|
TGD|BHX,|BHX|IST|TGD|
TGD|BIO,|BIO|IST|TGD|
TGD|BLQ,|BLQ|IST|TGD|
TGD|BOM,|BOM|IST|TGD|
TGD|BRE,|BRE|IST|TGD|
TGD|BSL,|BSL|IST|TGD|
TGD|BSR,|BSR|IST|TGD|
TGD|BUD,|BUD|IST|TGD|
TGD|BUS,|BUS|IST|TGD|
TGD|CAI,|CAI|IST|TGD|
TGD|CGN,|CGN|IST|TGD|
TGD|CMN,|CMN|IST|TGD|
TGD|CND,|CND|IST|TGD|
TGD|DAR,|DAR|IST|TGD|
TGD|DLM,|DLM|IST|TGD|
TGD|DMM,|DMM|IST|TGD|
TGD|DNK,|DNK|IST|TGD|
TGD|DNZ,|DNZ|IST|TGD|
TGD|DOK,|DOK|IST|TGD|
TGD|DUS,|DUS|IST|TGD|
TGD|EDI,|EDI|IST|TGD|
TGD|ELQ,|ELQ|IST|TGD|
TGD|FDH,|FDH|IST|TGD|
TGD|GOA,|GOA|IST|TGD|
TGD|GOT,|GOT|IST|TGD|
TGD|HAJ,|HAJ|IST|TGD|
TGD|HBE,|HBE|IST|TGD|
TGD|HEL,|HEL|IST|TGD|
TGD|HRG,|HRG|IST|TGD|
TGD|IFN,|IFN|IST|TGD|
TGD|ISE,|ISE|IST|TGD|
TGD|ISU,|ISU|IST|TGD|
TGD|JIB,|JIB|IST|TGD|
TGD|JRO,|JRO|IST|TGD|
TGD|KAN,|KAN|IST|TGD|
TGD|KBL,|KBL|IST|TGD|
TGD|KBP,|KBP|IST|TGD|
TGD|KFS,|KFS|IST|TGD|
TGD|KHI,|KHI|IST|TGD|
TGD|KIV,|KIV|IST|TGD|
TGD|KRT,|KRT|IST|TGD|
TGD|KSH,|KSH|IST|TGD|
TGD|KVD,|KVD|IST|TGD|
TGD|KWI,|KWI|IST|TGD|
TGD|KYA,|KYA|IST|TGD|
TGD|KZN,|KZN|IST|TGD|
TGD|KZR,|KZR|IST|TGD|
TGD|LED,|LED|IST|TGD|
TGD|LEJ,|LEJ|IST|TGD|
TGD|LGW,|LGW|IST|TGD|
TGD|LHE,|LHE|IST|TGD|
TGD|LIS,|LIS|IST|TGD|
TGD|LJU,|LJU|IST|TGD|
TGD|LOS,|LOS|IST|TGD|
TGD|LUX,|LUX|IST|TGD|
TGD|LWO,|LWO|IST|TGD|
TGD|LYS,|LYS|IST|TGD|
TGD|MAD,|MAD|IST|TGD|
TGD|MAN,|MAN|IST|TGD|
