TGO|BRU,|BRU|IST|URC|HET|TGO|
TGO|OUA,|OUA|NIM|IST|URC|HET|TGO|
TGO|JED,|JED|IST|URC|HET|TGO|
TGO|CPH,|CPH|IST|URC|HET|TGO|
TGO|YYZ,|YYZ|PEK|DLC|HET|TGO|
TGO|DEN,|DEN|YVR|ICN|DLC|HET|TGO|
TGO|YUL,|YUL|YYZ|PEK|DLC|HET|TGO|
TGO|NBO,|NBO|CAN|HET|TGO|
TGO|ICN,|ICN|DLC|HET|TGO|
TGO|NRT,|NRT|DLC|HET|TGO|
TGO|YHZ,|YHZ|YYZ|PEK|DLC|HET|TGO|
TGO|YOW,|YOW|YYZ|PEK|DLC|HET|TGO|
TGO|BJM,|BJM|BRU|IST|URC|HET|TGO|
TGO|COO,|COO|BRU|IST|URC|HET|TGO|
TGO|DKR,|DKR|BRU|IST|URC|HET|TGO|
TGO|DLA,|DLA|IST|URC|HET|TGO|
TGO|KGL,|KGL|IST|URC|HET|TGO|
TGO|LAD,|LAD|BRU|IST|URC|HET|TGO|
TGO|ABJ,|ABJ|OUA|NIM|IST|URC|HET|TGO|
TGO|AMS,|AMS|IST|URC|HET|TGO|
TGO|OSL,|OSL|IST|URC|HET|TGO|
TGO|VNO,|VNO|IST|URC|HET|TGO|
TGO|WAW,|WAW|IST|URC|HET|TGO|
TGO|YYC,|YYC|YVR|ICN|DLC|HET|TGO|
TGO|ATL,|ATL|ORD|PEK|DLC|HET|TGO|
TGO|MSY,|MSY|DEN|YVR|ICN|DLC|HET|TGO|
TGO|YEG,|YEG|YVR|ICN|DLC|HET|TGO|
TGO|YMM,|YMM|YVR|ICN|DLC|HET|TGO|
TGO|YQR,|YQR|YVR|ICN|DLC|HET|TGO|
TGO|YVR,|YVR|ICN|DLC|HET|TGO|
TGO|YWG,|YWG|YVR|ICN|DLC|HET|TGO|
TGO|YXE,|YXE|YVR|ICN|DLC|HET|TGO|
TGO|CKY,|CKY|DKR|BRU|IST|URC|HET|TGO|
TGO|FIH,|FIH|IST|URC|HET|TGO|
TGO|SCL,|SCL|EZE|GRU|IST|URC|HET|TGO|
TGO|LCA,|LCA|FRA|TSE|URC|HET|TGO|
TGO|NAP,|NAP|IST|URC|HET|TGO|
TGO|VLC,|VLC|FRA|TSE|URC|HET|TGO|
TGO|BKK,|BKK|CSX|HET|TGO|
TGO|ADD,|ADD|IST|URC|HET|TGO|
TGO|FRA,|FRA|TSE|URC|HET|TGO|
TGO|IST,|IST|URC|HET|TGO|
TGO|EBB,|EBB|KGL|IST|URC|HET|TGO|
TGO|YLW,|YLW|YVR|ICN|DLC|HET|TGO|
TGO|YYT,|YYT|LHR|IST|URC|HET|TGO|
TGO|GUA,|GUA|IAH|YVR|ICN|DLC|HET|TGO|
TGO|EWR,|EWR|PEK|DLC|HET|TGO|
TGO|IAD,|IAD|PEK|DLC|HET|TGO|
TGO|IAH,|IAH|YVR|ICN|DLC|HET|TGO|
TGO|ORD,|ORD|PEK|DLC|HET|TGO|
TGO|SOF,|SOF|IST|URC|HET|TGO|
TGO|YQB,|YQB|YYZ|PEK|DLC|HET|TGO|
TGO|YXU,|YXU|YYZ|PEK|DLC|HET|TGO|
