TIA|BRU,|BRU|IST|TIA|
TIA|OUA,|OUA|NIM|IST|TIA|
TIA|JED,|JED|IST|TIA|
TIA|CPH,|CPH|IST|TIA|
TIA|YYZ,|YYZ|IST|TIA|
TIA|DEN,|DEN|FRA|IST|TIA|
TIA|YUL,|YUL|FRA|IST|TIA|
TIA|NBO,|NBO|IST|TIA|
TIA|ICN,|ICN|IST|TIA|
TIA|NRT,|NRT|IST|TIA|
TIA|YHZ,|YHZ|LHR|IST|TIA|
TIA|YOW,|YOW|FRA|IST|TIA|
TIA|BJM,|BJM|BRU|IST|TIA|
TIA|COO,|COO|BRU|IST|TIA|
TIA|DKR,|DKR|BRU|IST|TIA|
TIA|DLA,|DLA|IST|TIA|
TIA|KGL,|KGL|IST|TIA|
TIA|LAD,|LAD|BRU|IST|TIA|
TIA|ABJ,|ABJ|OUA|NIM|IST|TIA|
TIA|AMS,|AMS|IST|TIA|
TIA|OSL,|OSL|IST|TIA|
TIA|VNO,|VNO|IST|TIA|
TIA|WAW,|WAW|IST|TIA|
TIA|YYC,|YYC|FRA|IST|TIA|
TIA|ATL,|ATL|FRA|IST|TIA|
TIA|MSY,|MSY|IAD|IST|TIA|
TIA|YEG,|YEG|LHR|IST|TIA|
TIA|YMM,|YMM|YEG|LHR|IST|TIA|
TIA|YQR,|YQR|YEG|LHR|IST|TIA|
TIA|YVR,|YVR|MUC|IST|TIA|
TIA|YWG,|YWG|YUL|FRA|IST|TIA|
TIA|YXE,|YXE|YEG|LHR|IST|TIA|
TIA|CKY,|CKY|DKR|BRU|IST|TIA|
TIA|FIH,|FIH|IST|TIA|
TIA|SCL,|SCL|EZE|GRU|IST|TIA|
TIA|LCA,|LCA|FRA|IST|TIA|
TIA|NAP,|NAP|IST|TIA|
TIA|VLC,|VLC|IST|TIA|
TIA|BKK,|BKK|IST|TIA|
TIA|ADD,|ADD|IST|TIA|
TIA|FRA,|FRA|IST|TIA|
TIA|IST,|IST|TIA|
TIA|EBB,|EBB|KGL|IST|TIA|
TIA|YLW,|YLW|YYC|FRA|IST|TIA|
TIA|YYT,|YYT|LHR|IST|TIA|
TIA|GUA,|GUA|MIA|ZRH|IST|TIA|
TIA|EWR,|EWR|BHX|IST|TIA|
TIA|IAD,|IAD|IST|TIA|
TIA|IAH,|IAH|IST|TIA|
TIA|ORD,|ORD|IST|TIA|
TIA|SOF,|SOF|IST|TIA|
TIA|YQB,|YQB|YUL|FRA|IST|TIA|
TIA|YXU,|YXU|YYZ|IST|TIA|
TIA|EZE,|EZE|GRU|IST|TIA|
TIA|YYJ,|YYJ|YVR|MUC|IST|TIA|
TIA|YYY,|YYY|YUL|FRA|IST|TIA|
TIA|YQQ,|YQQ|YBL|YVR|MUC|IST|TIA|
TIA|YYR,|YYR|YYT|LHR|IST|TIA|
TIA|LHR,|LHR|IST|TIA|
TIA|SFO,|SFO|MUC|IST|TIA|
TIA|YQU,|YQU|YEG|LHR|IST|TIA|
TIA|YZF,|YZF|YEG|LHR|IST|TIA|
TIA|YGR,|YGR|YGP|YQB|YUL|FRA|IST|TIA|
TIA|YGP,|YGP|YQB|YUL|FRA|IST|TIA|
TIA|BOS,|BOS|FRA|IST|TIA|
TIA|YDF,|YDF|YYT|LHR|IST|TIA|
TIA|YFC,|YFC|YHZ|LHR|IST|TIA|
TIA|YQM,|YQM|YHZ|LHR|IST|TIA|
TIA|YQX,|YQX|YYT|LHR|IST|TIA|
TIA|YQY,|YQY|YHZ|LHR|IST|TIA|
TIA|YSJ,|YSJ|YHZ|LHR|IST|TIA|
TIA|YYG,|YYG|YHZ|LHR|IST|TIA|
TIA|LAX,|LAX|IST|TIA|
TIA|DCA,|DCA|EWR|BHX|IST|TIA|
TIA|LGA,|LGA|YHZ|LHR|IST|TIA|
TIA|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TIA|
TIA|YWL,|YWL|YVR|MUC|IST|TIA|
TIA|AZS,|AZS|YUL|FRA|IST|TIA|
TIA|BDL,|BDL|YUL|FRA|IST|TIA|
TIA|CCC,|CCC|YUL|FRA|IST|TIA|
TIA|CDG,|CDG|IST|TIA|
