TIF|BRU,|BRU|IST|TIF|
TIF|OUA,|OUA|NIM|IST|TIF|
TIF|JED,|JED|IST|TIF|
TIF|CPH,|CPH|IST|TIF|
TIF|YYZ,|YYZ|IST|TIF|
TIF|DEN,|DEN|FRA|IST|TIF|
TIF|YUL,|YUL|FRA|IST|TIF|
TIF|NBO,|NBO|IST|TIF|
TIF|ICN,|ICN|IST|TIF|
TIF|NRT,|NRT|IST|TIF|
TIF|YHZ,|YHZ|LHR|IST|TIF|
TIF|YOW,|YOW|FRA|IST|TIF|
TIF|BJM,|BJM|BRU|IST|TIF|
TIF|COO,|COO|BRU|IST|TIF|
TIF|DKR,|DKR|BRU|IST|TIF|
TIF|DLA,|DLA|IST|TIF|
TIF|KGL,|KGL|IST|TIF|
TIF|LAD,|LAD|BRU|IST|TIF|
TIF|ABJ,|ABJ|OUA|NIM|IST|TIF|
TIF|AMS,|AMS|IST|TIF|
TIF|OSL,|OSL|IST|TIF|
TIF|VNO,|VNO|IST|TIF|
TIF|WAW,|WAW|IST|TIF|
TIF|YYC,|YYC|FRA|IST|TIF|
TIF|ATL,|ATL|FRA|IST|TIF|
TIF|MSY,|MSY|IAD|IST|TIF|
TIF|YEG,|YEG|LHR|IST|TIF|
TIF|YMM,|YMM|YEG|LHR|IST|TIF|
TIF|YQR,|YQR|YEG|LHR|IST|TIF|
TIF|YVR,|YVR|MUC|IST|TIF|
TIF|YWG,|YWG|YUL|FRA|IST|TIF|
TIF|YXE,|YXE|YEG|LHR|IST|TIF|
TIF|CKY,|CKY|DKR|BRU|IST|TIF|
TIF|FIH,|FIH|IST|TIF|
TIF|SCL,|SCL|EZE|GRU|IST|TIF|
TIF|LCA,|LCA|FRA|IST|TIF|
TIF|NAP,|NAP|IST|TIF|
TIF|VLC,|VLC|IST|TIF|
TIF|BKK,|BKK|IST|TIF|
TIF|ADD,|ADD|IST|TIF|
TIF|FRA,|FRA|IST|TIF|
TIF|IST,|IST|TIF|
TIF|EBB,|EBB|KGL|IST|TIF|
TIF|YLW,|YLW|YYC|FRA|IST|TIF|
TIF|YYT,|YYT|LHR|IST|TIF|
TIF|GUA,|GUA|MIA|ZRH|IST|TIF|
TIF|EWR,|EWR|BHX|IST|TIF|
TIF|IAD,|IAD|IST|TIF|
TIF|IAH,|IAH|IST|TIF|
TIF|ORD,|ORD|IST|TIF|
TIF|SOF,|SOF|IST|TIF|
TIF|YQB,|YQB|YUL|FRA|IST|TIF|
TIF|YXU,|YXU|YYZ|IST|TIF|
TIF|EZE,|EZE|GRU|IST|TIF|
TIF|YYJ,|YYJ|YVR|MUC|IST|TIF|
TIF|YYY,|YYY|YUL|FRA|IST|TIF|
TIF|YQQ,|YQQ|YBL|YVR|MUC|IST|TIF|
TIF|YYR,|YYR|YYT|LHR|IST|TIF|
TIF|LHR,|LHR|IST|TIF|
TIF|SFO,|SFO|MUC|IST|TIF|
TIF|YQU,|YQU|YEG|LHR|IST|TIF|
TIF|YZF,|YZF|YEG|LHR|IST|TIF|
TIF|YGR,|YGR|YGP|YQB|YUL|FRA|IST|TIF|
TIF|YGP,|YGP|YQB|YUL|FRA|IST|TIF|
TIF|BOS,|BOS|FRA|IST|TIF|
TIF|YDF,|YDF|YYT|LHR|IST|TIF|
TIF|YFC,|YFC|YHZ|LHR|IST|TIF|
TIF|YQM,|YQM|YHZ|LHR|IST|TIF|
TIF|YQX,|YQX|YYT|LHR|IST|TIF|
TIF|YQY,|YQY|YHZ|LHR|IST|TIF|
TIF|YSJ,|YSJ|YHZ|LHR|IST|TIF|
TIF|YYG,|YYG|YHZ|LHR|IST|TIF|
TIF|LAX,|LAX|IST|TIF|
TIF|DCA,|DCA|EWR|BHX|IST|TIF|
TIF|LGA,|LGA|YHZ|LHR|IST|TIF|
TIF|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TIF|
TIF|YWL,|YWL|YVR|MUC|IST|TIF|
TIF|AZS,|AZS|YUL|FRA|IST|TIF|
TIF|BDL,|BDL|YUL|FRA|IST|TIF|
TIF|CCC,|CCC|YUL|FRA|IST|TIF|
TIF|CDG,|CDG|IST|TIF|
TIF|CUN,|CUN|YHZ|LHR|IST|TIF|
TIF|CZM,|CZM|YUL|FRA|IST|TIF|
TIF|FDF,|FDF|YUL|FRA|IST|TIF|
TIF|FLL,|FLL|MCO|FRA|IST|TIF|
TIF|GVA,|GVA|IST|TIF|
TIF|HOG,|HOG|YUL|FRA|IST|TIF|
TIF|LAS,|LAS|DEN|FRA|IST|TIF|
TIF|MBJ,|MBJ|YHZ|LHR|IST|TIF|
TIF|MCO,|MCO|FRA|IST|TIF|
TIF|MUC,|MUC|IST|TIF|
TIF|PAP,|PAP|YUL|FRA|IST|TIF|
TIF|PTP,|PTP|YUL|FRA|IST|TIF|
TIF|PUJ,|PUJ|YHZ|LHR|IST|TIF|
TIF|SNU,|SNU|YUL|FRA|IST|TIF|
TIF|VRA,|VRA|YUL|FRA|IST|TIF|
TIF|YBC,|YBC|YUL|FRA|IST|TIF|
TIF|YBG,|YBG|YUL|FRA|IST|TIF|
TIF|YTZ,|YTZ|YUL|FRA|IST|TIF|
TIF|YUY,|YUY|YUL|FRA|IST|TIF|
TIF|YVO,|YVO|YUL|FRA|IST|TIF|
TIF|ZBF,|ZBF|YUL|FRA|IST|TIF|
TIF|ZRH,|ZRH|IST|TIF|
TIF|ZSA,|ZSA|YUL|FRA|IST|TIF|
TIF|AKL,|AKL|BKK|IST|TIF|
TIF|HKG,|HKG|IST|TIF|
TIF|HND,|HND|YVR|MUC|IST|TIF|
TIF|HNL,|HNL|YVR|MUC|IST|TIF|
TIF|MEX,|MEX|IAD|IST|TIF|
TIF|OGG,|OGG|YVR|MUC|IST|TIF|
TIF|PDX,|PDX|SEA|FRA|IST|TIF|
TIF|PEK,|PEK|IST|TIF|
TIF|PVG,|PVG|IST|TIF|
TIF|PVR,|PVR|ORD|IST|TIF|
TIF|SEA,|SEA|FRA|IST|TIF|
TIF|SYD,|SYD|BKK|IST|TIF|
TIF|YBL,|YBL|YVR|MUC|IST|TIF|
TIF|YCD,|YCD|YVR|MUC|IST|TIF|
TIF|YCG,|YCG|YYC|FRA|IST|TIF|
TIF|YKA,|YKA|YYC|FRA|IST|TIF|
TIF|YPR,|YPR|YVR|MUC|IST|TIF|
TIF|YQZ,|YQZ|YVR|MUC|IST|TIF|
TIF|YXC,|YXC|YYC|FRA|IST|TIF|
TIF|YXJ,|YXJ|YYC|FRA|IST|TIF|
TIF|YXS,|YXS|YYC|FRA|IST|TIF|
TIF|YXT,|YXT|YVR|MUC|IST|TIF|
TIF|YXY,|YXY|YVR|MUC|IST|TIF|
TIF|YYD,|YYD|YVR|MUC|IST|TIF|
TIF|YYF,|YYF|YVR|MUC|IST|TIF|
TIF|YZP,|YZP|YVR|MUC|IST|TIF|
TIF|YQT,|YQT|YYZ|IST|TIF|
TIF|SJD,|SJD|ORD|IST|TIF|
TIF|YQF,|YQF|YYC|FRA|IST|TIF|
TIF|YQL,|YQL|YYC|FRA|IST|TIF|
TIF|YXH,|YXH|YYC|FRA|IST|TIF|
TIF|YWK,|YWK|YYR|YYT|LHR|IST|TIF|
TIF|ANU,|ANU|EWR|BHX|IST|TIF|
TIF|AUA,|AUA|EWR|BHX|IST|TIF|
TIF|AUH,|AUH|IST|TIF|
TIF|BCN,|BCN|IST|TIF|
TIF|BDA,|BDA|EWR|BHX|IST|TIF|
TIF|BGI,|BGI|YYZ|IST|TIF|
TIF|BNA,|BNA|YYZ|IST|TIF|
TIF|BOG,|BOG|MIA|ZRH|IST|TIF|
TIF|BWI,|BWI|EWR|BHX|IST|TIF|
TIF|CLE,|CLE|YYZ|IST|TIF|
TIF|CLT,|CLT|EWR|BHX|IST|TIF|
TIF|CMH,|CMH|YYZ|IST|TIF|
TIF|CVG,|CVG|YYZ|IST|TIF|
TIF|DFW,|DFW|ORD|IST|TIF|
TIF|DTW,|DTW|FRA|IST|TIF|
TIF|DUB,|DUB|IST|TIF|
TIF|FCO,|FCO|IST|TIF|
TIF|GCM,|GCM|EWR|BHX|IST|TIF|
TIF|GGT,|GGT|FLL|MCO|FRA|IST|TIF|
TIF|GND,|GND|YYZ|IST|TIF|
TIF|GRU,|GRU|IST|TIF|
TIF|HAV,|HAV|YYZ|IST|TIF|
TIF|IND,|IND|YYZ|IST|TIF|
TIF|JFK,|JFK|IST|TIF|
TIF|KIN,|KIN|YYZ|IST|TIF|
TIF|LIM,|LIM|MIA|ZRH|IST|TIF|
TIF|LIR,|LIR|EWR|BHX|IST|TIF|
TIF|MCI,|MCI|ORD|IST|TIF|
TIF|MDT,|MDT|IAD|IST|TIF|
TIF|MIA,|MIA|ZRH|IST|TIF|
TIF|MKE,|MKE|YYZ|IST|TIF|
TIF|MSP,|MSP|YUL|FRA|IST|TIF|
TIF|NAS,|NAS|EWR|BHX|IST|TIF|
TIF|PHL,|PHL|IAD|IST|TIF|
TIF|PHX,|PHX|DEN|FRA|IST|TIF|
TIF|PIT,|PIT|YYZ|IST|TIF|
TIF|PLS,|PLS|EWR|BHX|IST|TIF|
TIF|POP,|POP|EWR|BHX|IST|TIF|
TIF|RDU,|RDU|EWR|BHX|IST|TIF|
TIF|ROC,|ROC|YYZ|IST|TIF|
TIF|RSW,|RSW|MCO|FRA|IST|TIF|
TIF|SAN,|SAN|LAX|IST|TIF|
TIF|SJO,|SJO|EWR|BHX|IST|TIF|
TIF|STL,|STL|ORD|IST|TIF|
TIF|SYR,|SYR|EWR|BHX|IST|TIF|
TIF|TLV,|TLV|IST|TIF|
TIF|TPA,|TPA|EWR|BHX|IST|TIF|
TIF|UVF,|UVF|EWR|BHX|IST|TIF|
TIF|VIE,|VIE|IST|TIF|
TIF|YAM,|YAM|YYZ|IST|TIF|
TIF|YGK,|YGK|YYZ|IST|TIF|
TIF|YQG,|YQG|YYZ|IST|TIF|
TIF|YSB,|YSB|YYZ|IST|TIF|
TIF|YTS,|YTS|YYZ|IST|TIF|
TIF|YYB,|YYB|YYZ|IST|TIF|
TIF|YZR,|YZR|YYZ|IST|TIF|
TIF|CAN,|CAN|IST|TIF|
TIF|URC,|URC|IST|TIF|
TIF|CTU,|CTU|URC|IST|TIF|
TIF|HGH,|HGH|URC|IST|TIF|
TIF|XMN,|XMN|CSX|URC|IST|TIF|
TIF|CGO,|CGO|URC|IST|TIF|
TIF|CSX,|CSX|URC|IST|TIF|
TIF|SHE,|SHE|PEK|IST|TIF|
TIF|SJW,|SJW|URC|IST|TIF|
TIF|WUH,|WUH|URC|IST|TIF|
TIF|SZX,|SZX|CKG|URC|IST|TIF|
TIF|CKG,|CKG|URC|IST|TIF|
TIF|KMG,|KMG|CTU|URC|IST|TIF|
TIF|FOC,|FOC|XIY|URC|IST|TIF|
TIF|NNG,|NNG|KWE|URC|IST|TIF|
TIF|SWA,|SWA|CAN|IST|TIF|
TIF|ACX,|ACX|CAN|IST|TIF|
TIF|AQG,|AQG|CAN|IST|TIF|
TIF|AVA,|AVA|CAN|IST|TIF|
TIF|BFJ,|BFJ|CAN|IST|TIF|
TIF|BHY,|BHY|CKG|URC|IST|TIF|
TIF|BNE,|BNE|BKK|IST|TIF|
TIF|CGD,|CGD|PEK|IST|TIF|
TIF|CGK,|CGK|SIN|IST|TIF|
TIF|CGQ,|CGQ|HET|URC|IST|TIF|
TIF|CIH,|CIH|PEK|IST|TIF|
TIF|CNX,|CNX|CAN|IST|TIF|
TIF|CZX,|CZX|TYN|URC|IST|TIF|
TIF|DAC,|DAC|IST|TIF|
TIF|DAD,|DAD|CAN|IST|TIF|
TIF|DEL,|DEL|IST|TIF|
TIF|DIG,|DIG|KMG|CTU|URC|IST|TIF|
TIF|DLC,|DLC|PEK|IST|TIF|
TIF|DPS,|DPS|CAN|IST|TIF|
TIF|DXB,|DXB|IST|TIF|
TIF|DYG,|DYG|CSX|URC|IST|TIF|
TIF|FUG,|FUG|CAN|IST|TIF|
