TKK|BRU,|BRU|IST|ICN|FUK|GUM|TKK|
TKK|OUA,|OUA|NIM|IST|ICN|FUK|GUM|TKK|
TKK|JED,|JED|IST|ICN|FUK|GUM|TKK|
TKK|CPH,|CPH|AMS|PEK|ICN|FUK|GUM|TKK|
TKK|YYZ,|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|DEN,|DEN|HNL|MAJ|KWA|PNI|TKK|
TKK|YUL,|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|NBO,|NBO|CAN|HKG|GUM|TKK|
TKK|ICN,|ICN|FUK|GUM|TKK|
TKK|NRT,|NRT|GUM|TKK|
TKK|YHZ,|YHZ|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YOW,|YOW|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|BJM,|BJM|BRU|IST|ICN|FUK|GUM|TKK|
TKK|COO,|COO|BRU|IST|ICN|FUK|GUM|TKK|
TKK|DKR,|DKR|BRU|IST|ICN|FUK|GUM|TKK|
TKK|DLA,|DLA|IST|ICN|FUK|GUM|TKK|
TKK|KGL,|KGL|IST|ICN|FUK|GUM|TKK|
TKK|LAD,|LAD|BRU|IST|ICN|FUK|GUM|TKK|
TKK|ABJ,|ABJ|OUA|NIM|IST|ICN|FUK|GUM|TKK|
TKK|AMS,|AMS|PEK|ICN|FUK|GUM|TKK|
TKK|OSL,|OSL|CPH|AMS|PEK|ICN|FUK|GUM|TKK|
TKK|VNO,|VNO|IST|ICN|FUK|GUM|TKK|
TKK|WAW,|WAW|IST|ICN|FUK|GUM|TKK|
TKK|YYC,|YYC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|ATL,|ATL|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|MSY,|MSY|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|YEG,|YEG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YMM,|YMM|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YQR,|YQR|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YVR,|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YWG,|YWG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXE,|YXE|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|CKY,|CKY|DKR|BRU|IST|ICN|FUK|GUM|TKK|
TKK|FIH,|FIH|IST|ICN|FUK|GUM|TKK|
TKK|SCL,|SCL|EZE|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|LCA,|LCA|FRA|TSE|URC|PEK|ICN|FUK|GUM|TKK|
TKK|NAP,|NAP|IST|ICN|FUK|GUM|TKK|
TKK|VLC,|VLC|IST|ICN|FUK|GUM|TKK|
TKK|BKK,|BKK|HKG|GUM|TKK|
TKK|ADD,|ADD|IST|ICN|FUK|GUM|TKK|
TKK|FRA,|FRA|TSE|URC|PEK|ICN|FUK|GUM|TKK|
TKK|IST,|IST|ICN|FUK|GUM|TKK|
TKK|EBB,|EBB|KGL|IST|ICN|FUK|GUM|TKK|
TKK|YLW,|YLW|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YYT,|YYT|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|GUA,|GUA|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|EWR,|EWR|HNL|MAJ|KWA|PNI|TKK|
TKK|IAD,|IAD|HNL|MAJ|KWA|PNI|TKK|
TKK|IAH,|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|ORD,|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|SOF,|SOF|IST|ICN|FUK|GUM|TKK|
TKK|YQB,|YQB|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YXU,|YXU|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|EZE,|EZE|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|YYJ,|YYJ|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YYY,|YYY|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YQQ,|YQQ|YBL|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YYR,|YYR|YWK|YZV|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|LHR,|LHR|CAN|HKG|GUM|TKK|
TKK|SFO,|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YQU,|YQU|YEG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YZF,|YZF|YEG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YGR,|YGR|YGP|YQB|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YGP,|YGP|YQB|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|BOS,|BOS|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YDF,|YDF|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YFC,|YFC|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YQM,|YQM|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YQX,|YQX|YHZ|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YQY,|YQY|YHZ|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YSJ,|YSJ|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YYG,|YYG|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|LAX,|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|DCA,|DCA|DEN|HNL|MAJ|KWA|PNI|TKK|
TKK|LGA,|LGA|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|YZV,|YZV|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YWL,|YWL|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|AZS,|AZS|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|BDL,|BDL|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|CCC,|CCC|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|CDG,|CDG|CAN|HKG|GUM|TKK|
TKK|CUN,|CUN|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|CZM,|CZM|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|FDF,|FDF|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|FLL,|FLL|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|GVA,|GVA|IST|ICN|FUK|GUM|TKK|
TKK|HOG,|HOG|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|LAS,|LAS|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|MBJ,|MBJ|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|MCO,|MCO|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|MUC,|MUC|IST|ICN|FUK|GUM|TKK|
TKK|PAP,|PAP|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|PTP,|PTP|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|PUJ,|PUJ|ATL|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|SNU,|SNU|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|VRA,|VRA|YYC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YBC,|YBC|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YBG,|YBG|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YTZ,|YTZ|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YUY,|YUY|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|YVO,|YVO|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|ZBF,|ZBF|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|ZRH,|ZRH|IST|ICN|FUK|GUM|TKK|
TKK|ZSA,|ZSA|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|AKL,|AKL|HNL|MAJ|KWA|PNI|TKK|
TKK|HKG,|HKG|GUM|TKK|
TKK|HND,|HND|HNL|MAJ|KWA|PNI|TKK|
TKK|HNL,|HNL|MAJ|KWA|PNI|TKK|
TKK|MEX,|MEX|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|OGG,|OGG|HNL|MAJ|KWA|PNI|TKK|
TKK|PDX,|PDX|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|PEK,|PEK|ICN|FUK|GUM|TKK|
TKK|PVG,|PVG|NGO|GUM|TKK|
TKK|PVR,|PVR|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|SEA,|SEA|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|SYD,|SYD|CAN|HKG|GUM|TKK|
TKK|YBL,|YBL|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YCD,|YCD|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YCG,|YCG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YKA,|YKA|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YPR,|YPR|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YQZ,|YQZ|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXC,|YXC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXJ,|YXJ|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXS,|YXS|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXT,|YXT|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXY,|YXY|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YYD,|YYD|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YYF,|YYF|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YZP,|YZP|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YQT,|YQT|YWG|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|SJD,|SJD|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|YQF,|YQF|YYC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YQL,|YQL|YYC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YXH,|YXH|YYC|YVR|HNL|MAJ|KWA|PNI|TKK|
TKK|YWK,|YWK|YZV|YUL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|ANU,|ANU|EWR|HNL|MAJ|KWA|PNI|TKK|
TKK|AUA,|AUA|ATL|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|AUH,|AUH|IST|ICN|FUK|GUM|TKK|
TKK|BCN,|BCN|IST|ICN|FUK|GUM|TKK|
TKK|BDA,|BDA|EWR|HNL|MAJ|KWA|PNI|TKK|
TKK|BGI,|BGI|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|BNA,|BNA|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|BOG,|BOG|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|BWI,|BWI|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|CLE,|CLE|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|CLT,|CLT|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|CMH,|CMH|DEN|HNL|MAJ|KWA|PNI|TKK|
TKK|CVG,|CVG|DEN|HNL|MAJ|KWA|PNI|TKK|
TKK|DFW,|DFW|LAX|HNL|MAJ|KWA|PNI|TKK|
TKK|DTW,|DTW|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|DUB,|DUB|IST|ICN|FUK|GUM|TKK|
TKK|FCO,|FCO|IST|ICN|FUK|GUM|TKK|
TKK|GCM,|GCM|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|GGT,|GGT|FLL|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|GND,|GND|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|GRU,|GRU|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|HAV,|HAV|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|IND,|IND|DEN|HNL|MAJ|KWA|PNI|TKK|
TKK|JFK,|JFK|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|KIN,|KIN|YYZ|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|LIM,|LIM|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|LIR,|LIR|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|MCI,|MCI|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|MDT,|MDT|ORD|HNL|MAJ|KWA|PNI|TKK|
TKK|MIA,|MIA|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|MKE,|MKE|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|MSP,|MSP|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|NAS,|NAS|IAH|HNL|MAJ|KWA|PNI|TKK|
TKK|PHL,|PHL|SFO|HNL|MAJ|KWA|PNI|TKK|
TKK|PHX,|PHX|LAX|HNL|MAJ|KWA|PNI|TKK|
