TLS|BRU,|BRU|IST|TLS|
TLS|OUA,|OUA|NIM|IST|TLS|
TLS|JED,|JED|IST|TLS|
TLS|CPH,|CPH|IST|TLS|
TLS|YYZ,|YYZ|IST|TLS|
TLS|DEN,|DEN|FRA|IST|TLS|
TLS|YUL,|YUL|FRA|IST|TLS|
TLS|NBO,|NBO|IST|TLS|
TLS|ICN,|ICN|IST|TLS|
TLS|NRT,|NRT|IST|TLS|
TLS|YHZ,|YHZ|LHR|IST|TLS|
TLS|YOW,|YOW|FRA|IST|TLS|
TLS|BJM,|BJM|BRU|IST|TLS|
TLS|COO,|COO|BRU|IST|TLS|
TLS|DKR,|DKR|BRU|IST|TLS|
TLS|DLA,|DLA|IST|TLS|
TLS|KGL,|KGL|IST|TLS|
TLS|LAD,|LAD|BRU|IST|TLS|
TLS|ABJ,|ABJ|OUA|NIM|IST|TLS|
TLS|AMS,|AMS|IST|TLS|
TLS|OSL,|OSL|IST|TLS|
TLS|VNO,|VNO|IST|TLS|
TLS|WAW,|WAW|IST|TLS|
TLS|YYC,|YYC|FRA|IST|TLS|
TLS|ATL,|ATL|FRA|IST|TLS|
TLS|MSY,|MSY|IAD|IST|TLS|
TLS|YEG,|YEG|LHR|IST|TLS|
TLS|YMM,|YMM|YEG|LHR|IST|TLS|
TLS|YQR,|YQR|YEG|LHR|IST|TLS|
TLS|YVR,|YVR|MUC|IST|TLS|
TLS|YWG,|YWG|YUL|FRA|IST|TLS|
TLS|YXE,|YXE|YEG|LHR|IST|TLS|
TLS|CKY,|CKY|DKR|BRU|IST|TLS|
TLS|FIH,|FIH|IST|TLS|
TLS|SCL,|SCL|EZE|GRU|IST|TLS|
TLS|LCA,|LCA|FRA|IST|TLS|
TLS|NAP,|NAP|IST|TLS|
TLS|VLC,|VLC|IST|TLS|
TLS|BKK,|BKK|IST|TLS|
TLS|ADD,|ADD|IST|TLS|
TLS|FRA,|FRA|IST|TLS|
TLS|IST,|IST|TLS|
TLS|EBB,|EBB|KGL|IST|TLS|
TLS|YLW,|YLW|YYC|FRA|IST|TLS|
TLS|YYT,|YYT|LHR|IST|TLS|
TLS|GUA,|GUA|MIA|ZRH|IST|TLS|
TLS|EWR,|EWR|BHX|IST|TLS|
TLS|IAD,|IAD|IST|TLS|
TLS|IAH,|IAH|IST|TLS|
TLS|ORD,|ORD|IST|TLS|
TLS|SOF,|SOF|IST|TLS|
TLS|YQB,|YQB|YUL|FRA|IST|TLS|
TLS|YXU,|YXU|YYZ|IST|TLS|
TLS|EZE,|EZE|GRU|IST|TLS|
TLS|YYJ,|YYJ|YVR|MUC|IST|TLS|
TLS|YYY,|YYY|YUL|FRA|IST|TLS|
TLS|YQQ,|YQQ|YBL|YVR|MUC|IST|TLS|
TLS|YYR,|YYR|YYT|LHR|IST|TLS|
TLS|LHR,|LHR|IST|TLS|
TLS|SFO,|SFO|MUC|IST|TLS|
TLS|YQU,|YQU|YEG|LHR|IST|TLS|
TLS|YZF,|YZF|YEG|LHR|IST|TLS|
TLS|YGR,|YGR|YGP|YQB|YUL|FRA|IST|TLS|
TLS|YGP,|YGP|YQB|YUL|FRA|IST|TLS|
TLS|BOS,|BOS|FRA|IST|TLS|
TLS|YDF,|YDF|YYT|LHR|IST|TLS|
TLS|YFC,|YFC|YHZ|LHR|IST|TLS|
TLS|YQM,|YQM|YHZ|LHR|IST|TLS|
TLS|YQX,|YQX|YYT|LHR|IST|TLS|
TLS|YQY,|YQY|YHZ|LHR|IST|TLS|
TLS|YSJ,|YSJ|YHZ|LHR|IST|TLS|
TLS|YYG,|YYG|YHZ|LHR|IST|TLS|
TLS|LAX,|LAX|IST|TLS|
TLS|DCA,|DCA|EWR|BHX|IST|TLS|
TLS|LGA,|LGA|YHZ|LHR|IST|TLS|
TLS|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TLS|
TLS|YWL,|YWL|YVR|MUC|IST|TLS|
TLS|AZS,|AZS|YUL|FRA|IST|TLS|
TLS|BDL,|BDL|YUL|FRA|IST|TLS|
TLS|CCC,|CCC|YUL|FRA|IST|TLS|
TLS|CDG,|CDG|IST|TLS|
TLS|CUN,|CUN|YHZ|LHR|IST|TLS|
TLS|CZM,|CZM|YUL|FRA|IST|TLS|
TLS|FDF,|FDF|YUL|FRA|IST|TLS|
TLS|FLL,|FLL|MCO|FRA|IST|TLS|
TLS|GVA,|GVA|IST|TLS|
TLS|HOG,|HOG|YUL|FRA|IST|TLS|
TLS|LAS,|LAS|DEN|FRA|IST|TLS|
TLS|MBJ,|MBJ|YHZ|LHR|IST|TLS|
TLS|MCO,|MCO|FRA|IST|TLS|
TLS|MUC,|MUC|IST|TLS|
TLS|PAP,|PAP|YUL|FRA|IST|TLS|
TLS|PTP,|PTP|YUL|FRA|IST|TLS|
TLS|PUJ,|PUJ|YHZ|LHR|IST|TLS|
TLS|SNU,|SNU|YUL|FRA|IST|TLS|
TLS|VRA,|VRA|YUL|FRA|IST|TLS|
TLS|YBC,|YBC|YUL|FRA|IST|TLS|
TLS|YBG,|YBG|YUL|FRA|IST|TLS|
TLS|YTZ,|YTZ|YUL|FRA|IST|TLS|
TLS|YUY,|YUY|YUL|FRA|IST|TLS|
TLS|YVO,|YVO|YUL|FRA|IST|TLS|
TLS|ZBF,|ZBF|YUL|FRA|IST|TLS|
TLS|ZRH,|ZRH|IST|TLS|
TLS|ZSA,|ZSA|YUL|FRA|IST|TLS|
TLS|AKL,|AKL|BKK|IST|TLS|
TLS|HKG,|HKG|IST|TLS|
TLS|HND,|HND|YVR|MUC|IST|TLS|
TLS|HNL,|HNL|YVR|MUC|IST|TLS|
TLS|MEX,|MEX|IAD|IST|TLS|
TLS|OGG,|OGG|YVR|MUC|IST|TLS|
TLS|PDX,|PDX|SEA|FRA|IST|TLS|
TLS|PEK,|PEK|IST|TLS|
TLS|PVG,|PVG|IST|TLS|
TLS|PVR,|PVR|ORD|IST|TLS|
TLS|SEA,|SEA|FRA|IST|TLS|
TLS|SYD,|SYD|BKK|IST|TLS|
TLS|YBL,|YBL|YVR|MUC|IST|TLS|
TLS|YCD,|YCD|YVR|MUC|IST|TLS|
TLS|YCG,|YCG|YYC|FRA|IST|TLS|
TLS|YKA,|YKA|YYC|FRA|IST|TLS|
TLS|YPR,|YPR|YVR|MUC|IST|TLS|
TLS|YQZ,|YQZ|YVR|MUC|IST|TLS|
TLS|YXC,|YXC|YYC|FRA|IST|TLS|
TLS|YXJ,|YXJ|YYC|FRA|IST|TLS|
TLS|YXS,|YXS|YYC|FRA|IST|TLS|
TLS|YXT,|YXT|YVR|MUC|IST|TLS|
TLS|YXY,|YXY|YVR|MUC|IST|TLS|
TLS|YYD,|YYD|YVR|MUC|IST|TLS|
TLS|YYF,|YYF|YVR|MUC|IST|TLS|
TLS|YZP,|YZP|YVR|MUC|IST|TLS|
TLS|YQT,|YQT|YYZ|IST|TLS|
TLS|SJD,|SJD|ORD|IST|TLS|
TLS|YQF,|YQF|YYC|FRA|IST|TLS|
TLS|YQL,|YQL|YYC|FRA|IST|TLS|
TLS|YXH,|YXH|YYC|FRA|IST|TLS|
TLS|YWK,|YWK|YYR|YYT|LHR|IST|TLS|
TLS|ANU,|ANU|EWR|BHX|IST|TLS|
TLS|AUA,|AUA|EWR|BHX|IST|TLS|
TLS|AUH,|AUH|IST|TLS|
TLS|BCN,|BCN|IST|TLS|
TLS|BDA,|BDA|EWR|BHX|IST|TLS|
TLS|BGI,|BGI|YYZ|IST|TLS|
TLS|BNA,|BNA|YYZ|IST|TLS|
TLS|BOG,|BOG|MIA|ZRH|IST|TLS|
TLS|BWI,|BWI|EWR|BHX|IST|TLS|
TLS|CLE,|CLE|YYZ|IST|TLS|
TLS|CLT,|CLT|EWR|BHX|IST|TLS|
TLS|CMH,|CMH|YYZ|IST|TLS|
TLS|CVG,|CVG|YYZ|IST|TLS|
TLS|DFW,|DFW|ORD|IST|TLS|
TLS|DTW,|DTW|FRA|IST|TLS|
TLS|DUB,|DUB|IST|TLS|
TLS|FCO,|FCO|IST|TLS|
TLS|GCM,|GCM|EWR|BHX|IST|TLS|
TLS|GGT,|GGT|FLL|MCO|FRA|IST|TLS|
TLS|GND,|GND|YYZ|IST|TLS|
TLS|GRU,|GRU|IST|TLS|
TLS|HAV,|HAV|YYZ|IST|TLS|
TLS|IND,|IND|YYZ|IST|TLS|
TLS|JFK,|JFK|IST|TLS|
TLS|KIN,|KIN|YYZ|IST|TLS|
TLS|LIM,|LIM|MIA|ZRH|IST|TLS|
TLS|LIR,|LIR|EWR|BHX|IST|TLS|
TLS|MCI,|MCI|ORD|IST|TLS|
TLS|MDT,|MDT|IAD|IST|TLS|
TLS|MIA,|MIA|ZRH|IST|TLS|
TLS|MKE,|MKE|YYZ|IST|TLS|
TLS|MSP,|MSP|YUL|FRA|IST|TLS|
TLS|NAS,|NAS|EWR|BHX|IST|TLS|
