TPE|BRU,|BRU|IST|URC|TPE|
TPE|OUA,|OUA|NIM|IST|URC|TPE|
TPE|JED,|JED|IST|URC|TPE|
TPE|CPH,|CPH|AMS|PVG|TPE|
TPE|YYZ,|YYZ|PVG|TPE|
TPE|DEN,|DEN|YVR|PVG|TPE|
TPE|YUL,|YUL|YYZ|PVG|TPE|
TPE|NBO,|NBO|CAN|TPE|
TPE|ICN,|ICN|PVG|TPE|
TPE|NRT,|NRT|ICN|PVG|TPE|
TPE|YHZ,|YHZ|YYZ|PVG|TPE|
TPE|YOW,|YOW|YYZ|PVG|TPE|
TPE|BJM,|BJM|BRU|IST|URC|TPE|
TPE|COO,|COO|BRU|IST|URC|TPE|
TPE|DKR,|DKR|BRU|IST|URC|TPE|
TPE|DLA,|DLA|IST|URC|TPE|
TPE|KGL,|KGL|IST|URC|TPE|
TPE|LAD,|LAD|BRU|IST|URC|TPE|
TPE|ABJ,|ABJ|OUA|NIM|IST|URC|TPE|
TPE|AMS,|AMS|PVG|TPE|
TPE|OSL,|OSL|CPH|AMS|PVG|TPE|
TPE|VNO,|VNO|IST|URC|TPE|
TPE|WAW,|WAW|IST|URC|TPE|
TPE|YYC,|YYC|YVR|PVG|TPE|
TPE|ATL,|ATL|ORD|PVG|TPE|
TPE|MSY,|MSY|DEN|YVR|PVG|TPE|
TPE|YEG,|YEG|YVR|PVG|TPE|
TPE|YMM,|YMM|YVR|PVG|TPE|
TPE|YQR,|YQR|YVR|PVG|TPE|
TPE|YVR,|YVR|PVG|TPE|
TPE|YWG,|YWG|YVR|PVG|TPE|
TPE|YXE,|YXE|YVR|PVG|TPE|
TPE|CKY,|CKY|DKR|BRU|IST|URC|TPE|
TPE|FIH,|FIH|IST|URC|TPE|
TPE|SCL,|SCL|YYZ|PVG|TPE|
TPE|LCA,|LCA|FRA|TSE|URC|TPE|
TPE|NAP,|NAP|IST|URC|TPE|
TPE|VLC,|VLC|FRA|TSE|URC|TPE|
TPE|BKK,|BKK|CAN|TPE|
TPE|ADD,|ADD|IST|URC|TPE|
TPE|FRA,|FRA|TSE|URC|TPE|
TPE|IST,|IST|URC|TPE|
TPE|EBB,|EBB|KGL|IST|URC|TPE|
TPE|YLW,|YLW|YVR|PVG|TPE|
TPE|YYT,|YYT|LHR|CAN|TPE|
TPE|GUA,|GUA|IAH|YVR|PVG|TPE|
TPE|EWR,|EWR|PVG|TPE|
TPE|IAD,|IAD|YYZ|PVG|TPE|
TPE|IAH,|IAH|YVR|PVG|TPE|
TPE|ORD,|ORD|PVG|TPE|
TPE|SOF,|SOF|IST|URC|TPE|
TPE|YQB,|YQB|YYZ|PVG|TPE|
TPE|YXU,|YXU|YYZ|PVG|TPE|
TPE|EZE,|EZE|GRU|IST|URC|TPE|
TPE|YYJ,|YYJ|YVR|PVG|TPE|
TPE|YYY,|YYY|YUL|YYZ|PVG|TPE|
TPE|YQQ,|YQQ|YBL|YVR|PVG|TPE|
TPE|YYR,|YYR|YWK|YZV|YQB|YYZ|PVG|TPE|
TPE|LHR,|LHR|CAN|TPE|
TPE|SFO,|SFO|TPE|
TPE|YQU,|YQU|YEG|YVR|PVG|TPE|
TPE|YZF,|YZF|YEG|YVR|PVG|TPE|
TPE|YGR,|YGR|YGP|YQB|YYZ|PVG|TPE|
TPE|YGP,|YGP|YQB|YYZ|PVG|TPE|
TPE|BOS,|BOS|YYZ|PVG|TPE|
TPE|YDF,|YDF|YYZ|PVG|TPE|
TPE|YFC,|YFC|YYZ|PVG|TPE|
TPE|YQM,|YQM|YYZ|PVG|TPE|
TPE|YQX,|YQX|YHZ|YYZ|PVG|TPE|
TPE|YQY,|YQY|YYZ|PVG|TPE|
TPE|YSJ,|YSJ|YYZ|PVG|TPE|
TPE|YYG,|YYG|YYZ|PVG|TPE|
TPE|LAX,|LAX|SFO|TPE|
TPE|DCA,|DCA|YYZ|PVG|TPE|
TPE|LGA,|LGA|YYZ|PVG|TPE|
TPE|YZV,|YZV|YQB|YYZ|PVG|TPE|
TPE|YWL,|YWL|YVR|PVG|TPE|
TPE|AZS,|AZS|YYZ|PVG|TPE|
TPE|BDL,|BDL|YYZ|PVG|TPE|
TPE|CCC,|CCC|YYZ|PVG|TPE|
TPE|CDG,|CDG|CAN|TPE|
TPE|CUN,|CUN|YVR|PVG|TPE|
TPE|CZM,|CZM|IAH|YVR|PVG|TPE|
TPE|FDF,|FDF|YUL|YYZ|PVG|TPE|
TPE|FLL,|FLL|ORD|PVG|TPE|
TPE|GVA,|GVA|IST|URC|TPE|
TPE|HOG,|HOG|YYZ|PVG|TPE|
TPE|LAS,|LAS|SFO|TPE|
TPE|MBJ,|MBJ|ATL|ORD|PVG|TPE|
TPE|MCO,|MCO|ORD|PVG|TPE|
TPE|MUC,|MUC|IST|URC|TPE|
TPE|PAP,|PAP|YUL|YYZ|PVG|TPE|
TPE|PTP,|PTP|YUL|YYZ|PVG|TPE|
TPE|PUJ,|PUJ|EWR|PVG|TPE|
TPE|SNU,|SNU|YYZ|PVG|TPE|
TPE|VRA,|VRA|YYZ|PVG|TPE|
TPE|YBC,|YBC|YUL|YYZ|PVG|TPE|
TPE|YBG,|YBG|YUL|YYZ|PVG|TPE|
TPE|YTZ,|YTZ|YUL|YYZ|PVG|TPE|
TPE|YUY,|YUY|YUL|YYZ|PVG|TPE|
TPE|YVO,|YVO|YUL|YYZ|PVG|TPE|
TPE|ZBF,|ZBF|YUL|YYZ|PVG|TPE|
TPE|ZRH,|ZRH|IST|URC|TPE|
TPE|ZSA,|ZSA|YUL|YYZ|PVG|TPE|
TPE|AKL,|AKL|CAN|TPE|
TPE|HKG,|HKG|CAN|TPE|
TPE|HND,|HND|HNL|NRT|ICN|PVG|TPE|
TPE|HNL,|HNL|NRT|ICN|PVG|TPE|
TPE|MEX,|MEX|SFO|TPE|
TPE|OGG,|OGG|HNL|NRT|ICN|PVG|TPE|
TPE|PDX,|PDX|SEA|ICN|PVG|TPE|
TPE|PEK,|PEK|PVG|TPE|
TPE|PVG,|PVG|TPE|
TPE|PVR,|PVR|SFO|TPE|
TPE|SEA,|SEA|ICN|PVG|TPE|
TPE|SYD,|SYD|CAN|TPE|
TPE|YBL,|YBL|YVR|PVG|TPE|
TPE|YCD,|YCD|YVR|PVG|TPE|
TPE|YCG,|YCG|YVR|PVG|TPE|
TPE|YKA,|YKA|YVR|PVG|TPE|
TPE|YPR,|YPR|YVR|PVG|TPE|
TPE|YQZ,|YQZ|YVR|PVG|TPE|
TPE|YXC,|YXC|YVR|PVG|TPE|
TPE|YXJ,|YXJ|YVR|PVG|TPE|
TPE|YXS,|YXS|YVR|PVG|TPE|
TPE|YXT,|YXT|YVR|PVG|TPE|
TPE|YXY,|YXY|YVR|PVG|TPE|
TPE|YYD,|YYD|YVR|PVG|TPE|
TPE|YYF,|YYF|YVR|PVG|TPE|
TPE|YZP,|YZP|YVR|PVG|TPE|
TPE|YQT,|YQT|YWG|YVR|PVG|TPE|
TPE|SJD,|SJD|SFO|TPE|
TPE|YQF,|YQF|YYC|YVR|PVG|TPE|
TPE|YQL,|YQL|YYC|YVR|PVG|TPE|
TPE|YXH,|YXH|YYC|YVR|PVG|TPE|
TPE|YWK,|YWK|YZV|YQB|YYZ|PVG|TPE|
TPE|ANU,|ANU|EWR|PVG|TPE|
TPE|AUA,|AUA|YYZ|PVG|TPE|
TPE|AUH,|AUH|IST|URC|TPE|
TPE|BCN,|BCN|IST|URC|TPE|
TPE|BDA,|BDA|EWR|PVG|TPE|
TPE|BGI,|BGI|YYZ|PVG|TPE|
TPE|BNA,|BNA|ORD|PVG|TPE|
TPE|BOG,|BOG|MIA|ORD|PVG|TPE|
TPE|BWI,|BWI|YYZ|PVG|TPE|
TPE|CLE,|CLE|YYZ|PVG|TPE|
TPE|CLT,|CLT|ORD|PVG|TPE|
TPE|CMH,|CMH|ORD|PVG|TPE|
TPE|CVG,|CVG|ORD|PVG|TPE|
TPE|DFW,|DFW|YVR|PVG|TPE|
TPE|DTW,|DTW|PVG|TPE|
TPE|DUB,|DUB|IST|URC|TPE|
TPE|FCO,|FCO|IST|URC|TPE|
TPE|GCM,|GCM|IAH|YVR|PVG|TPE|
TPE|GGT,|GGT|YYZ|PVG|TPE|
TPE|GND,|GND|YYZ|PVG|TPE|
TPE|GRU,|GRU|IST|URC|TPE|
TPE|HAV,|HAV|YYZ|PVG|TPE|
TPE|IND,|IND|ORD|PVG|TPE|
TPE|JFK,|JFK|ICN|PVG|TPE|
TPE|KIN,|KIN|YYZ|PVG|TPE|
TPE|LIM,|LIM|IAH|YVR|PVG|TPE|
TPE|LIR,|LIR|IAH|YVR|PVG|TPE|
TPE|MCI,|MCI|DEN|YVR|PVG|TPE|
TPE|MDT,|MDT|YYZ|PVG|TPE|
TPE|MIA,|MIA|ORD|PVG|TPE|
TPE|MKE,|MKE|ORD|PVG|TPE|
TPE|MSP,|MSP|ORD|PVG|TPE|
TPE|NAS,|NAS|ORD|PVG|TPE|
TPE|PHL,|PHL|YYZ|PVG|TPE|
TPE|PHX,|PHX|SFO|TPE|
TPE|PIT,|PIT|YYZ|PVG|TPE|
TPE|PLS,|PLS|YYZ|PVG|TPE|
TPE|POP,|POP|YYZ|PVG|TPE|
TPE|RDU,|RDU|YYZ|PVG|TPE|
TPE|ROC,|ROC|YYZ|PVG|TPE|
TPE|RSW,|RSW|ORD|PVG|TPE|
TPE|SAN,|SAN|SFO|TPE|
TPE|SJO,|SJO|IAH|YVR|PVG|TPE|
TPE|STL,|STL|ORD|PVG|TPE|
TPE|SYR,|SYR|YYZ|PVG|TPE|
TPE|TLV,|TLV|SAW|TBS|URC|TPE|
TPE|TPA,|TPA|ORD|PVG|TPE|
TPE|UVF,|UVF|EWR|PVG|TPE|
TPE|VIE,|VIE|IST|URC|TPE|
TPE|YAM,|YAM|YYZ|PVG|TPE|
TPE|YGK,|YGK|YYZ|PVG|TPE|
TPE|YQG,|YQG|YYZ|PVG|TPE|
TPE|YSB,|YSB|YYZ|PVG|TPE|
TPE|YTS,|YTS|YYZ|PVG|TPE|
TPE|YYB,|YYB|YYZ|PVG|TPE|
TPE|YZR,|YZR|YYZ|PVG|TPE|
TPE|CAN,|CAN|TPE|
TPE|URC,|URC|TPE|
TPE|CTU,|CTU|CSX|TPE|
TPE|HGH,|HGH|WUH|TPE|
TPE|XMN,|XMN|SZX|TPE|
TPE|CGO,|CGO|TPE|
TPE|CSX,|CSX|TPE|
TPE|SHE,|SHE|TPE|
TPE|SJW,|SJW|CSX|TPE|
TPE|WUH,|WUH|TPE|
TPE|SZX,|SZX|TPE|
TPE|CKG,|CKG|CSX|TPE|
TPE|KMG,|KMG|KWL|TPE|
TPE|FOC,|FOC|SZX|TPE|
TPE|NNG,|NNG|TPE|
TPE|SWA,|SWA|CAN|TPE|
TPE|ACX,|ACX|CAN|TPE|
TPE|AQG,|AQG|CAN|TPE|
TPE|AVA,|AVA|CAN|TPE|
TPE|BFJ,|BFJ|CAN|TPE|
TPE|BHY,|BHY|CAN|TPE|
TPE|BNE,|BNE|CAN|TPE|
TPE|CGD,|CGD|CAN|TPE|
TPE|CGK,|CGK|CAN|TPE|
TPE|CGQ,|CGQ|TPE|
TPE|CIH,|CIH|CAN|TPE|
TPE|CNX,|CNX|CAN|TPE|
TPE|CZX,|CZX|CSX|TPE|
TPE|DAC,|DAC|CAN|TPE|
TPE|DAD,|DAD|CAN|TPE|
TPE|DEL,|DEL|CAN|TPE|
TPE|DIG,|DIG|CAN|TPE|
TPE|DLC,|DLC|TPE|
TPE|DPS,|DPS|SZX|TPE|
TPE|DXB,|DXB|CAN|TPE|
TPE|DYG,|DYG|TPE|
TPE|FUG,|FUG|CAN|TPE|
TPE|FUK,|FUK|ICN|PVG|TPE|
TPE|HAK,|HAK|SZX|TPE|
TPE|HAN,|HAN|CAN|TPE|
TPE|HDG,|HDG|CAN|TPE|
TPE|HET,|HET|TAO|PVG|TPE|
TPE|HFE,|HFE|CSX|TPE|
TPE|HJJ,|HJJ|CSX|TPE|
TPE|HKT,|HKT|SZX|TPE|
TPE|HRB,|HRB|TPE|
TPE|HZH,|HZH|CAN|TPE|
TPE|JIU,|JIU|CAN|TPE|
TPE|JJN,|JJN|SZX|TPE|
TPE|JNG,|JNG|CAN|TPE|
TPE|KHN,|KHN|CAN|TPE|
TPE|KIX,|KIX|DLC|TPE|
TPE|KOW,|KOW|CAN|TPE|
TPE|KTM,|KTM|CAN|TPE|
TPE|KUL,|KUL|CAN|TPE|
TPE|KWE,|KWE|TPE|
TPE|KWL,|KWL|TPE|
TPE|LHW,|LHW|WUH|TPE|
TPE|LYA,|LYA|CAN|TPE|
TPE|LYG,|LYG|CAN|TPE|
TPE|LZH,|LZH|CAN|TPE|
TPE|MEL,|MEL|CAN|TPE|
TPE|MIG,|MIG|CSX|TPE|
TPE|MLE,|MLE|CAN|TPE|
TPE|MNL,|MNL|CAN|TPE|
TPE|MXZ,|MXZ|SZX|TPE|
TPE|NAO,|NAO|CAN|TPE|
TPE|NGB,|NGB|WUH|TPE|
TPE|NKG,|NKG|CSX|TPE|
TPE|NNY,|NNY|CGO|TPE|
TPE|PEN,|PEN|CAN|TPE|
TPE|PER,|PER|CAN|TPE|
TPE|PNH,|PNH|CAN|TPE|
TPE|REP,|REP|CAN|TPE|
TPE|RGN,|RGN|CAN|TPE|
TPE|SGN,|SGN|CAN|TPE|
TPE|SHA,|SHA|WUH|TPE|
TPE|SIN,|SIN|CAN|TPE|
TPE|SVO,|SVO|URC|TPE|
TPE|SYX,|SYX|SZX|TPE|
TPE|TAO,|TAO|PVG|TPE|
TPE|TEN,|TEN|CAN|TPE|
TPE|TNA,|TNA|WUH|TPE|
TPE|TSN,|TSN|DLC|TPE|
TPE|TXN,|TXN|CSX|TPE|
TPE|TYN,|TYN|WUH|TPE|
TPE|WNZ,|WNZ|CSX|TPE|
TPE|WUX,|WUX|CAN|TPE|
TPE|XFN,|XFN|CAN|TPE|
TPE|XIY,|XIY|WUH|TPE|
TPE|XUZ,|XUZ|CAN|TPE|
TPE|YIH,|YIH|CAN|TPE|
TPE|YIW,|YIW|CAN|TPE|
TPE|YNT,|YNT|CSX|TPE|
TPE|YNZ,|YNZ|WUH|TPE|
TPE|YTY,|YTY|CSX|TPE|
TPE|ZHA,|ZHA|CAN|TPE|
TPE|ZYI,|ZYI|CAN|TPE|
TPE|BAV,|BAV|CGO|TPE|
TPE|CJU,|CJU|CSX|TPE|
TPE|DSN,|DSN|CGO|TPE|
TPE|HMI,|HMI|CGO|TPE|
TPE|INC,|INC|WUH|TPE|
TPE|KHH,|KHH|WUH|TPE|
TPE|UYN,|UYN|CGO|TPE|
TPE|XNN,|XNN|XIY|WUH|TPE|
TPE|ZUH,|ZUH|MXZ|SZX|TPE|
TPE|YNJ,|YNJ|PVG|TPE|
TPE|DAT,|DAT|TYN|WUH|TPE|
TPE|JHG,|JHG|KMG|KWL|TPE|
TPE|LJG,|LJG|KWE|TPE|
TPE|LXA,|LXA|CKG|CSX|TPE|
