TXN|BRU,|BRU|IST|URC|TYN|TXN|
TXN|OUA,|OUA|NIM|IST|URC|TYN|TXN|
TXN|JED,|JED|IST|URC|TYN|TXN|
TXN|CPH,|CPH|AMS|PEK|DLC|TXN|
TXN|YYZ,|YYZ|PEK|DLC|TXN|
TXN|DEN,|DEN|YVR|ICN|DLC|TXN|
TXN|YUL,|YUL|YYZ|PEK|DLC|TXN|
TXN|NBO,|NBO|CAN|TXN|
TXN|ICN,|ICN|DLC|TXN|
TXN|NRT,|NRT|DLC|TXN|
TXN|YHZ,|YHZ|YYZ|PEK|DLC|TXN|
TXN|YOW,|YOW|YYZ|PEK|DLC|TXN|
TXN|BJM,|BJM|BRU|IST|URC|TYN|TXN|
TXN|COO,|COO|BRU|IST|URC|TYN|TXN|
TXN|DKR,|DKR|BRU|IST|URC|TYN|TXN|
TXN|DLA,|DLA|IST|URC|TYN|TXN|
TXN|KGL,|KGL|IST|URC|TYN|TXN|
TXN|LAD,|LAD|BRU|IST|URC|TYN|TXN|
TXN|ABJ,|ABJ|OUA|NIM|IST|URC|TYN|TXN|
TXN|AMS,|AMS|PEK|DLC|TXN|
TXN|OSL,|OSL|IST|URC|TYN|TXN|
TXN|VNO,|VNO|IST|URC|TYN|TXN|
TXN|WAW,|WAW|IST|URC|TYN|TXN|
TXN|YYC,|YYC|YVR|ICN|DLC|TXN|
TXN|ATL,|ATL|ORD|PEK|DLC|TXN|
TXN|MSY,|MSY|DEN|YVR|ICN|DLC|TXN|
TXN|YEG,|YEG|YVR|ICN|DLC|TXN|
TXN|YMM,|YMM|YVR|ICN|DLC|TXN|
TXN|YQR,|YQR|YVR|ICN|DLC|TXN|
TXN|YVR,|YVR|ICN|DLC|TXN|
TXN|YWG,|YWG|YVR|ICN|DLC|TXN|
TXN|YXE,|YXE|YVR|ICN|DLC|TXN|
TXN|CKY,|CKY|DKR|BRU|IST|URC|TYN|TXN|
TXN|FIH,|FIH|IST|URC|TYN|TXN|
TXN|SCL,|SCL|YYZ|PEK|DLC|TXN|
TXN|LCA,|LCA|FRA|TSE|URC|TYN|TXN|
TXN|NAP,|NAP|IST|URC|TYN|TXN|
TXN|VLC,|VLC|FRA|TSE|URC|TYN|TXN|
TXN|BKK,|BKK|CAN|TXN|
TXN|ADD,|ADD|IST|URC|TYN|TXN|
TXN|FRA,|FRA|TSE|URC|TYN|TXN|
TXN|IST,|IST|URC|TYN|TXN|
TXN|EBB,|EBB|KGL|IST|URC|TYN|TXN|
TXN|YLW,|YLW|YVR|ICN|DLC|TXN|
TXN|YYT,|YYT|LHR|CAN|TXN|
TXN|GUA,|GUA|IAH|YVR|ICN|DLC|TXN|
TXN|EWR,|EWR|PEK|DLC|TXN|
TXN|IAD,|IAD|PEK|DLC|TXN|
TXN|IAH,|IAH|YVR|ICN|DLC|TXN|
TXN|ORD,|ORD|PEK|DLC|TXN|
TXN|SOF,|SOF|IST|URC|TYN|TXN|
TXN|YQB,|YQB|YYZ|PEK|DLC|TXN|
TXN|YXU,|YXU|YYZ|PEK|DLC|TXN|
TXN|EZE,|EZE|GRU|IST|URC|TYN|TXN|
TXN|YYJ,|YYJ|YVR|ICN|DLC|TXN|
TXN|YYY,|YYY|YUL|YYZ|PEK|DLC|TXN|
TXN|YQQ,|YQQ|YBL|YVR|ICN|DLC|TXN|
TXN|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|DLC|TXN|
TXN|LHR,|LHR|CAN|TXN|
TXN|SFO,|SFO|ICN|DLC|TXN|
TXN|YQU,|YQU|YEG|YVR|ICN|DLC|TXN|
TXN|YZF,|YZF|YEG|YVR|ICN|DLC|TXN|
TXN|YGR,|YGR|YGP|YQB|YYZ|PEK|DLC|TXN|
TXN|YGP,|YGP|YQB|YYZ|PEK|DLC|TXN|
TXN|BOS,|BOS|YYZ|PEK|DLC|TXN|
TXN|YDF,|YDF|YYZ|PEK|DLC|TXN|
TXN|YFC,|YFC|YYZ|PEK|DLC|TXN|
TXN|YQM,|YQM|YYZ|PEK|DLC|TXN|
TXN|YQX,|YQX|YHZ|YYZ|PEK|DLC|TXN|
TXN|YQY,|YQY|YYZ|PEK|DLC|TXN|
TXN|YSJ,|YSJ|YYZ|PEK|DLC|TXN|
TXN|YYG,|YYG|YYZ|PEK|DLC|TXN|
TXN|LAX,|LAX|ICN|DLC|TXN|
TXN|DCA,|DCA|YYZ|PEK|DLC|TXN|
TXN|LGA,|LGA|YYZ|PEK|DLC|TXN|
TXN|YZV,|YZV|YQB|YYZ|PEK|DLC|TXN|
TXN|YWL,|YWL|YVR|ICN|DLC|TXN|
TXN|AZS,|AZS|YYZ|PEK|DLC|TXN|
TXN|BDL,|BDL|YYZ|PEK|DLC|TXN|
TXN|CCC,|CCC|YYZ|PEK|DLC|TXN|
TXN|CDG,|CDG|IST|URC|TYN|TXN|
TXN|CUN,|CUN|YVR|ICN|DLC|TXN|
TXN|CZM,|CZM|IAH|YVR|ICN|DLC|TXN|
TXN|FDF,|FDF|YUL|YYZ|PEK|DLC|TXN|
TXN|FLL,|FLL|ORD|PEK|DLC|TXN|
TXN|GVA,|GVA|IST|URC|TYN|TXN|
TXN|HOG,|HOG|YYZ|PEK|DLC|TXN|
TXN|LAS,|LAS|SFO|ICN|DLC|TXN|
TXN|MBJ,|MBJ|ATL|ORD|PEK|DLC|TXN|
TXN|MCO,|MCO|ORD|PEK|DLC|TXN|
TXN|MUC,|MUC|IST|URC|TYN|TXN|
TXN|PAP,|PAP|YUL|YYZ|PEK|DLC|TXN|
TXN|PTP,|PTP|YUL|YYZ|PEK|DLC|TXN|
TXN|PUJ,|PUJ|EWR|PEK|DLC|TXN|
TXN|SNU,|SNU|YYZ|PEK|DLC|TXN|
TXN|VRA,|VRA|YYZ|PEK|DLC|TXN|
TXN|YBC,|YBC|YUL|YYZ|PEK|DLC|TXN|
TXN|YBG,|YBG|YUL|YYZ|PEK|DLC|TXN|
TXN|YTZ,|YTZ|YUL|YYZ|PEK|DLC|TXN|
TXN|YUY,|YUY|YUL|YYZ|PEK|DLC|TXN|
TXN|YVO,|YVO|YUL|YYZ|PEK|DLC|TXN|
TXN|ZBF,|ZBF|YUL|YYZ|PEK|DLC|TXN|
TXN|ZRH,|ZRH|IST|URC|TYN|TXN|
TXN|ZSA,|ZSA|YUL|YYZ|PEK|DLC|TXN|
TXN|AKL,|AKL|CAN|TXN|
TXN|HKG,|HKG|CAN|TXN|
TXN|HND,|HND|HNL|NRT|DLC|TXN|
TXN|HNL,|HNL|NRT|DLC|TXN|
TXN|MEX,|MEX|SFO|ICN|DLC|TXN|
TXN|OGG,|OGG|HNL|NRT|DLC|TXN|
TXN|PDX,|PDX|SEA|ICN|DLC|TXN|
TXN|PEK,|PEK|DLC|TXN|
TXN|PVG,|PVG|TAO|TXN|
TXN|PVR,|PVR|LAX|ICN|DLC|TXN|
TXN|SEA,|SEA|ICN|DLC|TXN|
TXN|SYD,|SYD|CAN|TXN|
TXN|YBL,|YBL|YVR|ICN|DLC|TXN|
TXN|YCD,|YCD|YVR|ICN|DLC|TXN|
TXN|YCG,|YCG|YVR|ICN|DLC|TXN|
TXN|YKA,|YKA|YVR|ICN|DLC|TXN|
TXN|YPR,|YPR|YVR|ICN|DLC|TXN|
TXN|YQZ,|YQZ|YVR|ICN|DLC|TXN|
TXN|YXC,|YXC|YVR|ICN|DLC|TXN|
TXN|YXJ,|YXJ|YVR|ICN|DLC|TXN|
TXN|YXS,|YXS|YVR|ICN|DLC|TXN|
TXN|YXT,|YXT|YVR|ICN|DLC|TXN|
TXN|YXY,|YXY|YVR|ICN|DLC|TXN|
TXN|YYD,|YYD|YVR|ICN|DLC|TXN|
TXN|YYF,|YYF|YVR|ICN|DLC|TXN|
TXN|YZP,|YZP|YVR|ICN|DLC|TXN|
TXN|YQT,|YQT|YWG|YVR|ICN|DLC|TXN|
TXN|SJD,|SJD|LAX|ICN|DLC|TXN|
TXN|YQF,|YQF|YYC|YVR|ICN|DLC|TXN|
TXN|YQL,|YQL|YYC|YVR|ICN|DLC|TXN|
TXN|YXH,|YXH|YYC|YVR|ICN|DLC|TXN|
TXN|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|TXN|
TXN|ANU,|ANU|EWR|PEK|DLC|TXN|
TXN|AUA,|AUA|EWR|PEK|DLC|TXN|
TXN|AUH,|AUH|IST|URC|TYN|TXN|
TXN|BCN,|BCN|IST|URC|TYN|TXN|
TXN|BDA,|BDA|EWR|PEK|DLC|TXN|
TXN|BGI,|BGI|YYZ|PEK|DLC|TXN|
TXN|BNA,|BNA|ORD|PEK|DLC|TXN|
TXN|BOG,|BOG|MIA|ORD|PEK|DLC|TXN|
TXN|BWI,|BWI|YYZ|PEK|DLC|TXN|
TXN|CLE,|CLE|YYZ|PEK|DLC|TXN|
TXN|CLT,|CLT|YYZ|PEK|DLC|TXN|
TXN|CMH,|CMH|ORD|PEK|DLC|TXN|
TXN|CVG,|CVG|ORD|PEK|DLC|TXN|
TXN|DFW,|DFW|YVR|ICN|DLC|TXN|
TXN|DTW,|DTW|PEK|DLC|TXN|
TXN|DUB,|DUB|IST|URC|TYN|TXN|
TXN|FCO,|FCO|IST|URC|TYN|TXN|
TXN|GCM,|GCM|IAH|YVR|ICN|DLC|TXN|
TXN|GGT,|GGT|YYZ|PEK|DLC|TXN|
TXN|GND,|GND|YYZ|PEK|DLC|TXN|
TXN|GRU,|GRU|IST|URC|TYN|TXN|
TXN|HAV,|HAV|YYZ|PEK|DLC|TXN|
TXN|IND,|IND|ORD|PEK|DLC|TXN|
TXN|JFK,|JFK|PEK|DLC|TXN|
TXN|KIN,|KIN|YYZ|PEK|DLC|TXN|
TXN|LIM,|LIM|IAH|YVR|ICN|DLC|TXN|
TXN|LIR,|LIR|IAH|YVR|ICN|DLC|TXN|
TXN|MCI,|MCI|DEN|YVR|ICN|DLC|TXN|
TXN|MDT,|MDT|YYZ|PEK|DLC|TXN|
TXN|MIA,|MIA|ORD|PEK|DLC|TXN|
TXN|MKE,|MKE|ORD|PEK|DLC|TXN|
TXN|MSP,|MSP|DEN|YVR|ICN|DLC|TXN|
TXN|NAS,|NAS|YYZ|PEK|DLC|TXN|
TXN|PHL,|PHL|YYZ|PEK|DLC|TXN|
TXN|PHX,|PHX|SFO|ICN|DLC|TXN|
TXN|PIT,|PIT|YYZ|PEK|DLC|TXN|
TXN|PLS,|PLS|EWR|PEK|DLC|TXN|
TXN|POP,|POP|EWR|PEK|DLC|TXN|
TXN|RDU,|RDU|YYZ|PEK|DLC|TXN|
TXN|ROC,|ROC|YYZ|PEK|DLC|TXN|
TXN|RSW,|RSW|ORD|PEK|DLC|TXN|
TXN|SAN,|SAN|LAX|ICN|DLC|TXN|
TXN|SJO,|SJO|IAH|YVR|ICN|DLC|TXN|
TXN|STL,|STL|ORD|PEK|DLC|TXN|
TXN|SYR,|SYR|YYZ|PEK|DLC|TXN|
TXN|TLV,|TLV|SAW|TBS|URC|TYN|TXN|
TXN|TPA,|TPA|ORD|PEK|DLC|TXN|
TXN|UVF,|UVF|EWR|PEK|DLC|TXN|
TXN|VIE,|VIE|IST|URC|TYN|TXN|
TXN|YAM,|YAM|YYZ|PEK|DLC|TXN|
TXN|YGK,|YGK|YYZ|PEK|DLC|TXN|
TXN|YQG,|YQG|YYZ|PEK|DLC|TXN|
TXN|YSB,|YSB|YYZ|PEK|DLC|TXN|
TXN|YTS,|YTS|YYZ|PEK|DLC|TXN|
TXN|YYB,|YYB|YYZ|PEK|DLC|TXN|
TXN|YZR,|YZR|YYZ|PEK|DLC|TXN|
TXN|CAN,|CAN|TXN|
TXN|URC,|URC|TYN|TXN|
TXN|CTU,|CTU|CSX|TXN|
TXN|HGH,|HGH|XMN|TXN|
TXN|XMN,|XMN|TXN|
TXN|CGO,|CGO|TAO|TXN|
TXN|CSX,|CSX|TXN|
TXN|SHE,|SHE|TAO|TXN|
TXN|SJW,|SJW|CSX|TXN|
TXN|WUH,|WUH|XMN|TXN|
TXN|SZX,|SZX|TXN|
TXN|CKG,|CKG|CSX|TXN|
TXN|KMG,|KMG|CSX|TXN|
TXN|FOC,|FOC|CSX|TXN|
TXN|NNG,|NNG|CSX|TXN|
TXN|SWA,|SWA|CSX|TXN|
TXN|ACX,|ACX|CAN|TXN|
TXN|AQG,|AQG|CAN|TXN|
TXN|AVA,|AVA|CAN|TXN|
TXN|BFJ,|BFJ|CAN|TXN|
TXN|BHY,|BHY|CAN|TXN|
TXN|BNE,|BNE|CAN|TXN|
TXN|CGD,|CGD|CAN|TXN|
TXN|CGK,|CGK|XMN|TXN|
TXN|CGQ,|CGQ|TAO|TXN|
TXN|CIH,|CIH|DAT|TYN|TXN|
TXN|CNX,|CNX|CAN|TXN|
TXN|CZX,|CZX|CSX|TXN|
TXN|DAC,|DAC|CAN|TXN|
TXN|DAD,|DAD|CAN|TXN|
TXN|DEL,|DEL|CAN|TXN|
TXN|DIG,|DIG|KMG|CSX|TXN|
TXN|DLC,|DLC|TXN|
TXN|DPS,|DPS|SZX|TXN|
TXN|DXB,|DXB|CAN|TXN|
TXN|DYG,|DYG|CSX|TXN|
TXN|FUG,|FUG|CAN|TXN|
TXN|FUK,|FUK|ICN|DLC|TXN|
TXN|HAK,|HAK|CAN|TXN|
TXN|HAN,|HAN|CAN|TXN|
TXN|HDG,|HDG|CAN|TXN|
TXN|HET,|HET|TAO|TXN|
TXN|HFE,|HFE|CSX|TXN|
TXN|HJJ,|HJJ|CSX|TXN|
TXN|HKT,|HKT|CAN|TXN|
TXN|HRB,|HRB|TAO|TXN|
TXN|HZH,|HZH|CAN|TXN|
TXN|JIU,|JIU|CAN|TXN|
TXN|JJN,|JJN|CSX|TXN|
TXN|JNG,|JNG|CAN|TXN|
TXN|KHN,|KHN|XMN|TXN|
TXN|KIX,|KIX|DLC|TXN|
TXN|KOW,|KOW|CAN|TXN|
TXN|KTM,|KTM|CAN|TXN|
TXN|KUL,|KUL|CAN|TXN|
TXN|KWE,|KWE|CSX|TXN|
TXN|KWL,|KWL|CAN|TXN|
TXN|LHW,|LHW|CSX|TXN|
TXN|LYA,|LYA|KHN|XMN|TXN|
TXN|LYG,|LYG|HSN|XMN|TXN|
TXN|LZH,|LZH|CAN|TXN|
TXN|MEL,|MEL|CAN|TXN|
TXN|MIG,|MIG|CSX|TXN|
TXN|MLE,|MLE|CAN|TXN|
TXN|MNL,|MNL|XMN|TXN|
TXN|MXZ,|MXZ|CAN|TXN|
TXN|NAO,|NAO|CAN|TXN|
TXN|NGB,|NGB|XMN|TXN|
TXN|NKG,|NKG|CSX|TXN|
TXN|NNY,|NNY|CGO|TAO|TXN|
TXN|PEN,|PEN|CAN|TXN|
TXN|PER,|PER|CAN|TXN|
TXN|PNH,|PNH|CAN|TXN|
TXN|REP,|REP|CAN|TXN|
TXN|RGN,|RGN|CAN|TXN|
TXN|SGN,|SGN|CAN|TXN|
TXN|SHA,|SHA|CSX|TXN|
TXN|SIN,|SIN|CAN|TXN|
TXN|SVO,|SVO|URC|TYN|TXN|
TXN|SYX,|SYX|CAN|TXN|
TXN|TAO,|TAO|TXN|
TXN|TEN,|TEN|CAN|TXN|
TXN|TNA,|TNA|DLC|TXN|
TXN|TPE,|TPE|CSX|TXN|
TXN|TSN,|TSN|DLC|TXN|
TXN|TYN,|TYN|TXN|
TXN|WNZ,|WNZ|CSX|TXN|
TXN|WUX,|WUX|CAN|TXN|
TXN|XFN,|XFN|XMN|TXN|
TXN|XIY,|XIY|CSX|TXN|
TXN|XUZ,|XUZ|LYG|HSN|XMN|TXN|
TXN|YIH,|YIH|XMN|TXN|
TXN|YIW,|YIW|XMN|TXN|
TXN|YNT,|YNT|CSX|TXN|
TXN|YNZ,|YNZ|XMN|TXN|
TXN|YTY,|YTY|CSX|TXN|
TXN|ZHA,|ZHA|CAN|TXN|
TXN|ZYI,|ZYI|CAN|TXN|
TXN|BAV,|BAV|CSX|TXN|
TXN|CJU,|CJU|DLC|TXN|
TXN|DSN,|DSN|CGO|TAO|TXN|
TXN|HMI,|HMI|CGO|TAO|TXN|
TXN|INC,|INC|TYN|TXN|
TXN|KHH,|KHH|WUH|XMN|TXN|
TXN|UYN,|UYN|XIY|CSX|TXN|
TXN|XNN,|XNN|CSX|TXN|
TXN|ZUH,|ZUH|XMN|TXN|
TXN|YNJ,|YNJ|DLC|TXN|
TXN|DAT,|DAT|TYN|TXN|
TXN|JHG,|JHG|KMG|CSX|TXN|
TXN|LJG,|LJG|KWE|CSX|TXN|
TXN|LXA,|LXA|CKG|CSX|TXN|
TXN|YCU,|YCU|CSX|TXN|
TXN|LZO,|LZO|CSX|TXN|
TXN|MDG,|MDG|DLC|TXN|
TXN|NGO,|NGO|DLC|TXN|
TXN|TOY,|TOY|DLC|TXN|
TXN|MFM,|MFM|XMN|TXN|
TXN|TGO,|TGO|HET|TAO|TXN|
TXN|XIL,|XIL|HET|TAO|TXN|
TXN|HEK,|HEK|HRB|TAO|TXN|
TXN|KIJ,|KIJ|HRB|TAO|TXN|
TXN|LDS,|LDS|HRB|TAO|TXN|
TXN|OHE,|OHE|HRB|TAO|TXN|
TXN|HSN,|HSN|XMN|TXN|
TXN|DLU,|DLU|KWE|CSX|TXN|
TXN|SYM,|SYM|KMG|CSX|TXN|
TXN|ZAT,|ZAT|KMG|CSX|TXN|
TXN|LUN,|LUN|NBO|CAN|TXN|
TXN|AOG,|AOG|PEK|DLC|TXN|
TXN|GMP,|GMP|PEK|DLC|TXN|
TXN|ISB,|ISB|URC|TYN|TXN|
TXN|TAS,|TAS|URC|TYN|TXN|
TXN|WUS,|WUS|PEK|DLC|TXN|
TXN|JMU,|JMU|PVG|TAO|TXN|
TXN|NDG,|NDG|PVG|TAO|TXN|
TXN|JXA,|JXA|SHE|TAO|TXN|
TXN|PUS,|PUS|SHE|TAO|TXN|
TXN|BKI,|BKI|SZX|TXN|
TXN|AKU,|AKU|URC|TYN|TXN|
TXN|ALA,|ALA|URC|TYN|TXN|
TXN|ASB,|ASB|URC|TYN|TXN|
TXN|DNH,|DNH|XIY|CSX|TXN|
TXN|DYU,|DYU|URC|TYN|TXN|
TXN|FRU,|FRU|URC|TYN|TXN|
TXN|GYD,|GYD|URC|TYN|TXN|
TXN|HTN,|HTN|URC|TYN|TXN|
TXN|IKA,|IKA|URC|TYN|TXN|
TXN|KCA,|KCA|URC|TYN|TXN|
TXN|KHG,|KHG|URC|TYN|TXN|
TXN|KRL,|KRL|URC|TYN|TXN|
TXN|KRY,|KRY|URC|TYN|TXN|
TXN|LBD,|LBD|URC|TYN|TXN|
TXN|NLT,|NLT|URC|TYN|TXN|
TXN|OSS,|OSS|URC|TYN|TXN|
TXN|OVB,|OVB|URC|TYN|TXN|
TXN|TBS,|TBS|URC|TYN|TXN|
TXN|TCG,|TCG|URC|TYN|TXN|
TXN|TSE,|TSE|URC|TYN|TXN|
TXN|YIN,|YIN|URC|TYN|TXN|
TXN|ENH,|ENH|WUH|XMN|TXN|
TXN|ENY,|ENY|XIY|CSX|TXN|
TXN|WXN,|WXN|XIY|CSX|TXN|
TXN|BLL,|BLL|IST|URC|TYN|TXN|
TXN|ESB,|ESB|SAW|TBS|URC|TYN|TXN|
TXN|SAW,|SAW|TBS|URC|TYN|TXN|
TXN|HAM,|HAM|IST|URC|TYN|TXN|
TXN|HRE,|HRE|ADD|IST|URC|TYN|TXN|
TXN|JUB,|JUB|CAI|IST|URC|TYN|TXN|
TXN|SSG,|SSG|DLA|IST|URC|TYN|TXN|
TXN|BGW,|BGW|ESB|SAW|TBS|URC|TYN|TXN|
TXN|EBL,|EBL|IST|URC|TYN|TXN|
TXN|VKO,|VKO|IST|URC|TYN|TXN|
TXN|MCT,|MCT|IST|URC|TYN|TXN|
TXN|AYT,|AYT|IST|URC|TYN|TXN|
TXN|SCQ,|SCQ|BIO|IST|URC|TYN|TXN|
TXN|AAL,|AAL|IST|URC|TYN|TXN|
TXN|AOE,|AOE|BRU|IST|URC|TYN|TXN|
TXN|JNB,|JNB|IST|URC|TYN|TXN|
TXN|LBV,|LBV|DLA|IST|URC|TYN|TXN|
TXN|ADA,|ADA|SAW|TBS|URC|TYN|TXN|
TXN|ADB,|ADB|IST|URC|TYN|TXN|
TXN|ADF,|ADF|ESB|SAW|TBS|URC|TYN|TXN|
TXN|AJI,|AJI|ESB|SAW|TBS|URC|TYN|TXN|
TXN|BAL,|BAL|ESB|SAW|TBS|URC|TYN|TXN|
TXN|BJV,|BJV|IST|URC|TYN|TXN|
TXN|CKZ,|CKZ|ESB|SAW|TBS|URC|TYN|TXN|
TXN|DIY,|DIY|SAW|TBS|URC|TYN|TXN|
TXN|ECN,|ECN|SAW|TBS|URC|TYN|TXN|
TXN|ERC,|ERC|ESB|SAW|TBS|URC|TYN|TXN|
TXN|ERZ,|ERZ|SAW|TBS|URC|TYN|TXN|
TXN|EZS,|EZS|SAW|TBS|URC|TYN|TXN|
TXN|GNY,|GNY|ESB|SAW|TBS|URC|TYN|TXN|
TXN|GZP,|GZP|ESB|SAW|TBS|URC|TYN|TXN|
TXN|GZT,|GZT|SAW|TBS|URC|TYN|TXN|
TXN|HTY,|HTY|SAW|TBS|URC|TYN|TXN|
TXN|KCM,|KCM|ESB|SAW|TBS|URC|TYN|TXN|
TXN|KSY,|KSY|SAW|TBS|URC|TYN|TXN|
TXN|MLX,|MLX|ESB|SAW|TBS|URC|TYN|TXN|
TXN|MQM,|MQM|SAW|TBS|URC|TYN|TXN|
TXN|MSR,|MSR|ESB|SAW|TBS|URC|TYN|TXN|
TXN|TEQ,|TEQ|ESB|SAW|TBS|URC|TYN|TXN|
TXN|TZX,|TZX|SAW|TBS|URC|TYN|TXN|
TXN|VAN,|VAN|SAW|TBS|URC|TYN|TXN|
TXN|ULN,|ULN|FRU|URC|TYN|TXN|
