UFA|BRU,|BRU|IST|UFA|
UFA|OUA,|OUA|NIM|IST|UFA|
UFA|JED,|JED|IST|UFA|
UFA|CPH,|CPH|IST|UFA|
UFA|YYZ,|YYZ|IST|UFA|
UFA|DEN,|DEN|FRA|IST|UFA|
UFA|YUL,|YUL|FRA|IST|UFA|
UFA|NBO,|NBO|IST|UFA|
UFA|ICN,|ICN|IST|UFA|
UFA|NRT,|NRT|IST|UFA|
UFA|YHZ,|YHZ|LHR|IST|UFA|
UFA|YOW,|YOW|FRA|IST|UFA|
UFA|BJM,|BJM|BRU|IST|UFA|
UFA|COO,|COO|BRU|IST|UFA|
UFA|DKR,|DKR|BRU|IST|UFA|
UFA|DLA,|DLA|IST|UFA|
UFA|KGL,|KGL|IST|UFA|
UFA|LAD,|LAD|BRU|IST|UFA|
UFA|ABJ,|ABJ|OUA|NIM|IST|UFA|
UFA|AMS,|AMS|IST|UFA|
UFA|OSL,|OSL|IST|UFA|
UFA|VNO,|VNO|IST|UFA|
UFA|WAW,|WAW|IST|UFA|
UFA|YYC,|YYC|FRA|IST|UFA|
UFA|ATL,|ATL|FRA|IST|UFA|
UFA|MSY,|MSY|IAD|IST|UFA|
UFA|YEG,|YEG|LHR|IST|UFA|
UFA|YMM,|YMM|YEG|LHR|IST|UFA|
UFA|YQR,|YQR|YEG|LHR|IST|UFA|
UFA|YVR,|YVR|MUC|IST|UFA|
UFA|YWG,|YWG|YUL|FRA|IST|UFA|
UFA|YXE,|YXE|YEG|LHR|IST|UFA|
UFA|CKY,|CKY|DKR|BRU|IST|UFA|
UFA|FIH,|FIH|IST|UFA|
UFA|SCL,|SCL|EZE|GRU|IST|UFA|
UFA|LCA,|LCA|FRA|IST|UFA|
UFA|NAP,|NAP|IST|UFA|
UFA|VLC,|VLC|IST|UFA|
UFA|BKK,|BKK|IST|UFA|
UFA|ADD,|ADD|IST|UFA|
UFA|FRA,|FRA|IST|UFA|
UFA|IST,|IST|UFA|
UFA|EBB,|EBB|KGL|IST|UFA|
UFA|YLW,|YLW|YYC|FRA|IST|UFA|
UFA|YYT,|YYT|LHR|IST|UFA|
UFA|GUA,|GUA|MIA|ZRH|IST|UFA|
UFA|EWR,|EWR|BHX|IST|UFA|
UFA|IAD,|IAD|IST|UFA|
UFA|IAH,|IAH|IST|UFA|
UFA|ORD,|ORD|IST|UFA|
UFA|SOF,|SOF|IST|UFA|
UFA|YQB,|YQB|YUL|FRA|IST|UFA|
UFA|YXU,|YXU|YYZ|IST|UFA|
UFA|EZE,|EZE|GRU|IST|UFA|
UFA|YYJ,|YYJ|YVR|MUC|IST|UFA|
