URC|BRU,|BRU|IST|URC|
URC|OUA,|OUA|NIM|IST|URC|
URC|JED,|JED|IST|URC|
URC|CPH,|CPH|IST|URC|
URC|YYZ,|YYZ|FRA|TSE|URC|
URC|DEN,|DEN|YVR|PEK|URC|
URC|YUL,|YUL|FRA|TSE|URC|
URC|NBO,|NBO|IST|URC|
URC|ICN,|ICN|PEK|URC|
URC|NRT,|NRT|PEK|URC|
URC|YHZ,|YHZ|LHR|IST|URC|
URC|YOW,|YOW|FRA|TSE|URC|
URC|BJM,|BJM|BRU|IST|URC|
URC|COO,|COO|BRU|IST|URC|
URC|DKR,|DKR|BRU|IST|URC|
URC|DLA,|DLA|IST|URC|
URC|KGL,|KGL|IST|URC|
URC|LAD,|LAD|BRU|IST|URC|
URC|ABJ,|ABJ|OUA|NIM|IST|URC|
URC|AMS,|AMS|IST|URC|
URC|OSL,|OSL|IST|URC|
URC|VNO,|VNO|IST|URC|
URC|WAW,|WAW|IST|URC|
URC|YYC,|YYC|YVR|PEK|URC|
URC|ATL,|ATL|FRA|TSE|URC|
URC|MSY,|MSY|IAD|FRA|TSE|URC|
URC|YEG,|YEG|YVR|PEK|URC|
URC|YMM,|YMM|YVR|PEK|URC|
URC|YQR,|YQR|YVR|PEK|URC|
URC|YVR,|YVR|PEK|URC|
URC|YWG,|YWG|YVR|PEK|URC|
URC|YXE,|YXE|YVR|PEK|URC|
URC|CKY,|CKY|DKR|BRU|IST|URC|
URC|FIH,|FIH|IST|URC|
URC|SCL,|SCL|EZE|GRU|IST|URC|
URC|LCA,|LCA|FRA|TSE|URC|
URC|NAP,|NAP|IST|URC|
URC|VLC,|VLC|FRA|TSE|URC|
URC|BKK,|BKK|NNG|KWE|URC|
URC|ADD,|ADD|IST|URC|
URC|FRA,|FRA|TSE|URC|
URC|IST,|IST|URC|
URC|EBB,|EBB|KGL|IST|URC|
URC|YLW,|YLW|YVR|PEK|URC|
URC|YYT,|YYT|LHR|IST|URC|
URC|GUA,|GUA|MIA|FRA|TSE|URC|
URC|EWR,|EWR|FRA|TSE|URC|
URC|IAD,|IAD|FRA|TSE|URC|
URC|IAH,|IAH|PEK|URC|
URC|ORD,|ORD|FRA|TSE|URC|
URC|SOF,|SOF|IST|URC|
URC|YQB,|YQB|YUL|FRA|TSE|URC|
URC|YXU,|YXU|YYZ|FRA|TSE|URC|
URC|EZE,|EZE|GRU|IST|URC|
URC|YYJ,|YYJ|YVR|PEK|URC|
URC|YYY,|YYY|YUL|FRA|TSE|URC|
URC|YQQ,|YQQ|YBL|YVR|PEK|URC|
URC|YYR,|YYR|YYT|LHR|IST|URC|
URC|LHR,|LHR|IST|URC|
URC|SFO,|SFO|PEK|URC|
URC|YQU,|YQU|YEG|YVR|PEK|URC|
URC|YZF,|YZF|YEG|YVR|PEK|URC|
URC|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|
URC|YGP,|YGP|YQB|YUL|FRA|TSE|URC|
URC|BOS,|BOS|FRA|TSE|URC|
URC|YDF,|YDF|YYT|LHR|IST|URC|
URC|YFC,|YFC|YHZ|LHR|IST|URC|
URC|YQM,|YQM|YHZ|LHR|IST|URC|
URC|YQX,|YQX|YYT|LHR|IST|URC|
URC|YQY,|YQY|YHZ|LHR|IST|URC|
URC|YSJ,|YSJ|YHZ|LHR|IST|URC|
URC|YYG,|YYG|YHZ|LHR|IST|URC|
URC|LAX,|LAX|PEK|URC|
URC|DCA,|DCA|EWR|FRA|TSE|URC|
URC|LGA,|LGA|YUL|FRA|TSE|URC|
URC|YZV,|YZV|YUL|FRA|TSE|URC|
URC|YWL,|YWL|YVR|PEK|URC|
URC|AZS,|AZS|YUL|FRA|TSE|URC|
URC|BDL,|BDL|YUL|FRA|TSE|URC|
URC|CCC,|CCC|YUL|FRA|TSE|URC|
URC|CDG,|CDG|IST|URC|
URC|CUN,|CUN|EWR|FRA|TSE|URC|
URC|CZM,|CZM|YUL|FRA|TSE|URC|
URC|FDF,|FDF|YUL|FRA|TSE|URC|
URC|FLL,|FLL|MCO|FRA|TSE|URC|
URC|GVA,|GVA|IST|URC|
URC|HOG,|HOG|YUL|FRA|TSE|URC|
URC|LAS,|LAS|SEA|PEK|URC|
URC|MBJ,|MBJ|EWR|FRA|TSE|URC|
URC|MCO,|MCO|FRA|TSE|URC|
URC|MUC,|MUC|IST|URC|
URC|PAP,|PAP|YUL|FRA|TSE|URC|
URC|PTP,|PTP|YUL|FRA|TSE|URC|
URC|PUJ,|PUJ|EWR|FRA|TSE|URC|
URC|SNU,|SNU|YUL|FRA|TSE|URC|
URC|VRA,|VRA|YUL|FRA|TSE|URC|
URC|YBC,|YBC|YUL|FRA|TSE|URC|
URC|YBG,|YBG|YUL|FRA|TSE|URC|
URC|YTZ,|YTZ|YUL|FRA|TSE|URC|
URC|YUY,|YUY|YUL|FRA|TSE|URC|
URC|YVO,|YVO|YUL|FRA|TSE|URC|
URC|ZBF,|ZBF|YUL|FRA|TSE|URC|
URC|ZRH,|ZRH|IST|URC|
URC|ZSA,|ZSA|YUL|FRA|TSE|URC|
URC|AKL,|AKL|CAN|URC|
URC|HKG,|HKG|CAN|URC|
URC|HND,|HND|HNL|PEK|URC|
URC|HNL,|HNL|PEK|URC|
URC|MEX,|MEX|YVR|PEK|URC|
URC|OGG,|OGG|HNL|PEK|URC|
URC|PDX,|PDX|SEA|PEK|URC|
URC|PEK,|PEK|URC|
URC|PVG,|PVG|URC|
URC|PVR,|PVR|SFO|PEK|URC|
URC|SEA,|SEA|PEK|URC|
URC|SYD,|SYD|CAN|URC|
URC|YBL,|YBL|YVR|PEK|URC|
URC|YCD,|YCD|YVR|PEK|URC|
URC|YCG,|YCG|YVR|PEK|URC|
URC|YKA,|YKA|YVR|PEK|URC|
URC|YPR,|YPR|YVR|PEK|URC|
URC|YQZ,|YQZ|YVR|PEK|URC|
URC|YXC,|YXC|YVR|PEK|URC|
URC|YXJ,|YXJ|YVR|PEK|URC|
URC|YXS,|YXS|YVR|PEK|URC|
URC|YXT,|YXT|YVR|PEK|URC|
URC|YXY,|YXY|YVR|PEK|URC|
URC|YYD,|YYD|YVR|PEK|URC|
URC|YYF,|YYF|YVR|PEK|URC|
URC|YZP,|YZP|YVR|PEK|URC|
URC|YQT,|YQT|YYZ|FRA|TSE|URC|
URC|SJD,|SJD|SFO|PEK|URC|
URC|YQF,|YQF|YYC|YVR|PEK|URC|
URC|YQL,|YQL|YYC|YVR|PEK|URC|
URC|YXH,|YXH|YYC|YVR|PEK|URC|
URC|YWK,|YWK|YYR|YYT|LHR|IST|URC|
URC|ANU,|ANU|EWR|FRA|TSE|URC|
URC|AUA,|AUA|EWR|FRA|TSE|URC|
URC|AUH,|AUH|IST|URC|
URC|BCN,|BCN|IST|URC|
URC|BDA,|BDA|EWR|FRA|TSE|URC|
URC|BGI,|BGI|YYZ|FRA|TSE|URC|
URC|BNA,|BNA|YYZ|FRA|TSE|URC|
URC|BOG,|BOG|JFK|FRA|TSE|URC|
URC|BWI,|BWI|EWR|FRA|TSE|URC|
URC|CLE,|CLE|YYZ|FRA|TSE|URC|
URC|CLT,|CLT|EWR|FRA|TSE|URC|
URC|CMH,|CMH|YYZ|FRA|TSE|URC|
URC|CVG,|CVG|YYZ|FRA|TSE|URC|
URC|DFW,|DFW|YVR|PEK|URC|
URC|DTW,|DTW|FRA|TSE|URC|
URC|DUB,|DUB|IST|URC|
URC|FCO,|FCO|IST|URC|
URC|GCM,|GCM|EWR|FRA|TSE|URC|
URC|GGT,|GGT|FLL|MCO|FRA|TSE|URC|
URC|GND,|GND|YYZ|FRA|TSE|URC|
URC|GRU,|GRU|IST|URC|
URC|HAV,|HAV|YYZ|FRA|TSE|URC|
URC|IND,|IND|YYZ|FRA|TSE|URC|
URC|JFK,|JFK|FRA|TSE|URC|
URC|KIN,|KIN|YYZ|FRA|TSE|URC|
URC|LIM,|LIM|MIA|FRA|TSE|URC|
URC|LIR,|LIR|EWR|FRA|TSE|URC|
URC|MCI,|MCI|ORD|FRA|TSE|URC|
URC|MDT,|MDT|IAD|FRA|TSE|URC|
URC|MIA,|MIA|FRA|TSE|URC|
URC|MKE,|MKE|YYZ|FRA|TSE|URC|
URC|MSP,|MSP|YUL|FRA|TSE|URC|
URC|NAS,|NAS|EWR|FRA|TSE|URC|
URC|PHL,|PHL|IAD|FRA|TSE|URC|
URC|PHX,|PHX|SEA|PEK|URC|
URC|PIT,|PIT|YYZ|FRA|TSE|URC|
URC|PLS,|PLS|EWR|FRA|TSE|URC|
URC|POP,|POP|EWR|FRA|TSE|URC|
URC|RDU,|RDU|EWR|FRA|TSE|URC|
URC|ROC,|ROC|YYZ|FRA|TSE|URC|
URC|RSW,|RSW|MCO|FRA|TSE|URC|
URC|SAN,|SAN|LAX|PEK|URC|
URC|SJO,|SJO|EWR|FRA|TSE|URC|
URC|STL,|STL|DTW|FRA|TSE|URC|
URC|SYR,|SYR|EWR|FRA|TSE|URC|
URC|TLV,|TLV|SAW|TBS|URC|
URC|TPA,|TPA|EWR|FRA|TSE|URC|
URC|UVF,|UVF|EWR|FRA|TSE|URC|
URC|VIE,|VIE|IST|URC|
URC|YAM,|YAM|YYZ|FRA|TSE|URC|
URC|YGK,|YGK|YYZ|FRA|TSE|URC|
URC|YQG,|YQG|YYZ|FRA|TSE|URC|
URC|YSB,|YSB|YYZ|FRA|TSE|URC|
URC|YTS,|YTS|YYZ|FRA|TSE|URC|
URC|YYB,|YYB|YYZ|FRA|TSE|URC|
URC|YZR,|YZR|YYZ|FRA|TSE|URC|
URC|CAN,|CAN|URC|
URC|CTU,|CTU|URC|
URC|HGH,|HGH|URC|
URC|XMN,|XMN|CSX|URC|
URC|CGO,|CGO|URC|
URC|CSX,|CSX|URC|
URC|SHE,|SHE|HET|URC|
URC|SJW,|SJW|URC|
URC|WUH,|WUH|URC|
URC|SZX,|SZX|CKG|URC|
URC|CKG,|CKG|URC|
URC|KMG,|KMG|CTU|URC|
URC|FOC,|FOC|XIY|URC|
URC|NNG,|NNG|KWE|URC|
URC|SWA,|SWA|CSX|URC|
URC|ACX,|ACX|CAN|URC|
URC|AQG,|AQG|CAN|URC|
URC|AVA,|AVA|CAN|URC|
URC|BFJ,|BFJ|CAN|URC|
URC|BHY,|BHY|CKG|URC|
URC|BNE,|BNE|CAN|URC|
URC|CGD,|CGD|PEK|URC|
URC|CGK,|CGK|CAN|URC|
URC|CGQ,|CGQ|HET|URC|
URC|CIH,|CIH|DAT|TYN|URC|
URC|CNX,|CNX|CAN|URC|
URC|CZX,|CZX|TYN|URC|
URC|DAC,|DAC|CAN|URC|
URC|DAD,|DAD|CAN|URC|
URC|DEL,|DEL|CAN|URC|
URC|DIG,|DIG|KMG|CTU|URC|
URC|DLC,|DLC|PEK|URC|
URC|DPS,|DPS|CAN|URC|
URC|DXB,|DXB|IST|URC|
URC|DYG,|DYG|CSX|URC|
URC|FUG,|FUG|CAN|URC|
URC|FUK,|FUK|ICN|PEK|URC|
URC|HAK,|HAK|CTU|URC|
URC|HAN,|HAN|CAN|URC|
URC|HDG,|HDG|CAN|URC|
URC|HET,|HET|URC|
URC|HFE,|HFE|XIY|URC|
URC|HJJ,|HJJ|CSX|URC|
URC|HKT,|HKT|KWE|URC|
URC|HRB,|HRB|PEK|URC|
URC|HZH,|HZH|CAN|URC|
URC|JIU,|JIU|CAN|URC|
URC|JJN,|JJN|CSX|URC|
URC|JNG,|JNG|CAN|URC|
URC|KHN,|KHN|XIY|URC|
URC|KIX,|KIX|DLC|PEK|URC|
URC|KOW,|KOW|CAN|URC|
URC|KTM,|KTM|CAN|URC|
URC|KUL,|KUL|BKK|NNG|KWE|URC|
URC|KWE,|KWE|URC|
URC|KWL,|KWL|CKG|URC|
URC|LHW,|LHW|URC|
URC|LYA,|LYA|KHN|XIY|URC|
URC|LYG,|LYG|XUZ|INC|URC|
URC|LZH,|LZH|CAN|URC|
URC|MEL,|MEL|CAN|URC|
URC|MIG,|MIG|CSX|URC|
URC|MLE,|MLE|CAN|URC|
URC|MNL,|MNL|CAN|URC|
URC|MXZ,|MXZ|CAN|URC|
URC|NAO,|NAO|PEK|URC|
URC|NGB,|NGB|WUH|URC|
URC|NKG,|NKG|URC|
URC|NNY,|NNY|CGO|URC|
URC|PEN,|PEN|CAN|URC|
URC|PER,|PER|CAN|URC|
URC|PNH,|PNH|CAN|URC|
URC|REP,|REP|CAN|URC|
URC|RGN,|RGN|CAN|URC|
URC|SGN,|SGN|CAN|URC|
URC|SHA,|SHA|URC|
URC|SIN,|SIN|CAN|URC|
URC|SVO,|SVO|URC|
URC|SYX,|SYX|CKG|URC|
URC|TAO,|TAO|TYN|URC|
URC|TEN,|TEN|CAN|URC|
URC|TNA,|TNA|URC|
URC|TPE,|TPE|URC|
URC|TSN,|TSN|HET|URC|
URC|TXN,|TXN|TYN|URC|
URC|TYN,|TYN|URC|
URC|WNZ,|WNZ|XIY|URC|
URC|WUX,|WUX|CAN|URC|
URC|XFN,|XFN|CAN|URC|
URC|XIY,|XIY|URC|
URC|XUZ,|XUZ|INC|URC|
URC|YIH,|YIH|CKG|URC|
URC|YIW,|YIW|URC|
URC|YNT,|YNT|SHE|HET|URC|
URC|YNZ,|YNZ|WUH|URC|
URC|YTY,|YTY|CGO|URC|
URC|ZHA,|ZHA|CAN|URC|
URC|ZYI,|ZYI|CAN|URC|
URC|BAV,|BAV|URC|
URC|CJU,|CJU|DLC|PEK|URC|
URC|DSN,|DSN|CGO|URC|
URC|HMI,|HMI|URC|
URC|INC,|INC|URC|
URC|KHH,|KHH|WUH|URC|
URC|UYN,|UYN|XIY|URC|
URC|XNN,|XNN|URC|
URC|ZUH,|ZUH|KWE|URC|
URC|YNJ,|YNJ|CGQ|HET|URC|
URC|DAT,|DAT|TYN|URC|
URC|JHG,|JHG|KMG|CTU|URC|
URC|LJG,|LJG|KMG|CTU|URC|
URC|LXA,|LXA|CKG|URC|
URC|YCU,|YCU|CKG|URC|
URC|LZO,|LZO|CSX|URC|
URC|MDG,|MDG|DLC|PEK|URC|
URC|NGO,|NGO|DLC|PEK|URC|
URC|TOY,|TOY|DLC|PEK|URC|
URC|MFM,|MFM|XMN|CSX|URC|
URC|TGO,|TGO|HET|URC|
URC|XIL,|XIL|HET|URC|
URC|HEK,|HEK|HRB|PEK|URC|
URC|KIJ,|KIJ|HRB|PEK|URC|
URC|LDS,|LDS|HRB|PEK|URC|
URC|OHE,|OHE|HRB|PEK|URC|
URC|HSN,|HSN|LYG|XUZ|INC|URC|
URC|DLU,|DLU|KMG|CTU|URC|
URC|SYM,|SYM|KMG|CTU|URC|
URC|ZAT,|ZAT|KMG|CTU|URC|
URC|LUN,|LUN|NBO|IST|URC|
URC|AOG,|AOG|PEK|URC|
URC|GMP,|GMP|PEK|URC|
URC|ISB,|ISB|URC|
URC|TAS,|TAS|URC|
URC|WUS,|WUS|PEK|URC|
URC|JMU,|JMU|PVG|URC|
URC|NDG,|NDG|PVG|URC|
URC|JXA,|JXA|SHE|HET|URC|
URC|PUS,|PUS|SHE|HET|URC|
URC|BKI,|BKI|SZX|CKG|URC|
URC|AKU,|AKU|URC|
URC|ALA,|ALA|URC|
URC|ASB,|ASB|URC|
URC|DNH,|DNH|URC|
URC|DYU,|DYU|URC|
URC|FRU,|FRU|URC|
URC|GYD,|GYD|URC|
URC|HTN,|HTN|URC|
URC|IKA,|IKA|URC|
URC|KCA,|KCA|URC|
URC|KHG,|KHG|URC|
URC|KRL,|KRL|URC|
URC|KRY,|KRY|URC|
URC|LBD,|LBD|URC|
URC|NLT,|NLT|URC|
URC|OSS,|OSS|URC|
URC|OVB,|OVB|URC|
URC|TBS,|TBS|URC|
URC|TCG,|TCG|URC|
URC|TSE,|TSE|URC|
URC|YIN,|YIN|URC|
URC|ENH,|ENH|WUH|URC|
URC|ENY,|ENY|XIY|URC|
URC|WXN,|WXN|XIY|URC|
URC|BLL,|BLL|IST|URC|
URC|ESB,|ESB|SAW|TBS|URC|
URC|SAW,|SAW|TBS|URC|
URC|HAM,|HAM|IST|URC|
URC|HRE,|HRE|ADD|IST|URC|
URC|JUB,|JUB|CAI|IST|URC|
URC|SSG,|SSG|DLA|IST|URC|
URC|BGW,|BGW|ESB|SAW|TBS|URC|
URC|EBL,|EBL|IST|URC|
URC|VKO,|VKO|IST|URC|
URC|MCT,|MCT|IST|URC|
URC|AYT,|AYT|IST|URC|
URC|SCQ,|SCQ|BIO|IST|URC|
URC|AAL,|AAL|IST|URC|
URC|AOE,|AOE|BRU|IST|URC|
URC|JNB,|JNB|IST|URC|
URC|LBV,|LBV|DLA|IST|URC|
URC|ADA,|ADA|SAW|TBS|URC|
URC|ADB,|ADB|IST|URC|
URC|ADF,|ADF|ESB|SAW|TBS|URC|
URC|AJI,|AJI|ESB|SAW|TBS|URC|
URC|BAL,|BAL|ESB|SAW|TBS|URC|
URC|BJV,|BJV|IST|URC|
URC|CKZ,|CKZ|ESB|SAW|TBS|URC|
URC|DIY,|DIY|SAW|TBS|URC|
URC|ECN,|ECN|SAW|TBS|URC|
URC|ERC,|ERC|ESB|SAW|TBS|URC|
URC|ERZ,|ERZ|SAW|TBS|URC|
URC|EZS,|EZS|SAW|TBS|URC|
URC|GNY,|GNY|ESB|SAW|TBS|URC|
URC|GZP,|GZP|ESB|SAW|TBS|URC|
URC|GZT,|GZT|SAW|TBS|URC|
URC|HTY,|HTY|SAW|TBS|URC|
URC|KCM,|KCM|ESB|SAW|TBS|URC|
URC|KSY,|KSY|SAW|TBS|URC|
URC|MLX,|MLX|ESB|SAW|TBS|URC|
URC|MQM,|MQM|SAW|TBS|URC|
URC|MSR,|MSR|ESB|SAW|TBS|URC|
URC|TEQ,|TEQ|ESB|SAW|TBS|URC|
URC|TZX,|TZX|SAW|TBS|URC|
URC|VAN,|VAN|SAW|TBS|URC|
URC|ULN,|ULN|FRU|URC|
URC|HIJ,|HIJ|ICN|PEK|URC|
URC|VVO,|VVO|ICN|PEK|URC|
URC|ACC,|ACC|IST|URC|
URC|AER,|AER|IST|URC|
URC|AGP,|AGP|IST|URC|
URC|ALG,|ALG|IST|URC|
URC|AMM,|AMM|IST|URC|
URC|AQJ,|AQJ|IST|URC|
URC|ARN,|ARN|IST|URC|
URC|ASR,|ASR|SAW|TBS|URC|
URC|ATH,|ATH|IST|URC|
URC|BAH,|BAH|KWI|SAW|TBS|URC|
URC|BEG,|BEG|IST|URC|
URC|BEN,|BEN|IST|URC|
URC|BEY,|BEY|IST|URC|
URC|BHX,|BHX|IST|URC|
URC|BIO,|BIO|IST|URC|
URC|BLQ,|BLQ|IST|URC|
URC|BOM,|BOM|IST|URC|
URC|BRE,|BRE|IST|URC|
URC|BSL,|BSL|IST|URC|
URC|BSR,|BSR|IST|URC|
