UVF|BRU,|BRU|EWR|UVF|
UVF|OUA,|OUA|BRU|EWR|UVF|
UVF|JED,|JED|FRA|EWR|UVF|
UVF|CPH,|CPH|AMS|EWR|UVF|
UVF|YYZ,|YYZ|UVF|
UVF|DEN,|DEN|EWR|UVF|
UVF|YUL,|YUL|EWR|UVF|
UVF|NBO,|NBO|ZRH|EWR|UVF|
UVF|ICN,|ICN|JFK|IAD|EWR|UVF|
UVF|NRT,|NRT|EWR|UVF|
UVF|YHZ,|YHZ|EWR|UVF|
UVF|YOW,|YOW|EWR|UVF|
UVF|BJM,|BJM|BRU|EWR|UVF|
UVF|COO,|COO|BRU|EWR|UVF|
UVF|DKR,|DKR|IAD|EWR|UVF|
UVF|DLA,|DLA|BRU|EWR|UVF|
UVF|KGL,|KGL|BRU|EWR|UVF|
UVF|LAD,|LAD|BRU|EWR|UVF|
UVF|ABJ,|ABJ|BRU|EWR|UVF|
UVF|AMS,|AMS|EWR|UVF|
UVF|OSL,|OSL|EWR|UVF|
UVF|VNO,|VNO|CPH|AMS|EWR|UVF|
UVF|WAW,|WAW|CPH|AMS|EWR|UVF|
UVF|YYC,|YYC|YYZ|UVF|
UVF|ATL,|ATL|EWR|UVF|
UVF|MSY,|MSY|EWR|UVF|
UVF|YEG,|YEG|YYZ|UVF|
UVF|YMM,|YMM|YYZ|UVF|
UVF|YQR,|YQR|YYZ|UVF|
UVF|YVR,|YVR|YYZ|UVF|
UVF|YWG,|YWG|YYZ|UVF|
UVF|YXE,|YXE|YYZ|UVF|
UVF|CKY,|CKY|DKR|IAD|EWR|UVF|
UVF|FIH,|FIH|DLA|BRU|EWR|UVF|
UVF|SCL,|SCL|YYZ|UVF|
UVF|LCA,|LCA|FRA|EWR|UVF|
UVF|NAP,|NAP|FRA|EWR|UVF|
UVF|VLC,|VLC|FRA|EWR|UVF|
UVF|BKK,|BKK|CGO|PEK|EWR|UVF|
UVF|ADD,|ADD|JED|FRA|EWR|UVF|
UVF|FRA,|FRA|EWR|UVF|
UVF|IST,|IST|BHX|EWR|UVF|
UVF|EBB,|EBB|KGL|BRU|EWR|UVF|
UVF|YLW,|YLW|YYZ|UVF|
UVF|YYT,|YYT|EWR|UVF|
UVF|GUA,|GUA|EWR|UVF|
UVF|EWR,|EWR|UVF|
UVF|IAD,|IAD|EWR|UVF|
UVF|IAH,|IAH|EWR|UVF|
UVF|ORD,|ORD|EWR|UVF|
UVF|SOF,|SOF|MUC|EWR|UVF|
UVF|YQB,|YQB|EWR|UVF|
UVF|YXU,|YXU|YYZ|UVF|
UVF|EZE,|EZE|GRU|EWR|UVF|
UVF|YYJ,|YYJ|YYZ|UVF|
UVF|YYY,|YYY|YUL|EWR|UVF|
UVF|YQQ,|YQQ|YYC|YYZ|UVF|
UVF|YYR,|YYR|YHZ|EWR|UVF|
