VAS|BRU,|BRU|SAW|VAS|
VAS|OUA,|OUA|NIM|IST|VAS|
VAS|JED,|JED|IST|VAS|
VAS|CPH,|CPH|IST|VAS|
VAS|YYZ,|YYZ|VIE|SAW|VAS|
VAS|DEN,|DEN|FRA|SAW|VAS|
VAS|YUL,|YUL|FRA|SAW|VAS|
VAS|NBO,|NBO|IST|VAS|
VAS|ICN,|ICN|IST|VAS|
VAS|NRT,|NRT|IST|VAS|
VAS|YHZ,|YHZ|LHR|IST|VAS|
VAS|YOW,|YOW|FRA|SAW|VAS|
VAS|BJM,|BJM|BRU|SAW|VAS|
VAS|COO,|COO|BRU|SAW|VAS|
VAS|DKR,|DKR|BRU|SAW|VAS|
VAS|DLA,|DLA|IST|VAS|
VAS|KGL,|KGL|IST|VAS|
VAS|LAD,|LAD|BRU|SAW|VAS|
VAS|ABJ,|ABJ|OUA|NIM|IST|VAS|
VAS|AMS,|AMS|SAW|VAS|
VAS|OSL,|OSL|IST|VAS|
VAS|VNO,|VNO|IST|VAS|
VAS|WAW,|WAW|IST|VAS|
VAS|YYC,|YYC|FRA|SAW|VAS|
VAS|ATL,|ATL|FRA|SAW|VAS|
VAS|MSY,|MSY|IAD|FRA|SAW|VAS|
VAS|YEG,|YEG|LHR|IST|VAS|
VAS|YMM,|YMM|YEG|LHR|IST|VAS|
VAS|YQR,|YQR|YEG|LHR|IST|VAS|
VAS|YVR,|YVR|MUC|SAW|VAS|
VAS|YWG,|YWG|YUL|FRA|SAW|VAS|
VAS|YXE,|YXE|YEG|LHR|IST|VAS|
VAS|CKY,|CKY|DKR|BRU|SAW|VAS|
VAS|FIH,|FIH|IST|VAS|
VAS|SCL,|SCL|EZE|GRU|IST|VAS|
VAS|LCA,|LCA|FRA|SAW|VAS|
VAS|NAP,|NAP|IST|VAS|
VAS|VLC,|VLC|IST|VAS|
VAS|BKK,|BKK|IST|VAS|
VAS|ADD,|ADD|IST|VAS|
VAS|FRA,|FRA|SAW|VAS|
VAS|IST,|IST|VAS|
VAS|EBB,|EBB|KGL|IST|VAS|
VAS|YLW,|YLW|YYC|FRA|SAW|VAS|
VAS|YYT,|YYT|LHR|IST|VAS|
VAS|GUA,|GUA|MIA|ZRH|IST|VAS|
VAS|EWR,|EWR|FRA|SAW|VAS|
VAS|IAD,|IAD|FRA|SAW|VAS|
VAS|IAH,|IAH|YYZ|VIE|SAW|VAS|
VAS|ORD,|ORD|VIE|SAW|VAS|
VAS|SOF,|SOF|IST|VAS|
VAS|YQB,|YQB|YUL|FRA|SAW|VAS|
VAS|YXU,|YXU|YYZ|VIE|SAW|VAS|
VAS|EZE,|EZE|GRU|IST|VAS|
VAS|YYJ,|YYJ|YVR|MUC|SAW|VAS|
VAS|YYY,|YYY|YUL|FRA|SAW|VAS|
VAS|YQQ,|YQQ|YBL|YVR|MUC|SAW|VAS|
VAS|YYR,|YYR|YYT|LHR|IST|VAS|
VAS|LHR,|LHR|IST|VAS|
VAS|SFO,|SFO|MUC|SAW|VAS|
