VKO|BRU,|BRU|IST|VKO|
VKO|OUA,|OUA|NIM|IST|VKO|
VKO|JED,|JED|IST|VKO|
VKO|CPH,|CPH|IST|VKO|
VKO|YYZ,|YYZ|IST|VKO|
VKO|DEN,|DEN|FRA|IST|VKO|
VKO|YUL,|YUL|FRA|IST|VKO|
VKO|NBO,|NBO|IST|VKO|
VKO|ICN,|ICN|IST|VKO|
VKO|NRT,|NRT|IST|VKO|
VKO|YHZ,|YHZ|LHR|IST|VKO|
VKO|YOW,|YOW|FRA|IST|VKO|
VKO|BJM,|BJM|BRU|IST|VKO|
VKO|COO,|COO|BRU|IST|VKO|
VKO|DKR,|DKR|BRU|IST|VKO|
VKO|DLA,|DLA|IST|VKO|
VKO|KGL,|KGL|IST|VKO|
VKO|LAD,|LAD|BRU|IST|VKO|
VKO|ABJ,|ABJ|OUA|NIM|IST|VKO|
VKO|AMS,|AMS|IST|VKO|
VKO|OSL,|OSL|IST|VKO|
VKO|VNO,|VNO|IST|VKO|
VKO|WAW,|WAW|IST|VKO|
VKO|YYC,|YYC|FRA|IST|VKO|
VKO|ATL,|ATL|FRA|IST|VKO|
VKO|MSY,|MSY|IAD|IST|VKO|
VKO|YEG,|YEG|LHR|IST|VKO|
VKO|YMM,|YMM|YEG|LHR|IST|VKO|
VKO|YQR,|YQR|YEG|LHR|IST|VKO|
VKO|YVR,|YVR|MUC|IST|VKO|
VKO|YWG,|YWG|YUL|FRA|IST|VKO|
VKO|YXE,|YXE|YEG|LHR|IST|VKO|
VKO|CKY,|CKY|DKR|BRU|IST|VKO|
VKO|FIH,|FIH|IST|VKO|
VKO|SCL,|SCL|EZE|GRU|IST|VKO|
VKO|LCA,|LCA|FRA|IST|VKO|
VKO|NAP,|NAP|IST|VKO|
VKO|VLC,|VLC|IST|VKO|
VKO|BKK,|BKK|IST|VKO|
VKO|ADD,|ADD|IST|VKO|
VKO|FRA,|FRA|IST|VKO|
VKO|IST,|IST|VKO|
VKO|EBB,|EBB|KGL|IST|VKO|
VKO|YLW,|YLW|YYC|FRA|IST|VKO|
VKO|YYT,|YYT|LHR|IST|VKO|
VKO|GUA,|GUA|MIA|ZRH|IST|VKO|
VKO|EWR,|EWR|BHX|IST|VKO|
VKO|IAD,|IAD|IST|VKO|
VKO|IAH,|IAH|IST|VKO|
VKO|ORD,|ORD|IST|VKO|
VKO|SOF,|SOF|IST|VKO|
VKO|YQB,|YQB|YUL|FRA|IST|VKO|
VKO|YXU,|YXU|YYZ|IST|VKO|
VKO|EZE,|EZE|GRU|IST|VKO|
VKO|YYJ,|YYJ|YVR|MUC|IST|VKO|
VKO|YYY,|YYY|YUL|FRA|IST|VKO|
VKO|YQQ,|YQQ|YBL|YVR|MUC|IST|VKO|
VKO|YYR,|YYR|YYT|LHR|IST|VKO|
VKO|LHR,|LHR|IST|VKO|
VKO|SFO,|SFO|MUC|IST|VKO|
VKO|YQU,|YQU|YEG|LHR|IST|VKO|
VKO|YZF,|YZF|YEG|LHR|IST|VKO|
VKO|YGR,|YGR|YGP|YQB|YUL|FRA|IST|VKO|
VKO|YGP,|YGP|YQB|YUL|FRA|IST|VKO|
VKO|BOS,|BOS|FRA|IST|VKO|
VKO|YDF,|YDF|YYT|LHR|IST|VKO|
VKO|YFC,|YFC|YHZ|LHR|IST|VKO|
VKO|YQM,|YQM|YHZ|LHR|IST|VKO|
VKO|YQX,|YQX|YYT|LHR|IST|VKO|
VKO|YQY,|YQY|YHZ|LHR|IST|VKO|
