VNO|BRU,|BRU|IST|VNO|
VNO|OUA,|OUA|NIM|IST|VNO|
VNO|JED,|JED|IST|VNO|
VNO|CPH,|CPH|VNO|
VNO|YYZ,|YYZ|CPH|VNO|
VNO|DEN,|DEN|YYZ|CPH|VNO|
VNO|YUL,|YUL|FRA|VNO|
VNO|NBO,|NBO|IST|VNO|
VNO|ICN,|ICN|IST|VNO|
VNO|NRT,|NRT|IST|VNO|
VNO|YHZ,|YHZ|BOS|FRA|VNO|
VNO|YOW,|YOW|FRA|VNO|
VNO|BJM,|BJM|BRU|IST|VNO|
VNO|COO,|COO|BRU|IST|VNO|
VNO|DKR,|DKR|BRU|IST|VNO|
VNO|DLA,|DLA|IST|VNO|
VNO|KGL,|KGL|IST|VNO|
VNO|LAD,|LAD|BRU|IST|VNO|
VNO|ABJ,|ABJ|OUA|NIM|IST|VNO|
VNO|AMS,|AMS|CPH|VNO|
VNO|OSL,|OSL|CPH|VNO|
VNO|WAW,|WAW|CPH|VNO|
VNO|YYC,|YYC|FRA|VNO|
VNO|ATL,|ATL|YYZ|CPH|VNO|
VNO|MSY,|MSY|YYZ|CPH|VNO|
VNO|YEG,|YEG|YYC|FRA|VNO|
VNO|YMM,|YMM|YYC|FRA|VNO|
VNO|YQR,|YQR|YYZ|CPH|VNO|
VNO|YVR,|YVR|FRA|VNO|
VNO|YWG,|YWG|YYZ|CPH|VNO|
VNO|YXE,|YXE|YYC|FRA|VNO|
VNO|CKY,|CKY|DKR|BRU|IST|VNO|
VNO|FIH,|FIH|IST|VNO|
VNO|SCL,|SCL|EZE|GRU|IST|VNO|
VNO|LCA,|LCA|FRA|VNO|
VNO|NAP,|NAP|FRA|VNO|
VNO|VLC,|VLC|FRA|VNO|
VNO|BKK,|BKK|IST|VNO|
VNO|ADD,|ADD|IST|VNO|
VNO|FRA,|FRA|VNO|
VNO|IST,|IST|VNO|
VNO|EBB,|EBB|KGL|IST|VNO|
VNO|YLW,|YLW|YYC|FRA|VNO|
VNO|YYT,|YYT|LHR|IST|VNO|
VNO|GUA,|GUA|EWR|OSL|CPH|VNO|
VNO|EWR,|EWR|OSL|CPH|VNO|
VNO|IAD,|IAD|EWR|OSL|CPH|VNO|
VNO|IAH,|IAH|YYZ|CPH|VNO|
VNO|ORD,|ORD|YYZ|CPH|VNO|
VNO|SOF,|SOF|IST|VNO|
VNO|YQB,|YQB|YUL|FRA|VNO|
VNO|YXU,|YXU|YYZ|CPH|VNO|
VNO|EZE,|EZE|GRU|IST|VNO|
VNO|YYJ,|YYJ|YVR|FRA|VNO|
VNO|YYY,|YYY|YUL|FRA|VNO|
VNO|YQQ,|YQQ|YBL|YVR|FRA|VNO|
VNO|YYR,|YYR|YWK|YZV|YUL|FRA|VNO|
VNO|LHR,|LHR|IST|VNO|
VNO|SFO,|SFO|FRA|VNO|
VNO|YQU,|YQU|YYC|FRA|VNO|
VNO|YZF,|YZF|YYC|FRA|VNO|
VNO|YGR,|YGR|YGP|YQB|YUL|FRA|VNO|
VNO|YGP,|YGP|YQB|YUL|FRA|VNO|
VNO|BOS,|BOS|FRA|VNO|
VNO|YDF,|YDF|YYT|LHR|IST|VNO|
VNO|YFC,|YFC|YUL|FRA|VNO|
VNO|YQM,|YQM|YUL|FRA|VNO|
VNO|YQX,|YQX|YYT|LHR|IST|VNO|
VNO|YQY,|YQY|YHZ|BOS|FRA|VNO|
VNO|YSJ,|YSJ|YUL|FRA|VNO|
VNO|YYG,|YYG|YUL|FRA|VNO|
VNO|LAX,|LAX|FRA|VNO|
VNO|DCA,|DCA|EWR|OSL|CPH|VNO|
VNO|LGA,|LGA|YUL|FRA|VNO|
VNO|YZV,|YZV|YUL|FRA|VNO|
VNO|YWL,|YWL|YVR|FRA|VNO|
VNO|AZS,|AZS|YYZ|CPH|VNO|
VNO|BDL,|BDL|YUL|FRA|VNO|
VNO|CCC,|CCC|YYZ|CPH|VNO|
VNO|CDG,|CDG|IST|VNO|
VNO|CUN,|CUN|YYZ|CPH|VNO|
VNO|CZM,|CZM|YUL|FRA|VNO|
VNO|FDF,|FDF|YUL|FRA|VNO|
VNO|FLL,|FLL|EWR|OSL|CPH|VNO|
VNO|GVA,|GVA|IST|VNO|
VNO|HOG,|HOG|YYZ|CPH|VNO|
VNO|LAS,|LAS|YYZ|CPH|VNO|
VNO|MBJ,|MBJ|EWR|OSL|CPH|VNO|
VNO|MCO,|MCO|EWR|OSL|CPH|VNO|
VNO|MUC,|MUC|IST|VNO|
VNO|PAP,|PAP|YUL|FRA|VNO|
VNO|PTP,|PTP|YUL|FRA|VNO|
VNO|PUJ,|PUJ|EWR|OSL|CPH|VNO|
VNO|SNU,|SNU|YYZ|CPH|VNO|
VNO|VRA,|VRA|YYZ|CPH|VNO|
VNO|YBC,|YBC|YUL|FRA|VNO|
VNO|YBG,|YBG|YUL|FRA|VNO|
VNO|YTZ,|YTZ|YUL|FRA|VNO|
VNO|YUY,|YUY|YUL|FRA|VNO|
VNO|YVO,|YVO|YUL|FRA|VNO|
VNO|ZBF,|ZBF|YUL|FRA|VNO|
VNO|ZRH,|ZRH|IST|VNO|
VNO|ZSA,|ZSA|YUL|FRA|VNO|
VNO|AKL,|AKL|BKK|IST|VNO|
VNO|HKG,|HKG|IST|VNO|
VNO|HND,|HND|YVR|FRA|VNO|
VNO|HNL,|HNL|YVR|FRA|VNO|
VNO|MEX,|MEX|YYZ|CPH|VNO|
VNO|OGG,|OGG|YVR|FRA|VNO|
VNO|PDX,|PDX|SEA|FRA|VNO|
VNO|PEK,|PEK|IST|VNO|
VNO|PVG,|PVG|IST|VNO|
VNO|PVR,|PVR|IAH|YYZ|CPH|VNO|
VNO|SEA,|SEA|FRA|VNO|
VNO|SYD,|SYD|BKK|IST|VNO|
VNO|YBL,|YBL|YVR|FRA|VNO|
VNO|YCD,|YCD|YVR|FRA|VNO|
VNO|YCG,|YCG|YYC|FRA|VNO|
VNO|YKA,|YKA|YYC|FRA|VNO|
VNO|YPR,|YPR|YVR|FRA|VNO|
VNO|YQZ,|YQZ|YVR|FRA|VNO|
VNO|YXC,|YXC|YYC|FRA|VNO|
VNO|YXJ,|YXJ|YYC|FRA|VNO|
VNO|YXS,|YXS|YYC|FRA|VNO|
VNO|YXT,|YXT|YVR|FRA|VNO|
VNO|YXY,|YXY|YVR|FRA|VNO|
VNO|YYD,|YYD|YVR|FRA|VNO|
VNO|YYF,|YYF|YVR|FRA|VNO|
VNO|YZP,|YZP|YVR|FRA|VNO|
VNO|YQT,|YQT|YYZ|CPH|VNO|
VNO|SJD,|SJD|ORD|YYZ|CPH|VNO|
VNO|YQF,|YQF|YYC|FRA|VNO|
VNO|YQL,|YQL|YYC|FRA|VNO|
VNO|YXH,|YXH|YYC|FRA|VNO|
VNO|YWK,|YWK|YZV|YUL|FRA|VNO|
VNO|ANU,|ANU|EWR|OSL|CPH|VNO|
VNO|AUA,|AUA|EWR|OSL|CPH|VNO|
VNO|AUH,|AUH|IST|VNO|
VNO|BCN,|BCN|IST|VNO|
VNO|BDA,|BDA|EWR|OSL|CPH|VNO|
VNO|BGI,|BGI|YYZ|CPH|VNO|
VNO|BNA,|BNA|YYZ|CPH|VNO|
VNO|BOG,|BOG|EWR|OSL|CPH|VNO|
VNO|BWI,|BWI|EWR|OSL|CPH|VNO|
VNO|CLE,|CLE|YYZ|CPH|VNO|
VNO|CLT,|CLT|YYZ|CPH|VNO|
VNO|CMH,|CMH|YYZ|CPH|VNO|
VNO|CVG,|CVG|YYZ|CPH|VNO|
VNO|DFW,|DFW|YYZ|CPH|VNO|
VNO|DTW,|DTW|YYZ|CPH|VNO|
VNO|DUB,|DUB|IST|VNO|
VNO|FCO,|FCO|IST|VNO|
VNO|GCM,|GCM|EWR|OSL|CPH|VNO|
VNO|GGT,|GGT|YYZ|CPH|VNO|
VNO|GND,|GND|YYZ|CPH|VNO|
VNO|GRU,|GRU|IST|VNO|
VNO|HAV,|HAV|YYZ|CPH|VNO|
VNO|IND,|IND|YYZ|CPH|VNO|
VNO|JFK,|JFK|FRA|VNO|
VNO|KIN,|KIN|YYZ|CPH|VNO|
VNO|LIM,|LIM|EWR|OSL|CPH|VNO|
VNO|LIR,|LIR|EWR|OSL|CPH|VNO|
VNO|MCI,|MCI|YYZ|CPH|VNO|
VNO|MDT,|MDT|YYZ|CPH|VNO|
VNO|MIA,|MIA|FRA|VNO|
VNO|MKE,|MKE|YYZ|CPH|VNO|
VNO|MSP,|MSP|YYZ|CPH|VNO|
VNO|NAS,|NAS|EWR|OSL|CPH|VNO|
VNO|PHL,|PHL|YYZ|CPH|VNO|
VNO|PHX,|PHX|YYZ|CPH|VNO|
VNO|PIT,|PIT|YYZ|CPH|VNO|
VNO|PLS,|PLS|EWR|OSL|CPH|VNO|
VNO|POP,|POP|EWR|OSL|CPH|VNO|
VNO|RDU,|RDU|EWR|OSL|CPH|VNO|
VNO|ROC,|ROC|YYZ|CPH|VNO|
VNO|RSW,|RSW|EWR|OSL|CPH|VNO|
VNO|SAN,|SAN|YYZ|CPH|VNO|
VNO|SJO,|SJO|EWR|OSL|CPH|VNO|
VNO|STL,|STL|YYZ|CPH|VNO|
VNO|SYR,|SYR|YYZ|CPH|VNO|
VNO|TLV,|TLV|IST|VNO|
VNO|TPA,|TPA|YYZ|CPH|VNO|
VNO|UVF,|UVF|EWR|OSL|CPH|VNO|
VNO|VIE,|VIE|IST|VNO|
VNO|YAM,|YAM|YYZ|CPH|VNO|
VNO|YGK,|YGK|YYZ|CPH|VNO|
VNO|YQG,|YQG|YYZ|CPH|VNO|
VNO|YSB,|YSB|YYZ|CPH|VNO|
VNO|YTS,|YTS|YYZ|CPH|VNO|
VNO|YYB,|YYB|YYZ|CPH|VNO|
VNO|YZR,|YZR|YYZ|CPH|VNO|
VNO|CAN,|CAN|IST|VNO|
VNO|URC,|URC|IST|VNO|
VNO|CTU,|CTU|URC|IST|VNO|
VNO|HGH,|HGH|URC|IST|VNO|
VNO|XMN,|XMN|CSX|URC|IST|VNO|
VNO|CGO,|CGO|URC|IST|VNO|
VNO|CSX,|CSX|URC|IST|VNO|
VNO|SHE,|SHE|PEK|IST|VNO|
VNO|SJW,|SJW|URC|IST|VNO|
VNO|WUH,|WUH|URC|IST|VNO|
VNO|SZX,|SZX|CKG|URC|IST|VNO|
VNO|CKG,|CKG|URC|IST|VNO|
VNO|KMG,|KMG|CTU|URC|IST|VNO|
VNO|FOC,|FOC|XIY|URC|IST|VNO|
VNO|NNG,|NNG|KWE|URC|IST|VNO|
VNO|SWA,|SWA|CAN|IST|VNO|
VNO|ACX,|ACX|CAN|IST|VNO|
VNO|AQG,|AQG|CAN|IST|VNO|
VNO|AVA,|AVA|CAN|IST|VNO|
VNO|BFJ,|BFJ|CAN|IST|VNO|
VNO|BHY,|BHY|CKG|URC|IST|VNO|
VNO|BNE,|BNE|BKK|IST|VNO|
VNO|CGD,|CGD|PEK|IST|VNO|
VNO|CGK,|CGK|SIN|IST|VNO|
VNO|CGQ,|CGQ|HET|URC|IST|VNO|
