WAW|BRU,|BRU|IST|WAW|
WAW|OUA,|OUA|NIM|IST|WAW|
WAW|JED,|JED|IST|WAW|
WAW|CPH,|CPH|WAW|
WAW|YYZ,|YYZ|WAW|
WAW|DEN,|DEN|YYZ|WAW|
WAW|YUL,|YUL|YYZ|WAW|
WAW|NBO,|NBO|IST|WAW|
WAW|ICN,|ICN|IST|WAW|
WAW|NRT,|NRT|IST|WAW|
WAW|YHZ,|YHZ|EWR|OSL|CPH|WAW|
WAW|YOW,|YOW|YYZ|WAW|
WAW|BJM,|BJM|BRU|IST|WAW|
WAW|COO,|COO|BRU|IST|WAW|
WAW|DKR,|DKR|BRU|IST|WAW|
WAW|DLA,|DLA|IST|WAW|
WAW|KGL,|KGL|IST|WAW|
WAW|LAD,|LAD|BRU|IST|WAW|
WAW|ABJ,|ABJ|OUA|NIM|IST|WAW|
WAW|AMS,|AMS|CPH|WAW|
WAW|OSL,|OSL|CPH|WAW|
WAW|VNO,|VNO|CPH|WAW|
WAW|YYC,|YYC|YYZ|WAW|
WAW|ATL,|ATL|YYZ|WAW|
WAW|MSY,|MSY|YYZ|WAW|
WAW|YEG,|YEG|YYZ|WAW|
WAW|YMM,|YMM|YYZ|WAW|
WAW|YQR,|YQR|YYZ|WAW|
WAW|YVR,|YVR|YYZ|WAW|
WAW|YWG,|YWG|YYZ|WAW|
WAW|YXE,|YXE|YYZ|WAW|
WAW|CKY,|CKY|DKR|BRU|IST|WAW|
WAW|FIH,|FIH|IST|WAW|
WAW|SCL,|SCL|EZE|GRU|IST|WAW|
WAW|LCA,|LCA|FRA|VNO|CPH|WAW|
WAW|NAP,|NAP|IST|WAW|
WAW|VLC,|VLC|IST|WAW|
WAW|BKK,|BKK|IST|WAW|
WAW|ADD,|ADD|IST|WAW|
WAW|FRA,|FRA|VNO|CPH|WAW|
WAW|IST,|IST|WAW|
WAW|EBB,|EBB|KGL|IST|WAW|
WAW|YLW,|YLW|YYZ|WAW|
WAW|YYT,|YYT|LHR|IST|WAW|
WAW|GUA,|GUA|EWR|OSL|CPH|WAW|
WAW|EWR,|EWR|OSL|CPH|WAW|
WAW|IAD,|IAD|EWR|OSL|CPH|WAW|
WAW|IAH,|IAH|YYZ|WAW|
WAW|ORD,|ORD|YYZ|WAW|
WAW|SOF,|SOF|IST|WAW|
WAW|YQB,|YQB|YYZ|WAW|
WAW|YXU,|YXU|YYZ|WAW|
WAW|EZE,|EZE|GRU|IST|WAW|
WAW|YYJ,|YYJ|YYZ|WAW|
WAW|YYY,|YYY|YUL|YYZ|WAW|
WAW|YQQ,|YQQ|YYC|YYZ|WAW|
WAW|YYR,|YYR|YYT|LHR|IST|WAW|
WAW|LHR,|LHR|IST|WAW|
WAW|SFO,|SFO|YYZ|WAW|
WAW|YQU,|YQU|YEG|YYZ|WAW|
WAW|YZF,|YZF|YEG|YYZ|WAW|
WAW|YGR,|YGR|YGP|YQB|YYZ|WAW|
WAW|YGP,|YGP|YQB|YYZ|WAW|
WAW|BOS,|BOS|EWR|OSL|CPH|WAW|
WAW|YDF,|YDF|YYT|LHR|IST|WAW|
WAW|YFC,|YFC|YYZ|WAW|
WAW|YQM,|YQM|EWR|OSL|CPH|WAW|
WAW|YQX,|YQX|YYT|LHR|IST|WAW|
WAW|YQY,|YQY|YHZ|EWR|OSL|CPH|WAW|
WAW|YSJ,|YSJ|YYZ|WAW|
WAW|YYG,|YYG|YHZ|EWR|OSL|CPH|WAW|
WAW|LAX,|LAX|YYZ|WAW|
WAW|DCA,|DCA|EWR|OSL|CPH|WAW|
WAW|LGA,|LGA|YYZ|WAW|
WAW|YZV,|YZV|YQB|YYZ|WAW|
WAW|YWL,|YWL|YVR|YYZ|WAW|
WAW|AZS,|AZS|YYZ|WAW|
WAW|BDL,|BDL|YYZ|WAW|
WAW|CCC,|CCC|YYZ|WAW|
WAW|CDG,|CDG|IST|WAW|
WAW|CUN,|CUN|YYZ|WAW|
WAW|CZM,|CZM|IAH|YYZ|WAW|
WAW|FDF,|FDF|YUL|YYZ|WAW|
WAW|FLL,|FLL|EWR|OSL|CPH|WAW|
WAW|GVA,|GVA|IST|WAW|
WAW|HOG,|HOG|YYZ|WAW|
WAW|LAS,|LAS|YYZ|WAW|
WAW|MBJ,|MBJ|EWR|OSL|CPH|WAW|
WAW|MCO,|MCO|EWR|OSL|CPH|WAW|
WAW|MUC,|MUC|IST|WAW|
WAW|PAP,|PAP|YUL|YYZ|WAW|
WAW|PTP,|PTP|YUL|YYZ|WAW|
WAW|PUJ,|PUJ|EWR|OSL|CPH|WAW|
WAW|SNU,|SNU|YYZ|WAW|
WAW|VRA,|VRA|YYZ|WAW|
WAW|YBC,|YBC|YUL|YYZ|WAW|
WAW|YBG,|YBG|YUL|YYZ|WAW|
WAW|YTZ,|YTZ|YUL|YYZ|WAW|
WAW|YUY,|YUY|YUL|YYZ|WAW|
WAW|YVO,|YVO|YUL|YYZ|WAW|
WAW|ZBF,|ZBF|YUL|YYZ|WAW|
WAW|ZRH,|ZRH|IST|WAW|
WAW|ZSA,|ZSA|YUL|YYZ|WAW|
WAW|AKL,|AKL|BKK|IST|WAW|
WAW|HKG,|HKG|IST|WAW|
WAW|HND,|HND|YVR|YYZ|WAW|
WAW|HNL,|HNL|SFO|YYZ|WAW|
WAW|MEX,|MEX|YYZ|WAW|
WAW|OGG,|OGG|SFO|YYZ|WAW|
WAW|PDX,|PDX|ORD|YYZ|WAW|
WAW|PEK,|PEK|IST|WAW|
WAW|PVG,|PVG|IST|WAW|
WAW|PVR,|PVR|IAH|YYZ|WAW|
WAW|SEA,|SEA|YYZ|WAW|
WAW|SYD,|SYD|BKK|IST|WAW|
WAW|YBL,|YBL|YVR|YYZ|WAW|
WAW|YCD,|YCD|YVR|YYZ|WAW|
WAW|YCG,|YCG|YYC|YYZ|WAW|
WAW|YKA,|YKA|YYC|YYZ|WAW|
WAW|YPR,|YPR|YVR|YYZ|WAW|
WAW|YQZ,|YQZ|YVR|YYZ|WAW|
WAW|YXC,|YXC|YYC|YYZ|WAW|
WAW|YXJ,|YXJ|YYC|YYZ|WAW|
WAW|YXS,|YXS|YYC|YYZ|WAW|
WAW|YXT,|YXT|YVR|YYZ|WAW|
WAW|YXY,|YXY|YVR|YYZ|WAW|
WAW|YYD,|YYD|YVR|YYZ|WAW|
