WNZ|BRU,|BRU|IST|URC|XIY|WNZ|
WNZ|OUA,|OUA|NIM|IST|URC|XIY|WNZ|
WNZ|JED,|JED|IST|URC|XIY|WNZ|
WNZ|CPH,|CPH|AMS|PEK|CGO|WNZ|
WNZ|YYZ,|YYZ|PEK|CGO|WNZ|
WNZ|DEN,|DEN|YVR|PEK|CGO|WNZ|
WNZ|YUL,|YUL|YYZ|PEK|CGO|WNZ|
WNZ|NBO,|NBO|CAN|WNZ|
WNZ|ICN,|ICN|WUH|WNZ|
WNZ|NRT,|NRT|ICN|WUH|WNZ|
WNZ|YHZ,|YHZ|YYZ|PEK|CGO|WNZ|
WNZ|YOW,|YOW|YYZ|PEK|CGO|WNZ|
WNZ|BJM,|BJM|BRU|IST|URC|XIY|WNZ|
WNZ|COO,|COO|BRU|IST|URC|XIY|WNZ|
WNZ|DKR,|DKR|BRU|IST|URC|XIY|WNZ|
WNZ|DLA,|DLA|IST|URC|XIY|WNZ|
WNZ|KGL,|KGL|IST|URC|XIY|WNZ|
WNZ|LAD,|LAD|BRU|IST|URC|XIY|WNZ|
WNZ|ABJ,|ABJ|OUA|NIM|IST|URC|XIY|WNZ|
WNZ|AMS,|AMS|PEK|CGO|WNZ|
WNZ|OSL,|OSL|CPH|AMS|PEK|CGO|WNZ|
WNZ|VNO,|VNO|IST|URC|XIY|WNZ|
WNZ|WAW,|WAW|IST|URC|XIY|WNZ|
WNZ|YYC,|YYC|YVR|PEK|CGO|WNZ|
WNZ|ATL,|ATL|ORD|PEK|CGO|WNZ|
WNZ|MSY,|MSY|ORD|PEK|CGO|WNZ|
WNZ|YEG,|YEG|YVR|PEK|CGO|WNZ|
WNZ|YMM,|YMM|YVR|PEK|CGO|WNZ|
WNZ|YQR,|YQR|YVR|PEK|CGO|WNZ|
WNZ|YVR,|YVR|PEK|CGO|WNZ|
WNZ|YWG,|YWG|YVR|PEK|CGO|WNZ|
WNZ|YXE,|YXE|YVR|PEK|CGO|WNZ|
WNZ|CKY,|CKY|DKR|BRU|IST|URC|XIY|WNZ|
WNZ|FIH,|FIH|IST|URC|XIY|WNZ|
WNZ|SCL,|SCL|YYZ|PEK|CGO|WNZ|
WNZ|LCA,|LCA|FRA|TSE|URC|XIY|WNZ|
WNZ|NAP,|NAP|IST|URC|XIY|WNZ|
WNZ|VLC,|VLC|FRA|TSE|URC|XIY|WNZ|
WNZ|BKK,|BKK|CAN|WNZ|
WNZ|ADD,|ADD|IST|URC|XIY|WNZ|
WNZ|FRA,|FRA|TSE|URC|XIY|WNZ|
WNZ|IST,|IST|URC|XIY|WNZ|
WNZ|EBB,|EBB|KGL|IST|URC|XIY|WNZ|
WNZ|YLW,|YLW|YVR|PEK|CGO|WNZ|
WNZ|YYT,|YYT|LHR|CAN|WNZ|
WNZ|GUA,|GUA|IAH|PEK|CGO|WNZ|
WNZ|EWR,|EWR|PEK|CGO|WNZ|
WNZ|IAD,|IAD|PEK|CGO|WNZ|
WNZ|IAH,|IAH|PEK|CGO|WNZ|
WNZ|ORD,|ORD|PEK|CGO|WNZ|
WNZ|SOF,|SOF|IST|URC|XIY|WNZ|
WNZ|YQB,|YQB|YYZ|PEK|CGO|WNZ|
WNZ|YXU,|YXU|YYZ|PEK|CGO|WNZ|
WNZ|EZE,|EZE|GRU|IST|URC|XIY|WNZ|
WNZ|YYJ,|YYJ|YVR|PEK|CGO|WNZ|
WNZ|YYY,|YYY|YUL|YYZ|PEK|CGO|WNZ|
WNZ|YQQ,|YQQ|YBL|YVR|PEK|CGO|WNZ|
WNZ|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CGO|WNZ|
WNZ|LHR,|LHR|CAN|WNZ|
WNZ|SFO,|SFO|PEK|CGO|WNZ|
WNZ|YQU,|YQU|YEG|YVR|PEK|CGO|WNZ|
WNZ|YZF,|YZF|YEG|YVR|PEK|CGO|WNZ|
WNZ|YGR,|YGR|YGP|YQB|YYZ|PEK|CGO|WNZ|
WNZ|YGP,|YGP|YQB|YYZ|PEK|CGO|WNZ|
WNZ|BOS,|BOS|YYZ|PEK|CGO|WNZ|
WNZ|YDF,|YDF|YYZ|PEK|CGO|WNZ|
WNZ|YFC,|YFC|YYZ|PEK|CGO|WNZ|
WNZ|YQM,|YQM|YYZ|PEK|CGO|WNZ|
WNZ|YQX,|YQX|YYT|LHR|CAN|WNZ|
WNZ|YQY,|YQY|YYZ|PEK|CGO|WNZ|
WNZ|YSJ,|YSJ|YYZ|PEK|CGO|WNZ|
WNZ|YYG,|YYG|YYZ|PEK|CGO|WNZ|
WNZ|LAX,|LAX|ICN|WUH|WNZ|
WNZ|DCA,|DCA|YYZ|PEK|CGO|WNZ|
WNZ|LGA,|LGA|YYZ|PEK|CGO|WNZ|
WNZ|YZV,|YZV|YQB|YYZ|PEK|CGO|WNZ|
WNZ|YWL,|YWL|YVR|PEK|CGO|WNZ|
WNZ|AZS,|AZS|YYZ|PEK|CGO|WNZ|
WNZ|BDL,|BDL|YYZ|PEK|CGO|WNZ|
WNZ|CCC,|CCC|YYZ|PEK|CGO|WNZ|
WNZ|CDG,|CDG|CAN|WNZ|
WNZ|CUN,|CUN|IAH|PEK|CGO|WNZ|
WNZ|CZM,|CZM|IAH|PEK|CGO|WNZ|
WNZ|FDF,|FDF|YUL|YYZ|PEK|CGO|WNZ|
WNZ|FLL,|FLL|ORD|PEK|CGO|WNZ|
WNZ|GVA,|GVA|IST|URC|XIY|WNZ|
WNZ|HOG,|HOG|YYZ|PEK|CGO|WNZ|
WNZ|LAS,|LAS|SEA|PEK|CGO|WNZ|
WNZ|MBJ,|MBJ|ATL|ORD|PEK|CGO|WNZ|
WNZ|MCO,|MCO|ORD|PEK|CGO|WNZ|
WNZ|MUC,|MUC|IST|URC|XIY|WNZ|
WNZ|PAP,|PAP|YUL|YYZ|PEK|CGO|WNZ|
WNZ|PTP,|PTP|YUL|YYZ|PEK|CGO|WNZ|
WNZ|PUJ,|PUJ|EWR|PEK|CGO|WNZ|
WNZ|SNU,|SNU|YYZ|PEK|CGO|WNZ|
WNZ|VRA,|VRA|YYZ|PEK|CGO|WNZ|
WNZ|YBC,|YBC|YUL|YYZ|PEK|CGO|WNZ|
WNZ|YBG,|YBG|YUL|YYZ|PEK|CGO|WNZ|
WNZ|YTZ,|YTZ|YUL|YYZ|PEK|CGO|WNZ|
WNZ|YUY,|YUY|YUL|YYZ|PEK|CGO|WNZ|
WNZ|YVO,|YVO|YUL|YYZ|PEK|CGO|WNZ|
WNZ|ZBF,|ZBF|YUL|YYZ|PEK|CGO|WNZ|
WNZ|ZRH,|ZRH|IST|URC|XIY|WNZ|
WNZ|ZSA,|ZSA|YUL|YYZ|PEK|CGO|WNZ|
WNZ|AKL,|AKL|CAN|WNZ|
WNZ|HKG,|HKG|CAN|WNZ|
