WRL|BRU,|BRU|ORD|DEN|CYS|WRL|
WRL|OUA,|OUA|BRU|ORD|DEN|CYS|WRL|
WRL|JED,|JED|FRA|DEN|CYS|WRL|
WRL|CPH,|CPH|YYZ|DEN|CYS|WRL|
WRL|YYZ,|YYZ|DEN|CYS|WRL|
WRL|DEN,|DEN|CYS|WRL|
WRL|YUL,|YUL|DEN|CYS|WRL|
WRL|NBO,|NBO|ZRH|ORD|DEN|CYS|WRL|
WRL|ICN,|ICN|YVR|DEN|CYS|WRL|
WRL|NRT,|NRT|DEN|CYS|WRL|
WRL|YHZ,|YHZ|YUL|DEN|CYS|WRL|
WRL|YOW,|YOW|YYZ|DEN|CYS|WRL|
WRL|BJM,|BJM|BRU|ORD|DEN|CYS|WRL|
WRL|COO,|COO|BRU|ORD|DEN|CYS|WRL|
WRL|DKR,|DKR|IAD|DEN|CYS|WRL|
WRL|DLA,|DLA|BRU|ORD|DEN|CYS|WRL|
WRL|KGL,|KGL|BRU|ORD|DEN|CYS|WRL|
WRL|LAD,|LAD|BRU|ORD|DEN|CYS|WRL|
WRL|ABJ,|ABJ|BRU|ORD|DEN|CYS|WRL|
WRL|AMS,|AMS|ORD|DEN|CYS|WRL|
WRL|OSL,|OSL|EWR|DEN|CYS|WRL|
WRL|VNO,|VNO|CPH|YYZ|DEN|CYS|WRL|
WRL|WAW,|WAW|YYZ|DEN|CYS|WRL|
WRL|YYC,|YYC|DEN|CYS|WRL|
WRL|ATL,|ATL|DEN|CYS|WRL|
WRL|MSY,|MSY|DEN|CYS|WRL|
WRL|YEG,|YEG|DEN|CYS|WRL|
WRL|YMM,|YMM|DEN|CYS|WRL|
WRL|YQR,|YQR|DEN|CYS|WRL|
WRL|YVR,|YVR|DEN|CYS|WRL|
WRL|YWG,|YWG|DEN|CYS|WRL|
WRL|YXE,|YXE|DEN|CYS|WRL|
WRL|CKY,|CKY|DKR|IAD|DEN|CYS|WRL|
WRL|FIH,|FIH|DLA|BRU|ORD|DEN|CYS|WRL|
WRL|SCL,|SCL|EZE|IAH|DEN|CYS|WRL|
WRL|LCA,|LCA|FRA|DEN|CYS|WRL|
WRL|NAP,|NAP|FRA|DEN|CYS|WRL|
WRL|VLC,|VLC|FRA|DEN|CYS|WRL|
WRL|BKK,|BKK|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|ADD,|ADD|JED|FRA|DEN|CYS|WRL|
WRL|FRA,|FRA|DEN|CYS|WRL|
WRL|IST,|IST|FRA|DEN|CYS|WRL|
WRL|EBB,|EBB|KGL|BRU|ORD|DEN|CYS|WRL|
WRL|YLW,|YLW|YYC|DEN|CYS|WRL|
WRL|YYT,|YYT|YUL|DEN|CYS|WRL|
WRL|GUA,|GUA|IAH|DEN|CYS|WRL|
WRL|EWR,|EWR|DEN|CYS|WRL|
WRL|IAD,|IAD|DEN|CYS|WRL|
WRL|IAH,|IAH|DEN|CYS|WRL|
WRL|ORD,|ORD|DEN|CYS|WRL|
WRL|SOF,|SOF|MUC|ORD|DEN|CYS|WRL|
WRL|YQB,|YQB|YUL|DEN|CYS|WRL|
WRL|YXU,|YXU|ORD|DEN|CYS|WRL|
WRL|EZE,|EZE|IAH|DEN|CYS|WRL|
WRL|YYJ,|YYJ|YVR|DEN|CYS|WRL|
WRL|YYY,|YYY|YUL|DEN|CYS|WRL|
WRL|YQQ,|YQQ|YBL|YVR|DEN|CYS|WRL|
WRL|YYR,|YYR|YWK|YZV|YUL|DEN|CYS|WRL|
WRL|LHR,|LHR|ORD|DEN|CYS|WRL|
WRL|SFO,|SFO|DEN|CYS|WRL|
WRL|YQU,|YQU|YYC|DEN|CYS|WRL|
WRL|YZF,|YZF|YEG|DEN|CYS|WRL|
WRL|YGR,|YGR|YGP|YQB|YUL|DEN|CYS|WRL|
WRL|YGP,|YGP|YQB|YUL|DEN|CYS|WRL|
WRL|BOS,|BOS|DEN|CYS|WRL|
WRL|YDF,|YDF|YYZ|DEN|CYS|WRL|
WRL|YFC,|YFC|YUL|DEN|CYS|WRL|
WRL|YQM,|YQM|YUL|DEN|CYS|WRL|
WRL|YQX,|YQX|YHZ|YUL|DEN|CYS|WRL|
WRL|YQY,|YQY|YYZ|DEN|CYS|WRL|
WRL|YSJ,|YSJ|YUL|DEN|CYS|WRL|
WRL|YYG,|YYG|YUL|DEN|CYS|WRL|
WRL|LAX,|LAX|DEN|CYS|WRL|
WRL|DCA,|DCA|DEN|CYS|WRL|
WRL|LGA,|LGA|DEN|CYS|WRL|
WRL|YZV,|YZV|YUL|DEN|CYS|WRL|
WRL|YWL,|YWL|YVR|DEN|CYS|WRL|
WRL|AZS,|AZS|YYZ|DEN|CYS|WRL|
WRL|BDL,|BDL|DEN|CYS|WRL|
WRL|CCC,|CCC|YYZ|DEN|CYS|WRL|
WRL|CDG,|CDG|ORD|DEN|CYS|WRL|
WRL|CUN,|CUN|DEN|CYS|WRL|
WRL|CZM,|CZM|IAH|DEN|CYS|WRL|
WRL|FDF,|FDF|YUL|DEN|CYS|WRL|
WRL|FLL,|FLL|DEN|CYS|WRL|
WRL|GVA,|GVA|YUL|DEN|CYS|WRL|
WRL|HOG,|HOG|YYZ|DEN|CYS|WRL|
WRL|LAS,|LAS|DEN|CYS|WRL|
WRL|MBJ,|MBJ|IAH|DEN|CYS|WRL|
WRL|MCO,|MCO|DEN|CYS|WRL|
WRL|MUC,|MUC|ORD|DEN|CYS|WRL|
WRL|PAP,|PAP|YUL|DEN|CYS|WRL|
WRL|PTP,|PTP|YUL|DEN|CYS|WRL|
WRL|PUJ,|PUJ|ATL|DEN|CYS|WRL|
WRL|SNU,|SNU|YYZ|DEN|CYS|WRL|
WRL|VRA,|VRA|YYZ|DEN|CYS|WRL|
WRL|YBC,|YBC|YUL|DEN|CYS|WRL|
WRL|YBG,|YBG|YUL|DEN|CYS|WRL|
WRL|YTZ,|YTZ|YUL|DEN|CYS|WRL|
WRL|YUY,|YUY|YUL|DEN|CYS|WRL|
WRL|YVO,|YVO|YUL|DEN|CYS|WRL|
WRL|ZBF,|ZBF|YUL|DEN|CYS|WRL|
WRL|ZRH,|ZRH|ORD|DEN|CYS|WRL|
WRL|ZSA,|ZSA|YUL|DEN|CYS|WRL|
WRL|AKL,|AKL|LAX|DEN|CYS|WRL|
WRL|HKG,|HKG|YVR|DEN|CYS|WRL|
WRL|HND,|HND|YVR|DEN|CYS|WRL|
WRL|HNL,|HNL|DEN|CYS|WRL|
WRL|MEX,|MEX|DEN|CYS|WRL|
WRL|OGG,|OGG|DEN|CYS|WRL|
WRL|PDX,|PDX|DEN|CYS|WRL|
WRL|PEK,|PEK|YVR|DEN|CYS|WRL|
WRL|PVG,|PVG|YVR|DEN|CYS|WRL|
WRL|PVR,|PVR|DEN|CYS|WRL|
WRL|SEA,|SEA|DEN|CYS|WRL|
WRL|SYD,|SYD|LAX|DEN|CYS|WRL|
WRL|YBL,|YBL|YVR|DEN|CYS|WRL|
WRL|YCD,|YCD|YVR|DEN|CYS|WRL|
WRL|YCG,|YCG|YYC|DEN|CYS|WRL|
WRL|YKA,|YKA|YYC|DEN|CYS|WRL|
WRL|YPR,|YPR|YVR|DEN|CYS|WRL|
WRL|YQZ,|YQZ|YVR|DEN|CYS|WRL|
WRL|YXC,|YXC|YYC|DEN|CYS|WRL|
WRL|YXJ,|YXJ|YYC|DEN|CYS|WRL|
WRL|YXS,|YXS|YYC|DEN|CYS|WRL|
WRL|YXT,|YXT|YVR|DEN|CYS|WRL|
WRL|YXY,|YXY|YVR|DEN|CYS|WRL|
WRL|YYD,|YYD|YVR|DEN|CYS|WRL|
WRL|YYF,|YYF|YVR|DEN|CYS|WRL|
WRL|YZP,|YZP|YVR|DEN|CYS|WRL|
WRL|YQT,|YQT|YWG|DEN|CYS|WRL|
WRL|SJD,|SJD|DEN|CYS|WRL|
WRL|YQF,|YQF|YYC|DEN|CYS|WRL|
WRL|YQL,|YQL|YYC|DEN|CYS|WRL|
WRL|YXH,|YXH|YYC|DEN|CYS|WRL|
WRL|YWK,|YWK|YZV|YUL|DEN|CYS|WRL|
WRL|ANU,|ANU|EWR|DEN|CYS|WRL|
WRL|AUA,|AUA|ATL|DEN|CYS|WRL|
WRL|AUH,|AUH|FRA|DEN|CYS|WRL|
WRL|BCN,|BCN|YYZ|DEN|CYS|WRL|
WRL|BDA,|BDA|EWR|DEN|CYS|WRL|
WRL|BGI,|BGI|YYZ|DEN|CYS|WRL|
WRL|BNA,|BNA|DEN|CYS|WRL|
WRL|BOG,|BOG|IAH|DEN|CYS|WRL|
WRL|BWI,|BWI|DEN|CYS|WRL|
WRL|CLE,|CLE|DEN|CYS|WRL|
WRL|CLT,|CLT|MDW|DEN|CYS|WRL|
WRL|CMH,|CMH|DEN|CYS|WRL|
WRL|CVG,|CVG|DEN|CYS|WRL|
WRL|DFW,|DFW|DEN|CYS|WRL|
WRL|DTW,|DTW|DEN|CYS|WRL|
WRL|DUB,|DUB|ORD|DEN|CYS|WRL|
WRL|FCO,|FCO|YYZ|DEN|CYS|WRL|
WRL|GCM,|GCM|IAH|DEN|CYS|WRL|
WRL|GGT,|GGT|FLL|DEN|CYS|WRL|
WRL|GND,|GND|YYZ|DEN|CYS|WRL|
WRL|GRU,|GRU|IAH|DEN|CYS|WRL|
WRL|HAV,|HAV|YYZ|DEN|CYS|WRL|
WRL|IND,|IND|DEN|CYS|WRL|
WRL|JFK,|JFK|IAD|DEN|CYS|WRL|
WRL|KIN,|KIN|YYZ|DEN|CYS|WRL|
WRL|LIM,|LIM|IAH|DEN|CYS|WRL|
WRL|LIR,|LIR|IAH|DEN|CYS|WRL|
WRL|MCI,|MCI|DEN|CYS|WRL|
WRL|MDT,|MDT|ORD|DEN|CYS|WRL|
WRL|MIA,|MIA|DEN|CYS|WRL|
WRL|MKE,|MKE|DEN|CYS|WRL|
WRL|MSP,|MSP|DEN|CYS|WRL|
WRL|NAS,|NAS|ATL|DEN|CYS|WRL|
WRL|PHL,|PHL|DEN|CYS|WRL|
WRL|PHX,|PHX|DEN|CYS|WRL|
WRL|PIT,|PIT|DEN|CYS|WRL|
WRL|PLS,|PLS|YYZ|DEN|CYS|WRL|
WRL|POP,|POP|YYZ|DEN|CYS|WRL|
WRL|RDU,|RDU|DEN|CYS|WRL|
WRL|ROC,|ROC|ORD|DEN|CYS|WRL|
WRL|RSW,|RSW|DEN|CYS|WRL|
WRL|SAN,|SAN|DEN|CYS|WRL|
WRL|SJO,|SJO|IAH|DEN|CYS|WRL|
WRL|STL,|STL|DEN|CYS|WRL|
WRL|SYR,|SYR|ORD|DEN|CYS|WRL|
WRL|TLV,|TLV|IST|FRA|DEN|CYS|WRL|
WRL|TPA,|TPA|DEN|CYS|WRL|
WRL|UVF,|UVF|EWR|DEN|CYS|WRL|
WRL|VIE,|VIE|ORD|DEN|CYS|WRL|
WRL|YAM,|YAM|YYZ|DEN|CYS|WRL|
WRL|YGK,|YGK|YYZ|DEN|CYS|WRL|
WRL|YQG,|YQG|YYZ|DEN|CYS|WRL|
WRL|YSB,|YSB|YYZ|DEN|CYS|WRL|
WRL|YTS,|YTS|YYZ|DEN|CYS|WRL|
WRL|YYB,|YYB|YYZ|DEN|CYS|WRL|
WRL|YZR,|YZR|YYZ|DEN|CYS|WRL|
WRL|CAN,|CAN|YVR|DEN|CYS|WRL|
WRL|URC,|URC|PEK|YVR|DEN|CYS|WRL|
WRL|CTU,|CTU|PEK|YVR|DEN|CYS|WRL|
WRL|HGH,|HGH|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|XMN,|XMN|PEK|YVR|DEN|CYS|WRL|
WRL|CGO,|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|CSX,|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|SHE,|SHE|ICN|YVR|DEN|CYS|WRL|
WRL|SJW,|SJW|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|WUH,|WUH|ICN|YVR|DEN|CYS|WRL|
WRL|SZX,|SZX|PVG|YVR|DEN|CYS|WRL|
WRL|CKG,|CKG|PEK|YVR|DEN|CYS|WRL|
WRL|KMG,|KMG|PEK|YVR|DEN|CYS|WRL|
WRL|FOC,|FOC|PEK|YVR|DEN|CYS|WRL|
WRL|NNG,|NNG|PEK|YVR|DEN|CYS|WRL|
WRL|SWA,|SWA|PEK|YVR|DEN|CYS|WRL|
WRL|ACX,|ACX|CAN|YVR|DEN|CYS|WRL|
WRL|AQG,|AQG|CAN|YVR|DEN|CYS|WRL|
WRL|AVA,|AVA|CAN|YVR|DEN|CYS|WRL|
WRL|BFJ,|BFJ|CAN|YVR|DEN|CYS|WRL|
WRL|BHY,|BHY|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|BNE,|BNE|CAN|YVR|DEN|CYS|WRL|
WRL|CGD,|CGD|PEK|YVR|DEN|CYS|WRL|
WRL|CGK,|CGK|CAN|YVR|DEN|CYS|WRL|
WRL|CGQ,|CGQ|ICN|YVR|DEN|CYS|WRL|
WRL|CIH,|CIH|PEK|YVR|DEN|CYS|WRL|
WRL|CNX,|CNX|CAN|YVR|DEN|CYS|WRL|
WRL|CZX,|CZX|SHE|ICN|YVR|DEN|CYS|WRL|
WRL|DAC,|DAC|CAN|YVR|DEN|CYS|WRL|
WRL|DAD,|DAD|CAN|YVR|DEN|CYS|WRL|
WRL|DEL,|DEL|EWR|DEN|CYS|WRL|
WRL|DIG,|DIG|KMG|PEK|YVR|DEN|CYS|WRL|
WRL|DLC,|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|DPS,|DPS|SZX|PVG|YVR|DEN|CYS|WRL|
WRL|DXB,|DXB|IST|FRA|DEN|CYS|WRL|
WRL|DYG,|DYG|PEK|YVR|DEN|CYS|WRL|
WRL|FUG,|FUG|CAN|YVR|DEN|CYS|WRL|
WRL|FUK,|FUK|ICN|YVR|DEN|CYS|WRL|
WRL|HAK,|HAK|CAN|YVR|DEN|CYS|WRL|
WRL|HAN,|HAN|PEK|YVR|DEN|CYS|WRL|
WRL|HDG,|HDG|CAN|YVR|DEN|CYS|WRL|
WRL|HET,|HET|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|HJJ,|HJJ|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|HKT,|HKT|KWE|PEK|YVR|DEN|CYS|WRL|
WRL|HRB,|HRB|ICN|YVR|DEN|CYS|WRL|
WRL|HZH,|HZH|CAN|YVR|DEN|CYS|WRL|
WRL|JIU,|JIU|CAN|YVR|DEN|CYS|WRL|
WRL|JJN,|JJN|PEK|YVR|DEN|CYS|WRL|
WRL|JNG,|JNG|CAN|YVR|DEN|CYS|WRL|
WRL|KHN,|KHN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|KIX,|KIX|SFO|DEN|CYS|WRL|
WRL|KOW,|KOW|PEK|YVR|DEN|CYS|WRL|
WRL|KTM,|KTM|CAN|YVR|DEN|CYS|WRL|
WRL|KUL,|KUL|PVG|YVR|DEN|CYS|WRL|
WRL|KWE,|KWE|PEK|YVR|DEN|CYS|WRL|
WRL|KWL,|KWL|PEK|YVR|DEN|CYS|WRL|
WRL|LHW,|LHW|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|LYG,|LYG|HSN|PEK|YVR|DEN|CYS|WRL|
WRL|LZH,|LZH|CAN|YVR|DEN|CYS|WRL|
WRL|MEL,|MEL|SYD|LAX|DEN|CYS|WRL|
WRL|MIG,|MIG|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|MLE,|MLE|IST|FRA|DEN|CYS|WRL|
WRL|MNL,|MNL|XMN|PEK|YVR|DEN|CYS|WRL|
WRL|MXZ,|MXZ|CAN|YVR|DEN|CYS|WRL|
WRL|NAO,|NAO|PEK|YVR|DEN|CYS|WRL|
WRL|NGB,|NGB|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|NKG,|NKG|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|NNY,|NNY|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|PEN,|PEN|CAN|YVR|DEN|CYS|WRL|
WRL|PER,|PER|CAN|YVR|DEN|CYS|WRL|
WRL|PNH,|PNH|CAN|YVR|DEN|CYS|WRL|
WRL|REP,|REP|ICN|YVR|DEN|CYS|WRL|
WRL|RGN,|RGN|CAN|YVR|DEN|CYS|WRL|
WRL|SGN,|SGN|HKG|YVR|DEN|CYS|WRL|
WRL|SHA,|SHA|PEK|YVR|DEN|CYS|WRL|
WRL|SIN,|SIN|HKG|YVR|DEN|CYS|WRL|
WRL|SVO,|SVO|URC|PEK|YVR|DEN|CYS|WRL|
WRL|SYX,|SYX|CAN|YVR|DEN|CYS|WRL|
WRL|TAO,|TAO|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|TEN,|TEN|PEK|YVR|DEN|CYS|WRL|
WRL|TNA,|TNA|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|TPE,|TPE|PVG|YVR|DEN|CYS|WRL|
WRL|TSN,|TSN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|TXN,|TXN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|TYN,|TYN|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|WNZ,|WNZ|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|WUX,|WUX|CAN|YVR|DEN|CYS|WRL|
WRL|XFN,|XFN|CAN|YVR|DEN|CYS|WRL|
WRL|XIY,|XIY|PEK|YVR|DEN|CYS|WRL|
WRL|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|CYS|WRL|
WRL|YIH,|YIH|CKG|PEK|YVR|DEN|CYS|WRL|
WRL|YIW,|YIW|PEK|YVR|DEN|CYS|WRL|
WRL|YNT,|YNT|SHE|ICN|YVR|DEN|CYS|WRL|
WRL|YNZ,|YNZ|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|YTY,|YTY|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|ZHA,|ZHA|CAN|YVR|DEN|CYS|WRL|
WRL|ZYI,|ZYI|PEK|YVR|DEN|CYS|WRL|
WRL|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|CJU,|CJU|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|DSN,|DSN|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|HMI,|HMI|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|INC,|INC|PEK|YVR|DEN|CYS|WRL|
WRL|KHH,|KHH|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|UYN,|UYN|CGO|PEK|YVR|DEN|CYS|WRL|
WRL|XNN,|XNN|PEK|YVR|DEN|CYS|WRL|
WRL|ZUH,|ZUH|PVG|YVR|DEN|CYS|WRL|
WRL|YNJ,|YNJ|ICN|YVR|DEN|CYS|WRL|
WRL|DAT,|DAT|CIH|PEK|YVR|DEN|CYS|WRL|
WRL|JHG,|JHG|CKG|PEK|YVR|DEN|CYS|WRL|
WRL|LJG,|LJG|CKG|PEK|YVR|DEN|CYS|WRL|
WRL|LXA,|LXA|XIY|PEK|YVR|DEN|CYS|WRL|
WRL|YCU,|YCU|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|LZO,|LZO|CSX|ICN|YVR|DEN|CYS|WRL|
WRL|MDG,|MDG|ICN|YVR|DEN|CYS|WRL|
WRL|NGO,|NGO|ICN|YVR|DEN|CYS|WRL|
WRL|TOY,|TOY|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|MFM,|MFM|XMN|PEK|YVR|DEN|CYS|WRL|
WRL|TGO,|TGO|HET|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|XIL,|XIL|HET|DLC|ICN|YVR|DEN|CYS|WRL|
WRL|HEK,|HEK|HRB|ICN|YVR|DEN|CYS|WRL|
WRL|KIJ,|KIJ|HRB|ICN|YVR|DEN|CYS|WRL|
WRL|LDS,|LDS|HRB|ICN|YVR|DEN|CYS|WRL|
WRL|OHE,|OHE|HRB|ICN|YVR|DEN|CYS|WRL|
WRL|HSN,|HSN|PEK|YVR|DEN|CYS|WRL|
WRL|DLU,|DLU|KMG|PEK|YVR|DEN|CYS|WRL|
WRL|SYM,|SYM|KMG|PEK|YVR|DEN|CYS|WRL|
WRL|ZAT,|ZAT|KMG|PEK|YVR|DEN|CYS|WRL|
WRL|LUN,|LUN|NBO|ZRH|ORD|DEN|CYS|WRL|
WRL|AOG,|AOG|PEK|YVR|DEN|CYS|WRL|
WRL|GMP,|GMP|PEK|YVR|DEN|CYS|WRL|
WRL|ISB,|ISB|IST|FRA|DEN|CYS|WRL|
WRL|TAS,|TAS|IST|FRA|DEN|CYS|WRL|
WRL|WUS,|WUS|PEK|YVR|DEN|CYS|WRL|
WRL|JMU,|JMU|PVG|YVR|DEN|CYS|WRL|
WRL|NDG,|NDG|PVG|YVR|DEN|CYS|WRL|
WRL|JXA,|JXA|SHE|ICN|YVR|DEN|CYS|WRL|
WRL|PUS,|PUS|SHE|ICN|YVR|DEN|CYS|WRL|
WRL|BKI,|BKI|SZX|PVG|YVR|DEN|CYS|WRL|
WRL|AKU,|AKU|URC|PEK|YVR|DEN|CYS|WRL|
WRL|ALA,|ALA|TSE|FRA|DEN|CYS|WRL|
