WUH|BRU,|BRU|IST|URC|WUH|
WUH|OUA,|OUA|NIM|IST|URC|WUH|
WUH|JED,|JED|IST|URC|WUH|
WUH|CPH,|CPH|IST|URC|WUH|
WUH|YYZ,|YYZ|PEK|WUH|
WUH|DEN,|DEN|YVR|ICN|WUH|
WUH|YUL,|YUL|YYZ|PEK|WUH|
WUH|NBO,|NBO|CAN|WUH|
WUH|ICN,|ICN|WUH|
WUH|NRT,|NRT|ICN|WUH|
WUH|YHZ,|YHZ|YYZ|PEK|WUH|
WUH|YOW,|YOW|YYZ|PEK|WUH|
WUH|BJM,|BJM|BRU|IST|URC|WUH|
WUH|COO,|COO|BRU|IST|URC|WUH|
WUH|DKR,|DKR|BRU|IST|URC|WUH|
WUH|DLA,|DLA|IST|URC|WUH|
WUH|KGL,|KGL|IST|URC|WUH|
WUH|LAD,|LAD|BRU|IST|URC|WUH|
WUH|ABJ,|ABJ|OUA|NIM|IST|URC|WUH|
WUH|AMS,|AMS|PEK|WUH|
WUH|OSL,|OSL|IST|URC|WUH|
WUH|VNO,|VNO|IST|URC|WUH|
WUH|WAW,|WAW|IST|URC|WUH|
WUH|YYC,|YYC|YVR|ICN|WUH|
WUH|ATL,|ATL|ORD|PEK|WUH|
WUH|MSY,|MSY|ORD|PEK|WUH|
WUH|YEG,|YEG|YVR|ICN|WUH|
WUH|YMM,|YMM|YVR|ICN|WUH|
WUH|YQR,|YQR|YVR|ICN|WUH|
WUH|YVR,|YVR|ICN|WUH|
WUH|YWG,|YWG|YVR|ICN|WUH|
WUH|YXE,|YXE|YVR|ICN|WUH|
WUH|CKY,|CKY|DKR|BRU|IST|URC|WUH|
WUH|FIH,|FIH|IST|URC|WUH|
WUH|SCL,|SCL|YYZ|PEK|WUH|
WUH|LCA,|LCA|FRA|TSE|URC|WUH|
WUH|NAP,|NAP|IST|URC|WUH|
WUH|VLC,|VLC|FRA|TSE|URC|WUH|
WUH|BKK,|BKK|WUH|
WUH|ADD,|ADD|IST|URC|WUH|
WUH|FRA,|FRA|TSE|URC|WUH|
WUH|IST,|IST|URC|WUH|
WUH|EBB,|EBB|KGL|IST|URC|WUH|
WUH|YLW,|YLW|YVR|ICN|WUH|
WUH|YYT,|YYT|LHR|IST|URC|WUH|
WUH|GUA,|GUA|IAH|PEK|WUH|
WUH|EWR,|EWR|PEK|WUH|
WUH|IAD,|IAD|PEK|WUH|
WUH|IAH,|IAH|PEK|WUH|
WUH|ORD,|ORD|PEK|WUH|
WUH|SOF,|SOF|IST|URC|WUH|
WUH|YQB,|YQB|YYZ|PEK|WUH|
WUH|YXU,|YXU|YYZ|PEK|WUH|
WUH|EZE,|EZE|GRU|IST|URC|WUH|
WUH|YYJ,|YYJ|YVR|ICN|WUH|
WUH|YYY,|YYY|YUL|YYZ|PEK|WUH|
WUH|YQQ,|YQQ|YBL|YVR|ICN|WUH|
WUH|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|WUH|
WUH|LHR,|LHR|IST|URC|WUH|
WUH|SFO,|SFO|ICN|WUH|
WUH|YQU,|YQU|YEG|YVR|ICN|WUH|
WUH|YZF,|YZF|YEG|YVR|ICN|WUH|
