XIL|BRU,|BRU|IST|URC|HET|XIL|
XIL|OUA,|OUA|NIM|IST|URC|HET|XIL|
XIL|JED,|JED|IST|URC|HET|XIL|
XIL|CPH,|CPH|IST|URC|HET|XIL|
XIL|YYZ,|YYZ|PEK|DLC|HET|XIL|
XIL|DEN,|DEN|YVR|ICN|DLC|HET|XIL|
XIL|YUL,|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|NBO,|NBO|CAN|HET|XIL|
XIL|ICN,|ICN|DLC|HET|XIL|
XIL|NRT,|NRT|DLC|HET|XIL|
XIL|YHZ,|YHZ|YYZ|PEK|DLC|HET|XIL|
XIL|YOW,|YOW|YYZ|PEK|DLC|HET|XIL|
XIL|BJM,|BJM|BRU|IST|URC|HET|XIL|
XIL|COO,|COO|BRU|IST|URC|HET|XIL|
XIL|DKR,|DKR|BRU|IST|URC|HET|XIL|
XIL|DLA,|DLA|IST|URC|HET|XIL|
XIL|KGL,|KGL|IST|URC|HET|XIL|
XIL|LAD,|LAD|BRU|IST|URC|HET|XIL|
XIL|ABJ,|ABJ|OUA|NIM|IST|URC|HET|XIL|
XIL|AMS,|AMS|IST|URC|HET|XIL|
XIL|OSL,|OSL|IST|URC|HET|XIL|
XIL|VNO,|VNO|IST|URC|HET|XIL|
XIL|WAW,|WAW|IST|URC|HET|XIL|
XIL|YYC,|YYC|YVR|ICN|DLC|HET|XIL|
XIL|ATL,|ATL|ORD|PEK|DLC|HET|XIL|
XIL|MSY,|MSY|DEN|YVR|ICN|DLC|HET|XIL|
XIL|YEG,|YEG|YVR|ICN|DLC|HET|XIL|
XIL|YMM,|YMM|YVR|ICN|DLC|HET|XIL|
XIL|YQR,|YQR|YVR|ICN|DLC|HET|XIL|
XIL|YVR,|YVR|ICN|DLC|HET|XIL|
XIL|YWG,|YWG|YVR|ICN|DLC|HET|XIL|
XIL|YXE,|YXE|YVR|ICN|DLC|HET|XIL|
XIL|CKY,|CKY|DKR|BRU|IST|URC|HET|XIL|
XIL|FIH,|FIH|IST|URC|HET|XIL|
XIL|SCL,|SCL|EZE|GRU|IST|URC|HET|XIL|
XIL|LCA,|LCA|FRA|TSE|URC|HET|XIL|
XIL|NAP,|NAP|IST|URC|HET|XIL|
XIL|VLC,|VLC|FRA|TSE|URC|HET|XIL|
XIL|BKK,|BKK|CSX|HET|XIL|
XIL|ADD,|ADD|IST|URC|HET|XIL|
XIL|FRA,|FRA|TSE|URC|HET|XIL|
XIL|IST,|IST|URC|HET|XIL|
XIL|EBB,|EBB|KGL|IST|URC|HET|XIL|
XIL|YLW,|YLW|YVR|ICN|DLC|HET|XIL|
XIL|YYT,|YYT|LHR|IST|URC|HET|XIL|
XIL|GUA,|GUA|IAH|YVR|ICN|DLC|HET|XIL|
XIL|EWR,|EWR|PEK|DLC|HET|XIL|
XIL|IAD,|IAD|PEK|DLC|HET|XIL|
XIL|IAH,|IAH|YVR|ICN|DLC|HET|XIL|
XIL|ORD,|ORD|PEK|DLC|HET|XIL|
XIL|SOF,|SOF|IST|URC|HET|XIL|
XIL|YQB,|YQB|YYZ|PEK|DLC|HET|XIL|
XIL|YXU,|YXU|YYZ|PEK|DLC|HET|XIL|
XIL|EZE,|EZE|GRU|IST|URC|HET|XIL|
XIL|YYJ,|YYJ|YVR|ICN|DLC|HET|XIL|
XIL|YYY,|YYY|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|YQQ,|YQQ|YBL|YVR|ICN|DLC|HET|XIL|
XIL|YYR,|YYR|YYT|LHR|IST|URC|HET|XIL|
XIL|LHR,|LHR|IST|URC|HET|XIL|
XIL|SFO,|SFO|ICN|DLC|HET|XIL|
XIL|YQU,|YQU|YEG|YVR|ICN|DLC|HET|XIL|
XIL|YZF,|YZF|YEG|YVR|ICN|DLC|HET|XIL|
XIL|YGR,|YGR|YGP|YQB|YYZ|PEK|DLC|HET|XIL|
XIL|YGP,|YGP|YQB|YYZ|PEK|DLC|HET|XIL|
XIL|BOS,|BOS|YYZ|PEK|DLC|HET|XIL|
XIL|YDF,|YDF|YYT|LHR|IST|URC|HET|XIL|
XIL|YFC,|YFC|YYZ|PEK|DLC|HET|XIL|
XIL|YQM,|YQM|YYZ|PEK|DLC|HET|XIL|
XIL|YQX,|YQX|YYT|LHR|IST|URC|HET|XIL|
XIL|YQY,|YQY|YYZ|PEK|DLC|HET|XIL|
XIL|YSJ,|YSJ|YYZ|PEK|DLC|HET|XIL|
XIL|YYG,|YYG|YYZ|PEK|DLC|HET|XIL|
XIL|LAX,|LAX|ICN|DLC|HET|XIL|
XIL|DCA,|DCA|YYZ|PEK|DLC|HET|XIL|
XIL|LGA,|LGA|YYZ|PEK|DLC|HET|XIL|
XIL|YZV,|YZV|YQB|YYZ|PEK|DLC|HET|XIL|
XIL|YWL,|YWL|YVR|ICN|DLC|HET|XIL|
XIL|AZS,|AZS|YYZ|PEK|DLC|HET|XIL|
XIL|BDL,|BDL|YYZ|PEK|DLC|HET|XIL|
XIL|CCC,|CCC|YYZ|PEK|DLC|HET|XIL|
XIL|CDG,|CDG|IST|URC|HET|XIL|
XIL|CUN,|CUN|YVR|ICN|DLC|HET|XIL|
XIL|CZM,|CZM|IAH|YVR|ICN|DLC|HET|XIL|
XIL|FDF,|FDF|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|FLL,|FLL|ORD|PEK|DLC|HET|XIL|
XIL|GVA,|GVA|IST|URC|HET|XIL|
XIL|HOG,|HOG|YYZ|PEK|DLC|HET|XIL|
XIL|LAS,|LAS|SFO|ICN|DLC|HET|XIL|
XIL|MBJ,|MBJ|ATL|ORD|PEK|DLC|HET|XIL|
XIL|MCO,|MCO|ORD|PEK|DLC|HET|XIL|
XIL|MUC,|MUC|IST|URC|HET|XIL|
XIL|PAP,|PAP|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|PTP,|PTP|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|PUJ,|PUJ|EWR|PEK|DLC|HET|XIL|
XIL|SNU,|SNU|YYZ|PEK|DLC|HET|XIL|
XIL|VRA,|VRA|YYZ|PEK|DLC|HET|XIL|
XIL|YBC,|YBC|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|YBG,|YBG|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|YTZ,|YTZ|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|YUY,|YUY|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|YVO,|YVO|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|ZBF,|ZBF|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|ZRH,|ZRH|IST|URC|HET|XIL|
XIL|ZSA,|ZSA|YUL|YYZ|PEK|DLC|HET|XIL|
XIL|AKL,|AKL|CAN|HET|XIL|
XIL|HKG,|HKG|CAN|HET|XIL|
XIL|HND,|HND|HNL|NRT|DLC|HET|XIL|
XIL|HNL,|HNL|NRT|DLC|HET|XIL|
XIL|MEX,|MEX|SFO|ICN|DLC|HET|XIL|
XIL|OGG,|OGG|HNL|NRT|DLC|HET|XIL|
XIL|PDX,|PDX|SEA|ICN|DLC|HET|XIL|
XIL|PEK,|PEK|DLC|HET|XIL|
XIL|PVG,|PVG|TAO|HET|XIL|
XIL|PVR,|PVR|LAX|ICN|DLC|HET|XIL|
XIL|SEA,|SEA|ICN|DLC|HET|XIL|
XIL|SYD,|SYD|CAN|HET|XIL|
XIL|YBL,|YBL|YVR|ICN|DLC|HET|XIL|
XIL|YCD,|YCD|YVR|ICN|DLC|HET|XIL|
XIL|YCG,|YCG|YVR|ICN|DLC|HET|XIL|
XIL|YKA,|YKA|YVR|ICN|DLC|HET|XIL|
XIL|YPR,|YPR|YVR|ICN|DLC|HET|XIL|
XIL|YQZ,|YQZ|YVR|ICN|DLC|HET|XIL|
XIL|YXC,|YXC|YVR|ICN|DLC|HET|XIL|
XIL|YXJ,|YXJ|YVR|ICN|DLC|HET|XIL|
XIL|YXS,|YXS|YVR|ICN|DLC|HET|XIL|
XIL|YXT,|YXT|YVR|ICN|DLC|HET|XIL|
XIL|YXY,|YXY|YVR|ICN|DLC|HET|XIL|
XIL|YYD,|YYD|YVR|ICN|DLC|HET|XIL|
XIL|YYF,|YYF|YVR|ICN|DLC|HET|XIL|
XIL|YZP,|YZP|YVR|ICN|DLC|HET|XIL|
XIL|YQT,|YQT|YWG|YVR|ICN|DLC|HET|XIL|
XIL|SJD,|SJD|LAX|ICN|DLC|HET|XIL|
XIL|YQF,|YQF|YYC|YVR|ICN|DLC|HET|XIL|
XIL|YQL,|YQL|YYC|YVR|ICN|DLC|HET|XIL|
XIL|YXH,|YXH|YYC|YVR|ICN|DLC|HET|XIL|
XIL|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|HET|XIL|
XIL|ANU,|ANU|EWR|PEK|DLC|HET|XIL|
XIL|AUA,|AUA|EWR|PEK|DLC|HET|XIL|
XIL|AUH,|AUH|IST|URC|HET|XIL|
XIL|BCN,|BCN|IST|URC|HET|XIL|
XIL|BDA,|BDA|EWR|PEK|DLC|HET|XIL|
XIL|BGI,|BGI|YYZ|PEK|DLC|HET|XIL|
XIL|BNA,|BNA|ORD|PEK|DLC|HET|XIL|
XIL|BOG,|BOG|MIA|ORD|PEK|DLC|HET|XIL|
XIL|BWI,|BWI|YYZ|PEK|DLC|HET|XIL|
XIL|CLE,|CLE|YYZ|PEK|DLC|HET|XIL|
XIL|CLT,|CLT|YYZ|PEK|DLC|HET|XIL|
XIL|CMH,|CMH|ORD|PEK|DLC|HET|XIL|
XIL|CVG,|CVG|ORD|PEK|DLC|HET|XIL|
XIL|DFW,|DFW|YVR|ICN|DLC|HET|XIL|
XIL|DTW,|DTW|PEK|DLC|HET|XIL|
XIL|DUB,|DUB|IST|URC|HET|XIL|
XIL|FCO,|FCO|IST|URC|HET|XIL|
XIL|GCM,|GCM|IAH|YVR|ICN|DLC|HET|XIL|
XIL|GGT,|GGT|YYZ|PEK|DLC|HET|XIL|
XIL|GND,|GND|YYZ|PEK|DLC|HET|XIL|
XIL|GRU,|GRU|IST|URC|HET|XIL|
XIL|HAV,|HAV|YYZ|PEK|DLC|HET|XIL|
XIL|IND,|IND|ORD|PEK|DLC|HET|XIL|
XIL|JFK,|JFK|PEK|DLC|HET|XIL|
XIL|KIN,|KIN|YYZ|PEK|DLC|HET|XIL|
XIL|LIM,|LIM|IAH|YVR|ICN|DLC|HET|XIL|
XIL|LIR,|LIR|IAH|YVR|ICN|DLC|HET|XIL|
XIL|MCI,|MCI|DEN|YVR|ICN|DLC|HET|XIL|
XIL|MDT,|MDT|YYZ|PEK|DLC|HET|XIL|
XIL|MIA,|MIA|ORD|PEK|DLC|HET|XIL|
XIL|MKE,|MKE|ORD|PEK|DLC|HET|XIL|
XIL|MSP,|MSP|DEN|YVR|ICN|DLC|HET|XIL|
XIL|NAS,|NAS|YYZ|PEK|DLC|HET|XIL|
XIL|PHL,|PHL|YYZ|PEK|DLC|HET|XIL|
XIL|PHX,|PHX|SFO|ICN|DLC|HET|XIL|
XIL|PIT,|PIT|YYZ|PEK|DLC|HET|XIL|
XIL|PLS,|PLS|EWR|PEK|DLC|HET|XIL|
XIL|POP,|POP|EWR|PEK|DLC|HET|XIL|
XIL|RDU,|RDU|YYZ|PEK|DLC|HET|XIL|
XIL|ROC,|ROC|YYZ|PEK|DLC|HET|XIL|
XIL|RSW,|RSW|ORD|PEK|DLC|HET|XIL|
XIL|SAN,|SAN|LAX|ICN|DLC|HET|XIL|
XIL|SJO,|SJO|IAH|YVR|ICN|DLC|HET|XIL|
XIL|STL,|STL|ORD|PEK|DLC|HET|XIL|
XIL|SYR,|SYR|YYZ|PEK|DLC|HET|XIL|
XIL|TLV,|TLV|SAW|TBS|URC|HET|XIL|
XIL|TPA,|TPA|ORD|PEK|DLC|HET|XIL|
XIL|UVF,|UVF|EWR|PEK|DLC|HET|XIL|
XIL|VIE,|VIE|IST|URC|HET|XIL|
XIL|YAM,|YAM|YYZ|PEK|DLC|HET|XIL|
XIL|YGK,|YGK|YYZ|PEK|DLC|HET|XIL|
XIL|YQG,|YQG|YYZ|PEK|DLC|HET|XIL|
XIL|YSB,|YSB|YYZ|PEK|DLC|HET|XIL|
XIL|YTS,|YTS|YYZ|PEK|DLC|HET|XIL|
XIL|YYB,|YYB|YYZ|PEK|DLC|HET|XIL|
XIL|YZR,|YZR|YYZ|PEK|DLC|HET|XIL|
XIL|CAN,|CAN|HET|XIL|
XIL|URC,|URC|HET|XIL|
XIL|CTU,|CTU|XIY|INC|HET|XIL|
XIL|HGH,|HGH|HET|XIL|
XIL|XMN,|XMN|NKG|HET|XIL|
XIL|CGO,|CGO|INC|HET|XIL|
XIL|CSX,|CSX|HET|XIL|
XIL|SHE,|SHE|HET|XIL|
XIL|SJW,|SJW|DLC|HET|XIL|
XIL|WUH,|WUH|TNA|HET|XIL|
XIL|SZX,|SZX|CSX|HET|XIL|
XIL|CKG,|CKG|XIY|INC|HET|XIL|
XIL|KMG,|KMG|XIY|INC|HET|XIL|
XIL|FOC,|FOC|NKG|HET|XIL|
XIL|NNG,|NNG|CSX|HET|XIL|
XIL|SWA,|SWA|CSX|HET|XIL|
XIL|ACX,|ACX|CAN|HET|XIL|
XIL|AQG,|AQG|CAN|HET|XIL|
XIL|AVA,|AVA|CAN|HET|XIL|
XIL|BFJ,|BFJ|CAN|HET|XIL|
XIL|BHY,|BHY|CSX|HET|XIL|
XIL|BNE,|BNE|CAN|HET|XIL|
XIL|CGD,|CGD|CAN|HET|XIL|
XIL|CGK,|CGK|CAN|HET|XIL|
XIL|CGQ,|CGQ|HET|XIL|
XIL|CIH,|CIH|PEK|DLC|HET|XIL|
XIL|CNX,|CNX|CAN|HET|XIL|
XIL|CZX,|CZX|TYN|INC|HET|XIL|
XIL|DAC,|DAC|CAN|HET|XIL|
XIL|DAD,|DAD|CAN|HET|XIL|
XIL|DEL,|DEL|CAN|HET|XIL|
XIL|DIG,|DIG|KMG|XIY|INC|HET|XIL|
XIL|DLC,|DLC|HET|XIL|
XIL|DPS,|DPS|CAN|HET|XIL|
XIL|DXB,|DXB|CAN|HET|XIL|
XIL|DYG,|DYG|CSX|HET|XIL|
XIL|FUG,|FUG|CAN|HET|XIL|
XIL|FUK,|FUK|ICN|DLC|HET|XIL|
XIL|HAK,|HAK|CSX|HET|XIL|
XIL|HAN,|HAN|CAN|HET|XIL|
XIL|HDG,|HDG|CAN|HET|XIL|
XIL|HET,|HET|XIL|
XIL|HFE,|HFE|XIY|INC|HET|XIL|
XIL|HJJ,|HJJ|CSX|HET|XIL|
XIL|HKT,|HKT|KWE|XIY|INC|HET|XIL|
XIL|HRB,|HRB|TSN|HET|XIL|
XIL|HZH,|HZH|CAN|HET|XIL|
XIL|JIU,|JIU|CAN|HET|XIL|
XIL|JJN,|JJN|NKG|HET|XIL|
XIL|JNG,|JNG|CAN|HET|XIL|
XIL|KHN,|KHN|NKG|HET|XIL|
XIL|KIX,|KIX|DLC|HET|XIL|
XIL|KOW,|KOW|CAN|HET|XIL|
XIL|KTM,|KTM|CAN|HET|XIL|
XIL|KUL,|KUL|CAN|HET|XIL|
XIL|KWE,|KWE|XIY|INC|HET|XIL|
XIL|KWL,|KWL|TNA|HET|XIL|
XIL|LHW,|LHW|TNA|HET|XIL|
XIL|LYA,|LYA|KHN|NKG|HET|XIL|
XIL|LYG,|LYG|XUZ|INC|HET|XIL|
XIL|LZH,|LZH|CAN|HET|XIL|
XIL|MEL,|MEL|CAN|HET|XIL|
XIL|MIG,|MIG|CSX|HET|XIL|
XIL|MLE,|MLE|CAN|HET|XIL|
XIL|MNL,|MNL|XMN|NKG|HET|XIL|
XIL|MXZ,|MXZ|CAN|HET|XIL|
XIL|NAO,|NAO|PEK|DLC|HET|XIL|
