XNA|BRU,|BRU|ORD|XNA|
XNA|OUA,|OUA|BRU|ORD|XNA|
XNA|JED,|JED|FRA|ORD|XNA|
XNA|CPH,|CPH|YYZ|ORD|XNA|
XNA|YYZ,|YYZ|ORD|XNA|
XNA|DEN,|DEN|XNA|
XNA|YUL,|YUL|ORD|XNA|
XNA|NBO,|NBO|ZRH|ORD|XNA|
XNA|ICN,|ICN|YVR|DEN|XNA|
XNA|NRT,|NRT|DEN|XNA|
XNA|YHZ,|YHZ|EWR|XNA|
XNA|YOW,|YOW|ORD|XNA|
XNA|BJM,|BJM|BRU|ORD|XNA|
XNA|COO,|COO|BRU|ORD|XNA|
XNA|DKR,|DKR|IAD|ORD|XNA|
XNA|DLA,|DLA|BRU|ORD|XNA|
XNA|KGL,|KGL|BRU|ORD|XNA|
XNA|LAD,|LAD|BRU|ORD|XNA|
XNA|ABJ,|ABJ|BRU|ORD|XNA|
XNA|AMS,|AMS|ORD|XNA|
XNA|OSL,|OSL|EWR|XNA|
XNA|VNO,|VNO|CPH|YYZ|ORD|XNA|
XNA|WAW,|WAW|YYZ|ORD|XNA|
XNA|YYC,|YYC|DEN|XNA|
XNA|ATL,|ATL|IAH|XNA|
XNA|MSY,|MSY|IAH|XNA|
XNA|YEG,|YEG|DEN|XNA|
XNA|YMM,|YMM|DEN|XNA|
XNA|YQR,|YQR|DEN|XNA|
XNA|YVR,|YVR|DEN|XNA|
XNA|YWG,|YWG|ORD|XNA|
XNA|YXE,|YXE|DEN|XNA|
XNA|CKY,|CKY|DKR|IAD|ORD|XNA|
XNA|FIH,|FIH|DLA|BRU|ORD|XNA|
XNA|SCL,|SCL|EZE|IAH|XNA|
XNA|LCA,|LCA|FRA|ORD|XNA|
XNA|NAP,|NAP|FRA|ORD|XNA|
XNA|VLC,|VLC|FRA|ORD|XNA|
XNA|BKK,|BKK|CGO|PEK|YVR|DEN|XNA|
XNA|ADD,|ADD|IST|ORD|XNA|
XNA|FRA,|FRA|ORD|XNA|
XNA|IST,|IST|ORD|XNA|
XNA|EBB,|EBB|KGL|BRU|ORD|XNA|
XNA|YLW,|YLW|YYC|DEN|XNA|
XNA|YYT,|YYT|YOW|ORD|XNA|
XNA|GUA,|GUA|IAH|XNA|
XNA|EWR,|EWR|XNA|
XNA|IAD,|IAD|ORD|XNA|
