YAP|BRU,|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|OUA,|OUA|NIM|IST|CAN|MNL|ROR|YAP|
YAP|JED,|JED|IST|CAN|MNL|ROR|YAP|
YAP|CPH,|CPH|AMS|CAN|MNL|ROR|YAP|
YAP|YYZ,|YYZ|NRT|GUM|YAP|
YAP|DEN,|DEN|HNL|GUM|YAP|
YAP|YUL,|YUL|YYZ|NRT|GUM|YAP|
YAP|NBO,|NBO|CAN|MNL|ROR|YAP|
YAP|ICN,|ICN|FUK|GUM|YAP|
YAP|NRT,|NRT|GUM|YAP|
YAP|YHZ,|YHZ|YYZ|NRT|GUM|YAP|
YAP|YOW,|YOW|YYZ|NRT|GUM|YAP|
YAP|BJM,|BJM|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|COO,|COO|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|DKR,|DKR|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|DLA,|DLA|IST|CAN|MNL|ROR|YAP|
YAP|KGL,|KGL|IST|CAN|MNL|ROR|YAP|
YAP|LAD,|LAD|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|ABJ,|ABJ|OUA|NIM|IST|CAN|MNL|ROR|YAP|
YAP|AMS,|AMS|CAN|MNL|ROR|YAP|
YAP|OSL,|OSL|CPH|AMS|CAN|MNL|ROR|YAP|
YAP|VNO,|VNO|IST|CAN|MNL|ROR|YAP|
YAP|WAW,|WAW|IST|CAN|MNL|ROR|YAP|
YAP|YYC,|YYC|NRT|GUM|YAP|
YAP|ATL,|ATL|LAX|HNL|GUM|YAP|
YAP|MSY,|MSY|IAH|HNL|GUM|YAP|
YAP|YEG,|YEG|YYC|NRT|GUM|YAP|
YAP|YMM,|YMM|YYC|NRT|GUM|YAP|
YAP|YQR,|YQR|YYC|NRT|GUM|YAP|
YAP|YVR,|YVR|NRT|GUM|YAP|
YAP|YWG,|YWG|YYC|NRT|GUM|YAP|
YAP|YXE,|YXE|YYC|NRT|GUM|YAP|
YAP|CKY,|CKY|DKR|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|FIH,|FIH|IST|CAN|MNL|ROR|YAP|
YAP|SCL,|SCL|YYZ|NRT|GUM|YAP|
YAP|LCA,|LCA|FRA|TSE|URC|CAN|MNL|ROR|YAP|
YAP|NAP,|NAP|IST|CAN|MNL|ROR|YAP|
YAP|VLC,|VLC|IST|CAN|MNL|ROR|YAP|
YAP|BKK,|BKK|CAN|MNL|ROR|YAP|
YAP|ADD,|ADD|IST|CAN|MNL|ROR|YAP|
YAP|FRA,|FRA|TSE|URC|CAN|MNL|ROR|YAP|
YAP|IST,|IST|CAN|MNL|ROR|YAP|
YAP|EBB,|EBB|KGL|IST|CAN|MNL|ROR|YAP|
YAP|YLW,|YLW|YVR|NRT|GUM|YAP|
YAP|YYT,|YYT|YYZ|NRT|GUM|YAP|
YAP|GUA,|GUA|IAH|HNL|GUM|YAP|
YAP|EWR,|EWR|NRT|GUM|YAP|
YAP|IAD,|IAD|NRT|GUM|YAP|
YAP|IAH,|IAH|HNL|GUM|YAP|
YAP|ORD,|ORD|NRT|GUM|YAP|
YAP|SOF,|SOF|IST|CAN|MNL|ROR|YAP|
YAP|YQB,|YQB|YYZ|NRT|GUM|YAP|
YAP|YXU,|YXU|YYZ|NRT|GUM|YAP|
YAP|EZE,|EZE|IAH|HNL|GUM|YAP|
YAP|YYJ,|YYJ|YVR|NRT|GUM|YAP|
YAP|YYY,|YYY|YUL|YYZ|NRT|GUM|YAP|
YAP|YQQ,|YQQ|YBL|YVR|NRT|GUM|YAP|
YAP|YYR,|YYR|YWK|YZV|YQB|YYZ|NRT|GUM|YAP|
YAP|LHR,|LHR|CAN|MNL|ROR|YAP|
YAP|SFO,|SFO|HNL|GUM|YAP|
YAP|YQU,|YQU|YYC|NRT|GUM|YAP|
YAP|YZF,|YZF|YYC|NRT|GUM|YAP|
YAP|YGR,|YGR|YGP|YQB|YYZ|NRT|GUM|YAP|
YAP|YGP,|YGP|YQB|YYZ|NRT|GUM|YAP|
YAP|BOS,|BOS|YYZ|NRT|GUM|YAP|
YAP|YDF,|YDF|YYZ|NRT|GUM|YAP|
YAP|YFC,|YFC|YYZ|NRT|GUM|YAP|
YAP|YQM,|YQM|YYZ|NRT|GUM|YAP|
YAP|YQX,|YQX|YHZ|YYZ|NRT|GUM|YAP|
YAP|YQY,|YQY|YYZ|NRT|GUM|YAP|
YAP|YSJ,|YSJ|YYZ|NRT|GUM|YAP|
YAP|YYG,|YYG|YYZ|NRT|GUM|YAP|
YAP|LAX,|LAX|HNL|GUM|YAP|
YAP|DCA,|DCA|YYZ|NRT|GUM|YAP|
YAP|LGA,|LGA|YYZ|NRT|GUM|YAP|
YAP|YZV,|YZV|YQB|YYZ|NRT|GUM|YAP|
YAP|YWL,|YWL|YVR|NRT|GUM|YAP|
YAP|AZS,|AZS|YYZ|NRT|GUM|YAP|
YAP|BDL,|BDL|YYZ|NRT|GUM|YAP|
YAP|CCC,|CCC|YYZ|NRT|GUM|YAP|
YAP|CDG,|CDG|CAN|MNL|ROR|YAP|
YAP|CUN,|CUN|LAX|HNL|GUM|YAP|
YAP|CZM,|CZM|IAH|HNL|GUM|YAP|
YAP|FDF,|FDF|YUL|YYZ|NRT|GUM|YAP|
YAP|FLL,|FLL|IAH|HNL|GUM|YAP|
YAP|GVA,|GVA|IST|CAN|MNL|ROR|YAP|
YAP|HOG,|HOG|YYZ|NRT|GUM|YAP|
YAP|LAS,|LAS|LAX|HNL|GUM|YAP|
YAP|MBJ,|MBJ|IAH|HNL|GUM|YAP|
YAP|MCO,|MCO|IAH|HNL|GUM|YAP|
YAP|MUC,|MUC|IST|CAN|MNL|ROR|YAP|
YAP|PAP,|PAP|YUL|YYZ|NRT|GUM|YAP|
YAP|PTP,|PTP|YUL|YYZ|NRT|GUM|YAP|
YAP|PUJ,|PUJ|ATL|LAX|HNL|GUM|YAP|
YAP|SNU,|SNU|YYZ|NRT|GUM|YAP|
YAP|VRA,|VRA|YYC|NRT|GUM|YAP|
YAP|YBC,|YBC|YUL|YYZ|NRT|GUM|YAP|
YAP|YBG,|YBG|YUL|YYZ|NRT|GUM|YAP|
YAP|YTZ,|YTZ|YUL|YYZ|NRT|GUM|YAP|
YAP|YUY,|YUY|YUL|YYZ|NRT|GUM|YAP|
YAP|YVO,|YVO|YUL|YYZ|NRT|GUM|YAP|
YAP|ZBF,|ZBF|YUL|YYZ|NRT|GUM|YAP|
YAP|ZRH,|ZRH|IST|CAN|MNL|ROR|YAP|
YAP|ZSA,|ZSA|YUL|YYZ|NRT|GUM|YAP|
YAP|AKL,|AKL|CAN|MNL|ROR|YAP|
YAP|HKG,|HKG|CAN|MNL|ROR|YAP|
YAP|HND,|HND|HNL|GUM|YAP|
YAP|HNL,|HNL|GUM|YAP|
YAP|MEX,|MEX|LAX|HNL|GUM|YAP|
YAP|OGG,|OGG|HNL|GUM|YAP|
YAP|PDX,|PDX|SEA|NRT|GUM|YAP|
YAP|PEK,|PEK|ICN|FUK|GUM|YAP|
YAP|PVG,|PVG|CAN|MNL|ROR|YAP|
YAP|PVR,|PVR|LAX|HNL|GUM|YAP|
YAP|SEA,|SEA|NRT|GUM|YAP|
YAP|SYD,|SYD|CAN|MNL|ROR|YAP|
YAP|YBL,|YBL|YVR|NRT|GUM|YAP|
YAP|YCD,|YCD|YVR|NRT|GUM|YAP|
YAP|YCG,|YCG|YVR|NRT|GUM|YAP|
YAP|YKA,|YKA|YVR|NRT|GUM|YAP|
YAP|YPR,|YPR|YVR|NRT|GUM|YAP|
YAP|YQZ,|YQZ|YVR|NRT|GUM|YAP|
YAP|YXC,|YXC|YVR|NRT|GUM|YAP|
YAP|YXJ,|YXJ|YVR|NRT|GUM|YAP|
YAP|YXS,|YXS|YVR|NRT|GUM|YAP|
YAP|YXT,|YXT|YVR|NRT|GUM|YAP|
YAP|YXY,|YXY|YVR|NRT|GUM|YAP|
YAP|YYD,|YYD|YVR|NRT|GUM|YAP|
YAP|YYF,|YYF|YVR|NRT|GUM|YAP|
YAP|YZP,|YZP|YVR|NRT|GUM|YAP|
YAP|YQT,|YQT|YWG|YYC|NRT|GUM|YAP|
YAP|SJD,|SJD|LAX|HNL|GUM|YAP|
YAP|YQF,|YQF|YYC|NRT|GUM|YAP|
YAP|YQL,|YQL|YYC|NRT|GUM|YAP|
YAP|YXH,|YXH|YYC|NRT|GUM|YAP|
YAP|YWK,|YWK|YZV|YQB|YYZ|NRT|GUM|YAP|
YAP|ANU,|ANU|EWR|NRT|GUM|YAP|
YAP|AUA,|AUA|ATL|LAX|HNL|GUM|YAP|
YAP|AUH,|AUH|IST|CAN|MNL|ROR|YAP|
YAP|BCN,|BCN|IST|CAN|MNL|ROR|YAP|
YAP|BDA,|BDA|EWR|NRT|GUM|YAP|
YAP|BGI,|BGI|YYZ|NRT|GUM|YAP|
YAP|BNA,|BNA|LAX|HNL|GUM|YAP|
YAP|BOG,|BOG|IAH|HNL|GUM|YAP|
YAP|BWI,|BWI|YYZ|NRT|GUM|YAP|
YAP|CLE,|CLE|ORD|NRT|GUM|YAP|
YAP|CLT,|CLT|ORD|NRT|GUM|YAP|
YAP|CMH,|CMH|ORD|NRT|GUM|YAP|
YAP|CVG,|CVG|ORD|NRT|GUM|YAP|
YAP|DFW,|DFW|LAX|HNL|GUM|YAP|
YAP|DTW,|DTW|ORD|NRT|GUM|YAP|
YAP|DUB,|DUB|IST|CAN|MNL|ROR|YAP|
YAP|FCO,|FCO|IST|CAN|MNL|ROR|YAP|
YAP|GCM,|GCM|IAH|HNL|GUM|YAP|
YAP|GGT,|GGT|FLL|IAH|HNL|GUM|YAP|
YAP|GND,|GND|YYZ|NRT|GUM|YAP|
YAP|GRU,|GRU|IAH|HNL|GUM|YAP|
YAP|HAV,|HAV|YYZ|NRT|GUM|YAP|
YAP|IND,|IND|ORD|NRT|GUM|YAP|
YAP|JFK,|JFK|NRT|GUM|YAP|
YAP|KIN,|KIN|YYZ|NRT|GUM|YAP|
YAP|LIM,|LIM|IAH|HNL|GUM|YAP|
YAP|LIR,|LIR|IAH|HNL|GUM|YAP|
YAP|MCI,|MCI|SFO|HNL|GUM|YAP|
YAP|MDT,|MDT|YYZ|NRT|GUM|YAP|
YAP|MIA,|MIA|IAH|HNL|GUM|YAP|
YAP|MKE,|MKE|ORD|NRT|GUM|YAP|
YAP|MSP,|MSP|SFO|HNL|GUM|YAP|
YAP|NAS,|NAS|IAH|HNL|GUM|YAP|
YAP|PHL,|PHL|YYZ|NRT|GUM|YAP|
YAP|PHX,|PHX|LAX|HNL|GUM|YAP|
YAP|PIT,|PIT|YYZ|NRT|GUM|YAP|
YAP|PLS,|PLS|YYZ|NRT|GUM|YAP|
YAP|POP,|POP|YYZ|NRT|GUM|YAP|
