YBC|BRU,|BRU|YUL|YBC|
YBC|OUA,|OUA|BRU|YUL|YBC|
YBC|JED,|JED|FRA|YUL|YBC|
YBC|CPH,|CPH|YYZ|YUL|YBC|
YBC|YYZ,|YYZ|YUL|YBC|
YBC|DEN,|DEN|YUL|YBC|
YBC|YUL,|YUL|YBC|
YBC|NBO,|NBO|ZRH|YUL|YBC|
YBC|ICN,|ICN|JFK|YUL|YBC|
YBC|NRT,|NRT|YYZ|YUL|YBC|
YBC|YHZ,|YHZ|YUL|YBC|
YBC|YOW,|YOW|YUL|YBC|
YBC|BJM,|BJM|BRU|YUL|YBC|
YBC|COO,|COO|BRU|YUL|YBC|
YBC|DKR,|DKR|IAD|YUL|YBC|
YBC|DLA,|DLA|BRU|YUL|YBC|
YBC|KGL,|KGL|BRU|YUL|YBC|
YBC|LAD,|LAD|BRU|YUL|YBC|
YBC|ABJ,|ABJ|BRU|YUL|YBC|
YBC|AMS,|AMS|EWR|YUL|YBC|
YBC|OSL,|OSL|EWR|YUL|YBC|
YBC|VNO,|VNO|FRA|YUL|YBC|
YBC|WAW,|WAW|YYZ|YUL|YBC|
YBC|YYC,|YYC|YUL|YBC|
YBC|ATL,|ATL|IAD|YUL|YBC|
YBC|MSY,|MSY|YYZ|YUL|YBC|
YBC|YEG,|YEG|YUL|YBC|
YBC|YMM,|YMM|YYZ|YUL|YBC|
YBC|YQR,|YQR|YWG|YUL|YBC|
YBC|YVR,|YVR|YUL|YBC|
YBC|YWG,|YWG|YUL|YBC|
YBC|YXE,|YXE|YWG|YUL|YBC|
YBC|CKY,|CKY|DKR|IAD|YUL|YBC|
YBC|FIH,|FIH|DLA|BRU|YUL|YBC|
YBC|SCL,|SCL|YYZ|YUL|YBC|
YBC|LCA,|LCA|FRA|YUL|YBC|
YBC|NAP,|NAP|FRA|YUL|YBC|
YBC|VLC,|VLC|FRA|YUL|YBC|
YBC|BKK,|BKK|CGO|PEK|YYZ|YUL|YBC|
YBC|ADD,|ADD|JED|FRA|YUL|YBC|
YBC|FRA,|FRA|YUL|YBC|
YBC|IST,|IST|FRA|YUL|YBC|
YBC|EBB,|EBB|KGL|BRU|YUL|YBC|
YBC|YLW,|YLW|YYC|YUL|YBC|
YBC|YYT,|YYT|YUL|YBC|
YBC|GUA,|GUA|IAD|YUL|YBC|
YBC|EWR,|EWR|YUL|YBC|
YBC|IAD,|IAD|YUL|YBC|
YBC|IAH,|IAH|YUL|YBC|
YBC|ORD,|ORD|YUL|YBC|
YBC|SOF,|SOF|MUC|YUL|YBC|
YBC|YQB,|YQB|YUL|YBC|
YBC|YXU,|YXU|YYZ|YUL|YBC|
YBC|EZE,|EZE|GRU|EWR|YUL|YBC|
YBC|YYJ,|YYJ|YYC|YUL|YBC|
YBC|YYY,|YYY|YBC|
YBC|YQQ,|YQQ|YYC|YUL|YBC|
YBC|YYR,|YYR|YWK|YZV|YUL|YBC|
YBC|LHR,|LHR|YUL|YBC|
YBC|SFO,|SFO|YUL|YBC|
YBC|YQU,|YQU|YEG|YUL|YBC|
YBC|YZF,|YZF|YEG|YUL|YBC|
YBC|YGR,|YGR|YGP|YQB|YUL|YBC|
YBC|YGP,|YGP|YQB|YUL|YBC|
YBC|BOS,|BOS|YUL|YBC|
YBC|YDF,|YDF|YHZ|YUL|YBC|
YBC|YFC,|YFC|YUL|YBC|
YBC|YQM,|YQM|YUL|YBC|
YBC|YQX,|YQX|YHZ|YUL|YBC|
YBC|YQY,|YQY|YHZ|YUL|YBC|
YBC|YSJ,|YSJ|YUL|YBC|
YBC|YYG,|YYG|YUL|YBC|
YBC|LAX,|LAX|YUL|YBC|
YBC|DCA,|DCA|YUL|YBC|
YBC|LGA,|LGA|YUL|YBC|
YBC|YZV,|YZV|YUL|YBC|
YBC|YWL,|YWL|YVR|YUL|YBC|
YBC|AZS,|AZS|YUL|YBC|
YBC|BDL,|BDL|YUL|YBC|
YBC|CCC,|CCC|YUL|YBC|
YBC|CDG,|CDG|YUL|YBC|
YBC|CUN,|CUN|YUL|YBC|
YBC|CZM,|CZM|YUL|YBC|
YBC|FDF,|FDF|YUL|YBC|
YBC|FLL,|FLL|YUL|YBC|
YBC|GVA,|GVA|YUL|YBC|
YBC|HOG,|HOG|YUL|YBC|
YBC|LAS,|LAS|YUL|YBC|
YBC|MBJ,|MBJ|YUL|YBC|
YBC|MCO,|MCO|YUL|YBC|
YBC|MUC,|MUC|YUL|YBC|
YBC|PAP,|PAP|YUL|YBC|
YBC|PTP,|PTP|YUL|YBC|
YBC|PUJ,|PUJ|YUL|YBC|
YBC|SNU,|SNU|YUL|YBC|
YBC|VRA,|VRA|YUL|YBC|
YBC|YBG,|YBG|YUL|YBC|
YBC|YTZ,|YTZ|YUL|YBC|
YBC|YUY,|YUY|YUL|YBC|
YBC|YVO,|YVO|YUL|YBC|
YBC|ZBF,|ZBF|YUL|YBC|
