YBL|BRU,|BRU|YUL|YYC|YQQ|YBL|
YBL|OUA,|OUA|BRU|YUL|YYC|YQQ|YBL|
YBL|JED,|JED|FRA|YVR|YQQ|YBL|
YBL|CPH,|CPH|YYZ|YYC|YQQ|YBL|
YBL|YYZ,|YYZ|YYC|YQQ|YBL|
YBL|DEN,|DEN|YVR|YQQ|YBL|
YBL|YUL,|YUL|YYC|YQQ|YBL|
YBL|NBO,|NBO|IST|MUC|YVR|YQQ|YBL|
YBL|ICN,|ICN|YVR|YQQ|YBL|
YBL|NRT,|NRT|YVR|YQQ|YBL|
YBL|YHZ,|YHZ|YYC|YQQ|YBL|
YBL|YOW,|YOW|YYC|YQQ|YBL|
YBL|BJM,|BJM|BRU|YUL|YYC|YQQ|YBL|
YBL|COO,|COO|BRU|YUL|YYC|YQQ|YBL|
YBL|DKR,|DKR|IAD|ORD|YVR|YQQ|YBL|
YBL|DLA,|DLA|IST|MUC|YVR|YQQ|YBL|
YBL|KGL,|KGL|IST|MUC|YVR|YQQ|YBL|
YBL|LAD,|LAD|BRU|YUL|YYC|YQQ|YBL|
YBL|ABJ,|ABJ|BRU|YUL|YYC|YQQ|YBL|
YBL|AMS,|AMS|ORD|YVR|YQQ|YBL|
YBL|OSL,|OSL|EWR|YYC|YQQ|YBL|
YBL|VNO,|VNO|FRA|YVR|YQQ|YBL|
YBL|WAW,|WAW|YYZ|YYC|YQQ|YBL|
YBL|YYC,|YYC|YQQ|YBL|
YBL|ATL,|ATL|DEN|YVR|YQQ|YBL|
YBL|MSY,|MSY|DEN|YVR|YQQ|YBL|
YBL|YEG,|YEG|YQQ|YBL|
YBL|YMM,|YMM|YEG|YQQ|YBL|
YBL|YQR,|YQR|YYC|YQQ|YBL|
YBL|YVR,|YVR|YQQ|YBL|
YBL|YWG,|YWG|YYC|YQQ|YBL|
YBL|YXE,|YXE|YYC|YQQ|YBL|
YBL|CKY,|CKY|DKR|IAD|ORD|YVR|YQQ|YBL|
YBL|FIH,|FIH|IST|MUC|YVR|YQQ|YBL|
YBL|SCL,|SCL|YYZ|YYC|YQQ|YBL|
YBL|LCA,|LCA|FRA|YVR|YQQ|YBL|
YBL|NAP,|NAP|FRA|YVR|YQQ|YBL|
YBL|VLC,|VLC|FRA|YVR|YQQ|YBL|
YBL|BKK,|BKK|CGO|PEK|YVR|YQQ|YBL|
YBL|ADD,|ADD|IST|MUC|YVR|YQQ|YBL|
YBL|FRA,|FRA|YVR|YQQ|YBL|
YBL|IST,|IST|MUC|YVR|YQQ|YBL|
YBL|EBB,|EBB|KGL|IST|MUC|YVR|YQQ|YBL|
YBL|YLW,|YLW|YVR|YQQ|YBL|
YBL|YYT,|YYT|YUL|YYC|YQQ|YBL|
YBL|GUA,|GUA|IAH|YVR|YQQ|YBL|
YBL|EWR,|EWR|YYC|YQQ|YBL|
YBL|IAD,|IAD|ORD|YVR|YQQ|YBL|
YBL|IAH,|IAH|YVR|YQQ|YBL|
YBL|ORD,|ORD|YVR|YQQ|YBL|
YBL|SOF,|SOF|MUC|YVR|YQQ|YBL|
YBL|YQB,|YQB|YUL|YYC|YQQ|YBL|
YBL|YXU,|YXU|YYC|YQQ|YBL|
YBL|EZE,|EZE|IAH|YVR|YQQ|YBL|
YBL|YYJ,|YYJ|YVR|YQQ|YBL|
YBL|YYY,|YYY|YUL|YYC|YQQ|YBL|
YBL|YQQ,|YQQ|YBL|
YBL|YYR,|YYR|YWK|YZV|YUL|YYC|YQQ|YBL|
YBL|LHR,|LHR|YEG|YQQ|YBL|
YBL|SFO,|SFO|YVR|YQQ|YBL|
YBL|YQU,|YQU|YEG|YQQ|YBL|
YBL|YZF,|YZF|YEG|YQQ|YBL|
YBL|YGR,|YGR|YGP|YQB|YUL|YYC|YQQ|YBL|
YBL|YGP,|YGP|YQB|YUL|YYC|YQQ|YBL|
YBL|BOS,|BOS|YOW|YYC|YQQ|YBL|
YBL|YDF,|YDF|YHZ|YYC|YQQ|YBL|
YBL|YFC,|YFC|YUL|YYC|YQQ|YBL|
YBL|YQM,|YQM|YUL|YYC|YQQ|YBL|
YBL|YQX,|YQX|YHZ|YYC|YQQ|YBL|
YBL|YQY,|YQY|YHZ|YYC|YQQ|YBL|
YBL|YSJ,|YSJ|YUL|YYC|YQQ|YBL|
YBL|YYG,|YYG|YUL|YYC|YQQ|YBL|
YBL|LAX,|LAX|YVR|YQQ|YBL|
YBL|DCA,|DCA|ORD|YVR|YQQ|YBL|
YBL|LGA,|LGA|YYZ|YYC|YQQ|YBL|
YBL|YZV,|YZV|YUL|YYC|YQQ|YBL|
YBL|YWL,|YWL|YVR|YQQ|YBL|
YBL|AZS,|AZS|YYZ|YYC|YQQ|YBL|
YBL|BDL,|BDL|YYZ|YYC|YQQ|YBL|
YBL|CCC,|CCC|YYZ|YYC|YQQ|YBL|
YBL|CDG,|CDG|YUL|YYC|YQQ|YBL|
YBL|CUN,|CUN|YVR|YQQ|YBL|
YBL|CZM,|CZM|IAH|YVR|YQQ|YBL|
YBL|FDF,|FDF|YUL|YYC|YQQ|YBL|
YBL|FLL,|FLL|DEN|YVR|YQQ|YBL|
YBL|GVA,|GVA|YUL|YYC|YQQ|YBL|
YBL|HOG,|HOG|YYZ|YYC|YQQ|YBL|
YBL|LAS,|LAS|YVR|YQQ|YBL|
YBL|MBJ,|MBJ|IAH|YVR|YQQ|YBL|
YBL|MCO,|MCO|DEN|YVR|YQQ|YBL|
YBL|MUC,|MUC|YVR|YQQ|YBL|
YBL|PAP,|PAP|YUL|YYC|YQQ|YBL|
YBL|PTP,|PTP|YUL|YYC|YQQ|YBL|
YBL|PUJ,|PUJ|ORD|YVR|YQQ|YBL|
YBL|SNU,|SNU|YYZ|YYC|YQQ|YBL|
