YDF|BRU,|BRU|YUL|YHZ|YDF|
YDF|OUA,|OUA|NIM|IST|LHR|YYT|YDF|
YDF|JED,|JED|IST|LHR|YYT|YDF|
YDF|CPH,|CPH|YYZ|YDF|
YDF|YYZ,|YYZ|YDF|
YDF|DEN,|DEN|YYZ|YDF|
YDF|YUL,|YUL|YHZ|YDF|
YDF|NBO,|NBO|IST|LHR|YYT|YDF|
YDF|ICN,|ICN|JFK|YUL|YHZ|YDF|
YDF|NRT,|NRT|YYZ|YDF|
YDF|YHZ,|YHZ|YDF|
YDF|YOW,|YOW|YHZ|YDF|
YDF|BJM,|BJM|BRU|YUL|YHZ|YDF|
YDF|COO,|COO|BRU|YUL|YHZ|YDF|
YDF|DKR,|DKR|IAD|LGA|YHZ|YDF|
YDF|DLA,|DLA|IST|LHR|YYT|YDF|
YDF|KGL,|KGL|IST|LHR|YYT|YDF|
YDF|LAD,|LAD|BRU|YUL|YHZ|YDF|
YDF|ABJ,|ABJ|OUA|NIM|IST|LHR|YYT|YDF|
YDF|AMS,|AMS|EWR|YHZ|YDF|
YDF|OSL,|OSL|EWR|YHZ|YDF|
YDF|VNO,|VNO|IST|LHR|YYT|YDF|
YDF|WAW,|WAW|IST|LHR|YYT|YDF|
YDF|YYC,|YYC|YHZ|YDF|
YDF|ATL,|ATL|LGA|YHZ|YDF|
YDF|MSY,|MSY|LGA|YHZ|YDF|
YDF|YEG,|YEG|YUL|YHZ|YDF|
YDF|YMM,|YMM|YYZ|YDF|
YDF|YQR,|YQR|YWG|YUL|YHZ|YDF|
YDF|YVR,|YVR|YYC|YHZ|YDF|
YDF|YWG,|YWG|YUL|YHZ|YDF|
YDF|YXE,|YXE|YWG|YUL|YHZ|YDF|
YDF|CKY,|CKY|DKR|IAD|LGA|YHZ|YDF|
YDF|FIH,|FIH|IST|LHR|YYT|YDF|
YDF|SCL,|SCL|YYZ|YDF|
YDF|LCA,|LCA|FRA|BOS|YHZ|YDF|
YDF|NAP,|NAP|IST|LHR|YYT|YDF|
YDF|VLC,|VLC|FRA|BOS|YHZ|YDF|
YDF|BKK,|BKK|IST|LHR|YYT|YDF|
YDF|ADD,|ADD|IST|LHR|YYT|YDF|
YDF|FRA,|FRA|BOS|YHZ|YDF|
YDF|IST,|IST|LHR|YYT|YDF|
YDF|EBB,|EBB|KGL|IST|LHR|YYT|YDF|
YDF|YLW,|YLW|YYC|YHZ|YDF|
YDF|YYT,|YYT|YDF|
YDF|GUA,|GUA|EWR|YHZ|YDF|
YDF|EWR,|EWR|YHZ|YDF|
YDF|IAD,|IAD|LGA|YHZ|YDF|
YDF|IAH,|IAH|YYZ|YDF|
YDF|ORD,|ORD|YYZ|YDF|
YDF|SOF,|SOF|IST|LHR|YYT|YDF|
YDF|YQB,|YQB|YUL|YHZ|YDF|
YDF|YXU,|YXU|YYZ|YDF|
YDF|EZE,|EZE|GRU|EWR|YHZ|YDF|
YDF|YYJ,|YYJ|YYC|YHZ|YDF|
YDF|YYY,|YYY|YUL|YHZ|YDF|
YDF|YQQ,|YQQ|YYC|YHZ|YDF|
YDF|YYR,|YYR|YDF|
YDF|LHR,|LHR|YYT|YDF|
YDF|SFO,|SFO|YYZ|YDF|
YDF|YQU,|YQU|YEG|YUL|YHZ|YDF|
YDF|YZF,|YZF|YEG|YUL|YHZ|YDF|
YDF|YGR,|YGR|YGP|YQB|YUL|YHZ|YDF|
YDF|YGP,|YGP|YQB|YUL|YHZ|YDF|
YDF|BOS,|BOS|YHZ|YDF|
YDF|YFC,|YFC|YHZ|YDF|
YDF|YQM,|YQM|YHZ|YDF|
YDF|YQX,|YQX|YYT|YDF|
YDF|YQY,|YQY|YHZ|YDF|
YDF|YSJ,|YSJ|YHZ|YDF|
YDF|YYG,|YYG|YHZ|YDF|
YDF|LAX,|LAX|YYZ|YDF|
YDF|DCA,|DCA|EWR|YHZ|YDF|
YDF|LGA,|LGA|YHZ|YDF|
YDF|YZV,|YZV|YWK|YYR|YDF|
YDF|YWL,|YWL|YVR|YYC|YHZ|YDF|
YDF|AZS,|AZS|YUL|YHZ|YDF|
YDF|BDL,|BDL|YUL|YHZ|YDF|
YDF|CCC,|CCC|YUL|YHZ|YDF|
YDF|CDG,|CDG|YUL|YHZ|YDF|
YDF|CUN,|CUN|YHZ|YDF|
YDF|CZM,|CZM|YUL|YHZ|YDF|
YDF|FDF,|FDF|YUL|YHZ|YDF|
YDF|FLL,|FLL|MCO|YHZ|YDF|
YDF|GVA,|GVA|YUL|YHZ|YDF|
YDF|HOG,|HOG|YUL|YHZ|YDF|
YDF|LAS,|LAS|YYZ|YDF|
YDF|MBJ,|MBJ|YHZ|YDF|
YDF|MCO,|MCO|YHZ|YDF|
YDF|MUC,|MUC|BOS|YHZ|YDF|
YDF|PAP,|PAP|YUL|YHZ|YDF|
YDF|PTP,|PTP|YUL|YHZ|YDF|
YDF|PUJ,|PUJ|YHZ|YDF|
YDF|SNU,|SNU|YUL|YHZ|YDF|
YDF|VRA,|VRA|YUL|YHZ|YDF|
YDF|YBC,|YBC|YUL|YHZ|YDF|
YDF|YBG,|YBG|YUL|YHZ|YDF|
YDF|YTZ,|YTZ|YUL|YHZ|YDF|
YDF|YUY,|YUY|YUL|YHZ|YDF|
YDF|YVO,|YVO|YUL|YHZ|YDF|
YDF|ZBF,|ZBF|YUL|YHZ|YDF|
YDF|ZRH,|ZRH|BOS|YHZ|YDF|
YDF|ZSA,|ZSA|YUL|YHZ|YDF|
YDF|AKL,|AKL|LAX|YYZ|YDF|
YDF|HKG,|HKG|CAN|LHR|YYT|YDF|
YDF|HND,|HND|YVR|YYC|YHZ|YDF|
YDF|HNL,|HNL|SFO|YYZ|YDF|
YDF|MEX,|MEX|EWR|YHZ|YDF|
YDF|OGG,|OGG|SFO|YYZ|YDF|
YDF|PDX,|PDX|YYC|YHZ|YDF|
YDF|PEK,|PEK|YYZ|YDF|
YDF|PVG,|PVG|YYZ|YDF|
YDF|PVR,|PVR|IAH|YYZ|YDF|
YDF|SEA,|SEA|YYZ|YDF|
YDF|SYD,|SYD|LAX|YYZ|YDF|
YDF|YBL,|YBL|YVR|YYC|YHZ|YDF|
YDF|YCD,|YCD|YYC|YHZ|YDF|
YDF|YCG,|YCG|YYC|YHZ|YDF|
YDF|YKA,|YKA|YYC|YHZ|YDF|
YDF|YPR,|YPR|YVR|YYC|YHZ|YDF|
YDF|YQZ,|YQZ|YVR|YYC|YHZ|YDF|
YDF|YXC,|YXC|YYC|YHZ|YDF|
YDF|YXJ,|YXJ|YYC|YHZ|YDF|
