YEG|BRU,|BRU|YUL|YEG|
YEG|OUA,|OUA|BRU|YUL|YEG|
YEG|JED,|JED|IST|LHR|YEG|
YEG|CPH,|CPH|YYZ|YEG|
YEG|YYZ,|YYZ|YEG|
YEG|DEN,|DEN|YEG|
YEG|YUL,|YUL|YEG|
YEG|NBO,|NBO|IST|LHR|YEG|
YEG|ICN,|ICN|YVR|YEG|
YEG|NRT,|NRT|YYC|YEG|
YEG|YHZ,|YHZ|YUL|YEG|
YEG|YOW,|YOW|YEG|
YEG|BJM,|BJM|BRU|YUL|YEG|
YEG|COO,|COO|BRU|YUL|YEG|
YEG|DKR,|DKR|IAD|ORD|YEG|
YEG|DLA,|DLA|BRU|YUL|YEG|
YEG|KGL,|KGL|IST|LHR|YEG|
YEG|LAD,|LAD|BRU|YUL|YEG|
YEG|ABJ,|ABJ|BRU|YUL|YEG|
YEG|AMS,|AMS|ORD|YEG|
YEG|OSL,|OSL|EWR|YEG|
YEG|VNO,|VNO|FRA|YYC|YEG|
YEG|WAW,|WAW|YYZ|YEG|
YEG|YYC,|YYC|YEG|
YEG|ATL,|ATL|ORD|YEG|
YEG|MSY,|MSY|DEN|YEG|
YEG|YMM,|YMM|YEG|
YEG|YQR,|YQR|YEG|
YEG|YVR,|YVR|YEG|
YEG|YWG,|YWG|YEG|
YEG|YXE,|YXE|YEG|
YEG|CKY,|CKY|DKR|IAD|ORD|YEG|
YEG|FIH,|FIH|IST|LHR|YEG|
YEG|SCL,|SCL|YYZ|YEG|
YEG|LCA,|LCA|FRA|YYC|YEG|
YEG|NAP,|NAP|FRA|YYC|YEG|
YEG|VLC,|VLC|FRA|YYC|YEG|
YEG|BKK,|BKK|CGO|PEK|YVR|YEG|
YEG|ADD,|ADD|IST|LHR|YEG|
YEG|FRA,|FRA|YYC|YEG|
YEG|IST,|IST|LHR|YEG|
YEG|EBB,|EBB|KGL|IST|LHR|YEG|
YEG|YLW,|YLW|YEG|
YEG|YYT,|YYT|YUL|YEG|
YEG|GUA,|GUA|IAH|YEG|
YEG|EWR,|EWR|YEG|
YEG|IAD,|IAD|ORD|YEG|
YEG|IAH,|IAH|YEG|
YEG|ORD,|ORD|YEG|
YEG|SOF,|SOF|IST|LHR|YEG|
YEG|YQB,|YQB|YUL|YEG|
YEG|YXU,|YXU|YWG|YEG|
YEG|EZE,|EZE|IAH|YEG|
YEG|YYJ,|YYJ|YEG|
YEG|YYY,|YYY|YUL|YEG|
YEG|YQQ,|YQQ|YEG|
YEG|YYR,|YYR|YWK|YZV|YUL|YEG|
YEG|LHR,|LHR|YEG|
YEG|SFO,|SFO|YEG|
YEG|YQU,|YQU|YEG|
YEG|YZF,|YZF|YEG|
YEG|YGR,|YGR|YGP|YQB|YUL|YEG|
YEG|YGP,|YGP|YQB|YUL|YEG|
YEG|BOS,|BOS|YOW|YEG|
YEG|YDF,|YDF|YHZ|YUL|YEG|
YEG|YFC,|YFC|YUL|YEG|
YEG|YQM,|YQM|YUL|YEG|
YEG|YQX,|YQX|YHZ|YUL|YEG|
YEG|YQY,|YQY|YHZ|YUL|YEG|
YEG|YSJ,|YSJ|YUL|YEG|
YEG|YYG,|YYG|YUL|YEG|
YEG|LAX,|LAX|YEG|
YEG|DCA,|DCA|ORD|YEG|
YEG|LGA,|LGA|YYZ|YEG|
YEG|YZV,|YZV|YUL|YEG|
YEG|YWL,|YWL|YVR|YEG|
YEG|AZS,|AZS|YYZ|YEG|
YEG|BDL,|BDL|YYZ|YEG|
YEG|CCC,|CCC|YYZ|YEG|
YEG|CDG,|CDG|YUL|YEG|
YEG|CUN,|CUN|YEG|
YEG|CZM,|CZM|IAH|YEG|
YEG|FDF,|FDF|YUL|YEG|
YEG|FLL,|FLL|ORD|YEG|
YEG|GVA,|GVA|YUL|YEG|
YEG|HOG,|HOG|YYZ|YEG|
YEG|LAS,|LAS|YEG|
YEG|MBJ,|MBJ|ATL|ORD|YEG|
YEG|MCO,|MCO|ORD|YEG|
YEG|MUC,|MUC|YUL|YEG|
YEG|PAP,|PAP|YUL|YEG|
YEG|PTP,|PTP|YUL|YEG|
YEG|PUJ,|PUJ|ORD|YEG|
YEG|SNU,|SNU|YYZ|YEG|
YEG|VRA,|VRA|YYC|YEG|
YEG|YBC,|YBC|YUL|YEG|
YEG|YBG,|YBG|YUL|YEG|
YEG|YTZ,|YTZ|YUL|YEG|
YEG|YUY,|YUY|YUL|YEG|
YEG|YVO,|YVO|YUL|YEG|
YEG|ZBF,|ZBF|YUL|YEG|
YEG|ZRH,|ZRH|YUL|YEG|
YEG|ZSA,|ZSA|YUL|YEG|
YEG|AKL,|AKL|YVR|YEG|
YEG|HKG,|HKG|YVR|YEG|
YEG|HND,|HND|YVR|YEG|
YEG|HNL,|HNL|YVR|YEG|
YEG|MEX,|MEX|DEN|YEG|
YEG|OGG,|OGG|YVR|YEG|
YEG|PDX,|PDX|YYC|YEG|
YEG|PEK,|PEK|YVR|YEG|
YEG|PVG,|PVG|YVR|YEG|
YEG|PVR,|PVR|YEG|
YEG|SEA,|SEA|YVR|YEG|
YEG|SYD,|SYD|YVR|YEG|
YEG|YBL,|YBL|YVR|YEG|
YEG|YCD,|YCD|YVR|YEG|
YEG|YCG,|YCG|YYC|YEG|
YEG|YKA,|YKA|YYC|YEG|
YEG|YPR,|YPR|YVR|YEG|
YEG|YQZ,|YQZ|YVR|YEG|
YEG|YXC,|YXC|YYC|YEG|
YEG|YXJ,|YXJ|YYC|YEG|
YEG|YXS,|YXS|YYC|YEG|
YEG|YXT,|YXT|YVR|YEG|
YEG|YXY,|YXY|YVR|YEG|
YEG|YYD,|YYD|YVR|YEG|
YEG|YYF,|YYF|YVR|YEG|
YEG|YZP,|YZP|YVR|YEG|
YEG|YQT,|YQT|YWG|YEG|
YEG|SJD,|SJD|YYC|YEG|
YEG|YQF,|YQF|YYC|YEG|
YEG|YQL,|YQL|YYC|YEG|
YEG|YXH,|YXH|YYC|YEG|
YEG|YWK,|YWK|YZV|YUL|YEG|
YEG|ANU,|ANU|YYZ|YEG|
YEG|AUA,|AUA|ATL|ORD|YEG|
YEG|AUH,|AUH|IST|LHR|YEG|
YEG|BCN,|BCN|YYZ|YEG|
YEG|BDA,|BDA|YYZ|YEG|
YEG|BGI,|BGI|YYZ|YEG|
YEG|BNA,|BNA|ORD|YEG|
YEG|BOG,|BOG|IAH|YEG|
YEG|BWI,|BWI|YYZ|YEG|
YEG|CLE,|CLE|ORD|YEG|
YEG|CLT,|CLT|ORD|YEG|
YEG|CMH,|CMH|ORD|YEG|
YEG|CVG,|CVG|ORD|YEG|
YEG|DFW,|DFW|DEN|YEG|
YEG|DTW,|DTW|ORD|YEG|
YEG|DUB,|DUB|YYZ|YEG|
YEG|FCO,|FCO|YYZ|YEG|
YEG|GCM,|GCM|IAH|YEG|
YEG|GGT,|GGT|FLL|ORD|YEG|
YEG|GND,|GND|YYZ|YEG|
YEG|GRU,|GRU|ORD|YEG|
YEG|HAV,|HAV|YYZ|YEG|
YEG|IND,|IND|ORD|YEG|
YEG|JFK,|JFK|YYZ|YEG|
YEG|KIN,|KIN|YYZ|YEG|
YEG|LIM,|LIM|IAH|YEG|
YEG|LIR,|LIR|IAH|YEG|
YEG|MCI,|MCI|DEN|YEG|
YEG|MDT,|MDT|YYZ|YEG|
YEG|MIA,|MIA|ORD|YEG|
YEG|MKE,|MKE|ORD|YEG|
YEG|MSP,|MSP|DEN|YEG|
YEG|NAS,|NAS|ORD|YEG|
YEG|PHL,|PHL|YYZ|YEG|
YEG|PHX,|PHX|YEG|
YEG|PIT,|PIT|ORD|YEG|
YEG|PLS,|PLS|YYZ|YEG|
YEG|POP,|POP|YYZ|YEG|
YEG|RDU,|RDU|ORD|YEG|
YEG|ROC,|ROC|YYZ|YEG|
YEG|RSW,|RSW|ORD|YEG|
YEG|SAN,|SAN|YYC|YEG|
YEG|SJO,|SJO|IAH|YEG|
YEG|STL,|STL|ORD|YEG|
YEG|SYR,|SYR|YYZ|YEG|
YEG|TLV,|TLV|IST|LHR|YEG|
YEG|TPA,|TPA|ORD|YEG|
YEG|UVF,|UVF|YYZ|YEG|
YEG|VIE,|VIE|YYZ|YEG|
YEG|YAM,|YAM|YYZ|YEG|
YEG|YGK,|YGK|YYZ|YEG|
YEG|YQG,|YQG|YYC|YEG|
YEG|YSB,|YSB|YYZ|YEG|
YEG|YTS,|YTS|YYZ|YEG|
YEG|YYB,|YYB|YYZ|YEG|
YEG|YZR,|YZR|YYZ|YEG|
YEG|CAN,|CAN|YVR|YEG|
YEG|URC,|URC|PEK|YVR|YEG|
YEG|CTU,|CTU|PEK|YVR|YEG|
YEG|HGH,|HGH|DLC|ICN|YVR|YEG|
YEG|XMN,|XMN|PEK|YVR|YEG|
YEG|CGO,|CGO|PEK|YVR|YEG|
YEG|CSX,|CSX|ICN|YVR|YEG|
YEG|SHE,|SHE|ICN|YVR|YEG|
YEG|SJW,|SJW|DLC|ICN|YVR|YEG|
YEG|WUH,|WUH|ICN|YVR|YEG|
YEG|SZX,|SZX|PVG|YVR|YEG|
YEG|CKG,|CKG|PEK|YVR|YEG|
YEG|KMG,|KMG|PEK|YVR|YEG|
YEG|FOC,|FOC|PEK|YVR|YEG|
YEG|NNG,|NNG|PEK|YVR|YEG|
YEG|SWA,|SWA|PEK|YVR|YEG|
YEG|ACX,|ACX|CAN|YVR|YEG|
YEG|AQG,|AQG|CAN|YVR|YEG|
YEG|AVA,|AVA|CAN|YVR|YEG|
YEG|BFJ,|BFJ|CAN|YVR|YEG|
YEG|BHY,|BHY|CSX|ICN|YVR|YEG|
YEG|BNE,|BNE|CAN|YVR|YEG|
YEG|CGD,|CGD|PEK|YVR|YEG|
YEG|CGK,|CGK|CAN|YVR|YEG|
YEG|CGQ,|CGQ|ICN|YVR|YEG|
YEG|CIH,|CIH|PEK|YVR|YEG|
YEG|CNX,|CNX|CAN|YVR|YEG|
YEG|CZX,|CZX|SHE|ICN|YVR|YEG|
YEG|DAC,|DAC|CAN|YVR|YEG|
YEG|DAD,|DAD|CAN|YVR|YEG|
YEG|DEL,|DEL|IST|LHR|YEG|
YEG|DIG,|DIG|KMG|PEK|YVR|YEG|
YEG|DLC,|DLC|ICN|YVR|YEG|
YEG|DPS,|DPS|SZX|PVG|YVR|YEG|
YEG|DXB,|DXB|IST|LHR|YEG|
YEG|DYG,|DYG|PEK|YVR|YEG|
YEG|FUG,|FUG|CAN|YVR|YEG|
YEG|FUK,|FUK|ICN|YVR|YEG|
YEG|HAK,|HAK|CAN|YVR|YEG|
YEG|HAN,|HAN|PEK|YVR|YEG|
YEG|HDG,|HDG|CAN|YVR|YEG|
YEG|HET,|HET|DLC|ICN|YVR|YEG|
YEG|HFE,|HFE|TYN|DLC|ICN|YVR|YEG|
YEG|HJJ,|HJJ|CSX|ICN|YVR|YEG|
YEG|HKT,|HKT|KWE|PEK|YVR|YEG|
YEG|HRB,|HRB|ICN|YVR|YEG|
YEG|HZH,|HZH|CAN|YVR|YEG|
YEG|JIU,|JIU|CAN|YVR|YEG|
YEG|JJN,|JJN|PEK|YVR|YEG|
YEG|JNG,|JNG|CAN|YVR|YEG|
YEG|KHN,|KHN|DLC|ICN|YVR|YEG|
YEG|KIX,|KIX|SFO|YEG|
YEG|KOW,|KOW|PEK|YVR|YEG|
YEG|KTM,|KTM|CAN|YVR|YEG|
YEG|KUL,|KUL|PVG|YVR|YEG|
YEG|KWE,|KWE|PEK|YVR|YEG|
YEG|KWL,|KWL|PEK|YVR|YEG|
YEG|LHW,|LHW|CGO|PEK|YVR|YEG|
YEG|LYA,|LYA|KHN|DLC|ICN|YVR|YEG|
YEG|LYG,|LYG|HSN|PEK|YVR|YEG|
YEG|LZH,|LZH|CAN|YVR|YEG|
YEG|MEL,|MEL|SYD|YVR|YEG|
YEG|MIG,|MIG|CSX|ICN|YVR|YEG|
YEG|MLE,|MLE|IST|LHR|YEG|
YEG|MNL,|MNL|XMN|PEK|YVR|YEG|
YEG|MXZ,|MXZ|CAN|YVR|YEG|
YEG|NAO,|NAO|PEK|YVR|YEG|
YEG|NGB,|NGB|DLC|ICN|YVR|YEG|
YEG|NKG,|NKG|DLC|ICN|YVR|YEG|
YEG|NNY,|NNY|CGO|PEK|YVR|YEG|
YEG|PEN,|PEN|CAN|YVR|YEG|
YEG|PER,|PER|CAN|YVR|YEG|
YEG|PNH,|PNH|CAN|YVR|YEG|
YEG|REP,|REP|ICN|YVR|YEG|
YEG|RGN,|RGN|CAN|YVR|YEG|
YEG|SGN,|SGN|HKG|YVR|YEG|
YEG|SHA,|SHA|PEK|YVR|YEG|
YEG|SIN,|SIN|NRT|YYC|YEG|
YEG|SVO,|SVO|URC|PEK|YVR|YEG|
YEG|SYX,|SYX|CAN|YVR|YEG|
YEG|TAO,|TAO|DLC|ICN|YVR|YEG|
YEG|TEN,|TEN|PEK|YVR|YEG|
YEG|TNA,|TNA|DLC|ICN|YVR|YEG|
YEG|TPE,|TPE|PVG|YVR|YEG|
YEG|TSN,|TSN|DLC|ICN|YVR|YEG|
YEG|TXN,|TXN|DLC|ICN|YVR|YEG|
YEG|TYN,|TYN|DLC|ICN|YVR|YEG|
