YGK|BRU,|BRU|YUL|YYZ|YGK|
YGK|OUA,|OUA|BRU|YUL|YYZ|YGK|
YGK|JED,|JED|FRA|YYZ|YGK|
YGK|CPH,|CPH|YYZ|YGK|
YGK|YYZ,|YYZ|YGK|
YGK|DEN,|DEN|YYZ|YGK|
YGK|YUL,|YUL|YYZ|YGK|
YGK|NBO,|NBO|ZRH|YYZ|YGK|
YGK|ICN,|ICN|PEK|YYZ|YGK|
YGK|NRT,|NRT|YYZ|YGK|
YGK|YHZ,|YHZ|YYZ|YGK|
YGK|YOW,|YOW|YYZ|YGK|
YGK|BJM,|BJM|BRU|YUL|YYZ|YGK|
YGK|COO,|COO|BRU|YUL|YYZ|YGK|
YGK|DKR,|DKR|IAD|YYZ|YGK|
YGK|DLA,|DLA|BRU|YUL|YYZ|YGK|
YGK|KGL,|KGL|BRU|YUL|YYZ|YGK|
YGK|LAD,|LAD|BRU|YUL|YYZ|YGK|
YGK|ABJ,|ABJ|BRU|YUL|YYZ|YGK|
YGK|AMS,|AMS|EWR|YYZ|YGK|
YGK|OSL,|OSL|EWR|YYZ|YGK|
YGK|VNO,|VNO|CPH|YYZ|YGK|
YGK|WAW,|WAW|YYZ|YGK|
YGK|YYC,|YYC|YYZ|YGK|
YGK|ATL,|ATL|YYZ|YGK|
YGK|MSY,|MSY|YYZ|YGK|
YGK|YEG,|YEG|YYZ|YGK|
YGK|YMM,|YMM|YYZ|YGK|
YGK|YQR,|YQR|YYZ|YGK|
YGK|YVR,|YVR|YYZ|YGK|
YGK|YWG,|YWG|YYZ|YGK|
YGK|YXE,|YXE|YYZ|YGK|
YGK|CKY,|CKY|DKR|IAD|YYZ|YGK|
YGK|FIH,|FIH|DLA|BRU|YUL|YYZ|YGK|
YGK|SCL,|SCL|YYZ|YGK|
YGK|LCA,|LCA|FRA|YYZ|YGK|
YGK|NAP,|NAP|FRA|YYZ|YGK|
YGK|VLC,|VLC|FRA|YYZ|YGK|
YGK|BKK,|BKK|CGO|PEK|YYZ|YGK|
YGK|ADD,|ADD|JED|FRA|YYZ|YGK|
YGK|FRA,|FRA|YYZ|YGK|
YGK|IST,|IST|YYZ|YGK|
YGK|EBB,|EBB|KGL|BRU|YUL|YYZ|YGK|
YGK|YLW,|YLW|YYZ|YGK|
YGK|YYT,|YYT|YYZ|YGK|
YGK|GUA,|GUA|IAD|YYZ|YGK|
YGK|EWR,|EWR|YYZ|YGK|
YGK|IAD,|IAD|YYZ|YGK|
YGK|IAH,|IAH|YYZ|YGK|
YGK|ORD,|ORD|YYZ|YGK|
YGK|SOF,|SOF|MUC|YYZ|YGK|
YGK|YQB,|YQB|YYZ|YGK|
YGK|YXU,|YXU|YYZ|YGK|
YGK|EZE,|EZE|SCL|YYZ|YGK|
YGK|YYJ,|YYJ|YYZ|YGK|
YGK|YYY,|YYY|YUL|YYZ|YGK|
YGK|YQQ,|YQQ|YYC|YYZ|YGK|
YGK|YYR,|YYR|YWK|YZV|YQB|YYZ|YGK|
YGK|LHR,|LHR|YYZ|YGK|
YGK|SFO,|SFO|YYZ|YGK|
YGK|YQU,|YQU|YEG|YYZ|YGK|
YGK|YZF,|YZF|YEG|YYZ|YGK|
YGK|YGR,|YGR|YGP|YQB|YYZ|YGK|
YGK|YGP,|YGP|YQB|YYZ|YGK|
YGK|BOS,|BOS|YYZ|YGK|
YGK|YDF,|YDF|YYZ|YGK|
YGK|YFC,|YFC|YYZ|YGK|
YGK|YQM,|YQM|YYZ|YGK|
YGK|YQX,|YQX|YHZ|YYZ|YGK|
YGK|YQY,|YQY|YYZ|YGK|
YGK|YSJ,|YSJ|YYZ|YGK|
YGK|YYG,|YYG|YYZ|YGK|
YGK|LAX,|LAX|YYZ|YGK|
YGK|DCA,|DCA|YYZ|YGK|
YGK|LGA,|LGA|YYZ|YGK|
YGK|YZV,|YZV|YQB|YYZ|YGK|
YGK|YWL,|YWL|YVR|YYZ|YGK|
YGK|AZS,|AZS|YYZ|YGK|
YGK|BDL,|BDL|YYZ|YGK|
YGK|CCC,|CCC|YYZ|YGK|
YGK|CDG,|CDG|YYZ|YGK|
YGK|CUN,|CUN|YYZ|YGK|
YGK|CZM,|CZM|IAH|YYZ|YGK|
YGK|FDF,|FDF|YUL|YYZ|YGK|
YGK|FLL,|FLL|YYZ|YGK|
YGK|GVA,|GVA|YUL|YYZ|YGK|
YGK|HOG,|HOG|YYZ|YGK|
YGK|LAS,|LAS|YYZ|YGK|
YGK|MBJ,|MBJ|YYZ|YGK|
YGK|MCO,|MCO|YYZ|YGK|
YGK|MUC,|MUC|YYZ|YGK|
YGK|PAP,|PAP|YUL|YYZ|YGK|
YGK|PTP,|PTP|YUL|YYZ|YGK|
YGK|PUJ,|PUJ|YYZ|YGK|
YGK|SNU,|SNU|YYZ|YGK|
YGK|VRA,|VRA|YYZ|YGK|
YGK|YBC,|YBC|YUL|YYZ|YGK|
YGK|YBG,|YBG|YUL|YYZ|YGK|
YGK|YTZ,|YTZ|YUL|YYZ|YGK|
YGK|YUY,|YUY|YUL|YYZ|YGK|
YGK|YVO,|YVO|YUL|YYZ|YGK|
YGK|ZBF,|ZBF|YUL|YYZ|YGK|
YGK|ZRH,|ZRH|YYZ|YGK|
YGK|ZSA,|ZSA|YUL|YYZ|YGK|
YGK|AKL,|AKL|LAX|YYZ|YGK|
YGK|HKG,|HKG|YYZ|YGK|
YGK|HND,|HND|YVR|YYZ|YGK|
YGK|HNL,|HNL|SFO|YYZ|YGK|
YGK|MEX,|MEX|YYZ|YGK|
