YGR|BRU,|BRU|YUL|YQB|YGP|YGR|
YGR|OUA,|OUA|BRU|YUL|YQB|YGP|YGR|
YGR|JED,|JED|FRA|YUL|YQB|YGP|YGR|
YGR|CPH,|CPH|YYZ|YQB|YGP|YGR|
YGR|YYZ,|YYZ|YQB|YGP|YGR|
YGR|DEN,|DEN|YUL|YQB|YGP|YGR|
YGR|YUL,|YUL|YQB|YGP|YGR|
YGR|NBO,|NBO|ZRH|YUL|YQB|YGP|YGR|
YGR|ICN,|ICN|JFK|YUL|YQB|YGP|YGR|
YGR|NRT,|NRT|YYZ|YQB|YGP|YGR|
YGR|YHZ,|YHZ|YUL|YQB|YGP|YGR|
YGR|YOW,|YOW|YQB|YGP|YGR|
YGR|BJM,|BJM|BRU|YUL|YQB|YGP|YGR|
YGR|COO,|COO|BRU|YUL|YQB|YGP|YGR|
YGR|DKR,|DKR|IAD|YUL|YQB|YGP|YGR|
YGR|DLA,|DLA|BRU|YUL|YQB|YGP|YGR|
YGR|KGL,|KGL|BRU|YUL|YQB|YGP|YGR|
YGR|LAD,|LAD|BRU|YUL|YQB|YGP|YGR|
YGR|ABJ,|ABJ|BRU|YUL|YQB|YGP|YGR|
YGR|AMS,|AMS|EWR|YQB|YGP|YGR|
YGR|OSL,|OSL|EWR|YQB|YGP|YGR|
YGR|VNO,|VNO|FRA|YUL|YQB|YGP|YGR|
YGR|WAW,|WAW|YYZ|YQB|YGP|YGR|
YGR|YYC,|YYC|YUL|YQB|YGP|YGR|
YGR|ATL,|ATL|IAD|YUL|YQB|YGP|YGR|
YGR|MSY,|MSY|YYZ|YQB|YGP|YGR|
YGR|YEG,|YEG|YUL|YQB|YGP|YGR|
YGR|YMM,|YMM|YYZ|YQB|YGP|YGR|
YGR|YQR,|YQR|YWG|YUL|YQB|YGP|YGR|
YGR|YVR,|YVR|YUL|YQB|YGP|YGR|
YGR|YWG,|YWG|YUL|YQB|YGP|YGR|
YGR|YXE,|YXE|YWG|YUL|YQB|YGP|YGR|
YGR|CKY,|CKY|DKR|IAD|YUL|YQB|YGP|YGR|
YGR|FIH,|FIH|DLA|BRU|YUL|YQB|YGP|YGR|
YGR|SCL,|SCL|YYZ|YQB|YGP|YGR|
YGR|LCA,|LCA|FRA|YUL|YQB|YGP|YGR|
YGR|NAP,|NAP|FRA|YUL|YQB|YGP|YGR|
YGR|VLC,|VLC|FRA|YUL|YQB|YGP|YGR|
YGR|BKK,|BKK|CGO|PEK|YYZ|YQB|YGP|YGR|
YGR|ADD,|ADD|JED|FRA|YUL|YQB|YGP|YGR|
YGR|FRA,|FRA|YUL|YQB|YGP|YGR|
YGR|IST,|IST|FRA|YUL|YQB|YGP|YGR|
YGR|EBB,|EBB|KGL|BRU|YUL|YQB|YGP|YGR|
YGR|YLW,|YLW|YYC|YUL|YQB|YGP|YGR|
YGR|YYT,|YYT|YUL|YQB|YGP|YGR|
YGR|GUA,|GUA|IAD|YUL|YQB|YGP|YGR|
YGR|EWR,|EWR|YQB|YGP|YGR|
YGR|IAD,|IAD|YUL|YQB|YGP|YGR|
YGR|IAH,|IAH|YUL|YQB|YGP|YGR|
YGR|ORD,|ORD|YQB|YGP|YGR|
YGR|SOF,|SOF|MUC|YUL|YQB|YGP|YGR|
YGR|YQB,|YQB|YGP|YGR|
YGR|YXU,|YXU|YOW|YQB|YGP|YGR|
YGR|EZE,|EZE|GRU|EWR|YQB|YGP|YGR|
YGR|YYJ,|YYJ|YYC|YUL|YQB|YGP|YGR|
YGR|YYY,|YYY|YUL|YQB|YGP|YGR|
YGR|YQQ,|YQQ|YYC|YUL|YQB|YGP|YGR|
YGR|YYR,|YYR|YWK|YZV|YQB|YGP|YGR|
YGR|LHR,|LHR|YUL|YQB|YGP|YGR|
YGR|SFO,|SFO|YUL|YQB|YGP|YGR|
YGR|YQU,|YQU|YEG|YUL|YQB|YGP|YGR|
YGR|YZF,|YZF|YEG|YUL|YQB|YGP|YGR|
YGR|YGP,|YGP|YGR|
YGR|BOS,|BOS|YUL|YQB|YGP|YGR|
YGR|YDF,|YDF|YHZ|YUL|YQB|YGP|YGR|
YGR|YFC,|YFC|YUL|YQB|YGP|YGR|
YGR|YQM,|YQM|YUL|YQB|YGP|YGR|
YGR|YQX,|YQX|YHZ|YUL|YQB|YGP|YGR|
YGR|YQY,|YQY|YHZ|YUL|YQB|YGP|YGR|
YGR|YSJ,|YSJ|YUL|YQB|YGP|YGR|
YGR|YYG,|YYG|YUL|YQB|YGP|YGR|
YGR|LAX,|LAX|YUL|YQB|YGP|YGR|
YGR|DCA,|DCA|YUL|YQB|YGP|YGR|
YGR|LGA,|LGA|YUL|YQB|YGP|YGR|
YGR|YZV,|YZV|YQB|YGP|YGR|
YGR|YWL,|YWL|YVR|YUL|YQB|YGP|YGR|
YGR|AZS,|AZS|YUL|YQB|YGP|YGR|
YGR|BDL,|BDL|YUL|YQB|YGP|YGR|
YGR|CCC,|CCC|YUL|YQB|YGP|YGR|
YGR|CDG,|CDG|YUL|YQB|YGP|YGR|
YGR|CUN,|CUN|YUL|YQB|YGP|YGR|
YGR|CZM,|CZM|YUL|YQB|YGP|YGR|
YGR|FDF,|FDF|YUL|YQB|YGP|YGR|
YGR|FLL,|FLL|EWR|YQB|YGP|YGR|
YGR|GVA,|GVA|YUL|YQB|YGP|YGR|
YGR|HOG,|HOG|YUL|YQB|YGP|YGR|
YGR|LAS,|LAS|YUL|YQB|YGP|YGR|
YGR|MBJ,|MBJ|EWR|YQB|YGP|YGR|
YGR|MCO,|MCO|EWR|YQB|YGP|YGR|
YGR|MUC,|MUC|YUL|YQB|YGP|YGR|
YGR|PAP,|PAP|YUL|YQB|YGP|YGR|
YGR|PTP,|PTP|YUL|YQB|YGP|YGR|
YGR|PUJ,|PUJ|EWR|YQB|YGP|YGR|
YGR|SNU,|SNU|YUL|YQB|YGP|YGR|
YGR|VRA,|VRA|YUL|YQB|YGP|YGR|
YGR|YBC,|YBC|YUL|YQB|YGP|YGR|
YGR|YBG,|YBG|YUL|YQB|YGP|YGR|
YGR|YTZ,|YTZ|YUL|YQB|YGP|YGR|
YGR|YUY,|YUY|YUL|YQB|YGP|YGR|
YGR|YVO,|YVO|YUL|YQB|YGP|YGR|
YGR|ZBF,|ZBF|YUL|YQB|YGP|YGR|
YGR|ZRH,|ZRH|YUL|YQB|YGP|YGR|
YGR|ZSA,|ZSA|YUL|YQB|YGP|YGR|
YGR|AKL,|AKL|LAX|YUL|YQB|YGP|YGR|
YGR|HKG,|HKG|YYZ|YQB|YGP|YGR|
YGR|HND,|HND|YVR|YUL|YQB|YGP|YGR|
YGR|HNL,|HNL|SFO|YUL|YQB|YGP|YGR|
YGR|MEX,|MEX|YYZ|YQB|YGP|YGR|
YGR|OGG,|OGG|SFO|YUL|YQB|YGP|YGR|
YGR|PDX,|PDX|YYC|YUL|YQB|YGP|YGR|
YGR|PEK,|PEK|YYZ|YQB|YGP|YGR|
YGR|PVG,|PVG|YYZ|YQB|YGP|YGR|
YGR|PVR,|PVR|IAH|YUL|YQB|YGP|YGR|
YGR|SEA,|SEA|YYZ|YQB|YGP|YGR|
YGR|SYD,|SYD|SFO|YUL|YQB|YGP|YGR|
YGR|YBL,|YBL|YVR|YUL|YQB|YGP|YGR|
YGR|YCD,|YCD|YVR|YUL|YQB|YGP|YGR|
YGR|YCG,|YCG|YYC|YUL|YQB|YGP|YGR|
YGR|YKA,|YKA|YYC|YUL|YQB|YGP|YGR|
YGR|YPR,|YPR|YVR|YUL|YQB|YGP|YGR|
YGR|YQZ,|YQZ|YVR|YUL|YQB|YGP|YGR|
YGR|YXC,|YXC|YYC|YUL|YQB|YGP|YGR|
YGR|YXJ,|YXJ|YYC|YUL|YQB|YGP|YGR|
YGR|YXS,|YXS|YYC|YUL|YQB|YGP|YGR|
YGR|YXT,|YXT|YVR|YUL|YQB|YGP|YGR|
YGR|YXY,|YXY|YVR|YUL|YQB|YGP|YGR|
YGR|YYD,|YYD|YVR|YUL|YQB|YGP|YGR|
YGR|YYF,|YYF|YVR|YUL|YQB|YGP|YGR|
YGR|YZP,|YZP|YVR|YUL|YQB|YGP|YGR|
YGR|YQT,|YQT|YYZ|YQB|YGP|YGR|
